dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,12.958500,0.000025,0.005000,0.500000,50.000000,0.000000
0.010000,0.000025,12.958500,0.000050,0.002500,-0.250000,-75.000000,0.000000
0.010000,0.000225,12.958500,0.000250,0.020000,1.750000,200.000000,0.000000
0.010000,0.000525,12.958500,0.000550,0.030000,1.000000,-75.000000,0.000000
0.010000,0.000925,12.958500,0.000950,0.040000,1.000000,-0.000000,0.000000
0.010000,0.001425,12.958500,0.001450,0.050000,1.000000,-0.000000,0.000000
0.010000,0.002025,12.958500,0.002050,0.060000,1.000000,0.000000,0.000000
0.010000,0.002725,12.958500,0.002750,0.070000,1.000000,-0.000000,0.000000
0.010000,0.003525,12.958500,0.003550,0.080000,1.000000,0.000000,0.000000
0.010000,0.004425,12.958500,0.004450,0.090000,1.000000,0.000000,0.000000
0.010000,0.005425,12.958500,0.005450,0.100000,1.000000,0.000000,0.000000
0.010000,0.006525,12.958500,0.006550,0.110000,1.000000,0.000000,0.000000
0.010000,0.007725,12.958500,0.007750,0.120000,1.000000,-0.000000,0.000000
0.010000,0.009025,12.958500,0.009050,0.130000,1.000000,0.000000,0.000000
0.010000,0.010425,12.958500,0.010450,0.140000,1.000000,-0.000000,0.000000
0.010000,0.011925,12.958500,0.011950,0.150000,1.000000,0.000000,0.000000
0.010000,0.013525,12.958500,0.013550,0.160000,1.000000,0.000000,0.000000
0.010000,0.015225,12.958500,0.015250,0.170000,1.000000,-0.000000,0.000000
0.010000,0.017025,12.958500,0.017050,0.180000,1.000000,0.000000,0.000000
0.010000,0.018925,12.958500,0.018950,0.190000,1.000000,0.000000,0.000000
0.010000,0.020925,12.958500,0.020950,0.200000,1.000000,0.000000,0.000000
0.010000,0.023025,12.958500,0.023050,0.210000,1.000000,-0.000000,0.000000
0.010000,0.025225,12.958500,0.025250,0.220000,1.000000,-0.000000,0.000000
0.010000,0.027525,12.958500,0.027550,0.230000,1.000000,-0.000000,0.000000
0.010000,0.029925,12.958500,0.029950,0.240000,1.000000,0.000000,0.000000
0.010000,0.032425,12.958500,0.032450,0.250000,1.000000,-0.000000,0.000000
0.010000,0.035025,12.958500,0.035050,0.260000,1.000000,0.000000,0.000000
0.010000,0.037725,12.958500,0.037750,0.270000,1.000000,-0.000000,0.000000
0.010000,0.040525,12.958500,0.040550,0.280000,1.000000,0.000000,0.000000
0.010000,0.043425,12.958500,0.043450,0.290000,1.000000,-0.000000,0.000000
0.010000,0.046425,12.958500,0.046450,0.300000,1.000000,0.000000,0.000000
0.010000,0.049525,12.958500,0.049550,0.310000,1.000000,-0.000000,0.000000
0.010000,0.052725,12.958500,0.052750,0.320000,1.000000,0.000000,0.000000
0.010000,0.056025,12.958500,0.056050,0.330000,1.000000,-0.000000,0.000000
0.010000,0.059425,12.958500,0.059450,0.340000,1.000000,-0.000000,0.000000
0.010000,0.062925,12.958500,0.062950,0.350000,1.000000,-0.000000,0.000000
0.010000,0.066525,12.958500,0.066550,0.360000,1.000000,0.000000,0.000000
0.010000,0.070225,12.958500,0.070250,0.370000,1.000000,-0.000000,0.000000
0.010000,0.074025,12.958500,0.074050,0.380000,1.000000,0.000000,0.000000
0.010000,0.077925,12.958500,0.077950,0.390000,1.000000,0.000000,0.000000
0.010000,0.081925,12.958500,0.081950,0.400000,1.000000,-0.000000,0.000000
0.010000,0.086025,12.958500,0.086050,0.410000,1.000000,-0.000000,0.000000
0.010000,0.090225,12.958500,0.090250,0.420000,1.000000,0.000000,0.000000
0.010000,0.094525,12.958500,0.094550,0.430000,1.000000,-0.000000,0.000000
0.010000,0.098925,12.958500,0.098950,0.440000,1.000000,0.000000,0.000000
0.010000,0.103425,12.958500,0.103450,0.450000,1.000000,-0.000000,0.000000
0.010000,0.108025,12.958500,0.108050,0.460000,1.000000,0.000000,0.000000
0.010000,0.112725,12.958500,0.112750,0.470000,1.000000,-0.000000,0.000000
0.010000,0.117525,12.958500,0.117550,0.480000,1.000000,0.000000,0.000000
0.010000,0.122425,12.958500,0.122450,0.490000,1.000000,0.000000,0.000000
0.010000,0.127425,12.958500,0.127450,0.500000,1.000000,-0.000000,0.000000
0.010000,0.132525,12.958500,0.132550,0.510000,1.000000,0.000000,0.000000
0.010000,0.137725,12.958500,0.137750,0.520000,1.000000,0.000000,0.000000
0.010000,0.143025,12.958500,0.143050,0.530000,1.000000,-0.000000,0.000000
0.010000,0.148425,12.958500,0.148450,0.540000,1.000000,0.000000,0.000000
0.010000,0.153925,12.958500,0.153950,0.550000,1.000000,0.000000,0.000000
0.010000,0.159525,12.958500,0.159550,0.560000,1.000000,-0.000000,0.000000
0.010000,0.165225,12.958500,0.165250,0.570000,1.000000,0.000000,0.000000
0.010000,0.171025,12.958500,0.171050,0.580000,1.000000,-0.000000,0.000000
0.010000,0.176925,12.958500,0.176950,0.590000,1.000000,0.000000,0.000000
0.010000,0.182925,12.958500,0.182950,0.600000,1.000000,0.000000,0.000000
0.010000,0.189025,12.958500,0.189050,0.610000,1.000000,0.000000,0.000000
0.010000,0.195225,12.958500,0.195250,0.620000,1.000000,-0.000000,0.000000
0.010000,0.201525,12.958500,0.201550,0.630000,1.000000,0.000000,0.000000
0.010000,0.207925,12.958500,0.207950,0.640000,1.000000,-0.000000,0.000000
0.010000,0.214425,12.958500,0.214450,0.650000,1.000000,0.000000,0.000000
0.010000,0.221025,12.958500,0.221050,0.660000,1.000000,-0.000000,0.000000
0.010000,0.227725,12.958500,0.227750,0.670000,1.000000,0.000000,0.000000
0.010000,0.234525,12.958500,0.234550,0.680000,1.000000,-0.000000,0.000000
0.010000,0.241425,12.958500,0.241450,0.690000,1.000000,0.000000,0.000000
0.010000,0.248425,12.958500,0.248450,0.700000,1.000000,0.000000,0.000000
0.010000,0.255525,12.958500,0.255550,0.710000,1.000000,-0.000000,0.000000
0.010000,0.262725,12.958500,0.262750,0.720000,1.000000,0.000000,0.000000
0.010000,0.270025,12.958500,0.270050,0.730000,1.000000,-0.000000,0.000000
0.010000,0.277425,12.958500,0.277450,0.740000,1.000000,0.000000,0.000000
0.010000,0.284925,12.958500,0.284950,0.750000,1.000000,0.000000,0.000000
0.010000,0.292525,12.958500,0.292550,0.760000,1.000000,-0.000000,0.000000
0.010000,0.300225,12.958500,0.300250,0.770000,1.000000,0.000000,0.000000
0.010000,0.308025,12.958500,0.308050,0.780000,1.000000,-0.000000,0.000000
0.010000,0.315925,12.958500,0.315950,0.790000,1.000000,-0.000000,0.000000
0.010000,0.323925,12.958500,0.323950,0.800000,1.000000,-0.000000,0.000000
0.010000,0.332025,12.958500,0.332050,0.810000,1.000000,0.000000,0.000000
0.010000,0.340225,12.958500,0.340250,0.820000,1.000000,-0.000000,0.000000
0.010000,0.348525,12.958500,0.348550,0.830000,1.000000,0.000000,0.000000
0.010000,0.356925,12.958500,0.356950,0.840000,1.000000,-0.000000,0.000000
0.010000,0.365425,12.958500,0.365450,0.850000,1.000000,0.000000,0.000000
0.010000,0.374025,12.958500,0.374050,0.860000,1.000000,0.000000,0.000000
0.010000,0.382725,12.958500,0.382750,0.870000,1.000000,-0.000000,0.000000
0.010000,0.391525,12.958500,0.391550,0.880000,1.000000,0.000000,0.000000
0.010000,0.400425,12.958500,0.400450,0.890000,1.000000,-0.000000,0.000000
0.010000,0.409425,12.958500,0.409450,0.900000,1.000000,-0.000000,0.000000
0.010000,0.418525,12.958500,0.418550,0.910000,1.000000,0.000000,0.000000
0.010000,0.427725,12.958500,0.427750,0.920000,1.000000,-0.000000,0.000000
0.010000,0.437025,12.958500,0.437050,0.930000,1.000000,0.000000,0.000000
0.010000,0.446425,12.958500,0.446450,0.940000,1.000000,-0.000000,0.000000
0.010000,0.455925,12.958500,0.455950,0.950000,1.000000,-0.000000,0.000000
0.010000,0.465525,12.958500,0.465550,0.960000,1.000000,0.000000,0.000000
0.010000,0.475225,12.958500,0.475250,0.970000,1.000000,0.000000,0.000000
0.010000,0.485025,12.958500,0.485050,0.980000,1.000000,-0.000000,0.000000
0.010000,0.494925,12.958500,0.494950,0.990000,1.000000,0.000000,0.000000
0.010000,0.504925,12.958500,0.504950,1.000000,1.000000,0.000000,0.000000
0.010000,0.515025,12.958500,0.515050,1.010000,1.000000,-0.000000,0.000000
0.010000,0.525225,12.958500,0.525250,1.020000,1.000000,0.000000,0.000000
0.010000,0.535525,12.958500,0.535550,1.030000,1.000000,0.000000,0.000000
0.010000,0.545925,12.958500,0.545950,1.040000,1.000000,-0.000000,0.000000
0.010000,0.556425,12.958500,0.556450,1.050000,1.000000,0.000000,0.000000
0.010000,0.567025,12.958500,0.567050,1.060000,1.000000,0.000000,0.000000
