dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000094,15.229000,0.000198,0.019811,0.990541,49.527048,0.000029
0.020000,2.000667,15.229000,0.000771,0.028658,0.442361,-27.409007,0.000208
0.020000,2.001957,15.229001,0.002061,0.064474,1.790780,67.420984,0.000609
0.020000,2.004249,15.229003,0.004353,0.114596,2.506125,35.767243,0.001323
0.020000,2.007685,15.229009,0.007789,0.171838,2.862070,17.797210,0.002396
0.020000,2.012266,15.229023,0.012370,0.229011,2.858684,-0.169283,0.003827
0.020000,2.017987,15.229050,0.018092,0.286095,2.854196,-0.224400,0.005619
0.020000,2.024849,15.229096,0.024953,0.343068,2.848628,-0.278392,0.007774
0.020000,2.032846,15.229169,0.032951,0.399908,2.842011,-0.330861,0.010293
0.020000,2.041978,15.229276,0.042083,0.456596,2.834381,-0.381514,0.013179
0.020000,2.052239,15.229428,0.052345,0.513111,2.825783,-0.429893,0.016435
0.020000,2.063626,15.229636,0.063734,0.569437,2.816271,-0.475603,0.020064
0.020000,2.076134,15.229912,0.076245,0.625555,2.805909,-0.518076,0.024069
0.020000,2.089758,15.230269,0.089874,0.681450,2.794772,-0.556867,0.028454
0.020000,2.104493,15.230724,0.104616,0.737109,2.782947,-0.591261,0.033223
0.020000,2.120333,15.231291,0.120467,0.792520,2.770534,-0.620634,0.038380
0.020000,2.137273,15.231989,0.137420,0.847673,2.757649,-0.644220,0.043929
0.020000,2.155304,15.232835,0.155471,0.902561,2.744426,-0.661167,0.049874
0.020000,2.174421,15.233850,0.174615,0.957182,2.731015,-0.670577,0.056220
0.020000,2.194615,15.235055,0.194846,1.011533,2.717586,-0.671443,0.062971
0.020000,2.215881,15.236472,0.216158,1.065620,2.704333,-0.662655,0.070131
0.020000,2.238209,15.238125,0.238547,1.119449,2.691471,-0.643068,0.077705
0.020000,2.261591,15.240040,0.262008,1.173034,2.679243,-0.611416,0.085696
0.020000,2.286020,15.242242,0.286536,1.226393,2.667916,-0.566350,0.094109
0.020000,2.311487,15.244759,0.312126,1.279548,2.657785,-0.506541,0.102946
0.020000,2.337983,15.247620,0.338777,1.332532,2.649175,-0.430490,0.112210
0.020000,2.365501,15.250856,0.366485,1.385381,2.642439,-0.336799,0.121904
0.020000,2.394033,15.254498,0.395248,1.438140,2.637959,-0.224002,0.132029
0.020000,2.423569,15.258579,0.425065,1.490863,2.636145,-0.090739,0.142586
0.020000,2.454104,15.263134,0.455937,1.543611,2.637431,0.064325,0.153574
0.020000,2.485629,15.268198,0.487866,1.596457,2.642277,0.242315,0.164991
0.020000,2.518137,15.273809,0.520856,1.649480,2.651161,0.444203,0.176835
0.020000,2.551624,15.280005,0.554911,1.702772,2.664574,0.670632,0.189101
0.020000,2.586084,15.286827,0.590040,1.756432,2.683014,0.921985,0.201783
0.020000,2.621513,15.294317,0.626251,1.810571,2.706976,1.198115,0.214875
0.020000,2.657907,15.302517,0.663557,1.865310,2.736946,1.498487,0.228364
0.020000,2.695264,15.311473,0.701973,1.920778,2.773384,1.821915,0.242241
0.020000,2.733583,15.321232,0.741515,1.977112,2.816716,2.166600,0.256490
0.020000,2.772864,15.331842,0.782204,2.034459,2.867317,2.530069,0.271096
0.020000,2.813110,15.343352,0.824064,2.092969,2.925500,2.909117,0.286039
0.020000,2.854322,15.355816,0.867120,2.152799,2.991495,3.299761,0.301298
0.020000,2.896506,15.369286,0.911402,2.214107,3.065443,3.697399,0.316849
0.020000,2.939666,15.383818,0.956943,2.277055,3.147377,4.096689,0.332665
0.020000,2.983810,15.399469,1.003779,2.341799,3.237212,4.491772,0.348717
0.020000,3.028945,15.416296,1.051949,2.408494,3.334740,4.876377,0.364973
0.020000,3.075080,15.434361,1.101495,2.477286,3.439619,5.243962,0.381400
0.020000,3.122225,15.453724,1.152461,2.548314,3.551378,5.587971,0.397960
0.020000,3.170390,15.474448,1.204895,2.621702,3.669419,5.902033,0.414615
0.020000,3.219586,15.496595,1.258846,2.697563,3.793023,6.180220,0.431325
0.020000,3.269824,15.520229,1.314366,2.775990,3.921369,6.417298,0.448048
0.020000,3.321115,15.545415,1.371507,2.857061,4.053549,6.608961,0.464742
0.020000,3.373472,15.572214,1.430324,2.940833,4.188589,6.752024,0.481362
0.020000,3.426904,15.600691,1.490871,3.027343,4.325481,6.844599,0.497864
0.020000,3.481422,15.630907,1.553203,3.116607,4.463205,6.886191,0.514202
0.020000,3.537038,15.662923,1.617375,3.208622,4.600760,6.877742,0.530333
0.020000,3.593761,15.696796,1.683443,3.303366,4.737192,6.821619,0.546212
0.020000,3.651601,15.732583,1.751459,3.400798,4.871622,6.721516,0.561794
0.020000,3.710569,15.770336,1.821476,3.500863,5.003269,6.582324,0.577038
0.020000,3.770672,15.810105,1.893546,3.603493,5.131468,6.409937,0.591901
0.020000,3.831923,15.851936,1.967718,3.708607,5.255688,6.211036,0.606343
0.020000,3.894331,15.895872,2.044040,3.816118,5.375545,5.992844,0.620325
0.020000,3.957908,15.941949,2.122559,3.925934,5.490803,5.762901,0.633810
0.020000,4.022668,15.990202,2.203318,4.037961,5.601380,5.528812,0.646761
0.020000,4.088623,16.040658,2.286360,4.152108,5.707341,5.298065,0.659144
0.020000,4.155793,16.093341,2.371726,4.268286,5.808898,5.077838,0.670927
0.020000,4.224197,16.148270,2.459454,4.386414,5.906395,4.874864,0.682076
0.020000,4.293857,16.205459,2.549583,4.506420,6.000302,4.695340,0.692562
0.020000,4.364801,16.264917,2.642147,4.628244,6.091199,4.544860,0.702355
0.020000,4.437060,16.326647,2.737184,4.751839,6.179766,4.428377,0.711427
0.020000,4.510672,16.390647,2.834728,4.877175,6.266771,4.350228,0.719748
0.020000,4.585678,16.456912,2.934812,5.004236,6.353054,4.314132,0.727292
0.020000,4.662127,16.525430,3.037473,5.133026,6.439519,4.323244,0.734029
0.020000,4.740075,16.596185,3.142744,5.263568,6.527122,4.380191,0.739931
0.020000,4.819584,16.669154,3.250662,5.395906,6.616865,4.487111,0.744969
0.020000,4.900727,16.744312,3.361265,5.530101,6.709778,4.645690,0.749114
0.020000,4.983583,16.821625,3.474589,5.666240,6.806921,4.857149,0.752332
0.020000,5.068101,16.900923,3.590483,5.794702,6.423093,-19.191420,0.754588
0.020000,5.154090,16.981887,3.708591,5.905370,5.533435,-44.482889,0.755849
0.020000,5.241305,17.064128,3.828465,5.993725,4.417715,-55.786009,0.756094
0.020000,5.329344,17.147102,3.949443,6.048880,2.757766,-82.997443,0.755317
0.020000,5.417848,17.230300,4.070912,6.073483,1.230136,-76.381504,0.753531
0.020000,5.506588,17.313340,4.192446,6.076671,0.159425,-53.535532,0.750764
0.020000,5.595377,17.395888,4.313681,6.061738,-0.746666,-45.304588,0.747049
0.020000,5.684171,17.477751,4.434452,6.038581,-1.157829,-20.558150,0.742421
0.020000,5.773008,17.558825,4.554723,6.013527,-1.252718,-4.744435,0.736911
0.020000,5.861926,17.639010,4.674456,5.986649,-1.343908,-4.559507,0.730549
0.020000,5.950956,17.718210,4.793616,5.958000,-1.432455,-4.427339,0.723364
0.020000,6.040128,17.796332,4.912168,5.927612,-1.519385,-4.346480,0.715384
0.020000,6.129464,17.873286,5.030078,5.895498,-1.605685,-4.315020,0.706636
0.020000,6.220468,17.950218,5.149243,5.958256,3.137862,237.177342,0.695548
0.020000,6.325841,18.035887,5.285047,6.790174,41.595907,1922.902257,0.669659
0.020000,6.432045,18.117766,5.419149,6.705127,-4.252329,-2292.411821,0.643865
0.020000,6.538873,18.195830,5.551460,6.615532,-4.479745,-11.370779,0.618239
0.020000,6.646110,18.270073,5.681890,6.521496,-4.701829,-11.104208,0.592854
0.020000,6.753543,18.340509,5.810354,6.423194,-4.915082,-10.662664,0.567780
0.020000,6.860956,18.407170,5.936771,6.320867,-5.116337,-10.062748,0.543081
0.020000,6.968141,18.470107,6.061067,6.214810,-5.302869,-9.326585,0.518819
0.020000,7.074892,18.529389,6.183174,6.105360,-5.472477,-8.480420,0.495048
0.020000,7.181015,18.585101,6.303032,5.992890,-5.623533,-7.552794,0.471819
0.020000,7.286326,18.637340,6.420588,5.877790,-5.754992,-6.572928,0.449172
0.020000,7.390652,18.686219,6.535797,5.760462,-5.866374,-5.569110,0.427146
0.020000,7.493836,18.731858,6.648623,5.641308,-5.957722,-4.567375,0.405770
0.020000,7.595731,18.774387,6.759038,5.520717,-6.029533,-3.590575,0.385066
0.020000,7.696207,18.813941,6.867019,5.399063,-6.082688,-2.657724,0.365053
0.020000,7.795146,18.850661,6.972553,5.276696,-6.118362,-1.783745,0.345742
0.020000,7.892447,18.884688,7.075632,5.153937,-6.137952,-0.979471,0.327139
0.020000,7.988018,18.916165,7.176253,5.031077,-6.142990,-0.251904,0.309246
0.020000,8.081783,18.945235,7.274421,4.908376,-6.135083,0.395369,0.292060
0.020000,8.173675,18.972037,7.370142,4.786059,-6.115849,0.961675,0.275575
0.020000,8.263640,18.996708,7.463428,4.664321,-6.086875,1.448693,0.259782
0.020000,8.351632,19.019383,7.554295,4.543328,-6.049677,1.859918,0.244668
0.020000,8.437615,19.040190,7.642759,4.423214,-6.005674,2.200148,0.230220
0.020000,8.521559,19.059252,7.728841,4.304091,-5.956173,2.475045,0.216420
0.020000,8.603444,19.076690,7.812562,4.186044,-5.902358,2.690742,0.203252
0.020000,8.683254,19.092615,7.893945,4.069138,-5.845287,2.853554,0.190698
0.020000,8.760977,19.107136,7.973013,3.953420,-5.785892,2.969733,0.178736
0.020000,8.836609,19.120354,8.049791,3.838920,-5.724987,3.045283,0.167349
0.020000,8.910148,19.132366,8.124304,3.725655,-5.663270,3.085858,0.156515
0.020000,8.981594,19.143263,8.196577,3.613628,-5.601336,3.096669,0.146215
0.020000,9.050953,19.153129,8.266634,3.502834,-5.539687,3.082449,0.136428
0.020000,9.118229,19.162046,8.334499,3.393260,-5.478739,3.047434,0.127135
0.020000,9.183433,19.170087,8.400197,3.284883,-5.418831,2.995382,0.118316
0.020000,9.246573,19.177324,8.463750,3.177678,-5.360239,2.929572,0.109952
0.020000,9.307661,19.183822,8.525182,3.071615,-5.303182,2.852852,0.102024
0.020000,9.366708,19.189643,8.584516,2.966658,-5.247829,2.767664,0.094515
0.020000,9.423727,19.194843,8.641771,2.862772,-5.194307,2.676088,0.087407
0.020000,9.478730,19.199476,8.696969,2.759918,-5.142710,2.579873,0.080683
0.020000,9.531732,19.203592,8.750130,2.658056,-5.093100,2.480487,0.074327
0.020000,9.582745,19.207236,8.801273,2.557145,-5.045518,2.379134,0.068324
0.020000,9.631782,19.210452,8.850416,2.457146,-4.999981,2.276807,0.062659
0.020000,9.678858,19.213279,8.897577,2.358016,-4.956495,2.174304,0.057317
0.020000,9.723984,19.215754,8.942771,2.259715,-4.915050,2.072263,0.052286
0.020000,9.767174,19.217911,8.986015,2.162202,-4.875626,1.971180,0.047552
0.020000,9.808441,19.219783,9.027324,2.065438,-4.838198,1.871441,0.043103
0.020000,9.847795,19.221398,9.066711,1.969384,-4.802731,1.773323,0.038927
0.020000,9.885250,19.222783,9.104191,1.874000,-4.769191,1.677032,0.035014
0.020000,9.920815,19.223963,9.139776,1.779249,-4.737537,1.582697,0.031354
0.020000,9.954502,19.224962,9.173478,1.685095,-4.707729,1.490397,0.027936
0.020000,9.986321,19.225800,9.205308,1.591500,-4.679725,1.400164,0.024752
0.020000,10.016282,19.226498,9.235277,1.498430,-4.653486,1.311986,0.021792
0.020000,10.044393,19.227072,9.263394,1.405851,-4.628969,1.225837,0.019050
0.020000,10.070663,19.227539,9.289668,1.313728,-4.606136,1.141644,0.016517
0.020000,10.095101,19.227914,9.314109,1.222029,-4.584949,1.059343,0.014187
0.020000,10.117713,19.228211,9.336723,1.130722,-4.565373,0.978828,0.012054
0.020000,10.138508,19.228441,9.357519,1.039774,-4.547373,0.900004,0.010111
0.020000,10.157490,19.228616,9.376502,0.949156,-4.530917,0.822757,0.008353
0.020000,10.174666,19.228746,9.393679,0.858836,-4.515978,0.746967,0.006775
0.020000,10.190042,19.228840,9.409054,0.768786,-4.502528,0.672515,0.005373
0.020000,10.203621,19.228904,9.422634,0.678975,-4.490542,0.599272,0.004143
0.020000,10.215408,19.228947,9.434421,0.589375,-4.480000,0.527120,0.003081
0.020000,10.225408,19.228973,9.444421,0.499957,-4.470881,0.455924,0.002186
0.020000,10.233621,19.228988,9.452634,0.410694,-4.463170,0.385559,0.001453
0.020000,10.240053,19.228996,9.459066,0.321557,-4.456852,0.315903,0.000881
0.020000,10.244703,19.228999,9.463716,0.232519,-4.451916,0.246822,0.000469
0.020000,10.247660,19.229000,9.466673,0.147836,-4.234106,10.890464,0.000207
0.020000,10.249232,19.229000,9.468245,0.078595,-3.462088,38.600931,0.000068
0.020000,10.249863,19.229000,9.468877,0.031596,-2.349914,55.608698,0.000012
0.020000,10.250000,19.229000,9.469013,0.006828,-1.238430,55.574219,6.283185
0.020000,10.250000,19.229000,9.469013,0.000000,-0.341393,44.851845,6.283185
