dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.249816,19.229167,0.000199,0.019927,0.996361,49.818061,3.141609
0.020000,10.248922,19.229167,0.001094,0.044712,1.239241,12.143967,3.141688
0.020000,10.246910,19.229166,0.003106,0.100610,2.794922,77.784052,3.141866
0.020000,10.243332,19.229165,0.006684,0.178892,3.914064,55.957095,3.142183
0.020000,10.237740,19.229160,0.012275,0.279592,5.035008,56.047235,3.142679
0.020000,10.229909,19.229149,0.020107,0.391580,5.599382,28.218708,3.143376
0.020000,10.219834,19.229126,0.030181,0.503719,5.606948,0.378259,3.144277
0.020000,10.207513,19.229086,0.042502,0.616053,5.616704,0.487826,3.145384
0.020000,10.192941,19.229022,0.057075,0.728626,5.628674,0.598518,3.146702
0.020000,10.176112,19.228923,0.073905,0.841484,5.642886,0.710580,3.148235
0.020000,10.157019,19.228779,0.092998,0.954671,5.659371,0.824273,3.149989
0.020000,10.135655,19.228579,0.114363,1.068235,5.678168,0.939842,3.151969
0.020000,10.112012,19.228307,0.138007,1.182221,5.699319,1.057546,3.154182
0.020000,10.086081,19.227949,0.163941,1.296678,5.722872,1.177621,3.156637
0.020000,10.057852,19.227486,0.192174,1.411656,5.748878,1.300321,3.159341
0.020000,10.027313,19.226899,0.222718,1.527204,5.777395,1.425865,3.162305
0.020000,9.994454,19.226165,0.255585,1.643374,5.808485,1.554483,3.165537
0.020000,9.959261,19.225261,0.290790,1.760218,5.842212,1.686358,3.169049
0.020000,9.921722,19.224158,0.328346,1.877791,5.878646,1.821669,3.172853
0.020000,9.881821,19.222829,0.368269,1.996148,5.917856,1.960538,3.176962
0.020000,9.839544,19.221239,0.410575,2.115346,5.959917,2.103048,3.181389
0.020000,9.794875,19.219355,0.455284,2.235444,6.004902,2.249212,3.186149
0.020000,9.747797,19.217136,0.502414,2.356502,6.052881,2.398963,3.191258
0.020000,9.698293,19.214540,0.551986,2.478580,6.103923,2.552121,3.196731
0.020000,9.646346,19.211520,0.604021,2.601742,6.158091,2.708386,3.202588
0.020000,9.591937,19.208027,0.658542,2.726051,6.215437,2.867284,3.208846
0.020000,9.535048,19.204005,0.715573,2.851571,6.276000,3.028148,3.215525
0.020000,9.475659,19.199394,0.775141,2.978367,6.339801,3.190055,3.222646
0.020000,9.413752,19.194130,0.837271,3.106504,6.406837,3.351803,3.230231
0.020000,9.349309,19.188142,0.901992,3.236045,6.477073,3.511819,3.238303
0.020000,9.282311,19.181353,0.969333,3.367054,6.550435,3.668112,3.246885
0.020000,9.212741,19.173681,1.039324,3.499590,6.626799,3.818196,3.256002
0.020000,9.140583,19.165036,1.111999,3.633709,6.705979,3.958999,3.265680
0.020000,9.065822,19.155323,1.187388,3.769464,6.787715,4.086775,3.275947
0.020000,8.988446,19.144437,1.265526,3.906897,6.871655,4.197014,3.286828
0.020000,8.908446,19.132266,1.346447,4.046044,6.957342,4.284335,3.298352
0.020000,8.825815,19.118691,1.430185,4.186927,7.044190,4.342417,3.310547
0.020000,8.740552,19.103582,1.516776,4.329557,7.131468,4.363895,3.323442
0.020000,8.652661,19.086803,1.606255,4.473922,7.218275,4.340327,3.337065
0.020000,8.562151,19.068208,1.698655,4.619993,7.303518,4.262177,3.351444
0.020000,8.469042,19.047640,1.794009,4.767710,7.385895,4.118860,3.366605
0.020000,8.373359,19.024937,1.892349,4.916988,7.463872,3.898861,3.382573
0.020000,8.275139,18.999925,1.993703,5.067701,7.535672,3.589989,3.399373
0.020000,8.174433,18.972424,2.098096,5.219687,7.599267,3.179728,3.417025
0.020000,8.071303,18.942247,2.205551,5.372734,7.652382,2.655779,3.435546
0.020000,7.965827,18.909200,2.316083,5.526585,7.692518,2.006786,3.454950
0.020000,7.858101,18.873085,2.429701,5.680924,7.716983,1.223248,3.475243
0.020000,7.748239,18.833701,2.546409,5.835384,7.722956,0.298637,3.496429
0.020000,7.636376,18.790847,2.666200,5.989535,7.707569,-0.769328,3.518502
0.020000,7.522667,18.744324,2.789058,6.142895,7.668023,-1.977316,3.541450
0.020000,7.407290,18.693940,2.914956,6.294930,7.601722,-3.315046,3.565250
0.020000,7.290445,18.639509,3.043857,6.445059,7.506440,-4.764107,3.589872
0.020000,7.172354,18.580859,3.175711,6.592669,7.380496,-6.297174,3.615275
0.020000,7.053260,18.517834,3.310453,6.737127,7.222940,-7.877803,3.641408
0.020000,6.933425,18.450297,3.448009,6.877802,7.033721,-9.460964,3.668208
0.020000,6.813127,18.378136,3.588291,7.014078,6.813829,-10.994621,3.695605
0.020000,6.692656,18.301263,3.731199,7.145386,6.565386,-12.422152,3.723517
0.020000,6.572313,18.219618,3.876623,7.271219,6.291669,-13.685808,3.751856
0.020000,6.452401,18.133174,4.024446,7.391161,5.997056,-14.730677,3.780526
0.020000,6.333220,18.041930,4.174544,7.504898,5.686874,-15.509084,3.809424
0.020000,6.215066,17.945919,4.326789,7.612242,5.367185,-15.984469,3.838449
0.020000,6.114023,17.860303,4.459227,6.621881,-49.518050,-2744.261764,3.849782
0.020000,6.013904,17.773710,4.591599,6.618601,-0.163983,2467.703363,3.859393
0.020000,5.913982,17.685681,4.724766,6.658351,1.987501,107.574220,3.868028
0.020000,5.814223,17.596345,4.858679,6.695663,1.865609,-6.094585,3.875650
0.020000,5.714585,17.505834,4.993289,6.730505,1.742081,-6.176403,3.882218
0.020000,5.615019,17.414288,5.128545,6.762808,1.615133,-6.347432,3.887689
0.020000,5.515618,17.321991,5.264188,6.782153,0.967275,-32.392897,3.892017
0.020000,5.416615,17.229372,5.399761,6.778663,-0.174481,-57.087812,3.895153
0.020000,5.318217,17.136853,5.534823,6.753091,-1.278597,-55.205790,3.897062
0.020000,5.220633,17.044863,5.668931,6.705400,-2.384559,-55.298102,3.897721
0.020000,5.124201,16.953951,5.801461,6.626493,-3.945363,-78.040176,3.897121
0.020000,5.029232,16.864640,5.931828,6.518332,-5.408030,-73.133353,3.895273
0.020000,4.935894,16.777293,6.059662,6.391718,-6.330727,-46.134875,3.892200
0.020000,4.844350,16.692253,6.184610,6.247380,-7.216897,-44.308483,3.887939
0.020000,4.754761,16.609832,6.306346,6.086794,-8.029301,-40.620202,3.882536
0.020000,4.667151,16.530189,6.424745,5.919978,-8.340813,-15.575611,3.876040
0.020000,4.581431,16.453356,6.539859,5.755703,-8.213745,6.353410,3.868493
0.020000,4.497521,16.379357,6.651737,5.593899,-8.090165,6.179017,3.859934
0.020000,4.415356,16.308206,6.760428,5.434533,-7.968302,6.093135,3.850403
0.020000,4.334876,16.239911,6.865980,5.277604,-7.846473,6.091458,3.839940
0.020000,4.256033,16.174471,6.968443,5.123142,-7.723101,6.168578,3.828585
0.020000,4.178785,16.111877,7.067867,4.971207,-7.596743,6.317893,3.816379
0.020000,4.103098,16.052113,7.164305,4.821885,-7.466113,6.531501,3.803365
0.020000,4.028942,15.995155,7.257810,4.675283,-7.330111,6.800122,3.789586
0.020000,3.956294,15.940970,7.348441,4.531526,-7.187849,7.113078,3.775090
0.020000,3.885131,15.889517,7.436256,4.390752,-7.038683,7.458307,3.759924
0.020000,3.815436,15.840751,7.521318,4.253107,-6.882232,7.822552,3.744140
0.020000,3.747192,15.794616,7.603693,4.118739,-6.718401,8.191541,3.727791
0.020000,3.680386,15.751051,7.683449,3.987791,-6.547394,8.550378,3.710933
0.020000,3.615002,15.709989,7.760657,3.860397,-6.369714,8.883975,3.693622
0.020000,3.551028,15.671357,7.835390,3.736674,-6.186163,9.177582,3.675920
0.020000,3.488450,15.635078,7.907724,3.616718,-5.997815,9.417374,3.657888
0.020000,3.427252,15.601070,7.977736,3.500598,-5.805994,9.591051,3.639587
0.020000,3.367421,15.569249,8.045503,3.388353,-5.612226,9.688397,3.621080
0.020000,3.308941,15.539527,8.111103,3.279989,-5.418191,9.701783,3.602432
0.020000,3.251796,15.511815,8.174613,3.175476,-5.225660,9.626513,3.583705
0.020000,3.195971,15.486024,8.236108,3.074747,-5.036439,9.461051,3.564959
0.020000,3.141450,15.462063,8.295662,2.977701,-4.852298,9.207044,3.546256
0.020000,3.088217,15.439845,8.353346,2.884203,-4.674915,8.869191,3.527653
0.020000,3.036256,15.419280,8.409227,2.794087,-4.505817,8.454894,3.509204
0.020000,2.985556,15.400281,8.463371,2.707160,-4.346340,7.973856,3.490962
0.020000,2.936102,15.382765,8.515835,2.623208,-4.197590,7.437462,3.472976
0.020000,2.887884,15.366649,8.566675,2.542000,-4.060425,6.858251,3.455289
0.020000,2.840893,15.351853,8.615941,2.463291,-3.935442,6.249190,3.437943
0.020000,2.795120,15.338300,8.663677,2.386831,-3.822977,5.623213,3.420973
0.020000,2.750562,15.325915,8.709925,2.312369,-3.723125,4.992622,3.404414
0.020000,2.707215,15.314626,8.754718,2.239654,-3.635751,4.368705,3.388292
0.020000,2.665077,15.304365,8.798087,2.168443,-3.560522,3.761432,3.372633
0.020000,2.624151,15.295064,8.840057,2.098505,-3.496937,3.179242,3.357457
