dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750010,14.229000,0.000077,0.007676,0.383785,19.189252,0.000004
0.020000,2.750219,14.229000,0.000286,0.010456,0.139039,-12.237291,0.000083
0.020000,2.750689,14.229000,0.000756,0.023525,0.653424,25.719233,0.000263
0.020000,2.751526,14.229000,0.001593,0.041815,0.914495,13.053571,0.000581
0.020000,2.752832,14.229002,0.002899,0.065317,1.175110,13.030723,0.001080
0.020000,2.754712,14.229004,0.004779,0.094017,1.434975,12.993279,0.001798
0.020000,2.757270,14.229010,0.007337,0.127891,1.693729,12.937678,0.002777
0.020000,2.760608,14.229021,0.010675,0.166910,1.950933,12.860227,0.004058
0.020000,2.764829,14.229042,0.014896,0.211031,2.206081,12.757379,0.005683
0.020000,2.770033,14.229077,0.020100,0.260203,2.458592,12.625541,0.007694
0.020000,2.776320,14.229133,0.026387,0.314360,2.707817,12.461264,0.010135
0.020000,2.783788,14.229219,0.033856,0.373420,2.953039,12.261103,0.013052
0.020000,2.792533,14.229349,0.042601,0.437290,3.193477,12.021885,0.016491
0.020000,2.802596,14.229535,0.052667,0.503278,3.299421,5.297227,0.020479
0.020000,2.813968,14.229793,0.064041,0.568718,3.271996,-1.371260,0.025027
0.020000,2.826634,14.230143,0.076712,0.633539,3.241052,-1.547217,0.030143
0.020000,2.840580,14.230603,0.090666,0.697673,3.206672,-1.718992,0.035840
0.020000,2.855789,14.231196,0.105887,0.761052,3.168971,-1.885071,0.042129
0.020000,2.872244,14.231947,0.122359,0.823614,3.128101,-2.043497,0.049024
0.020000,2.889926,14.232880,0.140065,0.885299,3.084262,-2.191952,0.056539
0.020000,2.908812,14.234026,0.158986,0.946054,3.037712,-2.327458,0.064689
0.020000,2.928881,14.235415,0.179103,1.005829,2.988781,-2.446567,0.073490
0.020000,2.950107,14.237078,0.200394,1.064587,2.937881,-2.544987,0.082958
0.020000,2.972466,14.239052,0.222840,1.122297,2.885526,-2.617766,0.093112
0.020000,2.995931,14.241371,0.246419,1.178944,2.832345,-2.659071,0.103967
0.020000,3.020473,14.244075,0.271110,1.234526,2.779102,-2.662147,0.115541
0.020000,3.046063,14.247204,0.296891,1.289061,2.726715,-2.619333,0.127852
0.020000,3.072673,14.250801,0.323743,1.342586,2.676275,-2.522008,0.140916
0.020000,3.100272,14.254911,0.351646,1.395167,2.629061,-2.360721,0.154748
0.020000,3.128831,14.259579,0.380584,1.446899,2.586557,-2.125170,0.169362
0.020000,3.158321,14.264855,0.410542,1.497908,2.550465,-1.804628,0.184769
0.020000,3.188714,14.270790,0.441509,1.548362,2.522703,-1.388076,0.200979
0.020000,3.219985,14.277438,0.473479,1.598470,2.505406,-0.864844,0.217998
0.020000,3.252110,14.284854,0.506449,1.648488,2.500905,-0.225058,0.235826
0.020000,3.285068,14.293099,0.540423,1.698722,2.511692,0.539343,0.254461
0.020000,3.318845,14.302235,0.575414,1.749529,2.540370,1.433914,0.273892
0.020000,3.353429,14.312329,0.611440,1.801321,2.589577,2.460362,0.294105
0.020000,3.388813,14.323452,0.648531,1.854559,2.661890,3.615635,0.315075
0.020000,3.424997,14.335682,0.686726,1.909753,2.759703,4.890629,0.336771
0.020000,3.461988,14.349099,0.726075,1.967454,2.885087,6.269234,0.359151
0.020000,3.499798,14.363793,0.766640,2.028247,3.039642,7.727751,0.382166
0.020000,3.538446,14.379860,0.808495,2.092734,3.224333,9.234548,0.405755
0.020000,3.577958,14.397402,0.851725,2.161521,3.439346,10.750615,0.429848
0.020000,3.618363,14.416529,0.896429,2.235200,3.683960,12.230734,0.454367
0.020000,3.659696,14.437362,0.942716,2.314330,3.956471,13.625545,0.479221
0.020000,3.701997,14.460024,0.990704,2.399413,4.254158,14.884333,0.504315
0.020000,3.745303,14.484647,1.040522,2.490879,4.573328,15.958497,0.529543
0.020000,3.789656,14.511370,1.092303,2.589068,4.909431,16.805135,0.554798
0.020000,3.835095,14.540333,1.146187,2.694213,5.257245,17.390707,0.579966
0.020000,3.881654,14.571680,1.202316,2.806435,5.611123,17.693934,0.604931
0.020000,3.929368,14.605554,1.260831,2.925741,5.965281,17.707881,0.629578
0.020000,3.978262,14.642096,1.321871,3.052023,6.314095,17.440719,0.653794
0.020000,4.028359,14.681442,1.385573,3.185071,6.652398,16.915148,0.677469
0.020000,4.079678,14.723721,1.452064,3.324585,6.975730,16.166563,0.700497
0.020000,4.132230,14.769055,1.521468,3.470196,7.280534,15.240213,0.722780
0.020000,4.186026,14.817553,1.593898,3.621482,7.564289,14.187737,0.744224
0.020000,4.241073,14.869313,1.669458,3.777993,7.825560,13.063558,0.764745
0.020000,4.297378,14.924421,1.748243,3.939273,8.063989,11.921467,0.784266
0.020000,4.354949,14.982950,1.830341,4.104877,8.280226,10.811834,0.802716
0.020000,4.413798,15.044958,1.915829,4.274394,8.475816,9.779509,0.820031
0.020000,4.473943,15.110491,2.004778,4.447455,8.653068,8.862607,0.836153
0.020000,4.535408,15.179582,2.097253,4.623753,8.814909,8.092058,0.851031
0.020000,4.598229,15.252254,2.193314,4.803048,8.964745,7.491809,0.864614
0.020000,4.662453,15.328517,2.293017,4.985175,9.106337,7.079556,0.876858
0.020000,4.728140,15.408373,2.396418,5.170049,9.243691,6.867739,0.887717
0.020000,4.795369,15.491813,2.503572,5.357668,9.380986,6.864738,0.897147
0.020000,4.864190,15.578764,2.614463,5.544560,9.344566,-1.820994,0.905097
0.020000,4.934628,15.669085,2.729003,5.727018,9.122910,-11.082801,0.911515
0.020000,5.006728,15.762617,2.847099,5.904795,8.888856,-11.702694,0.916351
0.020000,5.080552,15.859186,2.968654,6.077727,8.646580,-12.113789,0.919559
0.020000,5.156181,15.958604,3.093568,6.245722,8.399793,-12.339398,0.921095
0.020000,5.233714,16.060669,3.221743,6.408755,8.151611,-12.409099,0.920915
0.020000,5.313272,16.165168,3.353080,6.566844,7.904444,-12.358308,0.918975
0.020000,5.394988,16.271873,3.487481,6.720041,7.659876,-12.228399,0.915228
0.020000,5.479018,16.380543,3.624849,6.868412,7.418530,-12.067314,0.909629
0.020000,5.565529,16.490920,3.765089,7.012010,7.179919,-11.930555,0.902129
0.020000,5.654704,16.602732,3.908106,7.150855,6.942271,-11.882394,0.892683
0.020000,5.746734,16.715684,4.053805,7.284902,6.702330,-11.997047,0.881242
0.020000,5.843599,16.831476,4.204770,7.548261,13.167962,323.281582,0.865493
0.020000,5.946863,16.950217,4.362132,7.868128,15.993340,141.268917,0.844439
0.020000,6.052767,17.066886,4.519699,7.878318,0.509493,-774.192348,0.822952
0.020000,6.161173,17.181229,4.677263,7.878199,-0.005927,-25.771035,0.801074
0.020000,6.271923,17.293002,4.834612,7.867444,-0.537795,-26.593396,0.778853
0.020000,6.384833,17.401968,4.991526,7.845735,-1.085430,-27.381713,0.756344
0.020000,6.499695,17.507905,5.147782,7.812781,-1.647720,-28.114535,0.733603
0.020000,6.616277,17.610605,5.303148,7.768318,-2.223128,-28.770391,0.710694
0.020000,6.734327,17.709877,5.457391,7.712124,-2.809707,-29.328964,0.687682
0.020000,6.853569,17.805552,5.610271,7.644021,-3.405154,-29.772319,0.664636
0.020000,6.973710,17.897482,5.761549,7.563883,-4.006873,-30.085967,0.641628
0.020000,7.094439,17.985542,5.910982,7.471642,-4.612069,-30.259780,0.618729
0.020000,7.215431,18.069635,6.058327,7.367285,-5.217845,-30.288805,0.596011
0.020000,7.336402,18.149721,6.203405,7.253905,-5.668977,-22.556613,0.573538
0.020000,7.457142,18.225832,6.346133,7.136358,-5.877382,-10.420232,0.551353
0.020000,7.577474,18.298032,6.486462,7.016497,-5.993040,-5.782898,0.529495
0.020000,7.697223,18.366397,6.624353,6.894504,-6.099630,-5.329536,0.507999
0.020000,7.816223,18.431013,6.759764,6.770575,-6.196474,-4.842154,0.486896
0.020000,7.934314,18.491976,6.892662,6.644913,-6.283111,-4.331895,0.466214
0.020000,8.051344,18.549389,7.023017,6.517727,-6.359303,-3.809579,0.445978
0.020000,8.167170,18.603365,7.150801,6.389226,-6.425009,-3.285320,0.426209
0.020000,8.281656,18.654020,7.275994,6.259619,-6.480375,-2.768257,0.406926
0.020000,8.394680,18.701476,7.398576,6.129105,-6.525701,-2.266338,0.388143
0.020000,8.506124,18.745859,7.518533,5.997876,-6.561426,-1.786221,0.369872
0.020000,8.615885,18.787297,7.635856,5.866115,-6.588090,-1.333218,0.352122
0.020000,8.723866,18.825919,7.750535,5.733988,-6.606317,-0.911325,0.334898
0.020000,8.829979,18.861856,7.862569,5.601653,-6.616783,-0.523301,0.318203
0.020000,8.934146,18.895236,7.971953,5.469249,-6.620198,-0.170774,0.302040
0.020000,9.036298,18.926189,8.078692,5.336903,-6.617286,0.145616,0.286407
0.020000,9.136371,18.954840,8.182786,5.204728,-6.608764,0.426072,0.271300
0.020000,9.234313,18.981314,8.284243,5.072821,-6.595335,0.671480,0.256717
