dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750186,12.271000,0.000200,0.019950,0.997512,49.875611,0.000038
0.020000,2.751252,12.271000,0.001266,0.053314,1.668166,33.532712,0.000256
0.020000,2.753652,12.271001,0.003665,0.119968,3.332702,83.226753,0.000748
0.020000,2.757918,12.271006,0.007931,0.213317,4.667467,66.738292,0.001622
0.020000,2.764319,12.271021,0.014333,0.320074,5.337861,33.519679,0.002935
0.020000,2.772858,12.271054,0.022872,0.426949,5.343764,0.295142,0.004688
0.020000,2.783538,12.271115,0.033552,0.533981,5.351597,0.391665,0.006885
0.020000,2.796362,12.271221,0.046376,0.641208,5.361326,0.486458,0.009527
0.020000,2.811334,12.271386,0.061349,0.748666,5.372907,0.579059,0.012620
0.020000,2.828460,12.271633,0.078477,0.856392,5.386285,0.668868,0.016168
0.020000,2.847745,12.271983,0.097765,0.964419,5.401386,0.755071,0.020174
0.020000,2.869195,12.272464,0.119221,1.072782,5.418126,0.836996,0.024646
0.020000,2.892817,12.273105,0.142851,1.181510,5.436399,0.913621,0.029588
0.020000,2.918616,12.273938,0.168664,1.290632,5.456077,0.983904,0.035007
0.020000,2.946599,12.275001,0.196667,1.400172,5.477008,1.046588,0.040911
0.020000,2.976773,12.276333,0.226870,1.510152,5.499014,1.100279,0.047305
0.020000,3.009143,12.277977,0.259282,1.620590,5.521879,1.143256,0.054198
0.020000,3.043715,12.279981,0.293912,1.731497,5.545355,1.173805,0.061598
0.020000,3.080493,12.282395,0.330770,1.842880,5.569151,1.189794,0.069511
0.020000,3.119482,12.285275,0.369864,1.954738,5.592929,1.188874,0.077946
0.020000,3.160683,12.288678,0.411206,2.067064,5.616300,1.168574,0.086910
0.020000,3.204097,12.292669,0.454802,2.179841,5.638821,1.126068,0.096411
0.020000,3.249722,12.297312,0.500663,2.293040,5.659987,1.058298,0.106455
0.020000,3.297554,12.302680,0.548796,2.406625,5.679232,0.962211,0.117049
0.020000,3.347587,12.308846,0.599207,2.520543,5.695916,0.834225,0.128199
0.020000,3.399808,12.315888,0.651901,2.634730,5.709339,0.671132,0.139908
0.020000,3.454205,12.323889,0.706883,2.749105,5.718725,0.469304,0.152180
0.020000,3.510758,12.332934,0.764155,2.863569,5.723236,0.225548,0.165016
0.020000,3.569442,12.343111,0.823715,2.978009,5.721970,-0.063290,0.178415
0.020000,3.630228,12.354511,0.885561,3.092288,5.713974,-0.399800,0.192376
0.020000,3.693080,12.367228,0.949686,3.206253,5.698253,-0.786058,0.206893
0.020000,3.757954,12.381355,1.016080,3.319729,5.673789,-1.223193,0.221957
0.020000,3.824800,12.396990,1.084731,3.432520,5.639563,-1.711309,0.237559
0.020000,3.893561,12.414227,1.155619,3.544412,5.594579,-2.249198,0.253683
0.020000,3.964170,12.433161,1.228722,3.655170,5.537899,-2.834015,0.270311
0.020000,4.036552,12.453886,1.304013,3.764543,5.468675,-3.461184,0.287420
0.020000,4.110624,12.476492,1.381458,3.872267,5.386191,-4.124201,0.304984
0.020000,4.186296,12.501065,1.461020,3.978065,5.289901,-4.814505,0.322970
0.020000,4.263467,12.527684,1.542653,4.081655,5.179470,-5.521549,0.341344
0.020000,4.342030,12.556426,1.626308,4.182751,5.054810,-6.232962,0.360065
0.020000,4.421870,12.587355,1.711929,4.281073,4.916116,-6.934716,0.379087
0.020000,4.502866,12.620530,1.799456,4.376351,4.763881,-7.611737,0.398361
0.020000,4.584893,12.655997,1.888823,4.468329,4.598916,-8.248284,0.417833
0.020000,4.667821,12.693795,1.979958,4.556776,4.422340,-8.828765,0.437445
0.020000,4.751517,12.733949,2.072788,4.641487,4.235571,-9.338468,0.457138
0.020000,4.835849,12.776471,2.167234,4.722293,4.040285,-9.764315,0.476847
0.020000,4.920685,12.821363,2.263215,4.799060,3.838371,-10.095683,0.496507
0.020000,5.005894,12.868614,2.360649,4.871698,3.631871,-10.325001,0.516050
0.020000,5.091353,12.918202,2.459452,4.940156,3.422905,-10.448314,0.535409
0.020000,5.176941,12.970090,2.559541,5.004428,3.213594,-10.465537,0.554515
0.020000,5.262547,13.024233,2.660832,5.064547,3.005983,-10.380537,0.573300
0.020000,5.348067,13.080576,2.763244,5.120587,2.801964,-10.200958,0.591699
0.020000,5.433408,13.139052,2.866697,5.172651,2.603208,-9.937824,0.609647
0.020000,5.518487,13.199588,2.971114,5.220873,2.411108,-9.604967,0.627080
0.020000,5.603231,13.262103,3.076422,5.265408,2.226742,-9.218320,0.643940
0.020000,5.687582,13.326509,3.182551,5.306425,2.050839,-8.795163,0.660168
0.020000,5.771491,13.392714,3.289433,5.344100,1.883772,-8.353355,0.675711
0.020000,5.854920,13.460621,3.397005,5.378611,1.725559,-7.910619,0.690516
0.020000,5.937845,13.530128,3.505208,5.410129,1.575880,-7.483974,0.704536
0.020000,6.020251,13.601132,3.613984,5.438811,1.434095,-7.089221,0.717724
0.020000,6.102135,13.673525,3.723280,5.464796,1.299283,-6.740629,0.730036
0.020000,6.183501,13.747197,3.833044,5.488202,1.170267,-6.450779,0.741430
0.020000,6.264365,13.822038,3.943226,5.509115,1.045658,-6.230437,0.751866
0.020000,6.344750,13.897932,4.053778,5.527593,0.923885,-6.088660,0.761304
0.020000,6.424686,13.974764,4.164651,5.543657,0.803228,-6.032880,0.769704
0.020000,6.504211,14.052412,4.275797,5.557294,0.681847,-6.069058,0.777028
0.020000,6.583367,14.130753,4.387166,5.568450,0.557809,-6.201880,0.783235
0.020000,6.662202,14.209661,4.498707,5.577033,0.429112,-6.434870,0.788282
0.020000,6.740767,14.289002,4.610365,5.582907,0.293701,-6.770505,0.792127
0.020000,6.819119,14.368638,4.722083,5.585897,0.149498,-7.210194,0.794721
0.020000,6.897314,14.448425,4.833798,5.585785,-0.005585,-7.754146,0.796015
0.020000,6.975410,14.528211,4.945445,5.582313,-0.173607,-8.401066,0.795954
0.020000,7.053467,14.607836,5.056948,5.575182,-0.356559,-9.147606,0.794479
0.020000,7.131545,14.687129,5.168229,5.564055,-0.556310,-9.987534,0.791523
0.020000,7.209698,14.765912,5.279201,5.548565,-0.774520,-10.910524,0.787017
0.020000,7.287982,14.843992,5.389767,5.528314,-1.012530,-11.900478,0.780883
0.020000,7.366447,14.921166,5.499825,5.502890,-1.271195,-12.933273,0.773036
0.020000,7.445009,14.997098,5.609084,5.462965,-1.996297,-36.255104,0.763404
0.020000,7.523454,15.071334,5.717086,5.400120,-3.142213,-57.295794,0.751937
0.020000,7.601569,15.143444,5.823397,5.315506,-4.230736,-54.426139,0.738607
0.020000,7.679032,15.212935,5.927462,5.203264,-5.612083,-69.067384,0.723427
0.020000,7.755523,15.279366,6.028773,5.065567,-6.884869,-63.639270,0.706447
0.020000,7.833182,15.344491,6.130124,5.067545,0.098942,349.190522,0.690305
0.020000,7.912325,15.408894,6.232160,5.101808,1.713127,80.709283,0.675771
0.020000,7.991013,15.471037,6.332428,5.013376,-4.421606,-306.736641,0.661073
0.020000,8.069198,15.530930,6.430917,4.924467,-4.445419,-1.190667,0.646227
0.020000,8.146854,15.588599,6.527644,4.836341,-4.406312,1.955366,0.631246
0.020000,8.223950,15.644074,6.622625,4.749047,-4.364690,2.081091,0.616143
0.020000,8.300461,15.697386,6.715878,4.662634,-4.320685,2.200250,0.600932
0.020000,8.376359,15.748569,6.807420,4.577145,-4.274458,2.311345,0.585629
0.020000,8.451617,15.797657,6.897273,4.492621,-4.226199,2.412937,0.570248
0.020000,8.526209,15.844689,6.985455,4.409098,-4.176126,2.503651,0.554808
0.020000,8.600111,15.889704,7.071987,4.326608,-4.124482,2.582212,0.539323
0.020000,8.673298,15.932742,7.156890,4.245178,-4.071532,2.647502,0.523812
0.020000,8.745746,15.973847,7.240187,4.164827,-4.017561,2.698560,0.508292
0.020000,8.817433,16.013061,7.321898,4.085569,-3.962868,2.734618,0.492781
0.020000,8.888336,16.050431,7.402047,4.007414,-3.907765,2.755141,0.477296
0.020000,8.958434,16.086003,7.480654,3.930362,-3.852569,2.759805,0.461856
0.020000,9.027707,16.119824,7.557742,3.854410,-3.797598,2.748549,0.446479
0.020000,9.096135,16.151943,7.633333,3.779547,-3.743168,2.721540,0.431183
0.020000,9.163699,16.182407,7.707448,3.705755,-3.689584,2.679192,0.415984
0.020000,9.230382,16.211267,7.780108,3.633013,-3.637141,2.622150,0.400899
0.020000,9.296166,16.238573,7.851334,3.561290,-3.586116,2.551262,0.385947
0.020000,9.361035,16.264374,7.921145,3.490555,-3.536764,2.467574,0.371141
0.020000,9.424971,16.288720,7.989561,3.420769,-3.489318,2.372282,0.356499
0.020000,9.487962,16.311661,8.056599,3.351889,-3.443984,2.266718,0.342035
0.020000,9.549990,16.333248,8.122276,3.283870,-3.400938,2.152311,0.327762
0.020000,9.611043,16.353530,8.186609,3.216664,-3.360327,2.030547,0.313694
0.020000,9.671105,16.372556,8.249614,3.150218,-3.322268,1.902947,0.299843
0.020000,9.730165,16.390376,8.311303,3.084481,-3.286847,1.771027,0.286222
0.020000,9.788209,16.407038,8.371691,3.019399,-3.254122,1.636272,0.272839
0.020000,9.845225,16.422589,8.430789,2.954917,-3.224120,1.500106,0.259706
0.020000,9.901200,16.437077,8.488609,2.890980,-3.196842,1.363880,0.246831
0.020000,9.956123,16.450548,8.545160,2.827534,-3.172266,1.228836,0.234223
0.020000,10.009982,16.463048,8.600450,2.764528,-3.150343,1.096112,0.221887
0.020000,10.062766,16.474622,8.654488,2.701907,-3.131009,0.966721,0.209831
0.020000,10.114464,16.485315,8.707281,2.639624,-3.114178,0.841542,0.198061
0.020000,10.165066,16.495168,8.758834,2.577629,-3.099751,0.721333,0.186580
0.020000,10.214562,16.504225,8.809151,2.515876,-3.087617,0.606715,0.175392
0.020000,10.262941,16.512527,8.858238,2.454323,-3.077653,0.498184,0.164502
0.020000,10.310194,16.520114,8.906096,2.392929,-3.069731,0.396124,0.153911
0.020000,10.356313,16.527026,8.952729,2.331654,-3.063715,0.300797,0.143622
0.020000,10.401286,16.533301,8.998138,2.270465,-3.059468,0.212370,0.133635
0.020000,10.445107,16.538976,9.042325,2.209328,-3.056849,0.130915,0.123952
0.020000,10.487766,16.544088,9.085289,2.148214,-3.055721,0.056421,0.114573
0.020000,10.529255,16.548671,9.127031,2.087095,-3.055945,-0.011187,0.105499
0.020000,10.569567,16.552761,9.167550,2.025947,-3.057386,-0.072052,0.096727
0.020000,10.608694,16.556390,9.206845,1.964749,-3.059913,-0.126369,0.088259
0.020000,10.646629,16.559591,9.244915,1.903481,-3.063400,-0.174360,0.080092
0.020000,10.683365,16.562394,9.281757,1.842126,-3.067726,-0.216296,0.072225
0.020000,10.718895,16.564830,9.317371,1.780671,-3.072775,-0.252460,0.064657
0.020000,10.753213,16.566926,9.351753,1.719102,-3.078439,-0.283159,0.057385
0.020000,10.786313,16.568712,9.384901,1.657410,-3.084613,-0.308706,0.050409
0.020000,10.818190,16.570213,9.416813,1.595586,-3.091201,-0.329416,0.043724
0.020000,10.848837,16.571456,9.447485,1.533623,-3.098113,-0.345625,0.037330
0.020000,10.878250,16.572464,9.476915,1.471518,-3.105266,-0.357623,0.031224
0.020000,10.906424,16.573262,9.505101,1.409267,-3.112581,-0.365747,0.025404
0.020000,10.933354,16.573872,9.532038,1.346867,-3.119986,-0.370279,0.019867
0.020000,10.959037,16.574315,9.557725,1.284318,-3.127417,-0.371518,0.014610
0.020000,10.983468,16.574611,9.582157,1.221622,-3.134811,-0.369727,0.009632
0.020000,11.006643,16.574779,9.605333,1.158780,-3.142115,-0.365190,0.004930
0.020000,11.028558,16.574839,9.627248,1.095794,-3.149278,-0.358131,0.000501
0.020000,11.049212,16.574806,9.647902,1.032669,-3.156254,-0.348798,6.279529
