dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000014,14.729000,0.000076,0.007633,0.381645,19.082247,0.000007
0.020000,4.000201,14.729000,0.000263,0.009334,0.085031,-14.830701,0.000104
0.020000,4.000621,14.729000,0.000683,0.020998,0.583202,24.908562,0.000321
0.020000,4.001367,14.729000,0.001429,0.037319,0.816084,11.644085,0.000708
0.020000,4.002533,14.729002,0.002595,0.058286,1.048353,11.613480,0.001312
0.020000,4.004211,14.729005,0.004273,0.083879,1.279622,11.563409,0.002183
0.020000,4.006492,14.729011,0.006554,0.114067,1.509403,11.489064,0.003370
0.020000,4.009468,14.729023,0.009530,0.148809,1.737117,11.385703,0.004923
0.020000,4.013229,14.729045,0.013291,0.188051,1.962091,11.248716,0.006893
0.020000,4.017863,14.729083,0.017926,0.231722,2.183563,11.073575,0.009333
0.020000,4.023458,14.729144,0.023520,0.279736,2.400685,10.856131,0.012296
0.020000,4.030097,14.729237,0.030160,0.331987,2.612534,10.592441,0.015836
0.020000,4.037863,14.729376,0.037927,0.388349,2.818118,10.279189,0.020013
0.020000,4.046788,14.729576,0.046855,0.446392,2.902169,4.202543,0.024859
0.020000,4.056859,14.729855,0.056929,0.503718,2.866267,-1.795116,0.030387
0.020000,4.068057,14.730230,0.068134,0.560239,2.826043,-2.011164,0.036611
0.020000,4.080365,14.730723,0.080451,0.615873,2.781745,-2.214909,0.043543
0.020000,4.093761,14.731358,0.093862,0.670547,2.733691,-2.402725,0.051201
0.020000,4.108222,14.732160,0.108346,0.724193,2.682289,-2.570096,0.059601
0.020000,4.123725,14.733156,0.123881,0.776754,2.628057,-2.711575,0.068760
0.020000,4.140244,14.734376,0.140445,0.828187,2.571645,-2.820633,0.078696
0.020000,4.157751,14.735851,0.158014,0.878464,2.513854,-2.889533,0.089430
0.020000,4.176219,14.737614,0.176566,0.927578,2.455669,-2.909240,0.100979
0.020000,4.195618,14.739701,0.196077,0.975543,2.398281,-2.869396,0.113362
