dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000033,12.271000,0.000076,0.007633,0.381645,19.082247,0.000007
0.020000,4.000457,12.271000,0.000500,0.021198,0.678259,14.830695,0.000104
0.020000,4.001411,12.271000,0.001454,0.047699,1.325023,32.338192,0.000321
0.020000,4.003107,12.271001,0.003150,0.084807,1.855431,26.520407,0.000708
0.020000,4.005757,12.271004,0.005801,0.132536,2.386451,26.551005,0.001312
0.020000,4.009575,12.271010,0.009619,0.190906,2.918472,26.601077,0.002183
0.020000,4.014774,12.271025,0.014818,0.259945,3.451981,26.675414,0.003370
0.020000,4.021568,12.271053,0.021612,0.339696,3.987556,26.778747,0.004923
0.020000,4.030172,12.271104,0.030216,0.430214,4.525871,26.915754,0.006893
0.020000,4.040803,12.271190,0.040848,0.531567,5.067686,27.090782,0.009333
0.020000,4.053680,12.271329,0.053725,0.643845,5.613851,27.308238,0.012296
0.020000,4.069021,12.271545,0.069068,0.767150,6.165288,27.571834,0.015836
0.020000,4.087050,12.271868,0.087100,0.901610,6.722987,27.884980,0.020013
0.020000,4.107885,12.272336,0.107940,1.042021,7.020574,14.879328,0.024859
0.020000,4.131539,12.272989,0.131603,1.183151,7.056468,1.794688,0.030387
0.020000,4.158026,12.273877,0.158105,1.325084,7.096680,2.010632,0.036611
0.020000,4.187361,12.275053,0.187463,1.467904,7.140967,2.214332,0.043543
0.020000,4.219558,12.276579,0.219697,1.611684,7.189008,2.402042,0.051201
0.020000,4.254634,12.278524,0.254827,1.756492,7.240394,2.569314,0.059601
0.020000,4.292604,12.280964,0.292874,1.902384,7.294608,2.710687,0.068760
0.020000,4.333480,12.283983,0.333862,2.049404,7.351000,2.819624,0.078696
0.020000,4.377277,12.287674,0.377814,2.197579,7.408768,2.888398,0.089430
0.020000,4.424003,12.292135,0.424752,2.346918,7.466928,2.908003,0.100979
0.020000,4.473664,12.297477,0.474700,2.497404,7.524288,2.867969,0.113362
0.020000,4.526263,12.303818,0.527680,2.648992,7.579421,2.756659,0.126597
0.020000,4.581796,12.311284,0.583712,2.801605,7.630640,2.560930,0.140701
0.020000,4.640250,12.320010,0.642815,2.955124,7.675972,2.266620,0.155688
0.020000,4.701608,12.330140,0.705002,3.109387,7.713149,1.858853,0.171571
0.020000,4.765837,12.341825,0.770286,3.264179,7.739595,1.322300,0.188359
0.020000,4.832896,12.355223,0.838671,3.419228,7.752443,0.642376,0.206055
0.020000,4.902729,12.370498,0.910155,3.574199,7.748559,-0.194172,0.224658
0.020000,4.975264,12.387819,0.984728,3.728691,7.724603,-1.197821,0.244161
0.020000,5.050410,12.407355,1.062373,3.882233,7.677109,-2.374664,0.264548
0.020000,5.128060,12.429278,1.143059,4.034286,7.602612,-3.724872,0.285794
0.020000,5.208086,12.453755,1.226744,4.184242,7.497795,-5.240833,0.307867
0.020000,5.290336,12.480948,1.313372,4.331435,7.359685,-6.905507,0.330719
0.020000,5.374640,12.511008,1.402875,4.475153,7.185864,-8.691075,0.354297
0.020000,5.460806,12.544074,1.495168,4.614647,6.974697,-10.558344,0.378529
0.020000,5.548623,12.580269,1.590151,4.749158,6.725557,-12.457002,0.403336
0.020000,5.637861,12.619693,1.687710,4.877938,6.439018,-14.326938,0.428624
0.020000,5.728278,12.662423,1.787716,5.000278,6.116992,-16.101305,0.454288
0.020000,5.819621,12.708510,1.890026,5.115534,5.762787,-17.710244,0.480213
0.020000,5.911630,12.757975,1.994490,5.223155,5.381060,-19.086347,0.506275
0.020000,6.004047,12.810810,2.100944,5.322708,4.977660,-20.169982,0.532342
0.020000,6.096618,12.866977,2.209222,5.413895,4.559360,-20.915021,0.558278
0.020000,6.189100,12.926407,2.319153,5.496565,4.133494,-21.293324,0.583945
0.020000,6.281265,12.989007,2.430567,5.570716,3.707536,-21.297867,0.609203
0.020000,6.372907,13.054657,2.543297,5.636489,3.288662,-20.943697,0.633917
0.020000,6.463841,13.123216,2.657180,5.694156,2.883326,-20.266818,0.657955
0.020000,6.553912,13.194525,2.772062,5.744094,2.496906,-19.320983,0.681191
0.020000,6.642992,13.268413,2.887797,5.786763,2.133445,-18.173068,0.703506
0.020000,6.730983,13.344696,3.004251,5.822672,1.795493,-16.897616,0.724790
0.020000,6.817814,13.423183,3.121298,5.852354,1.484065,-15.571381,0.744942
0.020000,6.903444,13.503682,3.238824,5.876328,1.198696,-14.268428,0.763870
0.020000,6.987857,13.585993,3.356726,5.895079,0.937569,-13.056378,0.781488
0.020000,7.071061,13.669921,3.474907,5.909033,0.697691,-11.993890,0.797718
0.020000,7.153086,13.755264,3.593277,5.918535,0.475101,-11.129525,0.812487
0.020000,7.233979,13.841827,3.711754,5.923836,0.265067,-10.501695,0.825728
0.020000,7.313805,13.929407,3.830256,5.925082,0.062276,-10.139550,0.837374
0.020000,7.392642,14.017805,3.948702,5.922302,-0.139011,-10.064333,0.847360
0.020000,7.470578,14.106816,4.067010,5.915405,-0.344831,-10.291016,0.855619
0.020000,7.547657,14.196166,4.185012,5.900126,-0.763937,-20.955289,0.862077
0.020000,7.623882,14.285520,4.302462,5.872489,-1.381868,-30.896556,0.866656
0.020000,7.699270,14.374542,4.419116,5.832696,-1.989655,-30.389337,0.869283
0.020000,7.773844,14.462893,4.534733,5.780842,-2.592659,-30.150221,0.869887
0.020000,7.847632,14.550235,4.649072,5.716936,-3.195337,-30.133900,0.868395
0.020000,7.920660,14.636229,4.761890,5.640917,-3.800961,-30.281195,0.864734
0.020000,7.992949,14.720533,4.872944,5.552690,-4.411321,-30.517978,0.858830
0.020000,8.064511,14.802809,4.981987,5.452162,-5.026383,-30.753084,0.850607
0.020000,8.135347,14.882718,5.088773,5.339285,-5.643891,-30.875440,0.839988
0.020000,8.205440,14.959930,5.193055,5.214106,-6.258911,-30.751004,0.826898
0.020000,8.274761,15.034122,5.294592,5.076840,-6.863320,-30.220434,0.811264
0.020000,8.343256,15.104989,5.393150,4.927934,-7.445299,-29.098933,0.793020
0.020000,8.419931,15.181738,5.501637,5.424331,24.819843,1613.257069,0.782888
0.020000,8.501529,15.262551,5.616480,5.742168,15.891843,-446.399958,0.778075
0.020000,8.582455,15.341857,5.729787,5.665364,-3.840199,-986.602122,0.772318
0.020000,8.662663,15.419485,5.841409,5.581098,-4.213310,-18.655564,0.765622
0.020000,8.742100,15.495273,5.951201,5.489564,-4.576690,-18.168985,0.757992
0.020000,8.820711,15.569067,6.059020,5.390984,-4.928982,-17.614585,0.749437
0.020000,8.898433,15.640721,6.164733,5.285611,-5.268658,-16.983805,0.739971
0.020000,8.975202,15.710101,6.268207,5.173730,-5.594055,-16.269885,0.729612
0.020000,9.050946,15.777084,6.369320,5.055661,-5.903425,-15.468468,0.718384
0.020000,9.125590,15.841560,6.467956,4.931762,-6.194990,-14.578267,0.706317
0.020000,9.199053,15.903434,6.564004,4.802421,-6.467024,-13.601714,0.693445
0.020000,9.271252,15.962626,6.657365,4.668062,-6.717937,-12.545604,0.679812
0.020000,9.342098,16.019071,6.747948,4.529135,-6.946368,-11.421574,0.665467
0.020000,9.411551,16.072757,6.835731,4.389152,-6.999164,-2.639783,0.650457
0.020000,9.479615,16.123723,6.920762,4.251530,-6.881108,5.902801,0.634823
0.020000,9.546295,16.172015,7.003092,4.116527,-6.750116,6.549599,0.618606
0.020000,9.611595,16.217685,7.082779,3.984315,-6.610592,6.976198,0.601852
0.020000,9.675519,16.260794,7.159880,3.855064,-6.462561,7.401516,0.584610
0.020000,9.738070,16.301406,7.234459,3.728938,-6.306329,7.811604,0.566931
0.020000,9.799253,16.339592,7.306580,3.606088,-6.142484,8.192278,0.548866
0.020000,9.859073,16.375429,7.376313,3.486650,-5.971891,8.529637,0.530473
0.020000,9.917536,16.408997,7.443728,3.370737,-5.795679,8.810612,0.511809
0.020000,9.974650,16.440380,7.508897,3.258432,-5.615208,9.023558,0.492931
0.020000,10.030426,16.469665,7.571893,3.149792,-5.432032,9.158800,0.473901
0.020000,10.084873,16.496939,7.632789,3.044835,-5.247849,9.209113,0.454777
0.020000,10.138004,16.522294,7.691660,2.943546,-5.064448,9.170082,0.435619
0.020000,10.189832,16.545820,7.748578,2.845873,-4.883641,9.040319,0.416487
0.020000,10.240371,16.567606,7.803612,2.751729,-4.707211,8.821510,0.397438
0.020000,10.289634,16.587742,7.856832,2.660992,-4.536846,8.518273,0.378526
0.020000,10.337636,16.606316,7.908302,2.573510,-4.374088,8.137891,0.359806
0.020000,10.384390,16.623414,7.958084,2.489104,-4.220291,7.689850,0.341327
0.020000,10.429908,16.639120,8.006236,2.407573,-4.076584,7.185340,0.323136
0.020000,10.474201,16.653515,8.052810,2.328696,-3.943851,6.636647,0.305276
0.020000,10.517280,16.666678,8.097854,2.252241,-3.822720,6.056582,0.287787
0.020000,10.559152,16.678685,8.141414,2.177970,-3.713562,5.457873,0.270703
0.020000,10.599823,16.689608,8.183527,2.105640,-3.616507,4.852731,0.254058
0.020000,10.639299,16.699519,8.224227,2.035011,-3.531460,4.252362,0.237877
0.020000,10.677580,16.708484,8.263544,1.965848,-3.458126,3.666721,0.222186
0.020000,10.714668,16.716567,8.301502,1.897927,-3.396040,3.104293,0.207005
0.020000,10.750561,16.723831,8.338123,1.831035,-3.344601,2.571964,0.192349
0.020000,10.785256,16.730334,8.373423,1.764973,-3.303099,2.075057,0.178234
0.020000,10.818749,16.736133,8.407414,1.699558,-3.270752,1.617381,0.164668
0.020000,10.851033,16.741282,8.440106,1.634624,-3.246726,1.201309,0.151661
0.020000,10.882102,16.745833,8.471507,1.570020,-3.230165,0.828013,0.139216
0.020000,10.911947,16.749834,8.501619,1.505616,-3.220214,0.497558,0.127339
0.020000,10.940560,16.753333,8.530445,1.441295,-3.216031,0.209169,0.116030
0.020000,10.967931,16.756374,8.557984,1.376959,-3.216804,-0.038667,0.105288
0.020000,10.994050,16.759000,8.584235,1.312524,-3.221764,-0.247968,0.095113
0.020000,11.018907,16.761251,8.609193,1.247920,-3.230186,-0.421105,0.085501
0.020000,11.042491,16.763164,8.632855,1.183092,-3.241401,-0.560745,0.076449
0.020000,11.064793,16.764777,8.655215,1.117997,-3.254793,-0.669617,0.067952
0.020000,11.085801,16.766123,8.676267,1.052600,-3.269804,-0.750533,0.060006
0.020000,11.105508,16.767234,8.696004,0.986882,-3.285928,-0.806212,0.052605
0.020000,11.123902,16.768139,8.714421,0.920828,-3.302715,-0.839366,0.045744
0.020000,11.140975,16.768866,8.731510,0.854432,-3.319764,-0.852453,0.039417
0.020000,11.156719,16.769442,8.747263,0.787698,-3.336722,-0.847908,0.033619
0.020000,11.171124,16.769888,8.761676,0.720632,-3.353280,-0.827874,0.028345
0.020000,11.184185,16.770227,8.774741,0.653249,-3.369168,-0.794391,0.023588
0.020000,11.195894,16.770479,8.786452,0.585566,-3.384153,-0.749290,0.019345
