dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.579523,12.845167,0.000199,0.019949,0.997436,49.871800,2.792549
0.020000,8.578894,12.845396,0.000869,0.033496,0.677375,-16.003070,2.792653
0.020000,8.577476,12.845911,0.002378,0.075417,2.096051,70.933810,2.792887
0.020000,8.575111,12.846771,0.004895,0.125851,2.521710,21.282936,2.793273
0.020000,8.571792,12.847975,0.008425,0.176519,2.533393,0.584154,2.793810
0.020000,8.567513,12.849524,0.012975,0.227513,2.549710,0.815856,2.794490
0.020000,8.562267,12.851420,0.018554,0.278926,2.570623,1.045643,2.795307
0.020000,8.556042,12.853663,0.025171,0.330848,2.596083,1.273042,2.796253
0.020000,8.548826,12.856254,0.032838,0.383368,2.626036,1.497620,2.797319
0.020000,8.540605,12.859196,0.041570,0.436577,2.660416,1.719022,2.798492
0.020000,8.531363,12.862491,0.051381,0.490560,2.699155,1.936955,2.799761
0.020000,8.521084,12.866141,0.062289,0.545403,2.742180,2.151235,2.801112
0.020000,8.509747,12.870148,0.074313,0.601192,2.789415,2.361765,2.802528
0.020000,8.497333,12.874516,0.087473,0.658007,2.840787,2.568581,2.803994
0.020000,8.483819,12.879248,0.101792,0.715932,2.896224,2.771844,2.805491
0.020000,8.469182,12.884349,0.117293,0.775045,2.955661,2.971865,2.807000
0.020000,8.453396,12.889824,0.134001,0.835426,3.019043,3.169118,2.808500
0.020000,8.436434,12.895678,0.151944,0.897153,3.086329,3.364254,2.809970
0.020000,8.418270,12.901918,0.171150,0.960302,3.157491,3.558110,2.811386
0.020000,8.398874,12.908551,0.191649,1.024953,3.232525,3.751734,2.812723
0.020000,8.378216,12.915587,0.213473,1.091182,3.311453,3.946384,2.813957
0.020000,8.356263,12.923034,0.236654,1.159068,3.394324,4.143551,2.815060
0.020000,8.332984,12.930905,0.261228,1.228693,3.481223,4.344966,2.816004
0.020000,8.308344,12.939213,0.287231,1.300138,3.572276,4.552612,2.816759
0.020000,8.282308,12.947972,0.314701,1.373491,3.667650,4.768735,2.817294
0.020000,8.254840,12.957201,0.343678,1.448843,3.767567,4.995852,2.817577
0.020000,8.225903,12.966919,0.374203,1.526289,3.872303,5.236760,2.817574
0.020000,8.195457,12.977149,0.406322,1.605933,3.982193,5.494540,2.817248
0.020000,8.163462,12.987917,0.440080,1.687886,4.097645,5.772559,2.816563
0.020000,8.129879,12.999253,0.475525,1.772268,4.219134,6.074469,2.815478
0.020000,8.094663,13.011192,0.512709,1.859213,4.347218,6.404195,2.813953
0.020000,8.057771,13.023771,0.551687,1.948863,4.482536,6.765914,2.811942
0.020000,8.019158,13.037035,0.592514,2.041380,4.625817,7.164018,2.809400
0.020000,7.978778,13.051034,0.635253,2.136937,4.777878,7.603049,2.806276
0.020000,7.936580,13.065826,0.679968,2.235730,4.939630,8.087609,2.802519
0.020000,7.892517,13.081475,0.726727,2.337971,5.112074,8.622211,2.798072
0.020000,7.846537,13.098054,0.775605,2.443897,5.296295,9.211064,2.792875
0.020000,7.798588,13.115648,0.826680,2.553766,5.493451,9.857784,2.786863
0.020000,7.748616,13.134351,0.880037,2.667861,5.704750,10.564939,2.779969
0.020000,7.696567,13.154270,0.935767,2.786490,5.931419,11.333467,2.772119
0.020000,7.642388,13.175525,0.993967,2.909983,6.174655,12.161823,2.763232
0.020000,7.586024,13.198253,1.054741,3.038694,6.435553,13.044875,2.753225
0.020000,7.527424,13.222609,1.118201,3.172994,6.715000,13.972371,2.742007
0.020000,7.466540,13.248767,1.184466,3.313265,7.013540,14.926964,2.729479
0.020000,7.403328,13.276920,1.253664,3.459888,7.331173,15.881656,2.715539
0.020000,7.337755,13.307289,1.325928,3.613230,7.667105,16.796593,2.700077
0.020000,7.269795,13.340116,1.401401,3.773618,8.019409,17.615194,2.682980
0.020000,7.199443,13.375671,1.480227,3.941310,8.384602,18.259696,2.664126
0.020000,7.126715,13.414254,1.562556,4.116453,8.757131,18.626436,2.643397
0.020000,7.051653,13.456188,1.648536,4.299028,9.128760,18.581464,2.620670
0.020000,6.974342,13.501824,1.738312,4.488786,9.487916,17.957752,2.595828
0.020000,6.894912,13.551534,1.832016,4.685167,9.819030,16.555729,2.568764
0.020000,6.813552,13.605706,1.929760,4.887208,10.102030,14.150012,2.539386
0.020000,6.730525,13.664729,2.031629,5.093450,10.312141,10.505545,2.507624
0.020000,6.646173,13.728983,2.137666,5.301856,10.420280,5.406935,2.473445
0.020000,6.560930,13.798816,2.247861,5.509743,10.394343,-1.296834,2.436855
0.020000,6.475329,13.874522,2.362136,5.713777,10.201682,-9.633080,2.397918
0.020000,6.389995,13.956311,2.480337,5.910035,9.812905,-19.438824,2.356760
0.020000,6.305636,14.044284,2.602220,6.094172,9.206855,-30.302515,2.313579
0.020000,6.223026,14.138406,2.727454,6.261694,8.376099,-41.537812,2.268644
0.020000,6.142965,14.238491,2.855621,6.408330,7.331790,-52.215417,2.222297
0.020000,6.066248,14.344194,2.986230,6.530457,6.106397,-61.269679,2.174935
0.020000,5.993612,14.455023,3.118740,6.625516,4.752931,-67.673297,2.127000
0.020000,5.925702,14.570362,3.252587,6.692317,3.340070,-70.643057,2.078952
0.020000,5.863029,14.689508,3.387210,6.731193,1.943767,-69.815139,2.031245
0.020000,5.805958,14.811717,3.522089,6.743936,0.637161,-65.330296,1.984304
0.020000,5.754694,14.936250,3.656760,6.733560,-0.518783,-57.797215,1.938507
0.020000,5.709295,15.062408,3.790839,6.703925,-1.481748,-48.148241,1.894167
0.020000,5.669690,15.189570,3.924025,6.659314,-2.230551,-37.440124,1.851528
0.020000,5.635707,15.317204,4.056106,6.604038,-2.763798,-26.662379,1.810762
0.020000,5.607098,15.444880,4.186948,6.542121,-3.095853,-16.602744,1.771979
0.020000,5.584562,15.566001,4.310147,6.159943,-19.108901,-800.652410,1.740195
0.020000,5.567283,15.673202,4.418733,5.429264,-36.533975,-871.253674,1.720826
0.020000,5.551896,15.782637,4.529244,5.525570,4.815313,2067.464370,1.699941
0.020000,5.538714,15.893794,4.641180,5.596784,3.560705,-62.730396,1.677513
0.020000,5.528014,16.006299,4.754193,5.650644,2.692968,-43.386848,1.653500
0.020000,5.520047,16.119926,4.868098,5.695293,2.232452,-23.025788,1.627837
0.020000,5.515056,16.234697,4.982978,5.743996,2.435192,10.137019,1.600408
0.020000,5.513306,16.350712,5.099006,5.801391,2.869730,21.726875,1.571070
0.020000,5.515099,16.468053,5.216360,5.867707,3.315795,22.303251,1.539679
0.020000,5.520774,16.586776,5.335219,5.942933,3.761300,22.275239,1.506089
0.020000,5.530708,16.706900,5.455753,6.026708,4.188742,21.372120,1.470161
0.020000,5.545317,16.828388,5.578117,6.118188,4.574020,19.263902,1.431769
0.020000,5.565042,16.951131,5.702435,6.215898,4.885488,15.573395,1.390813
0.020000,5.590344,17.074923,5.828786,6.317571,5.083673,9.909264,1.347227
0.020000,5.621678,17.199442,5.957187,6.420016,5.122236,1.928149,1.300999
0.020000,5.659467,17.324226,6.087567,6.519033,4.950840,-8.569787,1.252185
0.020000,5.704061,17.448666,6.219756,6.609444,4.520550,-21.514527,1.200924
0.020000,5.755695,17.572000,6.353462,6.685281,3.791867,-36.434167,1.147454
0.020000,5.814439,17.693330,6.488265,6.740175,2.744663,-52.360181,1.092115
0.020000,5.880160,17.811663,6.623624,6.767934,1.387993,-67.833476,1.035350
0.020000,5.952494,17.925964,6.758889,6.763268,-0.233295,-81.064413,0.977687
0.020000,6.030838,18.035229,6.893339,6.722500,-2.038411,-90.255832,0.919713
0.020000,6.114383,18.138563,7.026222,6.644124,-3.918788,-94.018839,0.862041
0.020000,6.202157,18.235244,7.156803,6.529051,-5.753652,-91.743192,0.805269
0.020000,6.293093,18.324770,7.284412,6.380469,-7.429105,-83.772637,0.749941
0.020000,6.386106,18.406875,7.408479,6.203364,-8.855273,-71.308412,0.696523
0.020000,6.480157,18.481525,7.528556,6.003825,-9.976931,-56.082918,0.645380
0.020000,6.574309,18.548885,7.644322,5.788311,-10.775717,-39.939277,0.596771
0.020000,6.667753,18.609275,7.755582,5.563010,-11.265064,-24.467360,0.550857
0.020000,6.759830,18.663126,7.862250,5.333392,-11.480894,-10.791499,0.507706
0.020000,6.850021,18.710935,7.964329,5.103965,-11.471343,0.477565,0.467315
0.020000,6.937940,18.753231,8.061894,4.878206,-11.287938,9.170219,0.429626
0.020000,7.023316,18.790542,8.155066,4.658619,-10.979353,15.429265,0.394537
0.020000,7.105970,18.823378,8.244003,4.446863,-10.587810,19.577180,0.361921
0.020000,7.185797,18.852220,8.328881,4.243910,-10.147637,22.008644,0.331634
0.020000,7.262752,18.877510,8.409886,4.050204,-9.685283,23.117667,0.303526
0.020000,7.336831,18.899650,8.487202,3.865802,-9.220144,23.256955,0.277446
0.020000,7.408058,18.919002,8.561011,3.690487,-8.765748,22.719792,0.253245
0.020000,7.476483,18.935889,8.631489,3.523867,-8.330990,21.737923,0.230781
0.020000,7.542165,18.950598,8.698797,3.365442,-7.921258,20.486618,0.209922
0.020000,7.605174,18.963383,8.763091,3.214654,-7.539378,19.093986,0.190544
0.020000,7.665583,18.974469,8.824509,3.070927,-7.186376,17.650113,0.172530
0.020000,7.723469,18.984055,8.883183,2.933686,-6.862051,16.216223,0.155776
0.020000,7.778904,18.992317,8.939230,2.802377,-6.565410,14.832044,0.140185
0.020000,7.831962,18.999410,8.992760,2.676478,-6.294978,13.521620,0.125669
0.020000,7.882711,19.005471,9.043870,2.555497,-6.049017,12.298049,0.112148
0.020000,7.931218,19.010624,9.092650,2.438984,-5.825680,11.166844,0.099549
0.020000,7.977544,19.014975,9.139180,2.326522,-5.623109,10.128553,0.087806
0.020000,8.021749,19.018622,9.183535,2.217732,-5.439504,9.180231,0.076860
0.020000,8.063885,19.021650,9.225780,2.112269,-5.273156,8.317393,0.066656
0.020000,8.104005,19.024136,9.265976,2.009819,-5.122477,7.533968,0.057146
0.020000,8.142154,19.026149,9.304178,1.910099,-4.986001,6.823805,0.048284
0.020000,8.178375,19.027749,9.340435,1.812851,-4.862392,6.180445,0.040032
0.020000,8.212710,19.028991,9.374792,1.717842,-4.750440,5.597605,0.032351
0.020000,8.245193,19.029926,9.407289,1.624861,-4.649052,5.069383,0.025210
0.020000,8.275860,19.030597,9.437964,1.533716,-4.557248,4.590216,0.018578
0.020000,8.304742,19.031045,9.466848,1.444233,-4.474149,4.154947,0.012428
0.020000,8.331865,19.031305,9.493973,1.356254,-4.398970,3.758935,0.006736
0.020000,8.357258,19.031409,9.519366,1.269634,-4.331013,3.397876,0.001480
0.020000,8.380943,19.031386,9.543051,1.184241,-4.269654,3.067939,6.279825
0.020000,8.402941,19.031264,9.565050,1.099954,-4.214341,2.765672,6.275382
0.020000,8.423274,19.031064,9.585383,1.016662,-4.164584,2.487844,6.271321
0.020000,8.441957,19.030807,9.604069,0.934263,-4.119949,2.231757,6.267627
0.020000,8.459008,19.030513,9.621122,0.852662,-4.080054,1.994710,6.264287
0.020000,8.474440,19.030199,9.636557,0.771771,-4.044563,1.774575,6.261289
0.020000,8.488267,19.029877,9.650387,0.691507,-4.013180,1.569126,6.258624
0.020000,8.500498,19.029563,9.662623,0.611794,-3.985650,1.376507,6.256282
0.020000,8.511145,19.029265,9.673274,0.532559,-3.961750,1.195027,6.254255
0.020000,8.520216,19.028995,9.682349,0.453733,-3.941288,1.023069,6.252537
0.020000,8.527717,19.028760,9.689854,0.375251,-3.924105,0.859177,6.251123
0.020000,8.533655,19.028566,9.695795,0.297050,-3.910065,0.701992,6.250007
0.020000,8.538034,19.028419,9.700176,0.219069,-3.899060,0.550261,6.249187
0.020000,8.540857,19.028322,9.703001,0.141249,-3.891006,0.402711,6.248659
0.020000,8.542304,19.028272,9.704449,0.072360,-3.444428,22.328894,6.248388
0.020000,8.542809,19.028254,9.704954,0.025289,-2.353551,54.543839,6.248294
0.020000,8.542891,19.028251,9.705037,0.004115,-1.058698,64.742652,6.248279
0.020000,8.542891,19.028251,9.705037,0.000000,-0.205758,42.647017,6.248279
