dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.420158,15.154950,0.000199,0.019949,0.997436,49.871800,2.792549
0.020000,9.419287,15.155266,0.001125,0.046299,1.317497,16.003070,2.792653
0.020000,9.417330,15.155978,0.003208,0.104121,2.891129,78.681590,2.792887
0.020000,9.414071,15.157162,0.006675,0.173379,3.462906,28.588861,2.793273
0.020000,9.409514,15.158816,0.011524,0.242404,3.451223,-0.584159,2.793810
0.020000,9.403664,15.160934,0.017746,0.311102,3.434906,-0.815859,2.794490
0.020000,9.396527,15.163513,0.025333,0.379382,3.413993,-1.045652,2.795307
0.020000,9.388114,15.166544,0.034276,0.447152,3.388532,-1.273047,2.796253
0.020000,9.378433,15.170021,0.044563,0.514324,3.358579,-1.497628,2.797319
0.020000,9.367496,15.173935,0.056179,0.580808,3.324199,-1.719025,2.798492
0.020000,9.355316,15.178277,0.069109,0.646517,3.285460,-1.936963,2.799761
0.020000,9.341909,15.183037,0.083337,0.711366,3.242435,-2.151236,2.801112
0.020000,9.327290,15.188205,0.098842,0.775270,3.195200,-2.361766,2.802528
0.020000,9.311477,15.193768,0.115605,0.838146,3.143828,-2.568579,2.803994
0.020000,9.294491,15.199717,0.133603,0.899914,3.088391,-2.771839,2.805491
0.020000,9.276351,15.206039,0.152813,0.960493,3.028954,-2.971857,2.807000
0.020000,9.257081,15.212722,0.173209,1.019805,2.965572,-3.169108,2.808500
0.020000,9.236705,15.219755,0.194765,1.077771,2.898287,-3.364239,2.809970
0.020000,9.215249,15.227125,0.217451,1.134313,2.827125,-3.558095,2.811386
0.020000,9.192742,15.234823,0.241238,1.189355,2.752091,-3.751716,2.812723
0.020000,9.169213,15.242836,0.266094,1.242818,2.673164,-3.946366,2.813957
0.020000,9.144693,15.251154,0.291987,1.294624,2.590293,-4.143534,2.815060
0.020000,9.119216,15.259768,0.318881,1.344692,2.503394,-4.344953,2.816004
0.020000,9.092817,15.268669,0.346739,1.392939,2.412342,-4.552605,2.816759
0.020000,9.065534,15.277848,0.375525,1.439278,2.316967,-4.768738,2.817294
0.020000,9.037407,15.287298,0.405197,1.483619,2.217050,-4.995869,2.817577
0.020000,9.008477,15.297013,0.435715,1.525865,2.112314,-5.236795,2.817574
0.020000,8.978790,15.306989,0.467033,1.565914,2.002422,-5.494600,2.817248
0.020000,8.948393,15.317219,0.499106,1.603653,1.886969,-5.772650,2.816563
0.020000,8.917335,15.327703,0.531885,1.638963,1.765477,-6.074600,2.815478
0.020000,8.885671,15.338437,0.565319,1.671711,1.637389,-6.404376,2.813953
0.020000,8.853457,15.349421,0.599354,1.701752,1.502066,-6.766158,2.811942
0.020000,8.820754,15.360655,0.633933,1.728927,1.358779,-7.164338,2.809400
0.020000,8.787627,15.372139,0.668994,1.753062,1.206710,-7.603463,2.806276
0.020000,8.754145,15.383875,0.704473,1.773961,1.044947,-8.088137,2.802519
0.020000,8.720383,15.395865,0.740302,1.791410,0.872490,-8.622877,2.798072
0.020000,8.686419,15.408111,0.776405,1.805175,0.688252,-9.211903,2.792875
0.020000,8.652341,15.420615,0.812705,1.814997,0.491075,-9.858825,2.786863
0.020000,8.618239,15.433377,0.849117,1.820592,0.279751,-10.566228,2.779969
0.020000,8.584212,15.446398,0.885550,1.821653,0.053050,-11.335050,2.772119
0.020000,8.550366,15.459674,0.921907,1.817848,-0.190226,-12.163767,2.763232
0.020000,8.516814,15.473202,0.958083,1.808825,-0.451171,-13.047246,2.753225
0.020000,8.483677,15.486973,0.993968,1.794211,-0.730676,-13.975250,2.742007
0.020000,8.451084,15.500974,1.029440,1.773626,-1.029284,-14.930446,2.729479
0.020000,8.419172,15.515185,1.064374,1.746686,-1.347001,-15.885847,2.715539
0.020000,8.388082,15.529580,1.098634,1.713025,-1.683034,-16.801607,2.700077
0.020000,8.357964,15.544124,1.132081,1.672316,-2.035457,-17.621152,2.682980
0.020000,8.328969,15.558774,1.164567,1.624300,-2.400791,-18.266721,2.664126
0.020000,8.301249,15.573474,1.195943,1.568830,-2.773484,-18.634625,2.643397
0.020000,8.274953,15.588159,1.226062,1.505924,-3.145301,-18.590893,2.620670
0.020000,8.250220,15.602752,1.254778,1.435831,-3.504670,-17.968417,2.595828
0.020000,8.227175,15.617167,1.281961,1.359111,-3.836020,-16.567539,2.568764
0.020000,8.205917,15.631313,1.307495,1.276725,-4.119275,-14.162703,2.539386
0.020000,8.186513,15.645099,1.331298,1.190132,-4.329648,-10.518666,2.507624
0.020000,8.168986,15.658440,1.353325,1.101371,-4.438043,-5.419760,2.473445
0.020000,8.153307,15.671275,1.373588,1.013125,-4.412337,1.285311,2.436855
0.020000,8.139388,15.683575,1.392162,0.928728,-4.219854,9.624147,2.397918
0.020000,8.127080,15.695362,1.409204,0.852104,-3.831175,19.433961,2.356760
0.020000,8.116173,15.706728,1.424956,0.787602,-3.225110,30.303223,2.313579
0.020000,8.106411,15.717844,1.439751,0.739718,-2.394203,41.545348,2.268644
0.020000,8.097505,15.728974,1.454005,0.712726,-1.349594,52.230484,2.222297
0.020000,8.089161,15.740470,1.468210,0.710251,-0.123751,61.292113,2.174935
