dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000095,15.229167,0.000199,0.019927,0.996362,49.818089,0.000030
0.020000,2.000671,15.229167,0.000776,0.028825,0.444885,-27.573834,0.000209
0.020000,2.001968,15.229167,0.002073,0.064849,1.801208,67.816129,0.000613
0.020000,2.004274,15.229170,0.004378,0.115263,2.520712,35.975216,0.001331
0.020000,2.007874,15.229176,0.007979,0.180038,3.238719,35.900363,0.002455
0.020000,2.012913,15.229193,0.013017,0.251928,3.594500,17.789040,0.004030
0.020000,2.019387,15.229225,0.019491,0.323694,3.588293,-0.310361,0.006058
0.020000,2.027293,15.229283,0.027397,0.395301,3.580379,-0.395680,0.008543
0.020000,2.036626,15.229377,0.036732,0.466717,3.570814,-0.478275,0.011487
0.020000,2.047384,15.229518,0.047490,0.537911,3.559664,-0.557495,0.014893
0.020000,2.059559,15.229723,0.059667,0.608851,3.547014,-0.632498,0.018767
0.020000,2.073146,15.230008,0.073257,0.679510,3.532967,-0.702331,0.023112
0.020000,2.088139,15.230391,0.088254,0.749863,3.517647,-0.766034,0.027933
0.020000,2.104529,15.230892,0.104652,0.819887,3.501200,-0.822341,0.033236
0.020000,2.122308,15.231535,0.122443,0.889563,3.483799,-0.870028,0.039027
0.020000,2.141469,15.232343,0.141621,0.958876,3.465648,-0.907546,0.045311
0.020000,2.162001,15.233344,0.162177,1.027816,3.446982,-0.933290,0.052095
0.020000,2.183894,15.234565,0.184105,1.096377,3.428075,-0.945369,0.059384
0.020000,2.207139,15.236038,0.207396,1.164562,3.409239,-0.941806,0.067185
0.020000,2.231724,15.237795,0.232043,1.232379,3.390832,-0.920355,0.075504
0.020000,2.257638,15.239870,0.258040,1.299844,3.373260,-0.878603,0.084346
0.020000,2.284869,15.242301,0.285380,1.366984,3.356980,-0.813997,0.093716
0.020000,2.313406,15.245126,0.314057,1.433834,3.342504,-0.723794,0.103621
0.020000,2.343238,15.248385,0.344066,1.500442,3.330400,-0.605202,0.114063
0.020000,2.374351,15.252123,0.375403,1.566868,3.321294,-0.455300,0.125045
0.020000,2.406736,15.256383,0.408067,1.633185,3.315868,-0.271313,0.136569
0.020000,2.440381,15.261213,0.442056,1.699482,3.314859,-0.050442,0.148635
0.020000,2.475275,15.266663,0.477374,1.765863,3.319054,0.209775,0.161243
0.020000,2.511409,15.272785,0.514022,1.832449,3.329284,0.511475,0.174388
0.020000,2.548774,15.279631,0.552010,1.899377,3.346408,0.856232,0.188066
0.020000,2.587364,15.287259,0.591346,1.966803,3.371308,1.244989,0.202268
0.020000,2.627171,15.295728,0.632044,2.034900,3.404862,1.677701,0.216983
0.020000,2.668191,15.305099,0.674121,2.103859,3.447929,2.153326,0.232197
0.020000,2.710422,15.315436,0.717599,2.173885,3.501319,2.669506,0.247892
0.020000,2.753863,15.326805,0.762503,2.245201,3.565768,3.222452,0.264049
0.020000,2.798515,15.339276,0.808864,2.318039,3.641905,3.806867,0.280641
0.020000,2.844381,15.352921,0.856717,2.392643,3.730221,4.415776,0.297641
0.020000,2.891467,15.367814,0.906102,2.469264,3.831033,5.040624,0.315015
0.020000,2.939781,15.384034,0.957065,2.548153,3.944460,5.671335,0.332727
0.020000,2.989330,15.401659,1.009656,2.629561,4.070391,6.296529,0.350735
0.020000,3.040128,15.420774,1.063931,2.713730,4.208467,6.903837,0.368995
0.020000,3.092186,15.441461,1.119949,2.800892,4.358073,7.480306,0.387458
