dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000014,12.770833,0.000079,0.007900,0.395025,19.751245,0.000002
0.020000,2.000418,12.770833,0.000482,0.020174,0.613650,10.931266,0.000074
0.020000,2.001325,12.770833,0.001390,0.045391,1.260899,32.362440,0.000234
0.020000,2.002939,12.770834,0.003004,0.080700,1.765413,25.225678,0.000518
0.020000,2.005461,12.770836,0.005526,0.126103,2.270162,25.237495,0.000963
0.020000,2.009094,12.770841,0.009159,0.181609,2.775298,25.256777,0.001604
0.020000,2.014038,12.770851,0.014103,0.247229,3.281004,25.285324,0.002478
0.020000,2.020498,12.770870,0.020563,0.322979,3.787503,25.324925,0.003619
0.020000,2.028675,12.770906,0.028740,0.408880,4.295046,25.377155,0.005066
0.020000,2.038774,12.770966,0.038839,0.504958,4.803917,25.443542,0.006855
0.020000,2.050898,12.771062,0.050963,0.606194,5.061789,12.893590,0.009005
0.020000,2.065048,12.771207,0.065115,0.707561,5.068341,0.327625,0.011520
0.020000,2.081228,12.771417,0.081296,0.809079,5.075896,0.377759,0.014400
0.020000,2.099441,12.771709,0.099511,0.910767,5.084408,0.425556,0.017650
0.020000,2.119690,12.772103,0.119764,1.012643,5.093822,0.470729,0.021272
0.020000,2.141979,12.772622,0.142059,1.114725,5.104076,0.512687,0.025269
0.020000,2.166310,12.773290,0.166399,1.217027,5.115094,0.550904,0.029646
0.020000,2.192688,12.774135,0.192791,1.319563,5.126790,0.584806,0.034405
0.020000,2.221115,12.775187,0.221238,1.422344,5.139062,0.613619,0.039551
0.020000,2.251596,12.776477,0.251745,1.525380,5.151797,0.636739,0.045088
0.020000,2.284132,12.778042,0.284319,1.628677,5.164861,0.653202,0.051021
0.020000,2.318726,12.779918,0.318963,1.732239,5.178105,0.662167,0.057353
0.020000,2.355379,12.782147,0.355685,1.836066,5.191357,0.662601,0.064089
0.020000,2.394094,12.784770,0.394488,1.940155,5.204427,0.653525,0.071233
0.020000,2.434869,12.787834,0.435378,2.044497,5.217099,0.633591,0.078789
0.020000,2.477703,12.791388,0.478359,2.149080,5.229134,0.601770,0.086762
0.020000,2.522594,12.795482,0.523437,2.253885,5.240266,0.556588,0.095154
0.020000,2.569538,12.800171,0.570615,2.358889,5.250201,0.496766,0.103970
0.020000,2.618529,12.805512,0.619896,2.464061,5.258619,0.420875,0.113211
