dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500003,14.029167,0.000077,0.007715,0.385772,19.288614,6.283183
0.020000,1.500220,14.029167,0.000294,0.010858,0.157152,-11.431027,0.000064
0.020000,1.500731,14.029167,0.000805,0.025546,0.734370,28.860904,0.000213
0.020000,1.501639,14.029167,0.001713,0.045410,0.993195,12.941253,0.000479
0.020000,1.503058,14.029168,0.003132,0.070940,1.276494,14.164965,0.000894
0.020000,1.505100,14.029170,0.005175,0.102125,1.559268,14.138690,0.001492
0.020000,1.507879,14.029176,0.007954,0.138950,1.841260,14.099600,0.002307
0.020000,1.511507,14.029186,0.011582,0.181394,2.122164,14.045212,0.003373
0.020000,1.516096,14.029205,0.016170,0.229426,2.401623,13.972947,0.004724
0.020000,1.521756,14.029236,0.021830,0.283011,2.679229,13.880272,0.006396
0.020000,1.528597,14.029287,0.028672,0.342101,2.954524,13.764753,0.008425
0.020000,1.536730,14.029365,0.036805,0.406641,3.227002,13.623895,0.010847
0.020000,1.546260,14.029482,0.046336,0.476563,3.496110,13.455405,0.013701
0.020000,1.557295,14.029652,0.057372,0.551788,3.761250,13.257000,0.017025
0.020000,1.569937,14.029891,0.070017,0.632224,4.021784,13.026703,0.020862
0.020000,1.584289,14.030222,0.084372,0.717765,4.277037,12.762655,0.025252
0.020000,1.600448,14.030670,0.100538,0.808291,4.526310,12.463680,0.030240
0.020000,1.618512,14.031268,0.118611,0.903669,4.768887,12.128849,0.035874
0.020000,1.638516,14.032049,0.138631,1.000974,4.865259,4.818563,0.042184
0.020000,1.660439,14.033051,0.160577,1.097318,4.817223,-2.401763,0.049186
0.020000,1.684258,14.034315,0.184429,1.192619,4.765056,-2.608369,0.056897
0.020000,1.709946,14.035887,0.210165,1.286801,4.709091,-2.798271,0.065336
0.020000,1.737475,14.037815,0.237761,1.379796,4.649760,-2.966512,0.074520
0.020000,1.766813,14.040151,0.267192,1.471549,4.587622,-3.106913,0.084472
0.020000,1.797927,14.042954,0.298433,1.562016,4.523381,-3.212070,0.095212
0.020000,1.830783,14.046283,0.331456,1.651175,4.457917,-3.273184,0.106760
0.020000,1.865341,14.050202,0.366237,1.739021,4.392319,-3.279895,0.119139
0.020000,1.901565,14.054781,0.402748,1.825579,4.327911,-3.220404,0.132369
0.020000,1.939412,14.060091,0.440966,1.910905,4.266288,-3.081174,0.146470
0.020000,1.978842,14.066209,0.480868,1.995092,4.209340,-2.847376,0.161461
0.020000,2.019813,14.073216,0.522434,2.078278,4.159286,-2.502688,0.177358
0.020000,2.062283,14.081197,0.565647,2.160651,4.118682,-2.030215,0.194175
0.020000,2.106211,14.090240,0.610496,2.242460,4.090427,-1.412765,0.211920
0.020000,2.151558,14.100439,0.656976,2.324015,4.077749,-0.633877,0.230597
0.020000,2.198289,14.111894,0.705090,2.405698,4.084164,0.320735,0.250206
0.020000,2.246370,14.124708,0.754849,2.487966,4.113403,1.461964,0.270735
0.020000,2.295774,14.138991,0.806276,2.571352,4.169305,2.795101,0.292167
0.020000,2.346478,14.154859,0.859406,2.656466,4.255667,4.318103,0.314474
0.020000,2.398466,14.172437,0.914286,2.743987,4.376052,6.019250,0.337616
0.020000,2.451730,14.191855,0.970979,2.834658,4.533561,7.875436,0.361543
0.020000,2.506269,14.213252,1.029564,2.929269,4.730578,9.850856,0.386190
0.020000,2.562087,14.236776,1.090137,3.028640,4.968505,11.896372,0.411479
0.020000,2.619198,14.262585,1.152809,3.133590,5.247516,13.950513,0.437321
0.020000,2.677621,14.290843,1.217707,3.244917,5.566349,15.941685,0.463611
0.020000,2.737380,14.321725,1.284974,3.363361,5.922191,17.792076,0.490233
0.020000,2.798503,14.355412,1.354766,3.489574,6.310652,19.423045,0.517061
0.020000,2.861019,14.392092,1.427248,3.624091,6.725883,20.761536,0.543960
0.020000,2.924957,14.431953,1.502594,3.767308,7.160816,21.746667,0.570788
0.020000,2.990346,14.475188,1.580983,3.919458,7.607533,22.335868,0.597400
0.020000,3.057209,14.521984,1.662595,4.080613,8.057722,22.509448,0.623650
0.020000,3.125567,14.572526,1.747609,4.250676,8.503181,22.272953,0.649392
0.020000,3.195437,14.626986,1.836197,4.429403,8.936320,21.656947,0.674486
0.020000,3.266833,14.685528,1.928525,4.616415,9.350605,20.714221,0.698797
0.020000,3.339765,14.748299,2.024750,4.811233,9.740903,19.514940,0.722198
0.020000,3.414198,14.815387,2.124955,5.010251,9.950894,10.499525,0.744558
0.020000,3.490054,14.886812,2.229145,5.209529,9.963918,0.651215,0.765746
0.020000,3.567260,14.962560,2.337305,5.407994,9.923234,-2.034200,0.785651
0.020000,3.645749,15.042585,2.449397,5.604596,9.830109,-4.656252,0.804178
0.020000,3.725465,15.126809,2.565364,5.798351,9.687751,-7.117907,0.821247
0.020000,3.806365,15.215124,2.685131,5.988367,9.500813,-9.346889,0.836794
0.020000,3.888418,15.307395,2.808609,6.173865,9.274895,-11.295905,0.850766
0.020000,3.971610,15.403464,2.935692,6.354187,9.016082,-12.940644,0.863123
0.020000,4.055945,15.503153,3.066268,6.528798,8.730556,-14.276331,0.873831
