dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300146,11.705000,0.000198,0.019841,0.992044,49.602202,0.000028
0.020000,3.301156,11.705000,0.001209,0.050519,1.533895,27.092539,0.000220
0.020000,3.303430,11.705001,0.003483,0.113687,3.158426,81.226581,0.000654
0.020000,3.307473,11.705005,0.007526,0.202179,4.424606,63.308955,0.001427
0.020000,3.313542,11.705018,0.013595,0.303434,5.062741,31.906789,0.002588
0.020000,3.321640,11.705045,0.021693,0.404888,5.072698,0.497853,0.004143
0.020000,3.331772,11.705097,0.031825,0.506609,5.086060,0.668103,0.006095
0.020000,3.343945,11.705185,0.043998,0.608667,5.102900,0.841956,0.008450
0.020000,3.358167,11.705325,0.058221,0.711134,5.123310,1.020509,0.011216
0.020000,3.374447,11.705533,0.074502,0.814082,5.147395,1.204288,0.014401
0.020000,3.392796,11.705831,0.092854,0.917587,5.175293,1.394893,0.018016
0.020000,3.413227,11.706240,0.113289,1.021730,5.207143,1.592485,0.022071
0.020000,3.435752,11.706788,0.135821,1.126593,5.243113,1.798510,0.026579
0.020000,3.460387,11.707505,0.160466,1.232260,5.283387,2.013694,0.031555
0.020000,3.487148,11.708422,0.187242,1.338823,5.328161,2.238712,0.037015
0.020000,3.516052,11.709579,0.216170,1.446376,5.377650,2.474447,0.042975
0.020000,3.547119,11.711015,0.247270,1.555018,5.432078,2.721406,0.049457
0.020000,3.580370,11.712778,0.280567,1.664852,5.491684,2.980263,0.056480
0.020000,3.615825,11.714917,0.316087,1.775986,5.556704,3.250993,0.064067
0.020000,3.653508,11.717489,0.353858,1.888533,5.627374,3.533511,0.072245
0.020000,3.693443,11.720556,0.393910,2.002612,5.703927,3.827681,0.081040
0.020000,3.735654,11.724184,0.436277,2.118343,5.786565,4.131859,0.090481
0.020000,3.780167,11.728449,0.480994,2.235852,5.875460,4.444765,0.100601
0.020000,3.827008,11.733433,0.528099,2.355267,5.970726,4.763302,0.111433
0.020000,3.876202,11.739226,0.577633,2.476715,6.072404,5.083927,0.123012
0.020000,3.927775,11.745925,0.629640,2.600323,6.180423,5.400905,0.135379
0.020000,3.981751,11.753639,0.684164,2.726215,6.294567,5.707205,0.148573
0.020000,4.038152,11.762486,0.741254,2.854503,6.414428,5.993061,0.162636
0.020000,4.096996,11.772593,0.800960,2.985290,6.539352,6.246220,0.177614
0.020000,4.158298,11.784100,0.863333,3.118658,6.668373,6.451031,0.193552
0.020000,4.222068,11.797160,0.928426,3.254660,6.800130,6.587860,0.210497
0.020000,4.288306,11.811935,0.996293,3.393316,6.932786,6.632792,0.228496
0.020000,4.357005,11.828602,1.066985,3.534595,7.063925,6.556961,0.247596
0.020000,4.428144,11.847351,1.140553,3.678404,7.190456,6.326548,0.267842
0.020000,4.501688,11.868382,1.217044,3.824574,7.308513,5.902843,0.289276
0.020000,4.577582,11.891906,1.296501,3.972841,7.413362,5.242471,0.311935
0.020000,4.655752,11.918146,1.378958,4.122829,7.499364,4.300054,0.335850
0.020000,4.736097,11.947330,1.464438,4.274028,7.559950,3.029342,0.361042
0.020000,4.818486,11.979689,1.552954,4.425782,7.587710,1.387990,0.387521
0.020000,4.902756,12.015454,1.644499,4.577273,7.574567,-0.657141,0.415283
0.020000,4.988708,12.054849,1.739049,4.727515,7.512093,-3.123720,0.444305
0.020000,5.076105,12.098085,1.836557,4.875355,7.391981,-6.005612,0.474545
0.020000,5.164672,12.145351,1.936946,5.019488,7.206677,-9.265167,0.505937
0.020000,5.254094,12.196806,2.040116,5.158491,6.950158,-12.825984,0.538390
0.020000,5.344024,12.252573,2.145933,5.290867,6.618771,-16.569313,0.571785
0.020000,5.434084,12.312728,2.254236,5.415108,6.212081,-20.334503,0.605978
0.020000,5.523876,12.377294,2.364831,5.529779,5.733542,-23.926985,0.640799
0.020000,5.612993,12.446237,2.477503,5.633597,5.190886,-27.132797,0.676056
0.020000,5.701029,12.519465,2.592014,5.725518,4.596079,-29.740357,0.711535
0.020000,5.787593,12.596827,2.708110,5.804814,3.964769,-31.565481,0.747014
0.020000,5.872324,12.678121,2.825532,5.871119,3.315246,-32.476141,0.782260
0.020000,5.954900,12.763097,2.944021,5.924459,2.667014,-32.411616,0.817044
0.020000,6.035048,12.851471,3.063326,5.965243,2.039178,-31.391783,0.851142
0.020000,6.112550,12.942935,3.183211,5.994220,1.448887,-29.514557,0.884343
0.020000,6.187250,13.037166,3.303459,6.012421,0.910050,-26.941868,0.916457
0.020000,6.259049,13.133842,3.423880,6.021071,0.432497,-23.877616,0.947314
0.020000,6.327905,13.232646,3.544311,6.021504,0.021654,-20.542176,0.976767
0.020000,6.393827,13.333278,3.664612,6.015078,-0.321317,-17.148549,1.004694
0.020000,6.456870,13.435457,3.784674,6.003098,-0.598988,-13.883541,1.030997
0.020000,6.517127,13.538925,3.904409,5.986760,-0.816915,-10.896342,1.055599
0.020000,6.574723,13.643448,4.023751,5.967104,-0.982796,-8.294040,1.078439
0.020000,6.629807,13.748819,4.142651,5.944991,-1.105664,-6.143417,1.099476
0.020000,6.682547,13.854848,4.261073,5.921087,-1.195196,-4.476613,1.118676
0.020000,6.733125,13.961368,4.378990,5.895863,-1.261174,-3.298911,1.136016
0.020000,6.781731,14.068224,4.496382,5.869601,-1.313120,-2.597269,1.151478
0.020000,6.828562,14.175277,4.613230,5.842399,-1.360076,-2.347782,1.165046
0.020000,6.873820,14.282392,4.729514,5.814189,-1.410522,-2.522313,1.176701
0.020000,6.917707,14.389439,4.845209,5.784741,-1.472390,-3.093417,1.186421
0.020000,6.960426,14.496290,4.960282,5.753678,-1.553146,-4.037797,1.194178
0.020000,7.002180,14.602809,5.074692,5.720480,-1.659918,-5.338616,1.199934
0.020000,7.043168,14.708852,5.188382,5.684487,-1.799649,-6.986529,1.203639
0.020000,7.083592,14.814265,5.301280,5.644902,-1.979245,-8.979780,1.205230
0.020000,7.123647,14.918875,5.413295,5.600788,-2.205709,-11.323223,1.204625
0.020000,7.163527,15.022486,5.524317,5.551063,-2.486231,-14.026117,1.201725
0.020000,7.203421,15.124879,5.634207,5.494499,-2.828195,-17.098189,1.196409
0.020000,7.243509,15.225803,5.742801,5.429718,-3.239058,-20.543155,1.188530
0.020000,7.283963,15.324973,5.849905,5.355198,-3.726027,-24.348428,1.177916
0.020000,7.324942,15.422065,5.955291,5.269289,-4.295407,-28.469015,1.164364
0.020000,7.366586,15.516714,6.058696,5.170260,-4.951470,-32.803163,1.147641
0.020000,7.408941,15.608369,6.159664,5.048416,-6.092212,-57.037094,1.127518
0.020000,7.451950,15.696333,6.257580,4.895779,-7.631828,-76.980782,1.103800
0.020000,7.495492,15.779905,6.351815,4.711734,-9.202277,-78.522437,1.076334
0.020000,7.539325,15.858334,6.441661,4.492296,-10.971871,-88.479721,1.045071
0.020000,7.583177,15.931036,6.526564,4.245182,-12.355697,-69.191296,1.010049
0.020000,7.626811,15.997697,6.606236,3.983581,-13.080073,-36.218790,0.971362
0.020000,7.669995,16.058189,6.680561,3.716241,-13.366994,-14.346050,0.929210
0.020000,7.712583,16.112642,6.749691,3.456504,-12.986839,19.007733,0.883852
0.020000,7.754526,16.161386,6.813996,3.215263,-12.062075,46.238188,0.835616
0.020000,7.795953,16.204962,6.874121,3.006261,-10.450074,80.600045,0.785119
0.020000,7.851361,16.258498,6.951168,3.852344,42.304137,2637.710593,0.751029
0.020000,7.906949,16.308630,7.026022,3.742701,-5.482173,-2389.315501,0.716400
0.020000,7.962713,16.355504,7.098870,3.642419,-5.014095,23.403897,0.681399
0.020000,8.018670,16.399282,7.169917,3.552337,-4.504069,25.501276,0.646208
0.020000,8.074851,16.440129,7.239378,3.473024,-3.965645,26.921195,0.611018
0.020000,8.131299,16.478215,7.307472,3.404732,-3.414592,27.552663,0.576025
0.020000,8.188065,16.513704,7.374420,3.347377,-2.867772,27.341008,0.541422
