dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750022,13.500000,0.000076,0.007626,0.381318,19.065883,0.000007
0.020000,2.750327,13.500000,0.000381,0.022879,0.762635,19.065883,0.000102
0.020000,2.751014,13.500000,0.001068,0.045758,1.143953,19.065883,0.000317
0.020000,2.752234,13.500001,0.002288,0.076264,1.525271,19.065883,0.000698
0.020000,2.754140,13.500003,0.004194,0.114395,1.906588,19.065883,0.001295
0.020000,2.756886,13.500007,0.006940,0.160153,2.287906,19.065883,0.002155
0.020000,2.760623,13.500018,0.010677,0.213538,2.669224,19.065883,0.003327
0.020000,2.765504,13.500038,0.015558,0.274549,3.050541,19.065883,0.004860
0.020000,2.771681,13.500074,0.021735,0.343186,3.431859,19.065883,0.006804
0.020000,2.779307,13.500135,0.029361,0.419449,3.813177,19.065883,0.009210
0.020000,2.788534,13.500233,0.038589,0.503339,4.194494,19.065883,0.012131
0.020000,2.799515,13.500386,0.049571,0.594856,4.575812,19.065883,0.015619
0.020000,2.812402,13.500613,0.062460,0.693998,4.957130,19.065883,0.019731
0.020000,2.827269,13.500942,0.077331,0.793141,4.957130,0.000000,0.024498
0.020000,2.844117,13.501401,0.094185,0.892283,4.957130,0.000000,0.029931
0.020000,2.862944,13.502022,0.113023,0.991426,4.957130,0.000000,0.036040
0.020000,2.883748,13.502843,0.133843,1.090569,4.957130,0.000000,0.042837
0.020000,2.906526,13.503904,0.156645,1.189711,4.957130,-0.000000,0.050335
0.020000,2.931275,13.505253,0.181431,1.288854,4.957130,0.000000,0.058548
0.020000,2.957990,13.506939,0.208199,1.387996,4.957130,-0.000000,0.067488
0.020000,2.986666,13.509016,0.236951,1.487139,4.957130,0.000000,0.077171
0.020000,3.017296,13.511545,0.267685,1.586282,4.957130,-0.000000,0.087610
0.020000,3.049871,13.514590,0.300402,1.685424,4.957130,0.000000,0.098819
0.020000,3.084380,13.518220,0.335102,1.784567,4.957130,0.000000,0.110813
0.020000,3.120811,13.522510,0.371785,1.883709,4.957130,-0.000000,0.123602
0.020000,3.159148,13.527537,0.410450,1.982852,4.957130,0.000000,0.137198
0.020000,3.199373,13.533386,0.451099,2.081994,4.957130,-0.000000,0.151609
0.020000,3.241465,13.540145,0.493730,2.181137,4.957130,0.000000,0.166840
0.020000,3.285398,13.547906,0.538344,2.280280,4.957130,-0.000000,0.182894
0.020000,3.331145,13.556767,0.584941,2.379422,4.957130,0.000000,0.199769
0.020000,3.378671,13.566827,0.633521,2.478565,4.957130,0.000000,0.217457
