dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.499811,7.375000,0.000197,0.019748,0.987395,49.369754,3.141564
0.020000,11.498856,7.375000,0.001153,0.047781,1.401652,20.712859,3.141416
0.020000,11.496705,7.375001,0.003303,0.107512,2.986542,79.244474,3.141085
0.020000,11.492882,7.375004,0.007126,0.191148,4.181808,59.763328,3.140495
0.020000,11.487147,7.375013,0.012861,0.286760,4.780604,29.939806,3.139610
0.020000,11.479499,7.375032,0.020510,0.382418,4.782887,0.114134,3.138429
0.020000,11.469936,7.375070,0.030073,0.478136,4.785924,0.151856,3.136950
0.020000,11.458458,7.375133,0.041551,0.573930,4.789710,0.189265,3.135173
0.020000,11.445062,7.375233,0.054947,0.669815,4.794235,0.226289,3.133095
0.020000,11.429746,7.375382,0.070264,0.765805,4.799492,0.262835,3.130715
0.020000,11.412509,7.375592,0.087502,0.861914,4.805468,0.298783,3.128031
0.020000,11.393349,7.375881,0.106665,0.958157,4.812148,0.334020,3.125040
0.020000,11.372261,7.376265,0.127756,1.054548,4.819516,0.368404,3.121739
0.020000,11.349244,7.376763,0.150778,1.151099,4.827552,0.401791,3.118127
0.020000,11.324296,7.377398,0.175734,1.247823,4.836232,0.433986,3.114199
0.020000,11.297413,7.378191,0.202629,1.344734,4.845528,0.464819,3.109953
0.020000,11.268593,7.379169,0.231466,1.441842,4.855409,0.494055,3.105385
0.020000,11.237833,7.380359,0.262249,1.539159,4.865838,0.521450,3.100490
0.020000,11.205130,7.381789,0.294983,1.636694,4.876773,0.546738,3.095267
0.020000,11.170483,7.383492,0.329672,1.734458,4.888165,0.569595,3.089709
0.020000,11.133889,7.385501,0.366321,1.832457,4.899959,0.589708,3.083814
0.020000,11.095346,7.387850,0.404935,1.930699,4.912093,0.606684,3.077576
0.020000,11.054854,7.390580,0.445519,2.029188,4.924495,0.620121,3.070992
0.020000,11.012412,7.393729,0.488078,2.127930,4.937087,0.629573,3.064056
0.020000,10.968021,7.397341,0.532616,2.226926,4.949778,0.634555,3.056765
0.020000,10.921680,7.401460,0.579140,2.326175,4.962468,0.634539,3.049114
0.020000,10.873392,7.406133,0.627653,2.425676,4.975048,0.628973,3.041098
0.020000,10.823160,7.411411,0.678162,2.525424,4.987393,0.617260,3.032713
0.020000,10.770988,7.417345,0.730670,2.625411,4.999368,0.598756,3.023955
0.020000,10.716882,7.423990,0.785182,2.725628,5.010825,0.572837,3.014820
0.020000,10.660849,7.431403,0.841704,2.826060,5.021601,0.538807,3.005303
0.020000,10.602898,7.439642,0.900237,2.926690,5.031521,0.495972,2.995401
0.020000,10.543040,7.448771,0.960787,3.027498,5.040394,0.443670,2.985112
0.020000,10.481288,7.458851,1.023357,3.128459,5.048018,0.381193,2.974432
0.020000,10.417658,7.469950,1.087947,3.229542,5.054176,0.307904,2.963360
0.020000,10.352168,7.482136,1.154562,3.330715,5.058640,0.223211,2.951893
0.020000,10.284838,7.495478,1.223200,3.431938,5.061171,0.126545,2.940030
0.020000,10.215694,7.510049,1.293864,3.533169,5.061521,0.017492,2.927773
0.020000,10.144761,7.525921,1.366551,3.634357,5.059435,-0.104298,2.915120
0.020000,10.072070,7.543171,1.441260,3.735450,5.054655,-0.238998,2.902075
0.020000,9.997657,7.561873,1.517988,3.836389,5.046923,-0.386617,2.888640
0.020000,9.921558,7.582106,1.596730,3.937109,5.035984,-0.546953,2.874818
0.020000,9.843817,7.603946,1.677481,4.037540,5.021592,-0.719571,2.860615
0.020000,9.764479,7.627471,1.760233,4.137611,5.003517,-0.903764,2.846037
0.020000,9.683596,7.652760,1.844978,4.237242,4.981546,-1.098550,2.831092
0.020000,9.601221,7.679889,1.931705,4.336352,4.955493,-1.302620,2.815790
0.020000,9.517415,7.708935,2.020402,4.434856,4.925206,-1.514360,2.800141
0.020000,9.432240,7.739973,2.111055,4.532667,4.890570,-1.731825,2.784157
0.020000,9.345765,7.773075,2.203649,4.629697,4.851515,-1.952757,2.767852
0.020000,9.258063,7.808313,2.298166,4.725858,4.808023,-2.174601,2.751242
0.020000,9.169208,7.845755,2.394588,4.821060,4.760132,-2.394545,2.734343
0.020000,9.079281,7.885466,2.492892,4.915219,4.707941,-2.609556,2.717175
0.020000,8.988366,7.927507,2.593057,5.008251,4.651611,-2.816456,2.699758
0.020000,8.896549,7.971935,2.695059,5.100079,4.591372,-3.011985,2.682112
0.020000,8.803918,8.018804,2.798871,5.190629,4.527514,-3.192889,2.664260
0.020000,8.710567,8.068161,2.904468,5.279837,4.460394,-3.356011,2.646227
0.020000,8.616587,8.120050,3.011821,5.367646,4.390426,-3.498392,2.628037
0.020000,8.522073,8.174508,3.120901,5.454007,4.318079,-3.617359,2.609716
0.020000,8.427121,8.231567,3.231679,5.538884,4.243866,-3.710615,2.591291
0.020000,8.331826,8.291256,3.344124,5.622251,4.168340,-3.776334,2.572787
0.020000,8.236282,8.353594,3.458206,5.704093,4.092076,-3.813201,2.554233
0.020000,8.140584,8.418598,3.573894,5.784406,4.015666,-3.820487,2.535656
0.020000,8.044822,8.486278,3.691158,5.863200,3.939705,-3.798047,2.517081
0.020000,7.949088,8.556639,3.809968,5.940496,3.864778,-3.746359,2.498537
0.020000,7.853467,8.629682,3.930294,6.016325,3.791448,-3.666467,2.480050
0.020000,7.758045,8.705401,4.052109,6.090730,3.720249,-3.559970,2.461643
0.020000,7.662901,8.783787,4.175384,6.163763,3.651670,-3.428944,2.443343
0.020000,7.568112,8.864827,4.300094,6.235486,3.586153,-3.275883,2.425172
0.020000,7.473750,8.948505,4.426213,6.305968,3.524081,-3.103596,2.407152
0.020000,7.379883,9.034800,4.553719,6.375283,3.465778,-2.915121,2.389304
0.020000,7.286576,9.123689,4.682589,6.443513,3.411505,-2.713637,2.371648
0.020000,7.189202,9.219930,4.819498,6.845445,20.096596,834.254505,2.348205
0.020000,7.060968,9.359572,5.009086,9.479422,131.698812,5580.110839,2.279353
0.020000,6.943313,9.506493,5.197311,9.411226,-3.409769,-6755.429080,2.213121
0.020000,6.836869,9.658526,5.382903,9.279617,-6.580476,-158.535349,2.150637
0.020000,6.741640,9.813643,5.564919,9.100803,-8.940672,-118.009782,2.092740
0.020000,6.657258,9.969857,5.742466,8.877340,-11.173141,-111.623466,2.040049
0.020000,6.583055,10.125309,5.914721,8.612727,-13.230650,-102.875453,1.992944
0.020000,6.518128,10.278403,6.081013,8.314640,-14.904392,-83.687079,1.951559
0.020000,6.461499,10.427684,6.240674,7.983026,-16.580702,-83.815526,1.915853
0.020000,6.412070,10.572184,6.393394,7.636023,-17.350135,-38.471614,1.885572
0.020000,6.368719,10.711411,6.539214,7.290998,-17.251237,4.944873,1.860330
0.020000,6.330414,10.845160,6.678340,6.956303,-16.734769,25.823394,1.839701
0.020000,6.296210,10.973521,6.811180,6.642005,-15.714883,50.994316,1.823256
0.020000,6.265301,11.096684,6.938162,6.349098,-14.645366,53.475832,1.810614
0.020000,6.237016,11.214826,7.059644,6.074061,-13.751848,44.675931,1.801458
0.020000,6.210796,11.328105,7.175917,5.813676,-13.019225,36.631156,1.795528
0.020000,6.186176,11.436649,7.287219,5.565071,-12.430250,29.448718,1.792612
0.020000,6.162770,11.540560,7.393733,5.325715,-11.967817,23.121682,1.792548
0.020000,6.140257,11.639909,7.495601,5.093396,-11.615968,17.592427,1.795209
0.020000,6.118370,11.734740,7.592925,4.866192,-11.360182,12.789324,1.800505
0.020000,6.096895,11.825071,7.685774,4.642447,-11.187231,8.647553,1.808374
0.020000,6.075662,11.910899,7.774189,4.420751,-11.084813,5.120885,1.818781
0.020000,6.054540,11.992198,7.858187,4.199930,-11.041042,2.188542,1.831708
0.020000,6.033440,12.068931,7.937768,3.979053,-11.043853,-0.140554,1.847158
0.020000,6.012307,12.141047,8.012917,3.757446,-11.080362,-1.825445,1.865143
0.020000,5.991126,12.208494,8.083612,3.534722,-11.136209,-2.792332,1.885683
0.020000,5.969913,12.271221,8.149828,3.310823,-11.194940,-2.936592,1.908799
0.020000,5.948721,12.329190,8.211550,3.086073,-11.237515,-2.128752,1.934505
0.020000,5.927631,12.382386,8.268774,2.861232,-11.242050,-0.226702,1.962805
0.020000,5.906748,12.430828,8.321525,2.637552,-11.183979,2.903504,1.993677
0.020000,5.886198,12.474579,8.369862,2.416815,-11.036840,7.356973,2.027068
0.020000,5.866114,12.513757,8.413888,2.201338,-10.773854,13.149321,2.062886
