dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.499877,9.625000,0.000197,0.019748,0.987395,49.369754,3.141564
0.020000,11.499252,9.625000,0.000822,0.031211,0.573138,-20.712860,3.141416
0.020000,11.497848,9.625001,0.002226,0.070219,1.950434,68.864788,3.141085
0.020000,11.495352,9.625003,0.004722,0.124818,2.729957,38.976166,3.140495
0.020000,11.491608,9.625008,0.008466,0.187190,3.118556,19.429939,3.139610
0.020000,11.486618,9.625021,0.013457,0.249515,3.116272,-0.114171,3.138429
0.020000,11.480382,9.625045,0.019692,0.311780,3.113235,-0.151884,3.136950
0.020000,11.472903,9.625087,0.027172,0.373969,3.109448,-0.189309,3.135173
0.020000,11.464182,9.625152,0.035893,0.436067,3.104922,-0.226346,3.133095
0.020000,11.454221,9.625248,0.045854,0.498060,3.099664,-0.262895,3.130715
0.020000,11.443023,9.625385,0.057053,0.559934,3.093686,-0.298857,3.128031
0.020000,11.430591,9.625572,0.069486,0.621674,3.087004,-0.334103,3.125040
0.020000,11.416928,9.625821,0.083152,0.683267,3.079634,-0.368501,3.121739
0.020000,11.402038,9.626144,0.098046,0.744699,3.071597,-0.401889,3.118127
0.020000,11.385924,9.626554,0.114165,0.805957,3.062914,-0.434110,3.114199
0.020000,11.368591,9.627065,0.131505,0.867029,3.053615,-0.464949,3.109953
0.020000,11.350043,9.627695,0.150063,0.927904,3.043731,-0.494198,3.105385
0.020000,11.330287,9.628459,0.169835,0.988570,3.033299,-0.521610,3.100490
0.020000,11.309326,9.629375,0.190815,1.049017,3.022361,-0.546905,3.095267
0.020000,11.287168,9.630464,0.213000,1.109237,3.010965,-0.569789,3.089709
0.020000,11.263819,9.631746,0.236384,1.169220,2.999167,-0.589909,3.083814
0.020000,11.239285,9.633242,0.260963,1.228961,2.987029,-0.606904,3.077576
0.020000,11.213575,9.634975,0.286732,1.288453,2.974622,-0.620360,3.070992
0.020000,11.186695,9.636969,0.313686,1.347693,2.962025,-0.629829,3.064056
0.020000,11.158654,9.639251,0.341820,1.406680,2.949329,-0.634828,3.056765
0.020000,11.129460,9.641845,0.371128,1.465413,2.936632,-0.634835,3.049114
0.020000,11.099124,9.644781,0.401606,1.523894,2.924046,-0.629286,3.041098
0.020000,11.067655,9.648088,0.433249,1.582127,2.911695,-0.617586,3.032713
0.020000,11.035063,9.651795,0.466051,1.640122,2.899712,-0.599118,3.023955
0.020000,11.001358,9.655934,0.500009,1.697887,2.888248,-0.573209,3.014820
0.020000,10.966553,9.660538,0.535118,1.755436,2.877464,-0.539195,3.005303
0.020000,10.930658,9.665642,0.571373,1.812787,2.867536,-0.496392,2.995401
0.020000,10.893686,9.671280,0.608772,1.869960,2.858655,-0.444093,2.985112
0.020000,10.855650,9.677489,0.647312,1.926980,2.851022,-0.381640,2.974432
0.020000,10.816563,9.684307,0.686990,1.983877,2.844854,-0.308372,2.963360
0.020000,10.776438,9.691773,0.727803,2.040685,2.840381,-0.223677,2.951893
0.020000,10.735289,9.699927,0.769752,2.097442,2.837840,-0.127035,2.940030
0.020000,10.693131,9.708810,0.812836,2.154191,2.837480,-0.017980,2.927773
0.020000,10.649978,9.718467,0.857056,2.210982,2.839557,0.103805,2.915120
0.020000,10.605847,9.728939,0.902413,2.267869,2.844327,0.238508,2.902075
0.020000,10.560751,9.740273,0.948911,2.324910,2.852049,0.386133,2.888640
0.020000,10.514707,9.752515,0.996555,2.382170,2.862979,0.546483,2.874818
0.020000,10.467731,9.765712,1.045349,2.439717,2.877361,0.719120,2.860615
0.020000,10.419840,9.779913,1.095301,2.497625,2.895428,0.903343,2.846037
0.020000,10.371049,9.795167,1.146421,2.555973,2.917391,1.098159,2.831092
0.020000,10.321377,9.811526,1.198718,2.614842,2.943437,1.302274,2.815790
0.020000,10.270840,9.829041,1.252204,2.674316,2.973718,1.514064,2.800141
0.020000,10.219456,9.847766,1.306894,2.734483,3.008350,1.731588,2.784157
0.020000,10.167242,9.867753,1.362802,2.795431,3.047402,1.952585,2.767852
0.020000,10.114217,9.889058,1.419947,2.857249,3.090892,2.174505,2.751242
0.020000,10.060399,9.911737,1.478348,2.920025,3.138782,2.394527,2.734343
0.020000,10.005808,9.935844,1.538025,2.983844,3.190975,2.609626,2.717175
0.020000,9.950464,9.961436,1.599001,3.048790,3.247307,2.816618,2.699758
0.020000,9.894385,9.988572,1.661299,3.114941,3.307552,3.012241,2.682112
0.020000,9.837594,10.017307,1.724947,3.182370,3.371417,3.193242,2.664260
0.020000,9.780111,10.047700,1.789970,3.251141,3.438546,3.356462,2.646227
