dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750034,14.229000,0.000076,0.007616,0.380788,19.039417,6.283179
0.020000,2.750430,14.229000,0.000472,0.019791,0.608761,11.398612,6.283105
0.020000,2.751320,14.229000,0.001363,0.044531,1.236977,31.410802,6.282938
0.020000,2.752904,14.228999,0.002946,0.079168,1.731880,24.745185,6.282641
0.020000,2.755378,14.228997,0.005420,0.123707,2.226957,24.753829,6.282177
0.020000,2.758941,14.228993,0.008983,0.178154,2.722315,24.767922,6.281509
0.020000,2.763791,14.228982,0.013833,0.242515,3.218089,24.788705,6.280598
0.020000,2.770127,14.228962,0.020170,0.316804,3.714437,24.817355,6.279409
0.020000,2.778148,14.228926,0.028190,0.401035,4.211535,24.854899,6.277902
0.020000,2.788052,14.228864,0.038095,0.495226,4.709576,24.902074,6.276040
0.020000,2.800040,14.228765,0.050083,0.599402,5.208766,24.959524,6.273783
0.020000,2.814311,14.228612,0.064355,0.713588,5.709314,25.027358,6.271094
0.020000,2.831066,14.228383,0.081111,0.837816,6.211421,25.105365,6.267933
0.020000,2.850406,14.228052,0.100454,0.967161,6.467223,12.790091,6.264277
0.020000,2.872335,14.227592,0.122388,1.096685,6.476193,0.448533,6.260125
0.020000,2.896855,14.226969,0.146916,1.226403,6.485901,0.485365,6.255473
0.020000,2.923969,14.226148,0.174042,1.356326,6.496158,0.512855,6.250318
0.020000,2.953679,14.225087,0.203772,1.486461,6.506748,0.529523,6.244657
0.020000,2.985988,14.223742,0.236108,1.616809,6.517423,0.533750,6.238485
0.020000,3.020895,14.222063,0.271055,1.747367,6.527899,0.523777,6.231800
0.020000,3.058400,14.219999,0.308618,1.878124,6.537854,0.497780,6.224598
0.020000,3.098503,14.217491,0.348799,2.009063,6.546930,0.453786,6.216876
0.020000,3.141200,14.214479,0.391602,2.140157,6.554725,0.389736,6.208633
0.020000,3.186486,14.210897,0.437029,2.271373,6.560796,0.303533,6.199865
0.020000,3.234354,14.206676,0.485083,2.402666,6.564656,0.193006,6.190571
0.020000,3.284793,14.201741,0.535762,2.533982,6.565777,0.056049,6.180752
0.020000,3.337789,14.196016,0.589068,2.665254,6.563588,-0.109407,6.170407
0.020000,3.393327,14.189420,0.644996,2.796403,6.557483,-0.305262,6.159540
0.020000,3.451385,14.181869,0.703542,2.927340,6.546820,-0.533170,6.148153
0.020000,3.511937,14.173275,0.764702,3.057958,6.530930,-0.794493,6.136251
0.020000,3.574954,14.163549,0.828464,3.188141,6.509129,-1.090071,6.123842
0.020000,3.640399,14.152598,0.894819,3.317755,6.480724,-1.420241,6.110935
