dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750092,12.271000,0.000200,0.019950,0.997512,49.875611,6.283147
0.020000,2.750622,12.271000,0.000729,0.026487,0.326858,-33.532710,6.282929
0.020000,2.751814,12.270999,0.001921,0.059585,1.654859,66.400069,6.282438
0.020000,2.753932,12.270997,0.004039,0.105887,2.315118,33.012919,6.281564
0.020000,2.757106,12.270990,0.007213,0.158732,2.642235,16.355884,6.280251
0.020000,2.761335,12.270973,0.011442,0.211458,2.636332,-0.295196,6.278497
0.020000,2.766616,12.270943,0.016723,0.264028,2.628497,-0.391721,6.276301
0.020000,2.772944,12.270891,0.023051,0.316404,2.618766,-0.486578,6.273658
0.020000,2.780314,12.270809,0.030422,0.368547,2.607182,-0.579200,6.270565
0.020000,2.788722,12.270688,0.038831,0.420423,2.593802,-0.668975,6.267018
0.020000,2.798160,12.270517,0.048270,0.471997,2.578697,-0.755260,6.263011
0.020000,2.808622,12.270282,0.058735,0.523236,2.561953,-0.837182,6.258540
0.020000,2.820100,12.269971,0.070217,0.574110,2.543676,-0.913847,6.253597
0.020000,2.832586,12.269568,0.082709,0.624590,2.523993,-0.984157,6.248178
0.020000,2.846069,12.269056,0.096202,0.674651,2.503056,-1.046875,6.242275
0.020000,2.860540,12.268417,0.110688,0.724272,2.481044,-1.100560,6.235880
0.020000,2.875989,12.267632,0.126156,0.773435,2.458172,-1.143632,6.228987
0.020000,2.892404,12.266681,0.142599,0.822129,2.434688,-1.174189,6.221588
0.020000,2.909774,12.265541,0.160006,0.870346,2.410884,-1.190190,6.213675
0.020000,2.928085,12.264189,0.178368,0.918088,2.387097,-1.189348,6.205240
0.020000,2.947327,12.262599,0.197675,0.965363,2.363716,-1.169071,6.196275
0.020000,2.967486,12.260746,0.217919,1.012186,2.341184,-1.126591,6.186774
0.020000,2.988549,12.258603,0.239090,1.058587,2.320006,-1.058919,6.176730
0.020000,3.010503,12.256139,0.261182,1.104602,2.300750,-0.962779,6.166136
0.020000,3.033336,12.253325,0.284188,1.150283,2.284052,-0.834920,6.154986
0.020000,3.057035,12.250129,0.308102,1.195695,2.270616,-0.671792,6.143277
0.020000,3.081590,12.246518,0.332920,1.240919,2.261215,-0.470041,6.131006
0.020000,3.106988,12.242456,0.358641,1.286053,2.256689,-0.226278,6.118170
0.020000,3.133221,12.237907,0.385266,1.331212,2.257940,0.062531,6.104770
0.020000,3.160279,12.232832,0.412796,1.376530,2.265921,0.399059,6.090809
0.020000,3.188158,12.227192,0.441239,1.422163,2.281627,0.785306,6.076293
0.020000,3.216851,12.220943,0.470605,1.468284,2.306077,1.222474,6.061228
0.020000,3.246357,12.214043,0.500907,1.515090,2.340290,1.710651,6.045626
0.020000,3.276674,12.206442,0.532163,1.562795,2.385262,2.248589,6.029502
0.020000,3.307807,12.198094,0.564396,1.611634,2.441932,2.833498,6.012874
0.020000,3.339760,12.188945,0.597633,1.661857,2.511147,3.460791,5.995765
0.020000,3.372542,12.178940,0.631907,1.713729,2.593626,4.123938,5.978202
0.020000,3.406164,12.168022,0.667258,1.767528,2.689914,4.814406,5.960215
0.020000,3.440641,12.156129,0.703728,1.823535,2.800347,5.521651,5.941841
0.020000,3.475991,12.143196,0.741369,1.882035,2.925012,6.233255,5.923121
0.020000,3.512232,12.129156,0.780235,1.943309,3.063718,6.935258,5.904099
0.020000,3.549389,12.113936,0.820388,2.007629,3.215968,7.612505,5.884825
0.020000,3.587484,12.097463,0.861893,2.075248,3.380954,8.249300,5.865353
0.020000,3.626546,12.079658,0.904821,2.146399,3.557554,8.830036,5.845740
0.020000,3.666600,12.060441,0.949247,2.221286,3.744354,9.339970,5.826047
0.020000,3.707675,12.039728,0.995248,2.300079,3.939675,9.766041,5.806338
0.020000,3.749798,12.017436,1.042906,2.382912,4.141627,10.097594,5.786678
0.020000,3.792997,11.993479,1.092304,2.469875,4.348168,10.327076,5.767135
0.020000,3.837299,11.967771,1.143524,2.561019,4.557178,10.450507,5.747776
0.020000,3.882728,11.940227,1.196651,2.656350,4.766534,10.467803,5.728670
0.020000,3.929308,11.910763,1.251768,2.755833,4.974191,10.382828,5.709885
0.020000,3.977063,11.879299,1.308956,2.859398,5.178255,10.203226,5.691486
0.020000,4.026011,11.845756,1.368295,2.966940,5.377056,9.940021,5.673539
0.020000,4.076174,11.810061,1.429861,3.078323,5.569197,9.607048,5.656105
0.020000,4.127569,11.772145,1.493729,3.193396,5.753602,9.220246,5.639245
0.020000,4.180215,11.731943,1.559969,3.311986,5.929540,8.796898,5.623017
0.020000,4.234130,11.689400,1.628647,3.433919,6.096637,8.354865,5.607474
0.020000,4.289333,11.644465,1.699828,3.559017,6.254875,7.911893,5.592669
0.020000,4.345846,11.597092,1.773570,3.687108,6.404574,7.484985,5.578649
0.020000,4.403694,11.547246,1.849930,3.818035,6.546373,7.089954,5.565461
0.020000,4.462903,11.494896,1.928964,3.951659,6.681195,6.741090,5.553149
