dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500016,15.229167,0.000077,0.007678,0.383900,19.194982,6.283182
0.020000,2.500421,15.229167,0.000482,0.020273,0.629731,12.291548,6.283102
0.020000,2.501333,15.229166,0.001395,0.045615,1.267124,31.869671,6.282922
0.020000,2.502955,15.229166,0.003017,0.081099,1.774213,25.354450,6.282602
0.020000,2.505490,15.229164,0.005551,0.126733,2.281670,25.372861,6.282102
0.020000,2.509140,15.229158,0.009202,0.182527,2.789730,25.402982,6.281380
0.020000,2.514110,15.229147,0.014172,0.248501,3.298680,25.447507,6.280398
0.020000,2.520604,15.229125,0.020665,0.324678,3.808870,25.509501,6.279113
0.020000,2.528826,15.229085,0.028887,0.411092,4.320699,25.591455,6.277483
0.020000,2.538981,15.229016,0.039043,0.507785,4.834619,25.695975,6.275468
0.020000,2.551277,15.228906,0.051339,0.614807,5.351128,25.825476,6.273022
0.020000,2.565920,15.228736,0.065983,0.732223,5.870766,25.981894,6.270103
0.020000,2.583121,15.228482,0.083186,0.860105,6.394109,26.167149,6.266665
0.020000,2.603088,15.228112,0.103156,0.998540,6.921753,26.382203,6.262660
0.020000,2.626034,15.227588,0.126109,1.147626,7.454309,26.627813,6.258042
0.020000,2.652174,15.226861,0.152258,1.307474,7.992376,26.903318,6.252759
0.020000,2.681721,15.225873,0.181822,1.478204,8.536522,27.207308,6.246759
0.020000,2.714894,15.224552,0.215021,1.659949,9.087250,27.536398,6.239988
0.020000,2.751808,15.222817,0.251976,1.847711,9.388090,15.042020,6.232411
0.020000,2.792475,15.220579,0.292704,2.036444,9.436669,2.428956,6.224012
0.020000,2.836908,15.217741,0.337228,2.226200,9.487789,2.555988,6.214774
0.020000,2.885118,15.214193,0.385569,2.417011,9.540533,2.637212,6.204679
0.020000,2.937112,15.209816,0.437746,2.608886,9.593783,2.662485,6.193712
0.020000,2.992893,15.204479,0.493783,2.801810,9.646190,2.620351,6.181854
0.020000,3.052461,15.198038,0.553697,2.995733,9.696142,2.497593,6.169089
0.020000,3.115806,15.190340,0.617509,3.190568,9.741740,2.279910,6.155403
0.020000,3.182913,15.181219,0.685232,3.386183,9.780770,1.951510,6.140783
0.020000,3.253754,15.170500,0.756880,3.582397,9.810693,1.496125,6.125219
0.020000,3.328292,15.157995,0.832460,3.778970,9.828636,0.897169,6.108704
0.020000,3.406473,15.143509,0.911972,3.975598,9.831415,0.138930,6.091239
0.020000,3.488229,15.126839,0.995410,4.171909,9.815568,-0.792325,6.072829
0.020000,3.573473,15.107775,1.082759,4.367458,9.777430,-1.906920,6.053485
0.020000,3.662096,15.086104,1.173993,4.561723,9.713232,-3.209880,6.033229
0.020000,3.753970,15.061612,1.269076,4.754108,9.619250,-4.699138,6.012091
0.020000,3.848941,15.034088,1.367954,4.943947,9.491981,-6.363413,5.990113
0.020000,3.946832,15.003328,1.470565,5.130515,9.328368,-8.180643,5.967347
0.020000,4.047442,14.969137,1.576825,5.313035,9.126039,-10.116492,5.943861
0.020000,4.150545,14.931337,1.686640,5.490706,8.883555,-12.124193,5.919732
0.020000,4.255895,14.889770,1.799894,5.662719,8.600653,-14.145077,5.895053
0.020000,4.363227,14.844299,1.916460,5.828288,8.278435,-16.110915,5.869928
0.020000,4.472258,14.794820,2.036193,5.986678,7.919485,-17.947515,5.844475
0.020000,4.582699,14.741256,2.158938,6.137236,7.527888,-19.579817,5.818820
0.020000,4.694253,14.683566,2.284526,6.279418,7.109130,-20.937924,5.793101
0.020000,4.806626,14.621744,2.412783,6.412815,6.669861,-21.963430,5.767460
0.020000,4.919532,14.555818,2.543526,6.537167,6.217556,-22.615246,5.742044
0.020000,5.032697,14.485853,2.676573,6.652368,5.760075,-22.874052,5.717003
0.020000,5.145871,14.411944,2.811743,6.758472,5.305182,-22.744675,5.692484
0.020000,5.258825,14.334217,2.948856,6.855673,4.860060,-22.256109,5.668632
0.020000,5.371361,14.252823,3.087742,6.944290,4.430879,-21.459036,5.645588
0.020000,5.483312,14.167937,3.228237,7.024740,4.022450,-20.421416,5.623483
0.020000,5.594474,14.079810,3.370094,7.092838,3.404949,-30.875063,5.602456
0.020000,5.704613,13.988769,3.512989,7.144773,2.596736,-40.410667,5.582647
0.020000,5.813548,13.895156,3.656621,7.181601,1.841406,-37.766483,5.564174
0.020000,5.921143,13.799321,3.800708,7.204352,1.137525,-35.194073,5.547143
0.020000,6.027307,13.701617,3.944988,7.213986,0.481713,-32.790604,5.531642
0.020000,6.131984,13.602400,4.089215,7.211369,-0.130850,-30.628114,5.517746
0.020000,6.235154,13.502020,4.233160,7.197251,-0.705913,-28.753153,5.505516
0.020000,6.336821,13.400826,4.376605,7.172257,-1.249686,-27.188672,5.495005
0.020000,6.437013,13.299161,4.519343,7.136888,-1.768433,-25.937338,5.486257
0.020000,6.535771,13.197363,4.661174,7.091526,-2.268138,-24.985264,5.479308
0.020000,6.633151,13.095767,4.801903,7.036441,-2.754253,-24.305734,5.474193
0.020000,6.729214,12.994701,4.941339,6.971811,-3.231499,-23.862293,5.470942
0.020000,6.824025,12.894490,5.079293,6.897736,-3.703721,-23.611128,5.469583
0.020000,6.917649,12.795453,5.215579,6.814261,-4.173773,-23.502568,5.470144
0.020000,7.010147,12.697908,5.350007,6.721393,-4.643409,-23.481826,5.472654
0.020000,7.101572,12.602166,5.482389,6.619129,-5.113191,-23.489078,5.477140
0.020000,7.191962,12.508540,5.612529,6.506974,-5.607717,-24.726334,5.483629
0.020000,7.281296,12.417386,5.740159,6.381511,-6.273160,-33.272125,5.492142
0.020000,7.369545,12.329038,5.865032,6.243681,-6.891532,-30.918612,5.502693
0.020000,7.456719,12.243762,5.986980,6.097388,-7.314639,-21.155337,5.515293
0.020000,7.542811,12.161810,6.105841,5.943029,-7.717938,-20.164954,5.529950
0.020000,7.627797,12.083413,6.221464,5.781175,-8.092711,-18.738654,5.546661
0.020000,7.711641,12.008776,6.333716,5.612599,-8.428783,-16.803592,5.565409
0.020000,7.795042,11.937445,6.443460,5.487186,-6.270656,107.906347,5.585338
