dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500008,12.770833,0.000077,0.007678,0.383900,19.194982,6.283182
0.020000,2.500217,12.770833,0.000286,0.010439,0.138069,-12.291554,6.283102
0.020000,2.500687,12.770833,0.000755,0.023487,0.652375,25.715302,6.282922
0.020000,2.501522,12.770833,0.001590,0.041749,0.913084,13.035478,6.282602
0.020000,2.502826,12.770832,0.002895,0.065217,1.173426,13.017094,6.282102
0.020000,2.504703,12.770829,0.004772,0.093880,1.433167,12.987041,6.281380
0.020000,2.507258,12.770823,0.007327,0.127721,1.692014,12.942380,6.280398
0.020000,2.510592,12.770812,0.010661,0.166713,1.949624,12.880457,6.279113
0.020000,2.514809,12.770791,0.014877,0.210825,2.205593,12.798476,6.277483
0.020000,2.520009,12.770756,0.020078,0.260014,2.459471,12.693908,6.275468
0.020000,2.526293,12.770700,0.026362,0.314230,2.710760,12.564426,6.273022
0.020000,2.533761,12.770613,0.033830,0.373408,2.958917,12.407872,6.270103
0.020000,2.542509,12.770484,0.042580,0.437475,3.203370,12.222643,6.266665
0.020000,2.552634,12.770296,0.052707,0.506346,3.443518,12.007416,6.262660
0.020000,2.564230,12.770032,0.064305,0.579921,3.678754,11.761797,6.258042
0.020000,2.577387,12.769666,0.077467,0.658090,3.908476,11.486058,6.252759
0.020000,2.592193,12.769171,0.092282,0.740733,4.132114,11.181932,6.246759
0.020000,2.608734,12.768512,0.108836,0.827716,4.349166,10.852595,6.239988
0.020000,2.627041,12.767651,0.127163,0.916360,4.432204,4.151917,6.232411
0.020000,2.647091,12.766548,0.147244,1.004032,4.383602,-2.430141,6.224012
0.020000,2.668861,12.765158,0.169058,1.090681,4.332455,-2.557333,6.214774
0.020000,2.692323,12.763431,0.192583,1.176275,4.279681,-2.638701,6.204679
0.020000,2.717450,12.761316,0.217799,1.260803,4.226397,-2.664204,6.193712
0.020000,2.744213,12.758756,0.244685,1.344282,4.173953,-2.622210,6.181854
0.020000,2.772583,12.755688,0.273220,1.426761,4.123958,-2.499719,6.169089
0.020000,2.802530,12.752050,0.303386,1.508327,4.078315,-2.282174,6.155403
