dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750141,13.000000,0.000199,0.019867,0.993334,49.666724,6.283152
0.020000,2.750936,13.000000,0.000993,0.059600,1.986669,49.666724,6.282962
0.020000,2.752724,12.999999,0.002781,0.119200,2.980003,49.666724,6.282536
0.020000,2.755903,12.999996,0.005960,0.198667,3.973338,49.666724,6.281778
0.020000,2.760869,12.999986,0.010927,0.298000,4.966672,49.666724,6.280593
0.020000,2.767823,12.999962,0.017880,0.397334,4.966672,0.000000,6.278931
0.020000,2.776763,12.999915,0.026820,0.496667,4.966672,0.000000,6.276790
0.020000,2.787689,12.999830,0.037747,0.596001,4.966672,-0.000000,6.274167
0.020000,2.800602,12.999694,0.050660,0.695334,4.966672,0.000000,6.271060
0.020000,2.815500,12.999486,0.065560,0.794668,4.966672,-0.000000,6.267463
0.020000,2.832384,12.999186,0.082447,0.894001,4.966672,0.000000,6.263373
0.020000,2.851253,12.998769,0.101320,0.993334,4.966672,0.000000,6.258783
0.020000,2.872105,12.998207,0.122180,1.092668,4.966672,-0.000000,6.253689
0.020000,2.894940,12.997469,0.145027,1.192001,4.966672,0.000000,6.248085
0.020000,2.919755,12.996522,0.169860,1.291335,4.966672,0.000000,6.241964
0.020000,2.946549,12.995328,0.196680,1.390668,4.966672,-0.000000,6.235319
0.020000,2.975317,12.993846,0.225487,1.490002,4.966672,0.000000,6.228145
0.020000,3.006057,12.992034,0.256280,1.589335,4.966672,0.000000,6.220433
0.020000,3.038764,12.989843,0.289060,1.688669,4.966672,0.000000,6.212178
0.020000,3.073432,12.987224,0.323827,1.788002,4.966672,0.000000,6.203372
0.020000,3.110054,12.984123,0.360580,1.887336,4.966672,0.000000,6.194009
0.020000,3.148622,12.980481,0.399320,1.986669,4.966672,-0.000000,6.184084
0.020000,3.189127,12.976239,0.440047,2.086002,4.966672,0.000000,6.173591
0.020000,3.231558,12.971333,0.482761,2.185336,4.966672,-0.000000,6.162527
0.020000,3.275900,12.965695,0.527461,2.284669,4.966672,0.000000,6.150887
0.020000,3.322140,12.959254,0.574147,2.384003,4.966672,-0.000000,6.138671
0.020000,3.370260,12.951937,0.622821,2.483336,4.966672,0.000000,6.125879
0.020000,3.420240,12.943667,0.673481,2.582670,4.966672,0.000000,6.112512
0.020000,3.472058,12.934364,0.726128,2.682003,4.966672,0.000000,6.098576
0.020000,3.525689,12.923946,0.780761,2.781337,4.966672,-0.000000,6.084075
0.020000,3.581104,12.912330,0.837381,2.880670,4.966672,0.000000,6.069022
0.020000,3.638272,12.899428,0.895988,2.980003,4.966672,0.000000,6.053428
0.020000,3.697159,12.885153,0.956581,3.079337,4.966672,0.000000,6.037311
0.020000,3.757728,12.869417,1.019161,3.178670,4.966672,-0.000000,6.020690
0.020000,3.819937,12.852130,1.083728,3.278004,4.966672,0.000000,6.003590
0.020000,3.883741,12.833203,1.150281,3.377337,4.966672,-0.000000,5.986041
0.020000,3.949093,12.812547,1.218821,3.476671,4.966672,0.000000,5.968075
0.020000,4.015943,12.790074,1.289348,3.576004,4.966672,-0.000000,5.949729
0.020000,4.084236,12.765700,1.361862,3.675338,4.966672,0.000000,5.931046
0.020000,4.153916,12.739341,1.436362,3.774671,4.966672,0.000000,5.912073
0.020000,4.224925,12.710918,1.512848,3.874004,4.966672,-0.000000,5.892859
0.020000,4.297201,12.680356,1.591322,3.973338,4.966672,-0.000000,5.873458
0.020000,4.370682,12.647583,1.671782,4.072671,4.966672,0.000000,5.853930
0.020000,4.445307,12.612534,1.754229,4.172005,4.966672,0.000000,5.834333
0.020000,4.521011,12.575149,1.838662,4.271338,4.966672,0.000000,5.814732
0.020000,4.597733,12.535376,1.925082,4.370672,4.966672,-0.000000,5.795189
0.020000,4.675411,12.493166,2.013489,4.470005,4.966672,0.000000,5.775773
0.020000,4.753986,12.448482,2.103882,4.569339,4.966672,0.000000,5.756547
0.020000,4.833401,12.401289,2.196263,4.668672,4.966672,-0.000000,5.737578
0.020000,4.913602,12.351565,2.290629,4.768006,4.966672,0.000000,5.718931
0.020000,4.994541,12.299290,2.386983,4.867339,4.966672,0.000000,5.700669
0.020000,5.076173,12.244457,2.485323,4.966672,4.966672,0.000000,5.682854
0.020000,5.158459,12.187061,2.585650,5.066006,4.966672,0.000000,5.665544
0.020000,5.241365,12.127108,2.687963,5.165339,4.966672,0.000000,5.648797
0.020000,5.324865,12.064609,2.792263,5.264673,4.966672,0.000000,5.632664
0.020000,5.408938,11.999583,2.898550,5.364006,4.966672,0.000000,5.617198
0.020000,5.493572,11.932055,3.006823,5.463340,4.966672,-0.000000,5.602445
0.020000,5.578762,11.862056,3.117084,5.562673,4.966672,0.000000,5.588451
0.020000,5.664509,11.789624,3.229330,5.662007,4.966672,-0.000000,5.575257
0.020000,5.750826,11.714800,3.343564,5.761340,4.966672,0.000000,5.562905
0.020000,5.837731,11.637635,3.459784,5.860673,4.966672,0.000000,5.551431
0.020000,5.925251,11.558181,3.577991,5.960007,4.966672,0.000000,5.540874
