dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300207,13.955000,0.000198,0.019816,0.990818,49.540889,6.283134
0.020000,3.301309,13.955000,0.001300,0.055096,1.763996,38.658896,6.282859
0.020000,3.303789,13.954998,0.003780,0.123988,3.444610,84.030704,6.282240
0.020000,3.308199,13.954992,0.008190,0.220499,4.825510,69.044996,6.281138
0.020000,3.314818,13.954973,0.014808,0.330927,5.521427,34.795889,6.279482
0.020000,3.323649,13.954930,0.023640,0.441571,5.532166,0.536917,6.277269
0.020000,3.334699,13.954849,0.034690,0.552500,5.546455,0.714483,6.274493
0.020000,3.347974,13.954712,0.047965,0.663785,5.564269,0.890668,6.271147
0.020000,3.363482,13.954495,0.063475,0.775496,5.585566,1.064865,6.267224
0.020000,3.381233,13.954171,0.081229,0.887702,5.610291,1.236220,6.262716
0.020000,3.401237,13.953711,0.101239,1.000469,5.638364,1.403688,6.257613
0.020000,3.423505,13.953078,0.123516,1.113863,5.669684,1.566003,6.251902
0.020000,3.448050,13.952232,0.148075,1.227945,5.704113,1.721415,6.245573
0.020000,3.474883,13.951129,0.174931,1.342775,5.741469,1.867843,6.238611
0.020000,3.504017,13.949718,0.204099,1.458405,5.781524,2.002702,6.231003
0.020000,3.535464,13.947946,0.235596,1.574885,5.823982,2.122945,6.222733
0.020000,3.569238,13.945750,0.269441,1.692254,5.868476,2.224678,6.213786
0.020000,3.605349,13.943065,0.305652,1.810545,5.914546,2.303510,6.204145
0.020000,3.643808,13.939819,0.344248,1.929778,5.961631,2.354233,6.193794
0.020000,3.684623,13.935933,0.385247,2.049959,6.009044,2.370646,6.182715
0.020000,3.727799,13.931322,0.428669,2.171078,6.055961,2.345880,6.170892
0.020000,3.773339,13.925897,0.474531,2.293106,6.101402,2.272043,6.158308
0.020000,3.821241,13.919559,0.522851,2.415990,6.144209,2.140353,6.144949
0.020000,3.871499,13.912205,0.573644,2.539651,6.183038,1.941437,6.130801
0.020000,3.924099,13.903724,0.626923,2.663978,6.216341,1.665134,6.115852
0.020000,3.979022,13.894002,0.682700,2.788825,6.242364,1.301155,6.100092
0.020000,4.036238,13.882916,0.740980,2.914008,6.259147,0.839141,6.083516
0.020000,4.095709,13.870343,0.801766,3.039299,6.264539,0.269621,6.066122
0.020000,4.157386,13.856151,0.865054,3.164423,6.256225,-0.415698,6.047912
0.020000,4.221207,13.840210,0.930835,3.289059,6.231770,-1.222779,6.028895
0.020000,4.287095,13.822386,0.999092,3.412832,6.188683,-2.154335,6.009088
