dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300091,11.705000,0.000198,0.019816,0.990818,49.540889,6.283134
0.020000,3.300574,11.705000,0.000682,0.024169,0.217640,-38.658886,6.282859
0.020000,3.301662,11.704999,0.001769,0.054359,1.509479,64.591940,6.282240
0.020000,3.303593,11.704996,0.003700,0.096563,2.110214,30.036763,6.281138
0.020000,3.306486,11.704988,0.006593,0.144665,2.405113,14.744928,6.279482
0.020000,3.310337,11.704969,0.010444,0.192553,2.394373,-0.536988,6.277269
0.020000,3.315140,11.704934,0.015247,0.240154,2.380081,-0.714615,6.274493
0.020000,3.320888,11.704875,0.020995,0.287400,2.362264,-0.890843,6.271147
0.020000,3.327571,11.704781,0.027680,0.334219,2.340963,-1.065049,6.267224
0.020000,3.335181,11.704643,0.035291,0.380544,2.316234,-1.236446,6.262716
0.020000,3.343705,11.704446,0.043817,0.426307,2.288154,-1.403992,6.257613
0.020000,3.353130,11.704179,0.053246,0.471443,2.256828,-1.566321,6.251902
0.020000,3.363442,11.703823,0.063563,0.515891,2.222392,-1.721782,6.245573
0.020000,3.374624,11.703364,0.074755,0.559592,2.185026,-1.868275,6.238611
0.020000,3.386660,11.702781,0.086805,0.602491,2.144962,-2.003227,6.231003
0.020000,3.399530,11.702056,0.099696,0.644541,2.102492,-2.123476,6.222733
0.020000,3.413215,11.701166,0.113410,0.685700,2.057986,-2.225316,6.213786
0.020000,3.427694,11.700090,0.127929,0.725938,2.011901,-2.304246,6.204145
0.020000,3.442945,11.698802,0.143233,0.765234,1.964801,-2.355002,6.193794
0.020000,3.458944,11.697279,0.159305,0.803582,1.917370,-2.371541,6.182715
0.020000,3.475669,11.695494,0.176125,0.840990,1.870433,-2.346852,6.170892
0.020000,3.493095,11.693418,0.193675,0.877490,1.824972,-2.273082,6.158308
0.020000,3.511200,11.691023,0.211937,0.913133,1.782141,-2.141532,6.144949
0.020000,3.529960,11.688278,0.230897,0.947998,1.743288,-1.942672,6.130801
0.020000,3.549354,11.685151,0.250541,0.982198,1.709958,-1.666469,6.115852
0.020000,3.569360,11.681610,0.270859,1.015876,1.683908,-1.302523,6.100092
0.020000,3.589962,11.677619,0.291843,1.049218,1.667095,-0.840611,6.083516
0.020000,3.611143,11.673141,0.313492,1.082451,1.661674,-0.271090,6.066122
0.020000,3.632891,11.668137,0.335809,1.115850,1.669958,0.414235,6.047912
0.020000,3.655201,11.662565,0.358804,1.149738,1.694385,1.221353,6.028895
0.020000,3.678069,11.656379,0.382494,1.184487,1.737446,2.153017,6.009088
0.020000,3.701499,11.649531,0.406904,1.220519,1.801599,3.207637,5.988511
0.020000,3.725501,11.641966,0.432070,1.258302,1.889163,4.378228,5.967197
0.020000,3.750092,11.633625,0.458037,1.298346,2.002191,5.651380,5.945186
0.020000,3.775295,11.624444,0.484861,1.341192,2.142322,7.006553,5.922528
0.020000,3.801143,11.614350,0.512609,1.387405,2.310637,8.415762,5.899282
0.020000,3.827671,11.603265,0.541360,1.437555,2.507513,9.843812,5.875518
0.020000,3.854923,11.591101,0.571204,1.492205,2.732500,11.249323,5.851317
0.020000,3.882949,11.577763,0.602242,1.551890,2.984229,12.586467,5.826768
0.020000,3.911800,11.563147,0.634584,1.617098,3.260380,13.807538,5.801969
0.020000,3.941532,11.547145,0.668349,1.688252,3.557701,14.866062,5.777026
0.020000,3.972200,11.529636,0.703663,1.765694,3.872108,15.720326,5.752050
0.020000,4.003859,11.510500,0.740656,1.849671,4.198844,16.336803,5.727158
0.020000,4.036562,11.489608,0.779463,1.940325,4.532707,16.693163,5.702469
0.020000,4.070357,11.466831,0.820217,2.037691,4.868315,16.780426,5.678102
0.020000,4.105289,11.442041,0.863051,2.141699,5.200394,16.603949,5.654174
0.020000,4.141395,11.415111,0.908094,2.252180,5.524057,16.183134,5.630801
0.020000,4.178710,11.385917,0.955472,2.368881,5.835055,15.549883,5.608094
0.020000,4.217260,11.354344,1.005301,2.491481,6.129976,14.746045,5.586157
0.020000,4.257070,11.320284,1.057694,2.619608,6.406380,13.820197,5.565089
0.020000,4.298159,11.283637,1.112751,2.752866,6.662863,12.824196,5.544981
0.020000,4.340546,11.244315,1.170568,2.890847,6.899061,11.809885,5.525916
0.020000,4.384248,11.202242,1.231231,3.033159,7.115588,10.826320,5.507973
0.020000,4.429286,11.157352,1.294820,3.179437,7.313941,9.917668,5.491220
0.020000,4.475683,11.109591,1.361407,3.329365,7.496380,9.121934,5.475724
0.020000,4.523471,11.058916,1.431061,3.482681,7.665788,8.470408,5.461544
0.020000,4.572687,11.005294,1.503844,3.639192,7.825544,7.987796,5.448737
0.020000,4.623381,10.948705,1.579820,3.798780,7.979400,7.692821,5.437358
0.020000,4.675615,10.889133,1.659048,3.961407,8.131382,7.599110,5.427461
0.020000,4.729464,10.826576,1.741591,4.127121,8.285707,7.716234,5.419101
0.020000,4.785024,10.761035,1.827512,4.296056,8.446721,8.050682,5.412335
0.020000,4.842408,10.692523,1.916880,4.468433,8.618854,8.606666,5.407224
0.020000,4.901750,10.621058,2.009772,4.644565,8.806586,9.386592,5.403835
0.020000,4.963211,10.546665,2.106269,4.824853,9.014407,10.391077,5.402242
0.020000,5.026976,10.469379,2.206464,5.009788,9.246774,11.618357,5.402528
0.020000,5.093264,10.389244,2.310463,5.199949,9.508031,13.062848,5.404785
0.020000,5.162325,10.306314,2.418383,5.395995,9.802284,14.712633,5.409118
0.020000,5.234445,10.220659,2.530357,5.598658,10.133193,16.545471,5.415645
0.020000,5.309952,10.132369,2.646531,5.808731,10.503651,18.522878,5.424498
0.020000,5.389216,10.041555,2.767072,6.027037,10.915286,20.581745,5.435823
0.020000,5.472655,9.948361,2.892160,6.254392,11.367743,22.622859,5.449781
