dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750022,13.500000,0.000076,0.007626,0.381318,19.065883,6.283178
0.020000,2.750327,13.500000,0.000381,0.022879,0.762635,19.065883,6.283083
0.020000,2.751014,13.500000,0.001068,0.045758,1.143953,19.065883,6.282868
0.020000,2.752234,13.499999,0.002288,0.076264,1.525271,19.065883,6.282487
0.020000,2.754140,13.499997,0.004194,0.114395,1.906588,19.065883,6.281890
0.020000,2.756886,13.499993,0.006940,0.160153,2.287906,19.065883,6.281030
0.020000,2.760623,13.499982,0.010677,0.213538,2.669224,19.065883,6.279858
0.020000,2.765504,13.499962,0.015558,0.274549,3.050541,19.065883,6.278325
0.020000,2.771681,13.499926,0.021735,0.343186,3.431859,19.065883,6.276381
0.020000,2.779307,13.499865,0.029361,0.419449,3.813177,19.065883,6.273975
0.020000,2.788534,13.499767,0.038589,0.503339,4.194494,19.065883,6.271055
0.020000,2.799515,13.499614,0.049571,0.594856,4.575812,19.065883,6.267566
0.020000,2.812402,13.499387,0.062460,0.693998,4.957130,19.065883,6.263455
0.020000,2.827269,13.499058,0.077331,0.793141,4.957130,0.000000,6.258687
0.020000,2.844117,13.498599,0.094185,0.892283,4.957130,0.000000,6.253255
0.020000,2.862944,13.497978,0.113023,0.991426,4.957130,0.000000,6.247145
0.020000,2.883748,13.497157,0.133843,1.090569,4.957130,0.000000,6.240348
0.020000,2.906526,13.496096,0.156645,1.189711,4.957130,-0.000000,6.232850
0.020000,2.931275,13.494747,0.181431,1.288854,4.957130,0.000000,6.224638
0.020000,2.957990,13.493061,0.208199,1.387996,4.957130,-0.000000,6.215697
0.020000,2.986666,13.490984,0.236951,1.487139,4.957130,0.000000,6.206015
0.020000,3.017296,13.488455,0.267685,1.586282,4.957130,-0.000000,6.195576
0.020000,3.049871,13.485410,0.300402,1.685424,4.957130,0.000000,6.184366
0.020000,3.084380,13.481780,0.335102,1.784567,4.957130,0.000000,6.172373
0.020000,3.120811,13.477490,0.371785,1.883709,4.957130,-0.000000,6.159583
0.020000,3.159148,13.472463,0.410450,1.982852,4.957130,0.000000,6.145988
0.020000,3.199373,13.466614,0.451099,2.081994,4.957130,-0.000000,6.131577
0.020000,3.241465,13.459855,0.493730,2.181137,4.957130,0.000000,6.116345
0.020000,3.285398,13.452094,0.538344,2.280280,4.957130,-0.000000,6.100291
0.020000,3.331145,13.443233,0.584941,2.379422,4.957130,0.000000,6.083416
0.020000,3.378671,13.433173,0.633521,2.478565,4.957130,0.000000,6.065728
0.020000,3.427939,13.421808,0.684084,2.577707,4.957130,-0.000000,6.047241
0.020000,3.478907,13.409034,0.736629,2.676850,4.957130,0.000000,6.027974
0.020000,3.531528,13.394741,0.791158,2.775993,4.957130,-0.000000,6.007955
0.020000,3.585749,13.378820,0.847669,2.875135,4.957130,0.000000,5.987221
0.020000,3.641513,13.361162,0.906163,2.974278,4.957130,0.000000,5.965817
0.020000,3.698757,13.341657,0.966640,3.073420,4.957130,-0.000000,5.943798
0.020000,3.757414,13.320200,1.029100,3.172563,4.957130,0.000000,5.921229
0.020000,3.817413,13.296687,1.093543,3.271706,4.957130,0.000000,5.898186
0.020000,3.878677,13.271019,1.159968,3.370848,4.957130,0.000000,5.874752
0.020000,3.941129,13.243105,1.228377,3.469991,4.957130,-0.000000,5.851021
0.020000,4.004689,13.212858,1.298768,3.569133,4.957130,0.000000,5.827094
0.020000,4.069274,13.180201,1.371142,3.668276,4.957130,-0.000000,5.803081
0.020000,4.134805,13.145066,1.445499,3.767419,4.957130,0.000000,5.779096
0.020000,4.201200,13.107395,1.521839,3.866561,4.957130,0.000000,5.755255
0.020000,4.268385,13.067141,1.600161,3.965704,4.957130,0.000000,5.731680
0.020000,4.336287,13.024269,1.680467,4.064846,4.957130,-0.000000,5.708491
0.020000,4.404839,12.978752,1.762755,4.163989,4.957130,0.000000,5.685805
0.020000,4.473982,12.930580,1.847027,4.263132,4.957130,0.000000,5.663739
0.020000,4.543665,12.879749,1.933281,4.362274,4.957130,0.000000,5.642404
0.020000,4.613846,12.826270,2.021517,4.461417,4.957130,-0.000000,5.621905
0.020000,4.684495,12.770163,2.111737,4.560559,4.957130,0.000000,5.602342
0.020000,4.755592,12.711457,2.203940,4.659702,4.957130,0.000000,5.583810
0.020000,4.827127,12.650192,2.298125,4.758845,4.957130,0.000000,5.566394
0.020000,4.899106,12.586418,2.394294,4.857987,4.957130,0.000000,5.550176
0.020000,4.971547,12.520192,2.492445,4.957130,4.957130,-0.000000,5.535233
0.020000,5.044478,12.451580,2.592579,5.056272,4.957130,-0.000000,5.521637
0.020000,5.117946,12.380656,2.694696,5.155415,4.957130,0.000000,5.509456
0.020000,5.192009,12.307503,2.798795,5.254557,4.957130,-0.000000,5.498758
0.020000,5.266739,12.232211,2.904878,5.353700,4.957130,0.000000,5.489610
0.020000,5.342223,12.154879,3.012943,5.452843,4.957130,-0.000000,5.482081
0.020000,5.418564,12.075616,3.122992,5.551985,4.957130,0.000000,5.476242
0.020000,5.495879,11.994540,3.235023,5.651128,4.957130,0.000000,5.472171
0.020000,5.574302,11.911781,3.349037,5.750270,4.957130,0.000000,5.469949
0.020000,5.653984,11.827484,3.465034,5.849413,4.957130,0.000000,5.469669
0.020000,5.735038,11.741860,3.582937,5.940929,4.575812,-19.065883,5.471430
0.020000,5.817543,11.655195,3.702595,6.024819,4.194494,-19.065883,5.475333
0.020000,5.901592,11.567791,3.823854,6.101083,3.813177,-19.065883,5.481483
0.020000,5.987291,11.479968,3.946562,6.169720,3.431859,-19.065883,5.489985
0.020000,6.074753,11.392063,4.070566,6.230731,3.050541,-19.065883,5.500945
0.020000,6.164101,11.304434,4.195715,6.284115,2.669224,-19.065883,5.514469
0.020000,6.255458,11.217458,4.321854,6.329873,2.287906,-19.065883,5.530660
0.020000,6.348946,11.131532,4.448833,6.368005,1.906588,-19.065883,5.549612
0.020000,6.444678,11.047075,4.576498,6.398510,1.525271,-19.065883,5.571407
0.020000,6.542585,10.964401,4.704697,6.421390,1.143953,-19.065883,5.588789
0.020000,6.641756,10.882560,4.833278,6.436642,0.762635,-19.065883,5.597745
0.020000,6.741848,10.801491,4.962082,6.443832,0.359463,-20.158624,5.607146
0.020000,6.842708,10.721394,5.090878,6.435768,-0.403172,-38.131767,5.616985
0.020000,6.944181,10.642461,5.219437,6.420078,-0.784490,-19.065883,5.627252
0.020000,7.046164,10.564832,5.347605,6.396762,-1.165808,-19.065883,5.637938
0.020000,7.148552,10.488642,5.475231,6.365820,-1.547125,-19.065883,5.649035
0.020000,7.251231,10.414021,5.602162,6.327251,-1.928443,-19.065883,5.660528
0.020000,7.354084,10.341096,5.728245,6.281056,-2.309761,-19.065883,5.672402
0.020000,7.456985,10.269985,5.853328,6.227234,-2.691078,-19.065883,5.684640
0.020000,7.559805,10.200799,5.977258,6.165786,-3.072396,-19.065883,5.697218
0.020000,7.662405,10.133643,6.099883,6.096712,-3.453714,-19.065883,5.710112
0.020000,7.764642,10.068614,6.221050,6.020011,-3.835031,-19.065883,5.723295
0.020000,7.866366,10.005797,6.340607,5.935684,-4.216349,-19.065883,5.736734
0.020000,7.967419,9.945270,6.458401,5.843731,-4.597667,-19.065883,5.750395
0.020000,8.067642,9.887098,6.574284,5.744588,-4.957130,-17.973143,5.764241
0.020000,8.166937,9.831298,6.688185,5.645446,-4.957130,-0.000000,5.778242
0.020000,8.265265,9.777848,6.800102,5.546303,-4.957130,0.000000,5.792375
0.020000,8.362586,9.726721,6.910037,5.447160,-4.957130,0.000000,5.806617
0.020000,8.458859,9.677886,7.017989,5.348018,-4.957130,0.000000,5.820943
0.020000,8.554043,9.631310,7.123958,5.248875,-4.957130,0.000000,5.835330
0.020000,8.648094,9.586956,7.227944,5.149733,-4.957130,-0.000000,5.849754
0.020000,8.740970,9.544783,7.329947,5.050590,-4.957130,0.000000,5.864189
0.020000,8.832628,9.504749,7.429967,4.951447,-4.957130,-0.000000,5.878613
0.020000,8.923025,9.466806,7.528005,4.852305,-4.957130,0.000000,5.893000
0.020000,9.012118,9.430907,7.624060,4.753162,-4.957130,0.000000,5.907327
0.020000,9.099865,9.396999,7.718131,4.654020,-4.957130,-0.000000,5.921570
0.020000,9.186225,9.365028,7.810220,4.554877,-4.957130,0.000000,5.935709
0.020000,9.271158,9.334937,7.900326,4.455734,-4.957130,0.000000,5.949719
0.020000,9.354624,9.306670,7.988450,4.356592,-4.957130,-0.000000,5.963581
0.020000,9.436584,9.280165,8.074590,4.257449,-4.957130,0.000000,5.977274
0.020000,9.517003,9.255362,8.158748,4.158307,-4.957130,-0.000000,5.990780
0.020000,9.595845,9.232198,8.240922,4.059164,-4.957130,0.000000,6.004079
0.020000,9.673075,9.210609,8.321114,3.960022,-4.957130,-0.000000,6.017157
0.020000,9.748663,9.190532,8.399323,3.860879,-4.957130,0.000000,6.029996
0.020000,9.822577,9.171903,8.475549,3.761736,-4.957130,0.000000,6.042583
0.020000,9.894789,9.154656,8.549793,3.662594,-4.957130,-0.000000,6.054903
0.020000,9.965271,9.138727,8.622053,3.563451,-4.957130,0.000000,6.066946
0.020000,10.033999,9.124052,8.692331,3.464309,-4.957130,-0.000000,6.078700
0.020000,10.100949,9.110567,8.760625,3.365166,-4.957130,0.000000,6.090155
0.020000,10.166099,9.098209,8.826937,3.266023,-4.957130,0.000000,6.101302
0.020000,10.229428,9.086916,8.891266,3.166881,-4.957130,-0.000000,6.112135
0.020000,10.290919,9.076626,8.953613,3.067738,-4.957130,0.000000,6.122646
0.020000,10.350555,9.067281,9.013976,2.968596,-4.957130,0.000000,6.132830
0.020000,10.408319,9.058820,9.072356,2.869453,-4.957130,0.000000,6.142681
0.020000,10.464197,9.051188,9.128754,2.770310,-4.957130,0.000000,6.152197
0.020000,10.518178,9.044328,9.183169,2.671168,-4.957130,-0.000000,6.161374
0.020000,10.570249,9.038187,9.235601,2.572025,-4.957130,0.000000,6.170210
0.020000,10.620400,9.032713,9.286050,2.472883,-4.957130,0.000000,6.178702
0.020000,10.668622,9.027855,9.334516,2.373740,-4.957130,0.000000,6.186850
0.020000,10.714906,9.023564,9.380999,2.274597,-4.957130,0.000000,6.194652
0.020000,10.759247,9.019795,9.425500,2.175455,-4.957130,-0.000000,6.202110
0.020000,10.801637,9.016502,9.468018,2.076312,-4.957130,0.000000,6.209222
0.020000,10.842071,9.013644,9.508552,1.977170,-4.957130,-0.000000,6.215989
0.020000,10.880544,9.011179,9.547104,1.878027,-4.957130,0.000000,6.222413
0.020000,10.917052,9.009069,9.583674,1.778884,-4.957130,0.000000,6.228493
0.020000,10.951592,9.007277,9.618260,1.679742,-4.957130,0.000000,6.234232
0.020000,10.984160,9.005770,9.650863,1.580599,-4.957130,-0.000000,6.239631
0.020000,11.014755,9.004514,9.681484,1.481457,-4.957130,0.000000,6.244691
0.020000,11.043374,9.003480,9.710121,1.382314,-4.957130,0.000000,6.249413
0.020000,11.070015,9.002638,9.736776,1.283171,-4.957130,-0.000000,6.253800
0.020000,11.094678,9.001963,9.761448,1.184029,-4.957130,0.000000,6.257853
0.020000,11.117361,9.001431,9.784138,1.084886,-4.957130,0.000000,6.261574
0.020000,11.138063,9.001018,9.804844,0.985744,-4.957130,0.000000,6.264963
0.020000,11.156784,9.000706,9.823567,0.886601,-4.957130,0.000000,6.268023
0.020000,11.173523,9.000475,9.840308,0.787459,-4.957130,0.000000,6.270755
0.020000,11.188280,9.000309,9.855066,0.688316,-4.957130,0.000000,6.273160
0.020000,11.201059,9.000194,9.867845,0.589610,-4.935275,1.092740,6.275240
0.020000,11.211940,9.000117,9.878726,0.498531,-4.553957,19.065883,6.277010
0.020000,11.221076,9.000068,9.887862,0.415078,-4.172640,19.065883,6.278494
0.020000,11.228619,9.000037,9.895406,0.339252,-3.791322,19.065883,6.279719
0.020000,11.234722,9.000019,9.901509,0.271052,-3.410004,19.065883,6.280709
0.020000,11.239537,9.000009,9.906324,0.210478,-3.028687,19.065883,6.281490
0.020000,11.243217,9.000004,9.910004,0.157531,-2.647369,19.065883,6.282086
0.020000,11.245915,9.000001,9.912702,0.112210,-2.266051,19.065883,6.282523
0.020000,11.247782,9.000000,9.914569,0.074515,-1.884734,19.065883,6.282826
0.020000,11.248972,9.000000,9.915758,0.044447,-1.503416,19.065883,6.283019
0.020000,11.249636,9.000000,9.916423,0.022005,-1.122098,19.065883,6.283126
0.020000,11.249928,9.000000,9.916715,0.007189,-0.740781,19.065883,6.283174
0.020000,11.250000,9.000000,9.916787,0.000000,-0.359463,19.065883,6.283185
0.020000,11.250000,9.000000,9.916787,0.000000,0.000000,17.973143,6.283185
