dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.276733,12.138310,0.000199,0.019911,0.995554,49.777694,2.443438
0.020000,5.276012,12.138915,0.001140,0.047067,1.357783,18.111460,2.443309
0.020000,5.274390,12.140277,0.003258,0.105885,2.940888,79.155267,2.443019
0.020000,5.271509,12.142698,0.007022,0.188186,4.115055,58.708330,2.442506
0.020000,5.267011,12.146483,0.012900,0.293903,5.285865,58.540496,2.441705
0.020000,5.260723,12.151783,0.021124,0.411183,5.864018,28.907657,2.440590
0.020000,5.252656,12.158602,0.031687,0.528183,5.849990,-0.701397,2.439164
0.020000,5.242819,12.166943,0.044584,0.644823,5.831972,-0.900891,2.437435
0.020000,5.231229,12.176808,0.059804,0.761022,5.809980,-1.099631,2.435410
0.020000,5.217901,12.188202,0.077338,0.876703,5.784032,-1.297368,2.433098
0.020000,5.202856,12.201129,0.097174,0.991786,5.754156,-1.493830,2.430510
0.020000,5.186114,12.215592,0.119298,1.106194,5.720382,-1.688675,2.427659
0.020000,5.167700,12.231596,0.143695,1.219849,5.682751,-1.881549,2.424556
0.020000,5.147639,12.249145,0.170348,1.332675,5.641310,-2.072048,2.421218
0.020000,5.125959,12.268243,0.199240,1.444597,5.596116,-2.259731,2.417659
0.020000,5.102690,12.288892,0.230351,1.555542,5.547232,-2.444162,2.413899
0.020000,5.077862,12.311097,0.263660,1.665436,5.494735,-2.624877,2.409954
0.020000,5.051508,12.334858,0.299144,1.774211,5.438706,-2.801422,2.405845
0.020000,5.023661,12.360176,0.336780,1.881795,5.379239,-2.973394,2.401594
0.020000,4.994357,12.387052,0.376542,1.988124,5.316431,-3.140402,2.397222
0.020000,4.963630,12.415484,0.418405,2.093132,5.250387,-3.302155,2.392754
0.020000,4.931517,12.445467,0.462340,2.196756,5.181219,-3.458439,2.388213
0.020000,4.898053,12.476999,0.508319,2.298937,5.109036,-3.609149,2.383625
0.020000,4.863276,12.510072,0.556311,2.399616,5.033949,-3.754335,2.379018
0.020000,4.827221,12.544678,0.606286,2.498737,4.956065,-3.894190,2.374418
0.020000,4.789925,12.580805,0.658211,2.596247,4.875483,-4.029088,2.369854
0.020000,4.751422,12.618441,0.712053,2.692093,4.792291,-4.159601,2.365357
0.020000,4.711746,12.657569,0.767777,2.786224,4.706561,-4.286511,2.360956
0.020000,4.670931,12.698173,0.825349,2.878591,4.618345,-4.410812,2.356682
0.020000,4.629008,12.740230,0.884732,2.969144,4.527670,-4.533742,2.352569
0.020000,4.586007,12.783716,0.945889,3.057835,4.434535,-4.656751,2.348649
0.020000,4.541956,12.828604,1.008781,3.144613,4.338904,-4.781542,2.344956
0.020000,4.496882,12.874865,1.073369,3.229427,4.240704,-4.910026,2.341525
0.020000,4.450809,12.922462,1.139614,3.312223,4.139817,-5.044347,2.338392
0.020000,4.403757,12.971360,1.207473,3.392945,4.036080,-5.186850,2.335594
0.020000,4.355747,13.021516,1.276903,3.471530,3.929278,-5.340070,2.333168
0.020000,4.306794,13.072884,1.347862,3.547913,3.819144,-5.506704,2.331155
0.020000,4.256912,13.125415,1.420302,3.622020,3.705352,-5.689593,2.329594
0.020000,4.206113,13.179053,1.494177,3.693771,3.587519,-5.891667,2.328527
0.020000,4.154405,13.233738,1.569439,3.763075,3.465201,-6.115910,2.327999
0.020000,4.101793,13.289407,1.646036,3.829833,3.337895,-6.365281,2.328053
0.020000,4.048279,13.345988,1.723914,3.893934,3.205042,-6.642642,2.328737
0.020000,3.993864,13.403404,1.803019,3.955254,3.066030,-6.950632,2.330102
0.020000,3.938545,13.461573,1.883292,4.013658,2.920199,-7.291522,2.332197
0.020000,3.882317,13.520404,1.964672,4.068995,2.766859,-7.667010,2.335079
0.020000,3.825173,13.579800,2.047094,4.121101,2.605300,-8.077956,2.338805
0.020000,3.767103,13.639657,2.130490,4.169798,2.434820,-8.524025,2.343434
0.020000,3.708097,13.699860,2.214788,4.214893,2.254755,-9.003229,2.349032
0.020000,3.648143,13.760287,2.299912,4.256183,2.064529,-9.511319,2.355666
0.020000,3.587227,13.820808,2.385781,4.293457,1.863708,-10.041025,2.363406
0.020000,3.525337,13.881282,2.472311,4.326499,1.652086,-10.581084,2.372329
0.020000,3.462586,13.941437,2.559238,4.346359,0.992997,-32.954455,2.382492
0.020000,3.399213,14.000890,2.646133,4.344742,-0.080848,-53.692250,2.393923
0.020000,3.335455,14.059274,2.732584,4.322552,-1.109511,-51.433169,2.406632
0.020000,3.271555,14.116240,2.818190,4.280298,-2.112711,-50.160007,2.420613
0.020000,3.207880,14.171360,2.902408,4.210922,-3.468767,-67.802802,2.435806
0.020000,3.144788,14.224259,2.984743,4.116708,-4.710739,-62.098594,2.452122
0.020000,3.082513,14.274714,3.064891,4.007437,-5.463512,-37.638619,2.469474
0.020000,3.021287,14.322536,3.142581,3.884460,-6.148864,-34.267622,2.487752
0.020000,2.961335,14.367587,3.217572,3.749590,-6.743517,-29.732672,2.506824
0.020000,2.902757,14.409851,3.289806,3.611659,-6.896549,-7.651591,2.526579
0.020000,2.845536,14.449415,3.359373,3.478365,-6.664690,11.592957,2.546933
0.020000,2.789654,14.486374,3.426371,3.349918,-6.422332,12.117885,2.567800
0.020000,2.735092,14.520828,3.490901,3.226491,-6.171384,12.547403,2.589093
0.020000,2.681830,14.552884,3.553065,3.108205,-5.914267,12.855869,2.610718
0.020000,2.629846,14.582650,3.612968,2.995129,-5.653819,13.022386,2.632583
0.020000,2.579117,14.610237,3.670713,2.887265,-5.393177,13.032127,2.654596
0.020000,2.529618,14.635757,3.726404,2.784553,-5.135630,12.877317,2.676666
0.020000,2.481323,14.659323,3.780141,2.686863,-4.884477,12.557666,2.698702
0.020000,2.434209,14.681044,3.832021,2.594006,-4.642871,12.080293,2.720619
0.020000,2.388251,14.701027,3.882136,2.505732,-4.413690,11.459068,2.742336
0.020000,2.343427,14.719378,3.930571,2.421744,-4.199420,10.713505,2.763776
0.020000,2.299716,14.736195,3.977405,2.341702,-4.002074,9.867285,2.784869
0.020000,2.257103,14.751577,4.022710,2.265239,-3.823141,8.946637,2.805552
0.020000,2.215572,14.765615,4.066549,2.191968,-3.663568,7.978650,2.825767
0.020000,2.175113,14.778396,4.108979,2.121492,-3.523773,6.989756,2.845466
0.020000,2.135719,14.790004,4.150047,2.053419,-3.403684,6.004441,2.864605
0.020000,2.097388,14.800519,4.189795,1.987363,-3.302798,5.044293,2.883148
0.020000,2.060119,14.810014,4.228254,1.922958,-3.220252,4.127334,2.901066
0.020000,2.023917,14.818563,4.265451,1.859860,-3.154896,3.267794,2.918337
0.020000,1.988790,14.826232,4.301406,1.797752,-3.105375,2.476046,2.934942
0.020000,1.954746,14.833086,4.336133,1.736348,-3.070198,1.758826,2.950868
0.020000,1.921798,14.839187,4.369641,1.675392,-3.047805,1.119682,2.966109
0.020000,1.889961,14.844593,4.401934,1.614660,-3.036618,0.559356,2.980659
0.020000,1.859249,14.849360,4.433013,1.553958,-3.035091,0.076354,2.994518
0.020000,1.829681,14.853541,4.462876,1.493123,-3.041741,-0.332518,3.007690
0.020000,1.801274,14.857187,4.491516,1.432020,-3.055176,-0.671748,3.020177
0.020000,1.774045,14.860346,4.518927,1.370538,-3.074108,-0.946590,3.031988
0.020000,1.748015,14.863063,4.545099,1.308590,-3.097364,-1.162836,3.043130
0.020000,1.723201,14.865383,4.570021,1.246113,-3.123892,-1.326381,3.053613
0.020000,1.699621,14.867346,4.593682,1.183057,-3.152755,-1.443135,3.063448
0.020000,1.677294,14.868991,4.616070,1.119395,-3.183129,-1.518715,3.072644
0.020000,1.656236,14.870354,4.637172,1.055109,-3.214298,-1.558469,3.081213
0.020000,1.636464,14.871470,4.656976,0.990196,-3.245644,-1.567289,3.089166
0.020000,1.617992,14.872371,4.675469,0.924663,-3.276637,-1.549664,3.096515
0.020000,1.600837,14.873087,4.692640,0.858527,-3.306829,-1.509590,3.103269
0.020000,1.585010,14.873645,4.708476,0.791810,-3.335840,-1.450554,3.109440
0.020000,1.570526,14.874070,4.722967,0.724543,-3.363356,-1.375767,3.115036
0.020000,1.557394,14.874386,4.736102,0.656761,-3.389112,-1.287812,3.120068
0.020000,1.545626,14.874613,4.747872,0.588503,-3.412894,-1.189080,3.124543
0.020000,1.535231,14.874770,4.758268,0.519812,-3.434524,-1.081542,3.128470
0.020000,1.526217,14.874873,4.767283,0.450735,-3.453861,-0.966850,3.131855
0.020000,1.518591,14.874936,4.774909,0.381319,-3.470791,-0.846460,3.134703
0.020000,1.512359,14.874972,4.781142,0.311615,-3.485222,-0.721545,3.137022
0.020000,1.507525,14.874990,4.785975,0.241673,-3.497083,-0.593099,3.138814
0.020000,1.504086,14.874997,4.789415,0.171969,-3.485195,0.594432,3.140085
0.020000,1.501894,14.874999,4.791606,0.109593,-3.118825,18.318479,3.140894
0.020000,1.500670,14.875000,4.792831,0.061216,-2.418840,34.999287,3.141346
0.020000,1.500132,14.875000,4.793368,0.026883,-1.716665,35.108703,3.141544
0.020000,1.500000,14.875000,4.793501,0.006615,-1.013359,35.165302,3.141593
0.020000,1.500000,14.875000,4.793501,0.000000,-0.330766,34.129689,3.141593
