dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.723045,13.861876,0.000199,0.019911,0.995554,49.777694,2.443438
0.020000,6.722546,13.862295,0.000851,0.032578,0.633325,-18.111460,2.443309
0.020000,6.721423,13.863238,0.002317,0.073315,2.036881,70.177813,2.443019
0.020000,6.719427,13.864915,0.004925,0.130392,2.853822,40.847051,2.442506
0.020000,6.716307,13.867541,0.009002,0.203874,3.674119,41.014874,2.441705
0.020000,6.711938,13.871224,0.014716,0.285704,4.091520,20.870004,2.440590
0.020000,6.706320,13.875972,0.022073,0.367815,4.105547,0.701356,2.439164
0.020000,6.699451,13.881797,0.031078,0.450287,4.123563,0.900838,2.437435
0.020000,6.691330,13.888709,0.041742,0.533198,4.145555,1.099569,2.435410
0.020000,6.681957,13.896723,0.054075,0.616628,4.171501,1.297305,2.433098
0.020000,6.671328,13.905855,0.068088,0.700655,4.201376,1.493756,2.430510
0.020000,6.659442,13.916123,0.083795,0.785358,4.235148,1.688604,2.427659
0.020000,6.646296,13.927548,0.101211,0.870814,4.272778,1.881478,2.424556
0.020000,6.631889,13.940151,0.120353,0.957098,4.314217,2.071976,2.421218
0.020000,6.616217,13.953957,0.141239,1.044286,4.359411,2.259673,2.417659
0.020000,6.599276,13.968990,0.163888,1.132452,4.408293,2.444109,2.413899
0.020000,6.581064,13.985278,0.188322,1.221668,4.460789,2.624832,2.409954
0.020000,6.561576,14.002849,0.214562,1.312004,4.516817,2.801400,2.405845
0.020000,6.540806,14.021733,0.242632,1.403530,4.576285,2.973379,2.401594
0.020000,6.518751,14.041960,0.272558,1.496312,4.639093,3.140411,2.397222
0.020000,6.495404,14.063563,0.304367,1.590415,4.705137,3.302183,2.392754
0.020000,6.470759,14.086575,0.338085,1.685901,4.774307,3.458483,2.388213
0.020000,6.444808,14.111028,0.373741,1.782831,4.846491,3.609221,2.383625
0.020000,6.417544,14.136956,0.411367,1.881262,4.921579,3.754426,2.379018
0.020000,6.388956,14.164395,0.450992,1.981251,4.999465,3.894300,2.374418
0.020000,6.359035,14.193379,0.492649,2.082852,5.080050,4.029219,2.369854
0.020000,6.327768,14.223941,0.536371,2.186117,5.163245,4.159750,2.365357
0.020000,6.295144,14.256116,0.582193,2.291097,5.248978,4.286671,2.360956
0.020000,6.261145,14.289939,0.630150,2.397841,5.337198,4.410988,2.356682
0.020000,6.225756,14.325441,0.680278,2.506398,5.427876,4.533919,2.352569
0.020000,6.188957,14.362656,0.732614,2.616819,5.521015,4.656934,2.348649
0.020000,6.150726,14.401614,0.787197,2.729152,5.616649,4.781713,2.344956
0.020000,6.111040,14.442345,0.844066,2.843449,5.714853,4.910185,2.341525
0.020000,6.069869,14.484878,0.903261,2.959764,5.815743,5.044483,2.338392
0.020000,6.027183,14.529239,0.964825,3.078153,5.919482,5.186952,2.335594
0.020000,5.982946,14.575453,1.028798,3.198679,6.026284,5.340124,2.333168
0.020000,5.937118,14.623542,1.095226,3.321407,6.136418,5.506701,2.331155
0.020000,5.889656,14.673526,1.164154,3.446411,6.250208,5.689512,2.329594
0.020000,5.840507,14.725422,1.235630,3.573772,6.368038,5.891494,2.328527
0.020000,5.789616,14.779243,1.309701,3.703579,6.490351,6.115620,2.327999
0.020000,5.736920,14.835000,1.386420,3.835932,6.617648,6.364853,2.328053
0.020000,5.682348,14.892700,1.465839,3.970942,6.750489,6.642045,2.328737
0.020000,5.625822,14.952344,1.548014,4.108732,6.889485,6.949834,2.330102
0.020000,5.567253,15.013930,1.633002,4.249438,7.035295,7.290484,2.332197
0.020000,5.506545,15.077448,1.720867,4.393210,7.188609,7.665688,2.335079
0.020000,5.443588,15.142885,1.811671,4.540212,7.350135,8.076296,2.338805
0.020000,5.378265,15.210217,1.905483,4.690624,7.520574,8.521967,2.343434
0.020000,5.310442,15.279414,2.002376,4.844636,7.700588,9.000698,2.349032
0.020000,5.239974,15.350436,2.102425,5.002451,7.890753,9.508239,2.355666
0.020000,5.166702,15.423231,2.205711,5.164281,8.091499,10.037304,2.363406
0.020000,5.090451,15.497734,2.312317,5.330341,8.303031,10.576611,2.372329
0.020000,5.011192,15.573712,2.422111,5.489671,7.966473,-16.827907,2.382492
0.020000,4.929061,15.650759,2.534724,5.630653,7.049126,-45.867346,2.393923
0.020000,4.844210,15.728453,2.649772,5.752385,6.086605,-48.126045,2.406632
0.020000,4.756826,15.806349,2.766835,5.853162,5.038818,-52.389346,2.420613
0.020000,4.667303,15.883839,2.885237,5.920129,3.348385,-84.521665,2.435806
0.020000,4.576078,15.960321,3.004282,5.952204,1.603728,-87.232829,2.452122
0.020000,4.483465,16.035348,3.123472,5.959513,0.365437,-61.914559,2.469474
0.020000,4.389826,16.108482,3.242286,5.940708,-0.940237,-65.283692,2.487752
0.020000,4.295565,16.179307,3.360189,5.895173,-2.276756,-66.825989,2.506824
0.020000,4.200940,16.247573,3.476869,5.833986,-3.059360,-39.130173,2.526579
0.020000,4.106047,16.313178,3.592232,5.768163,-3.291150,-11.589516,2.546933
0.020000,4.011000,16.376033,3.706182,5.697494,-3.533434,-12.114170,2.567800
0.020000,3.915930,16.436062,3.818618,5.621808,-3.784304,-12.543501,2.589093
0.020000,3.820978,16.493204,3.929438,5.540981,-4.041341,-12.851883,2.610718
0.020000,3.726300,16.547412,4.038537,5.454947,-4.301710,-13.018414,2.632583
0.020000,3.632057,16.598658,4.145811,5.363701,-4.562275,-13.028280,2.654596
0.020000,3.538422,16.646930,4.251157,5.267306,-4.819749,-12.873686,2.676666
0.020000,3.445567,16.692236,4.354475,5.165890,-5.070836,-12.554343,2.698702
0.020000,3.353669,16.734600,4.455668,5.059642,-5.312383,-12.077347,2.720619
0.020000,3.262902,16.774065,4.554644,4.948812,-5.541514,-11.456556,2.742336
0.020000,3.173434,16.810690,4.651318,4.833697,-5.755743,-10.711450,2.763776
0.020000,3.085430,16.844549,4.745611,4.714636,-5.953057,-9.865715,2.784869
0.020000,2.999045,16.875729,4.837451,4.591996,-6.131968,-8.945538,2.805552
0.020000,2.914424,16.904330,4.926774,4.466166,-6.291528,-7.978002,2.825767
0.020000,2.831703,16.930462,5.013525,4.337540,-6.431318,-6.989522,2.845466
0.020000,2.751004,16.954242,5.097655,4.206511,-6.551410,-6.004586,2.864605
0.020000,2.672436,16.975793,5.179124,4.073465,-6.652305,-5.044739,2.883148
0.020000,2.596100,16.995243,5.257900,3.938768,-6.734866,-4.128062,2.901066
0.020000,2.522080,17.012722,5.333955,3.802763,-6.800241,-3.268729,2.918337
0.020000,2.450452,17.028360,5.407270,3.665767,-6.849783,-2.477124,2.934942
0.020000,2.381279,17.042287,5.477832,3.528068,-6.884984,-1.760042,2.950868
0.020000,2.314614,17.054631,5.545630,3.389920,-6.907403,-1.120954,2.966109
0.020000,2.250501,17.065518,5.610661,3.251547,-6.918616,-0.560652,2.980659
0.020000,2.188975,17.075069,5.672924,3.113144,-6.920170,-0.077670,2.994518
0.020000,2.130063,17.083400,5.732421,2.974873,-6.913545,0.331238,3.007690
0.020000,2.073787,17.090623,5.789159,2.836870,-6.900135,0.670482,3.020177
0.020000,2.020162,17.096844,5.843144,2.699246,-6.881227,0.945414,3.031988
0.020000,1.969198,17.102165,5.894385,2.562086,-6.857993,1.161705,3.043130
0.020000,1.920899,17.106681,5.942894,2.425456,-6.831486,1.325345,3.053613
0.020000,1.875269,17.110479,5.988683,2.289403,-6.802643,1.442138,3.063448
0.020000,1.832306,17.113644,6.031762,2.153958,-6.772287,1.517812,3.072644
0.020000,1.792008,17.116254,6.072144,2.019135,-6.741134,1.557636,3.081213
0.020000,1.754369,17.118379,6.109843,1.884939,-6.709803,1.566559,3.089166
0.020000,1.719383,17.120086,6.144870,1.751362,-6.678823,1.548991,3.096515
0.020000,1.687044,17.121435,6.177238,1.618390,-6.648644,1.508942,3.103269
0.020000,1.657342,17.122482,6.206958,1.485997,-6.619643,1.450056,3.109440
0.020000,1.630271,17.123277,6.234041,1.354154,-6.592138,1.375241,3.115036
0.020000,1.605821,17.123865,6.258498,1.222826,-6.566390,1.287399,3.120068
0.020000,1.583986,17.124286,6.280337,1.091974,-6.542616,1.188720,3.124543
0.020000,1.564757,17.124576,6.299568,0.961554,-6.520992,1.081202,3.128470
0.020000,1.548128,17.124766,6.316199,0.831521,-6.501660,0.966584,3.131855
0.020000,1.534092,17.124883,6.330235,0.701826,-6.484736,0.846218,3.134703
0.020000,1.522643,17.124948,6.341684,0.572420,-6.470309,0.721342,3.137022
0.020000,1.513778,17.124981,6.350549,0.443251,-6.458449,0.592980,3.138814
0.020000,1.507478,17.124994,6.356849,0.315040,-6.410523,2.396335,3.140085
0.020000,1.503465,17.124999,6.360862,0.200610,-5.721522,34.450052,3.140894
0.020000,1.501225,17.125000,6.363102,0.112002,-4.430400,64.556086,3.141346
0.020000,1.500242,17.125000,6.364085,0.049173,-3.141466,64.446678,3.141544
0.020000,1.500000,17.125000,6.364327,0.012099,-1.853665,64.390061,3.141593
0.020000,1.500000,17.125000,6.364327,0.000000,-0.604970,62.434766,3.141593
