dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000174,1.125000,0.000199,0.019909,0.995465,49.773271,0.000000
0.020000,0.000771,1.125000,0.000796,0.029864,0.497733,-24.886635,0.000000
0.020000,0.001767,1.125000,0.001792,0.049773,0.995465,24.886635,0.000000
0.020000,0.003160,1.125000,0.003185,0.069683,0.995465,0.000000,0.000000
0.020000,0.004952,1.125000,0.004977,0.089592,0.995465,0.000000,0.000000
0.020000,0.007142,1.125000,0.007167,0.109501,0.995465,-0.000000,0.000000
0.020000,0.009731,1.125000,0.009756,0.129411,0.995465,0.000000,0.000000
0.020000,0.012717,1.125000,0.012742,0.149320,0.995465,0.000000,0.000000
0.020000,0.016102,1.125000,0.016127,0.169229,0.995465,-0.000000,0.000000
0.020000,0.019884,1.125000,0.019909,0.189138,0.995465,-0.000000,0.000000
0.020000,0.024065,1.125000,0.024090,0.209048,0.995465,0.000000,0.000000
0.020000,0.028644,1.125000,0.028669,0.228957,0.995465,-0.000000,0.000000
0.020000,0.033622,1.125000,0.033647,0.248866,0.995465,0.000000,0.000000
0.020000,0.038997,1.125000,0.039022,0.268776,0.995465,0.000000,0.000000
0.020000,0.044771,1.125000,0.044796,0.288685,0.995465,-0.000000,0.000000
0.020000,0.050943,1.125000,0.050968,0.308594,0.995465,0.000000,0.000000
0.020000,0.057513,1.125000,0.057538,0.328504,0.995465,-0.000000,0.000000
0.020000,0.064481,1.125000,0.064506,0.348413,0.995465,-0.000000,0.000000
0.020000,0.071848,1.125000,0.071873,0.368322,0.995465,0.000000,0.000000
0.020000,0.079612,1.125000,0.079637,0.388232,0.995465,-0.000000,0.000000
0.020000,0.087775,1.125000,0.087800,0.408141,0.995465,-0.000000,0.000000
0.020000,0.096336,1.125000,0.096361,0.428050,0.995465,0.000000,0.000000
0.020000,0.105295,1.125000,0.105320,0.447959,0.995465,-0.000000,0.000000
0.020000,0.114653,1.125000,0.114678,0.467869,0.995465,0.000000,0.000000
0.020000,0.124408,1.125000,0.124433,0.487778,0.995465,-0.000000,0.000000
0.020000,0.134562,1.125000,0.134587,0.507687,0.995465,0.000000,0.000000
0.020000,0.145114,1.125000,0.145139,0.527597,0.995465,-0.000000,0.000000
0.020000,0.156064,1.125000,0.156089,0.547506,0.995465,0.000000,0.000000
0.020000,0.167412,1.125000,0.167437,0.567415,0.995465,0.000000,0.000000
0.020000,0.179159,1.125000,0.179184,0.587325,0.995465,-0.000000,0.000000
0.020000,0.191303,1.125000,0.191328,0.607234,0.995465,0.000000,0.000000
0.020000,0.203846,1.125000,0.203871,0.627143,0.995465,-0.000000,0.000000
0.020000,0.216787,1.125000,0.216812,0.647053,0.995465,0.000000,0.000000
0.020000,0.230127,1.125000,0.230152,0.666962,0.995465,0.000000,0.000000
0.020000,0.243864,1.125000,0.243889,0.686871,0.995465,-0.000000,0.000000
0.020000,0.258000,1.125000,0.258025,0.706780,0.995465,0.000000,0.000000
0.020000,0.272533,1.125000,0.272558,0.726690,0.995465,-0.000000,0.000000
0.020000,0.287465,1.125000,0.287490,0.746599,0.995465,0.000000,0.000000
0.020000,0.302796,1.125000,0.302821,0.766508,0.995465,0.000000,0.000000
0.020000,0.318524,1.125000,0.318549,0.786418,0.995465,-0.000000,0.000000
0.020000,0.334650,1.125000,0.334675,0.806327,0.995465,-0.000000,0.000000
0.020000,0.351175,1.125000,0.351200,0.826236,0.995465,0.000000,0.000000
0.020000,0.368098,1.125000,0.368123,0.846146,0.995465,0.000000,0.000000
0.020000,0.385419,1.125000,0.385444,0.866055,0.995465,-0.000000,0.000000
0.020000,0.403138,1.125000,0.403163,0.885964,0.995465,0.000000,0.000000
0.020000,0.421256,1.125000,0.421281,0.905874,0.995465,-0.000000,0.000000
0.020000,0.439772,1.125000,0.439797,0.925783,0.995465,0.000000,0.000000
0.020000,0.458685,1.125000,0.458710,0.945692,0.995465,-0.000000,0.000000
0.020000,0.477997,1.125000,0.478022,0.965601,0.995465,0.000000,0.000000
0.020000,0.497708,1.125000,0.497733,0.985511,0.995465,-0.000000,0.000000
0.020000,0.517816,1.125000,0.517841,1.005420,0.995465,0.000000,0.000000
0.020000,0.538323,1.125000,0.538348,1.025329,0.995465,-0.000000,0.000000
0.020000,0.559227,1.125000,0.559252,1.045239,0.995465,0.000000,0.000000
0.020000,0.580530,1.125000,0.580555,1.065148,0.995465,0.000000,0.000000
0.020000,0.602232,1.125000,0.602257,1.085057,0.995465,0.000000,0.000000
0.020000,0.624331,1.125000,0.624356,1.104967,0.995465,0.000000,0.000000
0.020000,0.646828,1.125000,0.646853,1.124876,0.995465,-0.000000,0.000000
0.020000,0.669724,1.125000,0.669749,1.144785,0.995465,0.000000,0.000000
0.020000,0.693018,1.125000,0.693043,1.164695,0.995465,0.000000,0.000000
0.020000,0.716710,1.125000,0.716735,1.184604,0.995465,0.000000,0.000000
0.020000,0.740800,1.125000,0.740825,1.204513,0.995465,0.000000,0.000000
0.020000,0.765289,1.125000,0.765314,1.224422,0.995465,0.000000,0.000000
0.020000,0.790175,1.125000,0.790200,1.244332,0.995465,-0.000000,0.000000
0.020000,0.815460,1.125000,0.815485,1.264241,0.995465,0.000000,0.000000
0.020000,0.841143,1.125000,0.841168,1.284150,0.995465,0.000000,0.000000
0.020000,0.867224,1.125000,0.867249,1.304060,0.995465,-0.000000,0.000000
0.020000,0.893704,1.125000,0.893729,1.323969,0.995465,0.000000,0.000000
0.020000,0.920581,1.125000,0.920606,1.343878,0.995465,-0.000000,0.000000
0.020000,0.947857,1.125000,0.947882,1.363788,0.995465,-0.000000,0.000000
0.020000,0.975531,1.125000,0.975556,1.383697,0.995465,0.000000,0.000000
