dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300085,21.705000,0.000198,0.019817,0.990854,49.542683,0.000007
0.020000,3.300957,21.705000,0.001070,0.043597,1.189021,9.908345,0.000077
0.020000,3.302919,21.705000,0.003032,0.098093,2.724776,76.787785,0.000236
0.020000,3.306406,21.705002,0.006520,0.174383,3.814501,54.486213,0.000518
0.020000,3.311638,21.705005,0.011751,0.261564,4.359028,27.226392,0.000940
0.020000,3.318612,21.705014,0.018726,0.348731,4.358370,-0.032934,0.001503
0.020000,3.327330,21.705030,0.027443,0.435881,4.357488,-0.044059,0.002206
0.020000,3.337790,21.705058,0.037903,0.523008,4.356381,-0.055352,0.003048
0.020000,3.349992,21.705101,0.050106,0.610109,4.355046,-0.066780,0.004030
0.020000,3.363935,21.705165,0.064049,0.697179,4.353477,-0.078454,0.005151
0.020000,3.379619,21.705255,0.079733,0.784212,4.351670,-0.090333,0.006409
0.020000,3.397043,21.705379,0.097157,0.871205,4.349620,-0.102491,0.007805
0.020000,3.416205,21.705544,0.116320,0.958151,4.347321,-0.114942,0.009338
0.020000,3.437105,21.705756,0.137221,1.045046,4.344767,-0.127720,0.011006
0.020000,3.459741,21.706026,0.159859,1.131885,4.341950,-0.140856,0.012808
0.020000,3.484112,21.706362,0.184232,1.218663,4.338863,-0.154355,0.014745
0.020000,3.510217,21.706773,0.210340,1.305373,4.335498,-0.168259,0.016813
0.020000,3.538052,21.707272,0.238180,1.392010,4.331846,-0.182587,0.019012
0.020000,3.567618,21.707869,0.267751,1.478568,4.327899,-0.197355,0.021341
0.020000,3.598910,21.708575,0.299052,1.565040,4.323648,-0.212560,0.023798
0.020000,3.631928,21.709404,0.332081,1.651422,4.319082,-0.228260,0.026382
0.020000,3.666669,21.710368,0.366835,1.737706,4.314194,-0.244418,0.029090
0.020000,3.703130,21.711480,0.403312,1.823885,4.308973,-0.261066,0.031921
0.020000,3.741308,21.712756,0.441511,1.909954,4.303408,-0.278217,0.034874
0.020000,3.781199,21.714209,0.481430,1.995903,4.297492,-0.295842,0.037944
0.020000,3.822801,21.715855,0.523064,2.081728,4.291212,-0.313974,0.041132
0.020000,3.866110,21.717709,0.566412,2.167419,4.284561,-0.332578,0.044433
0.020000,3.911121,21.719787,0.611472,2.252969,4.277527,-0.351664,0.047846
0.020000,3.957831,21.722106,0.658239,2.338372,4.270103,-0.371207,0.051369
0.020000,4.006235,21.724683,0.706712,2.423617,4.262279,-0.391194,0.054997
0.020000,4.056328,21.727535,0.756886,2.508698,4.254047,-0.411604,0.058729
0.020000,4.108105,21.730679,0.808758,2.593606,4.245399,-0.432422,0.062561
0.020000,4.161560,21.734133,0.862324,2.678333,4.236327,-0.453587,0.066491
0.020000,4.216688,21.737915,0.917582,2.762869,4.226825,-0.475112,0.070513
0.020000,4.273482,21.742044,0.974526,2.847207,4.216886,-0.496927,0.074626
0.020000,4.331936,21.746538,1.033153,2.931337,4.206506,-0.519001,0.078826
0.020000,4.392044,21.751416,1.093458,3.015251,4.195680,-0.541288,0.083108
0.020000,4.453797,21.756696,1.155436,3.098939,4.184405,-0.563760,0.087468
0.020000,4.517189,21.762397,1.219084,3.182392,4.172678,-0.586340,0.091903
0.020000,4.582212,21.768537,1.284396,3.265602,4.160499,-0.608993,0.096408
0.020000,4.648857,21.775136,1.351367,3.348559,4.147865,-0.631667,0.100979
0.020000,4.717116,21.782213,1.419993,3.431255,4.134779,-0.654291,0.105611
0.020000,4.786981,21.789785,1.490266,3.513680,4.121243,-0.676827,0.110298
0.020000,4.858441,21.797871,1.562183,3.595825,4.107259,-0.699204,0.115037
0.020000,4.931488,21.806489,1.635736,3.677682,4.092831,-0.721367,0.119822
0.020000,5.006112,21.815656,1.710921,3.759241,4.077966,-0.743269,0.124648
0.020000,5.082303,21.825391,1.787731,3.840494,4.062669,-0.764834,0.129509
0.020000,5.160049,21.835711,1.866160,3.921433,4.046949,-0.786026,0.134399
0.020000,5.239342,21.846631,1.946201,4.002050,4.030813,-0.806783,0.139314
0.020000,5.320169,21.858169,2.027847,4.082335,4.014272,-0.827057,0.144246
0.020000,5.402521,21.870339,2.111093,4.162282,3.997336,-0.846805,0.149191
0.020000,5.486384,21.883158,2.195931,4.241882,3.980016,-0.865982,0.154142
0.020000,5.571749,21.896638,2.282353,4.321129,3.962325,-0.884554,0.159092
0.020000,5.658603,21.910795,2.370354,4.400014,3.944275,-0.902491,0.164035
0.020000,5.746935,21.925641,2.459924,4.478532,3.925880,-0.919764,0.168965
0.020000,5.836733,21.941187,2.551058,4.556675,3.907153,-0.936359,0.173875
0.020000,5.927984,21.957446,2.643746,4.634437,3.888108,-0.952263,0.178759
0.020000,6.020678,21.974428,2.737983,4.711812,3.868758,-0.967473,0.183608
0.020000,6.114801,21.992142,2.833759,4.788794,3.849118,-0.981993,0.188417
0.020000,6.210343,22.010596,2.931066,4.865379,3.829202,-0.995834,0.193179
0.020000,6.307290,22.029799,3.029897,4.941559,3.809021,-1.009019,0.197885
0.020000,6.405632,22.049756,3.130244,5.017331,3.788590,-1.021575,0.202529
0.020000,6.505357,22.070473,3.232098,5.092689,3.767919,-1.033540,0.207104
0.020000,6.606453,22.091954,3.335450,5.167630,3.747020,-1.044962,0.211602
0.020000,6.708908,22.114201,3.440293,5.242148,3.725902,-1.055890,0.216015
0.020000,6.812712,22.137216,3.546618,5.316239,3.704574,-1.066391,0.220336
0.020000,6.917854,22.161000,3.654416,5.389900,3.683044,-1.076532,0.224558
0.020000,7.024322,22.185551,3.763679,5.463126,3.661316,-1.086391,0.228672
0.020000,7.132108,22.210866,3.874397,5.535914,3.639395,-1.096050,0.232671
0.020000,7.241200,22.236942,3.986562,5.608260,3.617283,-1.105601,0.236547
0.020000,7.351589,22.263773,4.100165,5.680159,3.594980,-1.115138,0.240292
0.020000,7.463266,22.291352,4.215197,5.751609,3.572485,-1.124760,0.243898
0.020000,7.576222,22.319671,4.331649,5.822605,3.549793,-1.134573,0.247357
0.020000,7.690450,22.348719,4.449512,5.893143,3.526900,-1.144684,0.250660
0.020000,7.805940,22.378485,4.568777,5.963219,3.503796,-1.155201,0.253801
0.020000,7.922685,22.408956,4.689433,6.032828,3.480471,-1.166236,0.256769
0.020000,8.040680,22.440115,4.811473,6.101967,3.456913,-1.177899,0.259557
0.020000,8.159917,22.471946,4.934885,6.170629,3.433107,-1.190298,0.262157
0.020000,8.280390,22.504431,5.059661,6.238809,3.409036,-1.203543,0.264560
0.020000,8.402095,22.537548,5.185791,6.306503,3.384681,-1.217734,0.266757
0.020000,8.525026,22.571275,5.313265,6.373703,3.360022,-1.232972,0.268739
0.020000,8.649180,22.605588,5.442074,6.440404,3.335035,-1.249342,0.270498
0.020000,8.774360,22.640405,5.572005,6.496568,2.808198,-26.341834,0.272023
0.020000,8.900178,22.675590,5.702650,6.532270,1.785082,-51.155797,0.273301
0.020000,9.026252,22.711003,5.833604,6.547682,0.770632,-50.722528,0.274325
0.020000,9.152205,22.746503,5.964464,6.542981,-0.235060,-50.284614,0.275089
0.020000,9.277851,22.782003,6.095029,6.528282,-0.734936,-24.993798,0.275592
0.020000,9.403202,22.817470,6.225301,6.513590,-0.734599,0.016862,0.275833
0.020000,9.528267,22.852871,6.355279,6.498902,-0.734437,0.008106,0.275814
0.020000,9.653054,22.888173,6.484963,6.484213,-0.734452,-0.000756,0.275533
0.020000,9.777572,22.923344,6.614354,6.469520,-0.734644,-0.009609,0.274991
0.020000,9.901831,22.958352,6.743450,6.454820,-0.735011,-0.018340,0.274188
0.020000,10.025840,22.993164,6.872252,6.440109,-0.735548,-0.026833,0.273123
0.020000,10.149606,23.027748,7.000760,6.425384,-0.736247,-0.034973,0.271797
0.020000,10.273139,23.062073,7.128973,6.410642,-0.737100,-0.042643,0.270208
0.020000,10.396446,23.096107,7.256890,6.395880,-0.738095,-0.049725,0.268357
0.020000,10.519535,23.129818,7.384512,6.381095,-0.739216,-0.056096,0.266243
0.020000,10.642414,23.163175,7.511838,6.366287,-0.740449,-0.061637,0.263866
0.020000,10.765089,23.196147,7.638867,6.351451,-0.741774,-0.066221,0.261225
0.020000,10.887568,23.228703,7.765599,6.336588,-0.743168,-0.069721,0.258320
0.020000,11.009857,23.260810,7.892033,6.321696,-0.744608,-0.072006,0.255150
0.020000,11.131963,23.292439,8.018168,6.306774,-0.746067,-0.072943,0.251715
0.020000,11.253891,23.323557,8.144005,6.291824,-0.747515,-0.072398,0.248015
0.020000,11.375647,23.354135,8.269542,6.276845,-0.748920,-0.070232,0.244047
0.020000,11.497235,23.384142,8.394778,6.261841,-0.750246,-0.066307,0.239814
0.020000,11.618662,23.413547,8.519715,6.246811,-0.751455,-0.060479,0.235313
0.020000,11.739931,23.442319,8.644350,6.231761,-0.752508,-0.052613,0.230544
0.020000,11.861046,23.470428,8.768684,6.216694,-0.753359,-0.042560,0.225508
0.020000,11.982010,23.497844,8.892716,6.201615,-0.753963,-0.030189,0.220203
0.020000,12.102827,23.524536,9.016447,6.186529,-0.754270,-0.015354,0.214630
0.020000,12.223500,23.550476,9.139876,6.171445,-0.754228,0.002068,0.208790
0.020000,12.344030,23.575632,9.263003,6.156369,-0.753784,0.022211,0.202681
0.020000,12.464419,23.599975,9.385829,6.141312,-0.752880,0.045190,0.196304
0.020000,12.584670,23.623477,9.508355,6.126282,-0.751458,0.071113,0.189661
0.020000,12.704783,23.646108,9.630581,6.111293,-0.749456,0.100078,0.182750
0.020000,12.824758,23.667838,9.752508,6.096357,-0.746813,0.132162,0.175575
0.020000,12.944595,23.688641,9.874138,6.081488,-0.743465,0.167430,0.168135
0.020000,13.064295,23.708488,9.995472,6.066701,-0.739346,0.205921,0.160432
0.020000,13.183857,23.727350,10.116512,6.052013,-0.734393,0.247652,0.152468
0.020000,13.303279,23.745201,10.237261,6.037442,-0.728541,0.292613,0.144245
0.020000,13.422560,23.762014,10.357721,6.023008,-0.721726,0.340763,0.135766
0.020000,13.541698,23.777762,10.477895,6.008730,-0.713885,0.392024,0.127032
0.020000,13.660691,23.792419,10.597788,5.994631,-0.704959,0.446287,0.118048
0.020000,13.779537,23.805961,10.717403,5.980733,-0.694891,0.503399,0.108817
0.020000,13.898232,23.818362,10.836744,5.967060,-0.683628,0.563163,0.099343
0.020000,14.016773,23.829599,10.955817,5.953638,-0.671121,0.625349,0.089630
0.020000,14.135157,23.839648,11.074627,5.940491,-0.657328,0.689670,0.079684
0.020000,14.253381,23.848486,11.193179,5.927647,-0.642212,0.755797,0.069509
0.020000,14.371438,23.856091,11.311482,5.915132,-0.625745,0.823359,0.059112
0.020000,14.489327,23.862442,11.429542,5.902974,-0.607906,0.891933,0.048499
0.020000,14.607042,23.867520,11.547366,5.891200,-0.588685,0.961071,0.037676
0.020000,14.724577,23.871304,11.664962,5.879839,-0.568080,1.030255,0.026652
0.020000,14.841930,23.873775,11.782341,5.868917,-0.546100,1.098968,0.015433
