dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750239,24.979000,0.000399,0.039855,1.992754,99.637681,0.000006
0.020000,2.751788,24.979000,0.001947,0.077445,1.879507,-5.662331,0.000043
0.020000,2.755273,24.979000,0.005433,0.174254,4.840456,148.047433,0.000125
0.020000,2.761082,24.979001,0.011241,0.290432,5.808877,48.421075,0.000263
0.020000,2.769214,24.979004,0.019374,0.406621,5.809477,0.029976,0.000456
0.020000,2.779671,24.979010,0.029830,0.522828,5.810316,0.041970,0.000704
0.020000,2.792452,24.979021,0.042611,0.639056,5.811395,0.053968,0.001006
0.020000,2.807558,24.979039,0.057717,0.755310,5.812715,0.065971,0.001362
0.020000,2.824990,24.979067,0.075149,0.871595,5.814274,0.077980,0.001771
0.020000,2.844748,24.979106,0.094908,0.987917,5.816074,0.089995,0.002233
0.020000,2.866834,24.979161,0.116993,1.104279,5.818115,0.102017,0.002747
0.020000,2.891247,24.979235,0.141407,1.220687,5.820396,0.114047,0.003312
0.020000,2.917990,24.979332,0.168150,1.337145,5.822917,0.126084,0.003928
0.020000,2.947063,24.979456,0.197223,1.453659,5.825680,0.138130,0.004594
0.020000,2.978467,24.979611,0.228628,1.570233,5.828684,0.150183,0.005308
0.020000,3.012204,24.979803,0.262365,1.686871,5.831928,0.162243,0.006070
0.020000,3.048275,24.980037,0.298437,1.803580,5.835415,0.174310,0.006879
0.020000,3.086681,24.980317,0.336844,1.920362,5.839142,0.186383,0.007733
0.020000,3.127424,24.980651,0.377589,2.037225,5.843111,0.198461,0.008630
0.020000,3.170506,24.981043,0.420672,2.154171,5.847322,0.210542,0.009571
0.020000,3.215928,24.981500,0.466096,2.271207,5.851775,0.222625,0.010552
0.020000,3.263692,24.982029,0.513863,2.388336,5.856469,0.234709,0.011574
0.020000,3.313799,24.982635,0.563974,2.505564,5.861405,0.246791,0.012633
0.020000,3.366253,24.983327,0.616432,2.622896,5.866582,0.258869,0.013728
0.020000,3.421054,24.984110,0.671239,2.740336,5.872001,0.270942,0.014858
0.020000,3.478205,24.984992,0.728397,2.857889,5.877661,0.283006,0.016021
0.020000,3.537708,24.985981,0.787908,2.975560,5.883562,0.295060,0.017215
0.020000,3.599565,24.987084,0.849775,3.093354,5.889704,0.307100,0.018438
0.020000,3.663779,24.988309,0.914000,3.211276,5.896087,0.319124,0.019687
0.020000,3.730352,24.989662,0.980587,3.329330,5.902709,0.331129,0.020961
0.020000,3.799286,24.991152,1.049537,3.447522,5.909572,0.343113,0.022257
0.020000,3.870584,24.992786,1.120854,3.565855,5.916673,0.355073,0.023573
0.020000,3.944249,24.994572,1.194541,3.684335,5.924013,0.367006,0.024907
0.020000,4.020284,24.996518,1.270601,3.802967,5.931591,0.378911,0.026256
0.020000,4.098690,24.998631,1.349036,3.921755,5.939407,0.390785,0.027618
0.020000,4.179472,25.000918,1.429850,4.040705,5.947460,0.402626,0.028990
0.020000,4.262632,25.003387,1.513046,4.159820,5.955748,0.414432,0.030369
0.020000,4.348173,25.006045,1.598628,4.279105,5.964272,0.426204,0.031752
0.020000,4.436098,25.008899,1.686600,4.398566,5.973031,0.437938,0.033138
0.020000,4.526410,25.011956,1.776964,4.518206,5.982024,0.449636,0.034522
0.020000,4.619113,25.015222,1.869724,4.638031,5.991250,0.461296,0.035902
0.020000,4.714210,25.018703,1.964885,4.758045,6.000708,0.472921,0.037274
0.020000,4.811705,25.022406,2.062450,4.878253,6.010398,0.484511,0.038636
0.020000,4.911601,25.026335,2.162423,4.998660,6.020320,0.496067,0.039985
0.020000,5.013902,25.030496,2.264809,5.119269,6.030472,0.507594,0.041316
0.020000,5.118611,25.034894,2.369611,5.240086,6.040854,0.519092,0.042627
0.020000,5.225733,25.039533,2.476833,5.361115,6.051465,0.530568,0.043915
0.020000,5.335272,25.044416,2.586480,5.482362,6.062305,0.542024,0.045175
0.020000,5.447231,25.049547,2.698557,5.603829,6.073375,0.553468,0.046403
0.020000,5.561615,25.054927,2.813067,5.725522,6.084673,0.564904,0.047598
0.020000,5.678428,25.060560,2.930016,5.847446,6.096200,0.576340,0.048754
0.020000,5.797675,25.066445,3.049408,5.969606,6.107955,0.587784,0.049867
0.020000,5.919360,25.072584,3.171248,6.092004,6.119940,0.599244,0.050935
0.020000,6.043489,25.078976,3.295541,6.214647,6.132155,0.610729,0.051953
0.020000,6.170065,25.085620,3.422292,6.337539,6.144600,0.622250,0.052916
0.020000,6.299095,25.092514,3.551506,6.460685,6.157276,0.633815,0.053821
0.020000,6.430583,25.099654,3.683187,6.584089,6.170185,0.645438,0.054664
0.020000,6.564535,25.107037,3.817343,6.707755,6.183327,0.657127,0.055440
0.020000,6.700956,25.114657,3.953976,6.831689,6.196705,0.668895,0.056144
0.020000,6.839852,25.122508,4.093094,6.955896,6.210320,0.680754,0.056774
0.020000,6.981229,25.130583,4.234702,7.080379,6.224175,0.692715,0.057323
0.020000,7.125093,25.138874,4.378805,7.205145,6.238270,0.704790,0.057788
0.020000,7.271451,25.147369,4.525409,7.330197,6.252610,0.716989,0.058163
0.020000,7.420308,25.156059,4.674519,7.455541,6.267197,0.729324,0.058444
0.020000,7.571672,25.164931,4.826143,7.581181,6.282033,0.741804,0.058627
0.020000,7.725550,25.173970,4.980286,7.707124,6.297121,0.754436,0.058705
0.020000,7.881947,25.183161,5.136953,7.833373,6.312466,0.767228,0.058675
0.020000,8.040872,25.192487,5.296152,7.959935,6.328070,0.780184,0.058531
0.020000,8.202333,25.201928,5.457888,8.086813,6.343936,0.793307,0.058268
0.020000,8.366336,25.211465,5.622168,8.214015,6.360068,0.806596,0.057881
0.020000,8.532890,25.221075,5.788999,8.341544,6.376469,0.820048,0.057364
0.020000,8.702003,25.230733,5.958387,8.469407,6.393142,0.833654,0.056712
0.020000,8.873682,25.240413,6.130339,8.597609,6.410090,0.847404,0.055920
0.020000,9.047937,25.250088,6.304863,8.726155,6.427315,0.861278,0.054981
0.020000,9.224775,25.259726,6.481964,8.855051,6.444821,0.875255,0.053891
0.020000,9.404207,25.269295,6.661650,8.984304,6.462607,0.889302,0.052643
0.020000,9.586239,25.278759,6.843928,9.113917,6.480674,0.903384,0.051231
0.020000,9.770882,25.288083,7.028806,9.243897,6.499023,0.917453,0.049650
0.020000,9.958144,25.297226,7.216291,9.374251,6.517652,0.931452,0.047893
0.020000,10.148034,25.306145,7.406391,9.504982,6.536559,0.945315,0.045955
0.020000,10.340562,25.314797,7.599113,9.636096,6.555738,0.958962,0.043828
0.020000,10.535736,25.323132,7.794465,9.767600,6.575184,0.972300,0.041508
0.020000,10.733565,25.331101,7.992454,9.899498,6.594888,0.985222,0.038986
0.020000,10.934059,25.338651,8.193090,10.031795,6.614840,0.997604,0.036258
0.020000,11.137226,25.345724,8.396380,10.164495,6.635026,1.009304,0.033316
0.020000,11.343074,25.352262,8.602332,10.297604,6.655430,1.020161,0.030153
0.020000,11.551612,25.358201,8.810955,10.431124,6.676030,1.029994,0.026763
0.020000,11.762847,25.363476,9.022256,10.565060,6.696801,1.038596,0.023139
0.020000,11.976787,25.368018,9.236244,10.699415,6.717716,1.045740,0.019275
0.020000,12.193439,25.371752,9.452928,10.834190,6.738740,1.051169,0.015163
0.020000,12.412808,25.374603,9.672316,10.969386,6.759832,1.054602,0.010797
0.020000,12.634900,25.376491,9.894416,11.105005,6.780946,1.055727,0.006169
0.020000,12.859310,25.377332,10.118827,11.220558,5.777649,-50.164872,0.001283
0.020000,13.085218,25.377046,10.344736,11.295433,3.743745,-101.695214,6.279336
0.020000,13.311802,25.375570,10.571324,11.329429,1.699795,-102.197477,6.273975
0.020000,13.538644,25.372852,10.798182,11.342904,0.673753,-51.302090,6.268394
0.020000,13.765735,25.368838,11.025309,11.356338,0.671694,-0.102981,6.262595
0.020000,13.993066,25.363476,11.252704,11.369722,0.669199,-0.124720,6.256578
0.020000,14.220627,25.356714,11.480365,11.383046,0.666231,-0.148395,6.250345
0.020000,14.448405,25.348500,11.708291,11.396301,0.662751,-0.174028,6.243895
0.020000,14.676387,25.338781,11.936480,11.409476,0.658718,-0.201634,6.237231
0.020000,14.904560,25.327505,12.164931,11.422558,0.654094,-0.231212,6.230354
0.020000,15.132908,25.314622,12.393642,11.435534,0.648839,-0.262748,6.223266
0.020000,15.361413,25.300081,12.622610,11.448393,0.642915,-0.296214,6.215969
0.020000,15.590059,25.283831,12.851832,11.461118,0.636283,-0.331559,6.208465
0.020000,15.818480,25.265851,13.080960,11.456402,-0.235801,-43.604197,6.200767
0.020000,16.045897,25.246168,13.309227,11.413336,-2.153321,-95.875997,6.192907
0.020000,16.271456,25.224845,13.535792,11.328235,-4.255046,-105.086251,6.184920
0.020000,16.494648,25.201933,13.760157,11.218268,-5.498332,-62.164312,6.176831
0.020000,16.715380,25.177458,13.982241,11.104219,-5.702473,-10.207072,6.168652
0.020000,16.933627,25.151441,14.202033,10.989595,-5.731192,-1.435952,6.160392
0.020000,17.149365,25.123906,14.419521,10.874400,-5.759758,-1.428280,6.152062
0.020000,17.362571,25.094881,14.634694,10.758638,-5.788117,-1.417970,6.143670
0.020000,17.573222,25.064394,14.847540,10.642313,-5.816217,-1.404971,6.135225
0.020000,17.781298,25.032480,15.058049,10.525433,-5.844002,-1.389258,6.126736
0.020000,17.986776,24.999172,15.266209,10.408005,-5.871419,-1.370838,6.118213
0.020000,18.189636,24.964509,15.472010,10.290037,-5.898413,-1.349735,6.109663
0.020000,18.399002,24.926135,15.684863,10.642669,17.631614,1176.501380,6.093363
0.020000,18.606011,24.884550,15.896008,10.557226,-4.272140,-1095.187695,6.076572
0.020000,18.809246,24.840225,16.104020,10.400617,-7.830462,-177.916107,6.060385
0.020000,19.008689,24.793396,16.308887,10.243355,-7.863075,-1.630643,6.044811
0.020000,19.204335,24.744296,16.510601,10.085672,-7.884158,-1.054163,6.029857
0.020000,19.396191,24.693151,16.709156,9.927781,-7.894572,-0.520733,6.015528
0.020000,19.584270,24.640177,16.904554,9.769876,-7.895245,-0.033635,6.001822
0.020000,19.768599,24.585585,17.096796,9.612133,-7.887136,0.405483,5.988738
0.020000,19.949207,24.529574,17.285891,9.454709,-7.871208,0.796354,5.976270
0.020000,20.126134,24.472338,17.471845,9.297741,-7.848411,1.139868,5.964411
0.020000,20.299423,24.414057,17.654672,9.141348,-7.819655,1.437820,5.953151
0.020000,20.469122,24.354904,17.834385,8.985632,-7.785801,1.692684,5.942480
0.020000,20.635281,24.295044,18.010999,8.830679,-7.747653,1.907410,5.932384
0.020000,20.797956,24.234628,18.184530,8.676560,-7.705948,2.085244,5.922851
0.020000,20.957202,24.173803,18.354996,8.523333,-7.661356,2.229579,5.913866
0.020000,21.113075,24.112703,18.522417,8.371043,-7.614480,2.343836,5.905414
0.020000,21.265635,24.051456,18.686812,8.219726,-7.565852,2.431368,5.897478
0.020000,21.414937,23.990179,18.848200,8.069407,-7.515944,2.495390,5.890043
0.020000,21.561041,23.928984,19.006602,7.920104,-7.465166,2.538931,5.883091
0.020000,21.704003,23.867973,19.162039,7.771826,-7.413870,2.564799,5.876607
0.020000,21.843880,23.807241,19.314530,7.624579,-7.362359,2.575564,5.870574
0.020000,21.980725,23.746877,19.464097,7.478361,-7.310888,2.573552,5.864974
0.020000,22.114592,23.686963,19.610761,7.333168,-7.259671,2.560841,5.859792
0.020000,22.245533,23.627574,19.754541,7.188990,-7.208885,2.539277,5.855009
0.020000,22.373597,23.568779,19.895457,7.045817,-7.158676,2.510479,5.850612
0.020000,22.498834,23.510642,20.033530,6.903634,-7.109158,2.475857,5.846582
0.020000,22.621289,23.453222,20.168778,6.762425,-7.060426,2.436628,5.842904
0.020000,22.741005,23.396573,20.301221,6.622174,-7.012549,2.393832,5.839563
0.020000,22.858027,23.340743,20.430879,6.482862,-6.965582,2.348351,5.836544
0.020000,22.972393,23.285777,20.557768,6.344471,-6.919564,2.300926,5.833830
0.020000,23.084143,23.231715,20.681908,6.206981,-6.874520,2.252173,5.831409
0.020000,23.193312,23.178594,20.803315,6.070371,-6.830468,2.202594,5.829265
0.020000,23.299935,23.126446,20.922008,5.934623,-6.787416,2.152602,5.827384
0.020000,23.404045,23.075301,21.038002,5.799716,-6.745366,2.102518,5.825753
0.020000,23.505672,23.025184,21.151315,5.665629,-6.704314,2.052599,5.824358
0.020000,23.604845,22.976120,21.261961,5.532344,-6.664253,2.003035,5.823187
0.020000,23.701593,22.928127,21.369958,5.399841,-6.625174,1.953967,5.822226
0.020000,23.795939,22.881224,21.475320,5.268100,-6.587064,1.905493,5.821463
0.020000,23.887909,22.835425,21.578062,5.137101,-6.549911,1.857672,5.820886
0.020000,23.977524,22.790744,21.678199,5.006827,-6.513700,1.810535,5.820484
0.020000,24.064807,22.747192,21.775744,4.877259,-6.478418,1.764090,5.820244
0.020000,24.149776,22.704776,21.870712,4.748378,-6.444052,1.718323,5.820156
0.020000,24.232450,22.663505,21.963115,4.620166,-6.410588,1.673208,5.820208
0.020000,24.312846,22.623382,22.052967,4.492606,-6.378013,1.628706,5.820391
0.020000,24.390981,22.584412,22.140281,4.365680,-6.346318,1.584770,5.820694
0.020000,24.466868,22.546596,22.225068,4.239370,-6.315491,1.541347,5.821106
0.020000,24.540522,22.509936,22.307341,4.113659,-6.285523,1.498382,5.821618
0.020000,24.611956,22.474431,22.387112,3.988531,-6.256407,1.455819,5.822221
0.020000,24.681181,22.440079,22.464391,3.863969,-6.228135,1.413599,5.822905
0.020000,24.748207,22.406878,22.539190,3.739954,-6.200702,1.371668,5.823661
0.020000,24.813047,22.374825,22.611520,3.616472,-6.174102,1.329972,5.824482
0.020000,24.875707,22.343914,22.681390,3.493506,-6.148333,1.288462,5.825357
0.020000,24.936198,22.314142,22.748811,3.371038,-6.123391,1.247091,5.826280
0.020000,24.994527,22.285502,22.813792,3.249052,-6.099275,1.205816,5.827242
0.020000,25.050702,22.257988,22.876342,3.127533,-6.075983,1.164600,5.828236
0.020000,25.104728,22.231593,22.936472,3.006463,-6.053515,1.123409,5.829255
0.020000,25.156613,22.206311,22.994188,2.885825,-6.031870,1.082214,5.830291
0.020000,25.206361,22.182134,23.049500,2.765604,-6.011051,1.040989,5.831338
0.020000,25.253978,22.159054,23.102416,2.645783,-5.991056,0.999716,5.832388
0.020000,25.299469,22.137064,23.152943,2.526345,-5.971889,0.958376,5.833437
0.020000,25.342838,22.116156,23.201088,2.407274,-5.953550,0.916957,5.834478
0.020000,25.384088,22.096321,23.246859,2.288553,-5.936041,0.875449,5.835505
0.020000,25.423223,22.077553,23.290263,2.170166,-5.919364,0.833845,5.836512
0.020000,25.460247,22.059842,23.331305,2.052096,-5.903521,0.792144,5.837496
0.020000,25.495163,22.043182,23.369991,1.934325,-5.888514,0.750340,5.838450
0.020000,25.527972,22.027564,23.406328,1.816838,-5.874345,0.708438,5.839371
0.020000,25.558677,22.012982,23.440320,1.699618,-5.861017,0.666438,5.840253
0.020000,25.587281,21.999427,23.471973,1.582648,-5.848530,0.624343,5.841093
0.020000,25.613786,21.986895,23.501291,1.465910,-5.836887,0.582160,5.841887
0.020000,25.638192,21.975377,23.528279,1.349388,-5.826089,0.539894,5.842631
0.020000,25.660503,21.964868,23.552940,1.233065,-5.816138,0.497550,5.843323
0.020000,25.680718,21.955362,23.575279,1.116925,-5.807035,0.455137,5.843959
0.020000,25.698839,21.946855,23.595298,1.000949,-5.798782,0.412660,5.844537
0.020000,25.714867,21.939340,23.613000,0.885121,-5.791379,0.370126,5.845054
0.020000,25.728804,21.932815,23.628389,0.769425,-5.784828,0.327542,5.845507
0.020000,25.740649,21.927275,23.641466,0.653842,-5.779130,0.284915,5.845896
0.020000,25.750404,21.922717,23.652233,0.538356,-5.774285,0.242251,5.846219
0.020000,25.758069,21.919138,23.660692,0.422951,-5.770294,0.199556,5.846474
0.020000,25.763644,21.916536,23.666844,0.307607,-5.767157,0.156837,5.846660
0.020000,25.767129,21.914910,23.670690,0.192310,-5.764875,0.114098,5.846777
0.020000,25.768815,21.914124,23.672550,0.093015,-4.964750,40.006289,5.846833
0.020000,25.769339,21.913880,23.673129,0.028915,-3.205008,87.987089,5.846851
0.020000,25.769398,21.913852,23.673193,0.003235,-1.283980,96.051397,5.846853
0.020000,25.769398,21.913852,23.673193,0.000000,-0.161761,56.110920,5.846853
