dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750184,22.521000,0.000331,0.033120,1.655987,82.799337,0.000004
0.020000,2.751546,22.521000,0.001694,0.068122,1.750099,4.705609,0.000035
0.020000,2.754612,22.521000,0.004759,0.153272,4.257517,125.370922,0.000104
0.020000,2.759721,22.521001,0.009868,0.255448,5.108793,42.563766,0.000218
0.020000,2.766873,22.521003,0.017020,0.357615,5.108379,-0.020700,0.000379
0.020000,2.776068,22.521008,0.026216,0.459771,5.107799,-0.028983,0.000585
0.020000,2.787307,22.521016,0.037454,0.561913,5.107054,-0.037268,0.000836
0.020000,2.800587,22.521029,0.050735,0.664035,5.106143,-0.045555,0.001132
0.020000,2.815910,22.521049,0.066057,0.766137,5.105066,-0.053846,0.001473
0.020000,2.833274,22.521078,0.083422,0.868213,5.103823,-0.062141,0.001858
0.020000,2.852679,22.521118,0.102827,0.970261,5.102414,-0.070440,0.002287
0.020000,2.874125,22.521172,0.124273,1.072278,5.100839,-0.078743,0.002759
0.020000,2.897610,22.521243,0.147758,1.174260,5.099098,-0.087051,0.003274
0.020000,2.923134,22.521333,0.173282,1.276204,5.097191,-0.095364,0.003830
0.020000,2.950696,22.521447,0.200844,1.378106,5.095117,-0.103682,0.004428
0.020000,2.980295,22.521588,0.230443,1.479964,5.092877,-0.112005,0.005067
0.020000,3.011930,22.521759,0.262079,1.581773,5.090470,-0.120332,0.005746
0.020000,3.045600,22.521964,0.295749,1.683531,5.087897,-0.128664,0.006464
0.020000,3.081304,22.522209,0.331454,1.785234,5.085157,-0.137000,0.007220
0.020000,3.119040,22.522496,0.369192,1.886879,5.082250,-0.145339,0.008013
0.020000,3.158808,22.522831,0.408961,1.988463,5.079177,-0.153680,0.008842
0.020000,3.200606,22.523219,0.450760,2.089982,5.075936,-0.162024,0.009706
0.020000,3.244432,22.523664,0.494589,2.191432,5.072529,-0.170368,0.010605
0.020000,3.290286,22.524172,0.540445,2.292811,5.068955,-0.178713,0.011536
0.020000,3.338164,22.524747,0.588328,2.394116,5.065214,-0.187056,0.012499
0.020000,3.388067,22.525396,0.638234,2.495342,5.061306,-0.195397,0.013492
0.020000,3.439992,22.526123,0.690164,2.596486,5.057231,-0.203734,0.014515
