dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.579697,20.654897,0.000148,0.014837,0.741853,37.092634,0.349083
0.020000,16.580072,20.655033,0.000547,0.019947,0.255516,-24.316851,0.349241
0.020000,16.580916,20.655341,0.001445,0.044893,1.247267,49.587592,0.349597
0.020000,16.582416,20.655888,0.003042,0.079847,1.747733,25.023253,0.350229
0.020000,16.584761,20.656746,0.005539,0.124859,2.250588,25.142784,0.351215
0.020000,16.588141,20.657987,0.009139,0.180006,2.757359,25.338538,0.352632
0.020000,16.592745,20.659687,0.014048,0.245405,3.269951,25.629617,0.354554
0.020000,16.598767,20.661924,0.020472,0.321218,3.790652,26.035034,0.357053
0.020000,16.606307,20.664751,0.028524,0.402620,4.070105,13.972640,0.360159
0.020000,16.615374,20.668184,0.038219,0.484754,4.106682,1.828854,0.363860
0.020000,16.625977,20.672248,0.049575,0.567765,4.150548,2.193312,0.368142
0.020000,16.638128,20.676969,0.062611,0.651798,4.201665,2.555818,0.372988
0.020000,16.651840,20.682377,0.077351,0.736998,4.259966,2.915075,0.378378
0.020000,16.667127,20.688507,0.093821,0.823505,4.325356,3.269483,0.384293
0.020000,16.684004,20.695396,0.112050,0.911459,4.397696,3.617021,0.390708
0.020000,16.702489,20.703084,0.132070,1.000995,4.476803,3.955364,0.397598
0.020000,16.722599,20.711617,0.153915,1.092244,4.562442,4.281937,0.404934
0.020000,16.744352,20.721041,0.177621,1.185330,4.654320,4.593889,0.412687
0.020000,16.767767,20.731407,0.203229,1.280372,4.752085,4.888265,0.420825
0.020000,16.792865,20.742769,0.230778,1.377478,4.855327,5.162081,0.429314
0.020000,16.819665,20.755181,0.260313,1.476750,4.963575,5.412412,0.438119
0.020000,16.848187,20.768703,0.291879,1.578276,5.076307,5.636572,0.447204
0.020000,16.878453,20.783394,0.325521,1.682135,5.192949,5.832118,0.456530
0.020000,16.910482,20.799315,0.361289,1.788393,5.312892,5.997175,0.466058
0.020000,16.944294,20.816531,0.399231,1.897103,5.435497,6.130244,0.475749
0.020000,16.979908,20.835103,0.439397,2.008305,5.560110,6.230659,0.485562
0.020000,17.017344,20.855097,0.481838,2.122026,5.686076,6.298258,0.495456
0.020000,17.056619,20.876577,0.526604,2.238281,5.812752,6.333830,0.505390
0.020000,17.097752,20.899607,0.573745,2.357072,5.939527,6.338763,0.515322
0.020000,17.140761,20.924250,0.623313,2.478389,6.065834,6.315308,0.525212
0.020000,17.185660,20.950567,0.675357,2.602212,6.191162,6.266403,0.535018
0.020000,17.232468,20.978620,0.729927,2.728513,6.315074,6.195633,0.544700
0.020000,17.281201,21.008465,0.787073,2.857258,6.437219,6.107244,0.554219
0.020000,17.331873,21.040159,0.846841,2.988404,6.557336,6.005858,0.563535
