dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.420422,18.345147,0.000148,0.014837,0.741853,37.092634,0.349083
0.020000,17.421162,18.345416,0.000936,0.039401,1.228190,24.316851,0.349241
0.020000,17.422828,18.346023,0.002709,0.088641,2.461996,61.690307,0.349597
0.020000,17.425788,18.347103,0.005860,0.157545,3.445236,49.162012,0.350229
0.020000,17.430410,18.348794,0.010781,0.246067,4.426085,49.042464,0.351215
0.020000,17.437058,18.351235,0.017864,0.354128,5.403019,48.846670,0.352632
0.020000,17.446094,18.354571,0.027496,0.481610,6.374130,48.555580,0.354554
0.020000,17.457874,18.358948,0.040063,0.628353,7.337131,48.150032,0.357053
0.020000,17.472563,18.364454,0.055750,0.784343,7.799527,23.119787,0.360159
0.020000,17.490137,18.371109,0.074542,0.939602,7.762944,-1.829133,0.363860
0.020000,17.510568,18.378940,0.096422,1.093984,7.719072,-2.193616,0.368142
0.020000,17.533821,18.387974,0.121369,1.247343,7.667949,-2.556134,0.372988
0.020000,17.559860,18.398244,0.149359,1.399535,7.609640,-2.915445,0.378378
0.020000,17.588641,18.409785,0.180368,1.550420,7.544243,-3.269835,0.384293
0.020000,17.620117,18.422631,0.214365,1.699858,7.471896,-3.617370,0.390708
0.020000,17.654238,18.436823,0.251319,1.847714,7.392781,-3.955730,0.397598
0.020000,17.690947,18.452399,0.291196,1.993857,7.307136,-4.282257,0.404934
0.020000,17.730186,18.469398,0.333960,2.138162,7.215253,-4.594174,0.412687
0.020000,17.771893,18.487862,0.379570,2.280511,7.117483,-4.888513,0.420825
0.020000,17.816000,18.507828,0.427986,2.420796,7.014237,-5.162272,0.429314
0.020000,17.862439,18.529336,0.479164,2.558916,6.905986,-5.412557,0.438119
0.020000,17.911140,18.552423,0.533060,2.694781,6.793254,-5.636612,0.447204
0.020000,17.962028,18.577123,0.589626,2.828313,6.676611,-5.832137,0.456530
0.020000,18.015030,18.603470,0.648815,2.959446,6.556670,-5.997048,0.466058
0.020000,18.070069,18.631492,0.710577,3.088128,6.434068,-6.130105,0.475749
0.020000,18.127071,18.661217,0.774864,3.214317,6.309460,-6.230375,0.485562
0.020000,18.185958,18.692667,0.841624,3.337987,6.183501,-6.297965,0.495456
0.020000,18.246657,18.725863,0.910806,3.459124,6.056833,-6.333413,0.505390
0.020000,18.309092,18.760818,0.982361,3.577725,5.930067,-6.338296,0.515322
0.020000,18.373192,18.797545,1.056237,3.693800,5.803771,-6.314782,0.525212
0.020000,18.438887,18.836049,1.132384,3.807370,5.678455,-6.265821,0.535018
0.020000,18.506109,18.876335,1.210753,3.918461,5.554554,-6.195046,0.544700
0.020000,18.574795,18.918398,1.291295,4.027109,5.432422,-6.106578,0.554219
0.020000,18.644882,18.962234,1.373962,4.133355,5.312318,-6.005210,0.563535
0.020000,18.716315,19.007830,1.458707,4.237243,5.194399,-5.895959,0.572610
0.020000,18.789041,19.055171,1.545484,4.338818,5.078713,-5.784295,0.581407
0.020000,18.863009,19.104237,1.634246,4.438122,4.965198,-5.675772,0.589887
0.020000,18.938176,19.155002,1.724950,4.535195,4.853672,-5.576273,0.598017
0.020000,19.014502,19.207436,1.817551,4.630072,4.743840,-5.491608,0.605758
0.020000,19.091952,19.261506,1.912007,4.722778,4.635286,-5.427692,0.613076
0.020000,19.170493,19.317170,2.008273,4.813327,4.527474,-5.390596,0.619937
0.020000,19.250100,19.374384,2.106308,4.901722,4.419750,-5.386217,0.626304
0.020000,19.330750,19.433098,2.206067,4.987949,4.311334,-5.420782,0.632143
0.020000,19.412426,19.493256,2.307506,5.071975,4.201324,-5.500512,0.637417
0.020000,19.495114,19.554797,2.410581,5.153749,4.088686,-5.631905,0.642091
0.020000,19.578803,19.617651,2.515245,5.233194,3.972249,-5.821864,0.646126
0.020000,19.663487,19.681744,2.621449,5.310208,3.850695,-6.077708,0.649483
0.020000,19.749164,19.746992,2.729143,5.384659,3.722546,-6.407440,0.652119
0.020000,19.835832,19.813306,2.838270,5.456382,3.586149,-6.819854,0.653991
0.020000,19.923494,19.880584,2.948774,5.525175,3.439653,-7.324766,0.655051
0.020000,20.012154,19.948718,3.060590,5.590795,3.280990,-7.933187,0.655248
0.020000,20.101818,20.017586,3.173649,5.652951,3.107839,-8.657508,0.654524
0.020000,20.192491,20.087055,3.287875,5.711304,2.917605,-9.511700,0.652818
0.020000,20.284180,20.156978,3.403184,5.765451,2.707377,-10.511416,0.650062
0.020000,20.376889,20.227195,3.519482,5.814929,2.473896,-11.674037,0.646179
0.020000,20.470620,20.297528,3.636666,5.859200,2.213526,-13.018526,0.641086
0.020000,20.565370,20.367779,3.754619,5.897644,1.922225,-14.565038,0.634686
0.020000,20.661132,20.437732,3.873210,5.929555,1.595544,-16.334062,0.626874
0.020000,20.757889,20.507149,3.992293,5.954128,1.228647,-18.344849,0.617531
0.020000,20.855614,20.575767,4.111702,5.970456,0.816390,-20.612858,0.606522
0.020000,20.954158,20.643224,4.231123,5.971028,0.028608,-39.389097,0.593711
0.020000,21.053250,20.709073,4.350099,5.948833,-1.109763,-56.918547,0.578970
0.020000,21.152609,20.772865,4.468174,5.903744,-2.254425,-57.233116,0.562168
0.020000,21.251936,20.834157,4.584889,5.835764,-3.399024,-57.229909,0.543173
0.020000,21.350914,20.892516,4.699791,5.745093,-4.533527,-56.725150,0.521857
0.020000,21.449211,20.947529,4.812436,5.632227,-5.643306,-55.488978,0.498102
0.020000,21.546464,20.998808,4.922380,5.497204,-6.751138,-55.391608,0.471807
0.020000,21.642203,21.045963,5.029101,5.336069,-8.056766,-65.281369,0.442926
0.020000,21.735979,21.088688,5.132151,5.152514,-9.177733,-56.048349,0.411457
0.020000,21.827461,21.126802,5.231256,4.955241,-9.863636,-34.295181,0.377418
0.020000,21.916349,21.160208,5.326214,4.747892,-10.367466,-25.191485,0.340888
0.020000,22.002390,21.188893,5.416910,4.534814,-10.653916,-14.322478,0.302013
0.020000,22.085398,21.212928,5.503328,4.320897,-10.695825,-2.095481,0.261023
0.020000,22.165268,21.232469,5.585554,4.111279,-10.480904,10.746070,0.218227
0.020000,22.241996,21.247735,5.663785,3.911572,-9.985357,24.777321,0.174011
0.020000,22.315743,21.259004,5.738389,3.730175,-9.069869,45.774428,0.128774
0.020000,22.386807,21.266567,5.809854,3.573265,-7.845487,61.219093,0.082915
0.020000,22.455524,21.270697,5.878695,3.442065,-6.560001,64.274321,0.036853
0.020000,22.522250,21.271631,5.945427,3.336588,-5.273852,64.307453,6.274191
0.020000,22.587330,21.269574,6.010540,3.255628,-4.047984,61.293381,6.228958
0.020000,22.651081,21.264694,6.074478,3.196900,-2.936404,55.578985,6.184700
0.020000,22.713772,21.257131,6.137624,3.157294,-1.980281,47.806157,6.141729
0.020000,22.775613,21.247006,6.200288,3.133201,-1.204694,38.779357,6.100297
0.020000,22.836750,21.234430,6.262704,3.120834,-0.618311,29.319148,6.060595
0.020000,22.897269,21.219512,6.325035,3.116524,-0.215507,20.140213,6.022755
0.020000,22.957204,21.202372,6.387373,3.116925,0.020044,11.777550,5.986852
0.020000,23.016548,21.183136,6.449756,3.119151,0.111315,4.563561,5.952916
0.020000,23.075256,21.161943,6.512173,3.120836,0.084206,-1.355495,5.920940
0.020000,23.133267,21.138946,6.574576,3.120128,-0.035376,-5.979060,5.890883
0.020000,23.190501,21.114304,6.636889,3.115658,-0.223489,-9.405687,5.862685
0.020000,23.246874,21.088188,6.699018,3.106473,-0.459287,-11.789862,5.836269
0.020000,23.302302,21.060767,6.760858,3.091964,-0.725445,-13.307902,5.811548
0.020000,23.356701,21.032217,6.822294,3.071801,-1.008139,-14.134706,5.788430
0.020000,23.409995,21.002709,6.883211,3.045866,-1.296736,-14.429839,5.766822
0.020000,23.462113,20.972413,6.943495,3.014199,-1.583350,-14.330739,5.746630
0.020000,23.512993,20.941492,7.003034,2.976952,-1.862363,-13.950645,5.727763
0.020000,23.562581,20.910104,7.061721,2.934353,-2.129960,-13.379862,5.710134
0.020000,23.610830,20.878400,7.119455,2.886678,-2.383726,-12.688279,5.693662
0.020000,23.657701,20.846520,7.176139,2.834232,-2.622300,-11.928706,5.678267
0.020000,23.703160,20.814601,7.231686,2.777330,-2.845093,-11.139623,5.663878
0.020000,23.747182,20.782767,7.286012,2.716289,-3.052068,-10.348793,5.650427
0.020000,23.789745,20.751138,7.339040,2.651417,-3.243575,-9.575338,5.637851
0.020000,23.830832,20.719822,7.390700,2.583013,-3.420210,-8.831764,5.626095
0.020000,23.870430,20.688923,7.440927,2.511359,-3.582728,-8.125899,5.615103
0.020000,23.908530,20.658536,7.489662,2.436719,-3.731971,-7.462107,5.604829
0.020000,23.945127,20.628748,7.536849,2.359343,-3.868816,-6.842267,5.595227
0.020000,23.980216,20.599642,7.582438,2.279460,-3.994140,-6.266189,5.586257
0.020000,24.013795,20.571293,7.626383,2.197284,-4.108800,-5.732990,5.577880
0.020000,24.045865,20.543771,7.668644,2.113012,-4.213615,-5.240759,5.570065
0.020000,24.076426,20.517140,7.709180,2.026825,-4.309354,-4.786943,5.562778
0.020000,24.105482,20.491460,7.747958,1.938890,-4.396738,-4.369232,5.555991
0.020000,24.133035,20.466784,7.784945,1.849361,-4.476430,-3.984588,5.549680
0.020000,24.159089,20.443164,7.820113,1.758381,-4.549043,-3.630652,5.543819
