dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.345144,17.420416,0.000150,0.014986,0.749322,37.466117,1.221730
0.020000,16.345351,17.420984,0.000754,0.030199,0.760651,0.566430,1.221726
0.020000,16.345816,17.422261,0.002113,0.067952,1.887616,56.348269,1.221718
0.020000,16.346642,17.424531,0.004529,0.120813,2.643082,37.773264,1.221703
0.020000,16.347934,17.428079,0.008305,0.188797,3.399189,37.805389,1.221679
0.020000,16.349794,17.433190,0.013744,0.271924,4.156349,37.858003,1.221644
0.020000,16.352328,17.440147,0.021148,0.370226,4.915074,37.936244,1.221594
0.020000,16.355638,17.449238,0.030823,0.483745,5.675980,38.045263,1.221526
0.020000,16.359779,17.460607,0.042923,0.604977,6.061570,19.279537,1.221436
0.020000,16.364753,17.474257,0.057451,0.726405,6.071414,0.492205,1.221321
0.020000,16.370562,17.490193,0.074412,0.848070,6.083236,0.591082,1.221178
0.020000,16.377209,17.508419,0.093812,0.970011,6.097041,0.690249,1.221001
0.020000,16.384697,17.528941,0.115658,1.092267,6.112837,0.789803,1.220785
0.020000,16.393032,17.551764,0.139955,1.214880,6.130634,0.889853,1.220525
0.020000,16.402218,17.576896,0.166713,1.337889,6.150445,0.990542,1.220215
0.020000,16.412261,17.604343,0.195940,1.461335,6.172286,1.092030,1.219847
0.020000,16.423167,17.634113,0.227645,1.585258,6.196176,1.194511,1.219413
0.020000,16.434944,17.666215,0.261839,1.709701,6.222140,1.298213,1.218905
0.020000,16.447602,17.700657,0.298533,1.834705,6.250208,1.403394,1.218313
0.020000,16.461150,17.737448,0.337739,1.960313,6.280415,1.510356,1.217629
0.020000,16.475599,17.776598,0.379471,2.086569,6.312804,1.619436,1.216841
0.020000,16.490962,17.818117,0.423741,2.213518,6.347424,1.731019,1.215939
0.020000,16.507253,17.862016,0.470565,2.341205,6.384335,1.845531,1.214909
0.020000,16.524490,17.908304,0.519959,2.469677,6.423604,1.963457,1.213740
0.020000,16.542689,17.956994,0.571938,2.598983,6.465310,2.085316,1.212417
0.020000,16.561873,18.008095,0.626522,2.729174,6.509544,2.211693,1.210927
0.020000,16.582062,18.061620,0.683728,2.860302,6.556409,2.343227,1.209255
0.020000,16.603283,18.117580,0.743576,2.992422,6.606021,2.480598,1.207383
0.020000,16.625564,18.175986,0.806088,3.125593,6.658512,2.624561,1.205295
0.020000,16.648937,18.236850,0.871286,3.259873,6.714030,2.775901,1.202973
0.020000,16.673436,18.300183,0.939192,3.395328,6.772739,2.935479,1.200397
0.020000,16.699100,18.365997,1.009833,3.532024,6.834823,3.104187,1.197549
0.020000,16.725971,18.434302,1.083233,3.670034,6.900482,3.282954,1.194405
0.020000,16.754097,18.505109,1.159422,3.809433,6.969937,3.472759,1.190944
0.020000,16.783529,18.578428,1.238428,3.950301,7.043429,3.674568,1.187141
0.020000,16.814325,18.654269,1.320282,4.092726,7.121216,3.889364,1.182972
0.020000,16.846547,18.732639,1.405018,4.236797,7.203578,4.118094,1.178409
0.020000,16.880265,18.813547,1.492671,4.382613,7.290810,4.361621,1.173425
0.020000,16.915554,18.896998,1.583276,4.530278,7.383224,4.620700,1.167988
0.020000,16.952497,18.982996,1.676874,4.679901,7.481143,4.895920,1.162068
0.020000,16.991186,19.071545,1.773506,4.831599,7.584894,5.187576,1.155630
0.020000,17.031719,19.162645,1.873216,4.985495,7.694806,5.495608,1.148638
0.020000,17.074206,19.256292,1.976050,5.141719,7.811196,5.819459,1.141055
0.020000,17.118765,19.352481,2.082059,5.300406,7.934353,6.157885,1.132841
0.020000,17.165525,19.451200,2.191293,5.461696,8.064528,6.508746,1.123953
0.020000,17.214628,19.552435,2.303807,5.625734,8.201904,6.868772,1.114347
0.020000,17.266226,19.656163,2.419661,5.792666,8.346568,7.233198,1.103975
0.020000,17.320486,19.762357,2.538913,5.962635,8.498475,7.595377,1.092788
0.020000,17.377588,19.870978,2.661629,6.135783,8.657403,7.946385,1.080734
0.020000,17.437724,19.981979,2.787874,6.312241,8.822890,8.274376,1.067760
0.020000,17.501106,20.095301,2.917716,6.492125,8.994172,8.564086,1.053809
0.020000,17.567957,20.210869,3.051227,6.675527,9.170094,8.796112,1.038825
0.020000,17.638517,20.328593,3.188477,6.862507,9.349021,8.946319,1.022749
0.020000,17.713040,20.448362,3.329539,7.053081,9.528725,8.985189,1.005522
0.020000,17.791796,20.570043,3.474483,7.247207,9.706273,8.877418,0.987087
0.020000,17.875068,20.693476,3.623378,7.444765,9.877909,8.581795,0.967387
0.020000,17.963148,20.818471,3.776289,7.645544,10.038940,8.051537,0.946371
0.020000,18.056337,20.944804,3.933273,7.849217,10.183650,7.235539,0.923992
0.020000,18.154939,21.072212,4.094380,8.055322,10.305260,6.080504,0.900208
0.020000,18.259258,21.200391,4.259644,8.263241,10.395953,4.534634,0.874992
0.020000,18.369588,21.328993,4.429088,8.472181,10.447011,2.552875,0.848326
0.020000,18.486206,21.457622,4.602711,8.681163,10.449088,0.103883,0.820210
0.020000,18.609363,21.585833,4.780492,8.889016,10.392659,-2.821444,0.790662
0.020000,18.739139,21.713004,4.962189,9.084890,9.793692,-29.948382,0.759755
0.020000,18.875399,21.838359,5.147340,9.257540,8.632496,-58.059786,0.727623
0.020000,19.017917,21.961122,5.335442,9.405078,7.376895,-62.780052,0.694430
0.020000,19.166364,22.080536,5.525957,9.525764,6.034281,-67.130694,0.660371
0.020000,19.320307,22.195882,5.718320,9.618123,4.617973,-70.815425,0.625662
0.020000,19.479218,22.306501,5.911941,9.681059,3.146776,-73.559805,0.590538
0.020000,19.642477,22.411813,6.106219,9.713935,1.643808,-75.148420,0.555245
0.020000,19.809302,22.511276,6.300445,9.711264,-0.133525,-88.866653,0.520049
0.020000,19.978845,22.604473,6.493915,9.673491,-1.888638,-87.755628,0.485211
0.020000,20.150319,22.691155,6.686053,9.606925,-3.328315,-71.983893,0.450954
0.020000,20.322925,22.771190,6.876311,9.512892,-4.701671,-68.667792,0.417483
0.020000,20.495869,22.844550,7.064171,9.393000,-5.994596,-64.646229,0.384974
0.020000,20.668383,22.911307,7.249151,9.249023,-7.198839,-60.212170,0.353575
0.020000,20.839735,22.971619,7.430807,9.082787,-8.311820,-55.649046,0.323404
0.020000,21.009234,23.025712,7.608728,8.896069,-9.335872,-51.202604,0.294552
0.020000,21.176339,23.073899,7.782642,8.695688,-10.019072,-34.159983,0.267064
0.020000,21.340736,23.116567,7.952486,8.492198,-10.174506,-7.771704,0.240937
0.020000,21.502238,23.154123,8.118297,8.290558,-10.081958,4.627379,0.216141
0.020000,21.660699,23.186959,8.280125,8.091377,-9.959098,6.143026,0.192636
0.020000,21.816013,23.215454,8.438031,7.895308,-9.803413,7.784256,0.170340
0.020000,21.969794,23.240144,8.593781,7.787523,-5.389268,220.707232,0.147878
0.020000,22.122693,23.261119,8.748113,7.716562,-3.548052,92.060824,0.124619
0.020000,22.274611,23.278310,8.901000,7.644374,-3.609379,-3.066375,0.100583
0.020000,22.425430,23.291658,9.052409,7.570458,-3.695820,-4.322025,0.075800
0.020000,22.575017,23.301115,9.202295,7.494270,-3.809375,-5.677750,0.050305
0.020000,22.723219,23.306645,9.350600,7.415240,-3.951544,-7.108456,0.024145
0.020000,22.869866,23.308234,9.497255,7.332776,-4.123162,-8.580891,6.280561
0.020000,23.014773,23.305885,9.642181,7.246291,-4.324243,-10.054049,6.253248
0.020000,23.157740,23.299624,9.785285,7.155214,-4.553852,-11.480481,6.225466
0.020000,23.298557,23.289505,9.926465,7.059014,-4.810021,-12.808427,6.197298
0.020000,23.437005,23.275605,10.065610,6.957220,-5.089716,-13.984757,6.168836
0.020000,23.572863,23.258033,10.202599,6.849442,-5.388887,-14.958558,6.140177
0.020000,23.705906,23.236925,10.337306,6.735390,-5.702586,-15.684951,6.111423
0.020000,23.835920,23.212447,10.469604,6.614887,-6.025162,-16.128818,6.082679
0.020000,23.962696,23.184791,10.599362,6.487877,-6.350520,-16.267860,6.054051
0.020000,24.086041,23.154173,10.726450,6.354428,-6.672413,-16.094654,6.025643
0.020000,24.205781,23.120833,10.850745,6.214733,-6.984760,-15.617377,5.997558
0.020000,24.321761,23.085026,10.972127,6.069094,-7.281942,-14.859073,5.969892
0.020000,24.433853,23.047025,11.090485,5.917913,-7.559054,-13.855601,5.942735
0.020000,24.541952,23.007109,11.205719,5.761671,-7.812104,-12.652539,5.916171
0.020000,24.645981,22.965563,11.317737,5.600908,-8.038134,-11.301460,5.890271
0.020000,24.745889,22.922674,11.426461,5.436203,-8.235255,-9.856069,5.865101
0.020000,24.841648,22.878725,11.531824,5.268151,-8.402627,-8.368591,5.840715
0.020000,24.933256,22.833991,11.633771,5.097344,-8.540363,-6.886829,5.817158
0.020000,25.020732,22.788741,11.732258,4.924355,-8.649403,-5.451970,5.794465
0.020000,25.104115,22.743229,11.827252,4.749728,-8.731349,-4.097329,5.772663
