dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.654908,16.579729,0.000150,0.014986,0.749322,37.466117,1.221730
0.020000,18.655112,16.580288,0.000745,0.029746,0.737994,-0.566430,1.221726
0.020000,18.655570,16.581546,0.002083,0.066926,1.858995,56.050082,1.221718
0.020000,18.656384,16.583782,0.004463,0.118970,2.602175,37.158972,1.221703
0.020000,18.657655,16.587275,0.008180,0.185864,3.344712,37.126846,1.221679
0.020000,18.659486,16.592304,0.013532,0.267588,4.086196,37.074231,1.221644
0.020000,18.661977,16.599147,0.020814,0.364110,4.826116,36.995992,1.221594
0.020000,18.665231,16.608081,0.030322,0.475387,5.563856,36.886971,1.221526
0.020000,18.669296,16.619242,0.042200,0.593939,5.927587,18.186580,1.221436
0.020000,18.674173,16.632627,0.056446,0.712294,5.917743,-0.492205,1.221321
0.020000,18.679861,16.648231,0.073055,0.830412,5.905921,-0.591082,1.221178
0.020000,18.686359,16.666048,0.092020,0.948255,5.892116,-0.690251,1.221001
0.020000,18.693666,16.686072,0.113335,1.065781,5.876320,-0.789803,1.220785
0.020000,18.701782,16.708296,0.136994,1.182952,5.858523,-0.889857,1.220525
0.020000,18.710706,16.732710,0.162989,1.299726,5.838712,-0.990545,1.220215
0.020000,18.720437,16.759307,0.191310,1.416063,5.816872,-1.092034,1.219847
0.020000,18.730977,16.788076,0.221949,1.531923,5.792981,-1.194518,1.219413
0.020000,18.742324,16.819005,0.254894,1.647263,5.767017,-1.298221,1.218905
0.020000,18.754480,16.852083,0.290135,1.762042,5.738949,-1.403407,1.218313
0.020000,18.767447,16.887296,0.327659,1.876217,5.708741,-1.510371,1.217629
0.020000,18.781225,16.924630,0.367454,1.989744,5.676352,-1.619456,1.216841
0.020000,18.795818,16.964068,0.409505,2.102579,5.641731,-1.731044,1.215939
0.020000,18.811229,17.005594,0.453799,2.214675,5.604820,-1.845567,1.214909
0.020000,18.827463,17.049189,0.500319,2.325986,5.565550,-1.963497,1.213740
0.020000,18.844525,17.094834,0.549048,2.436463,5.523843,-2.085370,1.212417
0.020000,18.862421,17.142507,0.599969,2.546055,5.479607,-2.211764,1.210927
0.020000,18.881159,17.192184,0.653063,2.654710,5.432741,-2.343310,1.209255
0.020000,18.900749,17.243842,0.708311,2.762372,5.383127,-2.480705,1.207383
0.020000,18.921200,17.297453,0.765690,2.868985,5.330633,-2.624686,1.205295
0.020000,18.942527,17.352989,0.825180,2.974487,5.275112,-2.776062,1.202973
0.020000,18.964742,17.410418,0.886756,3.078815,5.216399,-2.935672,1.200397
0.020000,18.987862,17.469708,0.950395,3.181902,5.154310,-3.104416,1.197549
0.020000,19.011904,17.530822,1.016068,3.283674,5.088646,-3.283237,1.194405
0.020000,19.036889,17.593723,1.083749,3.384058,5.019184,-3.473091,1.190944
0.020000,19.062839,17.658368,1.153409,3.482972,4.945684,-3.674971,1.187141
0.020000,19.089779,17.724714,1.225015,3.580330,4.867887,-3.889846,1.182972
0.020000,19.117737,17.792712,1.298536,3.676040,4.785514,-4.118659,1.178409
0.020000,19.146741,17.862310,1.373936,3.770005,4.698268,-4.362292,1.173425
0.020000,19.176825,17.933453,1.451179,3.862122,4.605838,-4.621505,1.167988
0.020000,19.208024,18.006081,1.530224,3.952280,4.507901,-4.896859,1.162068
0.020000,19.240376,18.080129,1.611031,4.040363,4.404128,-5.188681,1.155630
0.020000,19.273923,18.155528,1.693556,4.126246,4.294189,-5.496913,1.148638
0.020000,19.308709,18.232202,1.777752,4.209802,4.177770,-5.820986,1.141055
0.020000,19.344781,18.310071,1.863570,4.290893,4.054576,-6.159666,1.132841
0.020000,19.382188,18.389047,1.950958,4.369380,3.924360,-6.510835,1.123953
0.020000,19.420986,18.469037,2.039860,4.445119,3.786936,-6.871200,1.114347
0.020000,19.461229,18.549940,2.130219,4.517963,3.642215,-7.236009,1.103975
0.020000,19.502976,18.631648,2.221975,4.587768,3.490242,-7.598652,1.092788
0.020000,19.546290,18.714045,2.315063,4.654393,3.331239,-7.950151,1.080734
0.020000,19.591235,18.797007,2.409417,4.717706,3.165665,-8.278713,1.067760
0.020000,19.637876,18.880402,2.504969,4.777592,2.994284,-8.569046,1.053809
0.020000,19.686283,18.964090,2.601648,4.833957,2.818249,-8.801770,1.038825
0.020000,19.736526,19.047922,2.699383,4.886741,2.639194,-8.952717,1.022749
0.020000,19.788677,19.131740,2.798101,4.935928,2.459347,-8.992374,1.005522
0.020000,19.842810,19.215382,2.897732,4.981561,2.281639,-8.885420,0.987087
0.020000,19.899000,19.298677,2.998208,5.023757,2.109827,-8.590591,0.967387
0.020000,19.957322,19.381448,3.099462,5.062729,1.948605,-8.061100,0.946371
0.020000,20.017854,19.463515,3.201438,5.098803,1.803690,-7.245737,0.923992
0.020000,20.080675,19.544696,3.304087,5.132440,1.681867,-6.091158,0.900208
0.020000,20.145868,19.624806,3.407372,5.164260,1.590957,-4.545471,0.874992
0.020000,20.213517,19.703667,3.511273,5.195053,1.539687,-2.563498,0.848326
0.020000,20.283715,19.781100,3.615789,5.225802,1.537412,-0.113792,0.820210
0.020000,20.356557,19.856937,3.720943,5.257675,1.593669,2.812866,0.790662
0.020000,20.432071,19.930942,3.826674,5.286540,1.443274,-7.519750,0.759755
0.020000,20.510205,20.002829,3.932847,5.308660,1.105963,-16.865563,0.727623
0.020000,20.590909,20.072350,4.039365,5.325923,0.863170,-12.139624,0.694430
0.020000,20.674125,20.139294,4.146167,5.340073,0.707504,-7.783302,0.660371
0.020000,20.759795,20.203487,4.253218,5.352586,0.625636,-4.093404,0.625662
0.020000,20.847852,20.264785,4.360510,5.364561,0.598739,-1.344842,0.590538
0.020000,20.938216,20.323074,4.468042,5.376634,0.603669,0.246470,0.555245
0.020000,21.030738,20.378237,4.575761,5.385949,0.465732,-6.896830,0.520049
0.020000,21.125244,20.430183,4.683602,5.392060,0.305553,-8.008937,0.485211
0.020000,21.221576,20.478878,4.791543,5.397002,0.247132,-2.921054,0.450954
0.020000,21.319547,20.524302,4.899532,5.399449,0.122307,-6.241240,0.417483
0.020000,21.418933,20.566455,5.007487,5.397788,-0.083049,-10.267837,0.384974
0.020000,21.519474,20.605357,5.115292,5.390244,-0.377192,-14.707139,0.353575
0.020000,21.620877,20.641044,5.222792,5.374990,-0.762704,-19.275572,0.323404
0.020000,21.722818,20.673572,5.329797,5.350245,-1.237236,-23.726636,0.294552
0.020000,21.825006,20.703035,5.436148,5.317536,-1.635429,-19.909639,0.267064
0.020000,21.927246,20.729567,5.541773,5.281293,-1.812180,-8.837542,0.240937
0.020000,22.029385,20.753315,5.646637,5.243194,-1.904948,-4.638388,0.216141
0.020000,22.131274,20.774425,5.750690,5.202633,-2.028025,-6.153875,0.192636
0.020000,22.232686,20.793028,5.853794,5.155219,-2.370707,-17.134097,0.170340
0.020000,22.331953,20.808970,5.954333,5.026957,-6.413094,-202.119362,0.147878
0.020000,22.428214,20.822180,6.051496,4.858121,-8.441808,-101.435678,0.124619
0.020000,22.521428,20.832734,6.145306,4.690512,-8.380452,3.067796,0.100583
0.020000,22.611568,20.840716,6.235799,4.524633,-8.293970,4.324101,0.075800
