dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.730505,19.686193,0.000149,0.014851,0.742562,37.128102,2.705270
0.020000,24.730021,19.686419,0.000682,0.026675,0.591164,-7.569918,2.705320
0.020000,24.728933,19.686926,0.001882,0.060014,1.666962,53.789916,2.705430
0.020000,24.726999,19.687827,0.004016,0.106678,2.333201,33.311948,2.705628
0.020000,24.724099,19.689178,0.007216,0.159985,2.665342,16.607073,2.705925
0.020000,24.720232,19.690977,0.011481,0.213253,2.663419,-0.096177,2.706321
0.020000,24.715399,19.693223,0.016810,0.266470,2.660852,-0.128339,2.706818
0.020000,24.709600,19.695914,0.023202,0.319623,2.657640,-0.160588,2.707417
0.020000,24.702837,19.699047,0.030656,0.372698,2.653781,-0.192948,2.708119
0.020000,24.695109,19.702620,0.039170,0.425684,2.649273,-0.225436,2.708926
0.020000,24.686418,19.706629,0.048741,0.478566,2.644111,-0.258078,2.709838
0.020000,24.676764,19.711071,0.059368,0.531332,2.638293,-0.290890,2.710859
0.020000,24.666149,19.715941,0.071047,0.583968,2.631815,-0.323894,2.711990
0.020000,24.654573,19.721236,0.083777,0.636462,2.624673,-0.357109,2.713233
0.020000,24.642038,19.726950,0.097553,0.688799,2.616862,-0.390551,2.714591
0.020000,24.628545,19.733077,0.112372,0.740967,2.608377,-0.424240,2.716067
0.020000,24.614095,19.739612,0.128231,0.792951,2.599214,-0.458188,2.717664
0.020000,24.598690,19.746549,0.145126,0.844738,2.589365,-0.492410,2.719385
0.020000,24.582331,19.753879,0.163052,0.896315,2.578827,-0.526917,2.721233
0.020000,24.565020,19.761597,0.182005,0.947667,2.567593,-0.561715,2.723212
0.020000,24.546758,19.769693,0.201981,0.998780,2.555657,-0.596812,2.725326
0.020000,24.527549,19.778160,0.222974,1.049640,2.543012,-0.632208,2.727580
0.020000,24.507393,19.786988,0.244978,1.100233,2.529654,-0.667898,2.729976
0.020000,24.486292,19.796168,0.267989,1.150545,2.515577,-0.703875,2.732521
0.020000,24.464249,19.805689,0.292001,1.200560,2.500775,-0.740121,2.735218
0.020000,24.441266,19.815540,0.317006,1.250265,2.485242,-0.776616,2.738073
0.020000,24.417346,19.825711,0.342999,1.299644,2.468976,-0.813327,2.741092
0.020000,24.392490,19.836188,0.369972,1.348684,2.451971,-0.850212,2.744279
0.020000,24.366701,19.846959,0.397920,1.397368,2.434227,-0.887219,2.747640
0.020000,24.339983,19.858010,0.426833,1.445683,2.415741,-0.924281,2.751182
0.020000,24.312338,19.869327,0.456706,1.493614,2.396515,-0.961316,2.754911
0.020000,24.283768,19.880895,0.487529,1.541145,2.376551,-0.998227,2.758833
0.020000,24.254277,19.892698,0.519294,1.588262,2.355853,-1.034893,2.762955
0.020000,24.223868,19.904720,0.551993,1.634950,2.334429,-1.071176,2.767284
0.020000,24.192544,19.916943,0.585617,1.681196,2.312291,-1.106909,2.771827
0.020000,24.160310,19.929349,0.620156,1.726985,2.289453,-1.141898,2.776591
0.020000,24.127167,19.941919,0.655603,1.772304,2.265935,-1.175920,2.781585
0.020000,24.093121,19.954633,0.691945,1.817139,2.241760,-1.208713,2.786816
0.020000,24.058175,19.967471,0.729175,1.861478,2.216961,-1.239981,2.792292
0.020000,24.022333,19.980410,0.767281,1.905310,2.191573,-1.269383,2.798021
0.020000,23.985599,19.993428,0.806253,1.948622,2.165642,-1.296532,2.804013
0.020000,23.947978,20.006502,0.846082,1.991407,2.139223,-1.320992,2.810275
0.020000,23.909474,20.019607,0.886755,2.033654,2.112377,-1.342270,2.816816
0.020000,23.870092,20.032718,0.928262,2.075358,2.085181,-1.359818,2.823645
0.020000,23.829836,20.045809,0.970592,2.116512,2.057720,-1.373023,2.830771
0.020000,23.788713,20.058851,1.013734,2.157114,2.030096,-1.381212,2.838203
0.020000,23.746726,20.071818,1.057678,2.197163,2.002423,-1.383640,2.845950
0.020000,23.703882,20.084679,1.102411,2.236660,1.974833,-1.379498,2.854021
0.020000,23.660185,20.097404,1.147923,2.275609,1.947475,-1.367906,2.862425
0.020000,23.615641,20.109963,1.194203,2.314019,1.920517,-1.347921,2.871170
0.020000,23.570256,20.122323,1.241241,2.351902,1.894146,-1.318536,2.880266
0.020000,23.524035,20.134452,1.289027,2.389274,1.868572,-1.278689,2.889720
0.020000,23.476984,20.146315,1.337550,2.426154,1.844027,-1.227273,2.899541
0.020000,23.429110,20.157877,1.386801,2.462570,1.820764,-1.163149,2.909736
0.020000,23.380416,20.169103,1.436772,2.498551,1.799061,-1.085164,2.920312
0.020000,23.330909,20.179957,1.487455,2.534135,1.779217,-0.992176,2.931276
0.020000,23.280594,20.190400,1.538842,2.569366,1.761556,-0.883075,2.942633
0.020000,23.229476,20.200396,1.590928,2.604295,1.746419,-0.756825,2.954388
0.020000,23.177560,20.209905,1.643708,2.638978,1.734169,-0.612497,2.966546
0.020000,23.124850,20.218887,1.697178,2.673482,1.725183,-0.449318,2.979109
0.020000,23.071351,20.227302,1.751335,2.707879,1.719849,-0.266714,2.992079
0.020000,23.017064,20.235110,1.806180,2.742250,1.718561,-0.064373,3.005456
0.020000,22.961994,20.242268,1.861714,2.776684,1.721715,0.157707,3.019239
0.020000,22.906142,20.248736,1.917939,2.811278,1.729698,0.399153,3.033426
0.020000,22.849508,20.254469,1.974862,2.846136,1.742882,0.659166,3.048013
0.020000,22.792094,20.259425,2.032489,2.881368,1.761611,0.936470,3.062993
0.020000,22.733899,20.263560,2.090831,2.917092,1.786196,1.229261,3.078359
0.020000,22.674921,20.266829,2.149900,2.953430,1.816900,1.535183,3.094099
0.020000,22.615158,20.269188,2.209710,2.990508,1.853926,1.851314,3.110203
0.020000,22.554605,20.270592,2.270279,3.028457,1.897409,2.174161,3.126656
0.020000,22.492935,20.270995,2.331950,3.083559,2.755095,42.884280,3.143151
0.020000,22.427932,20.270420,2.396956,3.250276,8.335892,279.039855,3.157807
0.020000,22.362941,20.268874,2.461965,3.250474,0.009903,-416.299475,3.173064
0.020000,22.298233,20.266327,2.526723,3.237906,-0.628401,-31.915201,3.188888
0.020000,22.234178,20.262775,2.590877,3.207656,-1.512532,-44.206527,3.205210
0.020000,22.171133,20.258232,2.654085,3.160425,-2.361538,-42.450307,3.221949
0.020000,22.109333,20.252727,2.716129,3.102216,-2.910434,-27.444816,3.239042
0.020000,22.049003,20.246303,2.776801,3.033573,-3.432182,-26.087386,3.256417
0.020000,21.990250,20.239006,2.836005,2.960202,-3.668516,-11.816668,3.274025
0.020000,21.933070,20.230872,2.893761,2.887795,-3.620381,2.406749,3.291845
0.020000,21.877448,20.221942,2.950095,2.816704,-3.554538,3.292120,3.309855
0.020000,21.823369,20.212252,3.005035,2.747026,-3.483912,3.531287,3.328032
0.020000,21.770813,20.201841,3.058612,2.678849,-3.408849,3.753157,3.346352
0.020000,21.719759,20.190749,3.110857,2.612253,-3.329775,3.953713,3.364789
0.020000,21.670183,20.179015,3.161804,2.547309,-3.247192,4.129156,3.383316
0.020000,21.622058,20.166677,3.211485,2.484076,-3.161671,4.276036,3.401905
0.020000,21.575356,20.153773,3.259937,2.422599,-3.073844,4.391358,3.420528
0.020000,21.530047,20.140340,3.307195,2.362911,-2.984390,4.472722,3.439156
0.020000,21.486099,20.126416,3.353296,2.305031,-2.894022,4.518385,3.457759
0.020000,21.443481,20.112036,3.398275,2.248961,-2.803475,4.527352,3.476308
0.020000,21.402157,20.097236,3.442169,2.194692,-2.713487,4.499406,3.494773
0.020000,21.362095,20.082050,3.485013,2.142196,-2.624784,4.435120,3.513125
