dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.119034,21.969034,0.000148,0.014837,0.741855,37.092768,2.356194
0.020000,26.118556,21.969513,0.000825,0.033847,0.950486,10.431523,2.356264
0.020000,26.117476,21.970592,0.002353,0.076364,2.125846,58.767986,2.356420
0.020000,26.115555,21.972512,0.005068,0.135771,2.970374,42.226407,2.356698
0.020000,26.112552,21.975510,0.009312,0.212177,3.820292,42.495918,2.357132
0.020000,26.108225,21.979827,0.015424,0.305609,4.671603,42.565550,2.357760
0.020000,26.102328,21.985700,0.023746,0.416109,5.525003,42.669981,2.358616
0.020000,26.094616,21.993366,0.034621,0.543736,6.381321,42.815928,2.359738
0.020000,26.084957,22.002943,0.048222,0.680064,6.816409,21.754370,2.361147
0.020000,26.073341,22.014425,0.064555,0.816659,6.829745,0.666828,2.362847
0.020000,26.059753,22.027807,0.083627,0.953578,6.845957,0.810569,2.364843
0.020000,26.044175,22.043083,0.105444,1.090881,6.865151,0.959726,2.367143
0.020000,26.026588,22.060244,0.130017,1.228630,6.887461,1.115505,2.369753
0.020000,26.006969,22.079282,0.157355,1.366891,6.913052,1.279541,2.372681
0.020000,25.985293,22.100187,0.187469,1.505733,6.942103,1.452527,2.375936
0.020000,25.961530,22.122948,0.220374,1.645230,6.974822,1.635962,2.379531
0.020000,25.935649,22.147551,0.256083,1.785459,7.011455,1.831676,2.383475
0.020000,25.907614,22.173983,0.294613,1.926504,7.052263,2.040369,2.387784
0.020000,25.877387,22.202226,0.335982,2.068455,7.097556,2.264679,2.392470
0.020000,25.844923,22.232263,0.380210,2.211408,7.147668,2.505607,2.397552
0.020000,25.810175,22.264073,0.427320,2.355468,7.202984,2.765792,2.403046
0.020000,25.773092,22.297635,0.477335,2.500747,7.263920,3.046790,2.408973
0.020000,25.733618,22.332922,0.530282,2.647365,7.330941,3.351065,2.415354
0.020000,25.691689,22.369905,0.586191,2.795457,7.404568,3.681338,2.422214
0.020000,25.647239,22.408555,0.645094,2.945164,7.485357,4.039432,2.429578
0.020000,25.600194,22.448835,0.707027,3.096643,7.573936,4.428949,2.437476
0.020000,25.550474,22.490705,0.772029,3.250062,7.670966,4.851536,2.445939
0.020000,25.497992,22.534120,0.840141,3.405606,7.777185,5.310950,2.455002
0.020000,25.442654,22.579031,0.911410,3.563473,7.893363,5.808881,2.464702
0.020000,25.384356,22.625381,0.985888,3.723879,8.020330,6.348345,2.475080
0.020000,25.322988,22.673106,1.063629,3.887058,8.158938,6.930414,2.486183
