dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.249983,21.100017,0.000148,0.014845,0.742260,37.113016,2.356198
0.020000,25.249563,21.100437,0.000742,0.044536,1.484521,37.113016,2.356282
0.020000,25.248618,21.101382,0.002078,0.089071,2.226781,37.113016,2.356471
0.020000,25.246938,21.103060,0.004454,0.148452,2.969041,37.113016,2.356806
0.020000,25.244311,21.105682,0.008165,0.222678,3.711302,37.113016,2.357332
0.020000,25.240526,21.109456,0.013509,0.311749,4.453562,37.113016,2.358091
0.020000,25.235370,21.114587,0.020783,0.415666,5.195822,37.113016,2.359127
0.020000,25.228628,21.121281,0.030284,0.534427,5.938083,37.113016,2.360486
0.020000,25.220187,21.129635,0.042160,0.653189,5.938083,0.000000,2.362195
0.020000,25.210039,21.139641,0.056412,0.771951,5.938083,-0.000000,2.364260
0.020000,25.198174,21.151288,0.073038,0.890712,5.938083,0.000000,2.366688
0.020000,25.184579,21.164564,0.092040,1.009474,5.938083,-0.000000,2.369489
0.020000,25.169240,21.179453,0.113417,1.128236,5.938083,0.000000,2.372675
0.020000,25.152140,21.195939,0.137170,1.246997,5.938083,0.000000,2.376257
0.020000,25.133262,21.214002,0.163297,1.365759,5.938083,0.000000,2.380251
0.020000,25.112585,21.233621,0.191800,1.484521,5.938083,-0.000000,2.384672
0.020000,25.090087,21.254769,0.222678,1.603282,5.938083,0.000000,2.389538
0.020000,25.065743,21.277421,0.255931,1.722044,5.938083,0.000000,2.394871
0.020000,25.039524,21.301546,0.291560,1.840806,5.938083,-0.000000,2.400694
0.020000,25.011402,21.327108,0.329564,1.959567,5.938083,0.000000,2.407031
0.020000,24.981343,21.354069,0.369943,2.078329,5.938083,-0.000000,2.413912
0.020000,24.949312,21.382388,0.412697,2.197091,5.938083,0.000000,2.421368
0.020000,24.915271,21.412017,0.457826,2.315852,5.938083,-0.000000,2.429435
0.020000,24.879178,21.442903,0.505331,2.434614,5.938083,0.000000,2.438151
0.020000,24.840988,21.474989,0.555211,2.553376,5.938083,-0.000000,2.447560
0.020000,24.800653,21.508210,0.607466,2.672137,5.938083,0.000000,2.457708
0.020000,24.758121,21.542495,0.662096,2.790899,5.938083,-0.000000,2.468649
0.020000,24.713336,21.577764,0.719102,2.909660,5.938083,0.000000,2.480442
0.020000,24.666238,21.613928,0.778483,3.028422,5.938083,0.000000,2.493149
0.020000,24.616765,21.650889,0.840239,3.147184,5.938083,0.000000,2.506842
0.020000,24.564848,21.688538,0.904370,3.265945,5.938083,0.000000,2.521599
0.020000,24.510416,21.726751,0.970876,3.384707,5.938083,-0.000000,2.537503
0.020000,24.453395,21.765392,1.039758,3.503469,5.938083,0.000000,2.554650
0.020000,24.393705,21.804309,1.111015,3.622230,5.938083,0.000000,2.573138
0.020000,24.331264,21.843330,1.184647,3.740992,5.938083,0.000000,2.593078
0.020000,24.265989,21.882267,1.260655,3.859754,5.938083,-0.000000,2.614586
0.020000,24.197794,21.920906,1.339038,3.978515,5.938083,0.000000,2.637786
0.020000,24.126593,21.959011,1.419796,4.097277,5.938083,0.000000,2.662807
0.020000,24.052304,21.996318,1.502929,4.216039,5.938083,0.000000,2.689781
0.020000,23.974848,22.032537,1.588437,4.334800,5.938083,-0.000000,2.718839
0.020000,23.894155,22.067344,1.676321,4.453562,5.938083,0.000000,2.750107
0.020000,23.810167,22.100386,1.766580,4.572324,5.938083,0.000000,2.783694
0.020000,23.722841,22.131279,1.859214,4.691085,5.938083,0.000000,2.819689
0.020000,23.632160,22.159609,1.954223,4.809847,5.938083,-0.000000,2.858146
0.020000,23.538133,22.184935,2.051608,4.928609,5.938083,-0.000000,2.899067
0.020000,23.440807,22.206798,2.151367,5.047370,5.938083,0.000000,2.942394
0.020000,23.340267,22.224730,2.253502,5.166132,5.938083,-0.000000,2.987990
0.020000,23.236646,22.238261,2.358013,5.284893,5.938083,0.000000,3.035625
0.020000,23.130125,22.246943,2.464898,5.403655,5.938083,0.000000,3.084977
0.020000,23.020929,22.250361,2.574159,5.522417,5.938083,0.000000,3.135627
0.020000,22.909328,22.248150,2.685795,5.641178,5.938083,-0.000000,3.187075
0.020000,22.795620,22.240015,2.799806,5.759940,5.938083,0.000000,3.238762
0.020000,22.680125,22.225740,2.916192,5.878702,5.938083,0.000000,3.290097
0.020000,22.563167,22.205194,3.034954,5.997463,5.938083,0.000000,3.340501
0.020000,22.445201,22.178373,3.155942,6.101380,5.195822,-37.113016,3.389371
0.020000,22.326793,22.145422,3.278861,6.190451,4.453562,-37.113016,3.436136
0.020000,22.208454,22.106610,3.403412,6.264677,3.711302,-37.113016,3.480341
0.020000,22.090631,22.062303,3.529299,6.324058,2.969041,-37.113016,3.521659
0.020000,21.973705,22.012941,3.656226,6.368594,2.226781,-37.113016,3.559885
0.020000,21.857991,21.959016,3.783895,6.398284,1.484521,-37.113016,3.594920
0.020000,21.743753,21.901057,3.912000,6.412279,0.699761,-39.237993,3.626752
0.020000,21.631332,21.839679,4.040089,6.396584,-0.784760,-74.226032,3.655405
0.020000,21.521015,21.775510,4.167715,6.366044,-1.527020,-37.113016,3.680965
0.020000,21.412920,21.709102,4.294582,6.320658,-2.269281,-37.113016,3.703586
0.020000,21.307146,21.640986,4.420393,6.260427,-3.011541,-37.113016,3.723441
0.020000,21.203777,21.571674,4.544851,6.185351,-3.753801,-37.113016,3.740704
0.020000,21.102888,21.501654,4.667659,6.095430,-4.496061,-37.113016,3.755553
0.020000,21.004552,21.431388,4.788520,5.990663,-5.238322,-37.113016,3.768161
0.020000,20.908839,21.361310,4.907145,5.871902,-5.938083,-34.988039,3.778697
0.020000,20.815703,21.291741,5.023396,5.753140,-5.938083,0.000000,3.787332
0.020000,20.725002,21.222888,5.137271,5.634379,-5.938083,0.000000,3.794229
0.020000,20.636605,21.154931,5.248771,5.515617,-5.938083,-0.000000,3.799533
0.020000,20.550395,21.088027,5.357896,5.396855,-5.938083,-0.000000,3.803370
0.020000,20.466269,21.022314,5.464645,5.278094,-5.938083,0.000000,3.805852
0.020000,20.384133,20.957912,5.569019,5.159332,-5.938083,0.000000,3.807078
0.020000,20.303907,20.894923,5.671018,5.040570,-5.938083,-0.000000,3.807136
0.020000,20.225518,20.833440,5.770642,4.921809,-5.938083,0.000000,3.806106
0.020000,20.148907,20.773541,5.867891,4.803047,-5.938083,0.000000,3.804058
0.020000,20.074018,20.715294,5.962764,4.684285,-5.938083,0.000000,3.801058
0.020000,20.000810,20.658758,6.055262,4.565524,-5.938083,-0.000000,3.797166
0.020000,19.929244,20.603981,6.145385,4.446762,-5.938083,0.000000,3.792439
0.020000,19.859293,20.551006,6.233133,4.328000,-5.938083,0.000000,3.786929
0.020000,19.790933,20.499865,6.318505,4.209239,-5.938083,0.000000,3.780687
0.020000,19.724149,20.450586,6.401502,4.090477,-5.938083,0.000000,3.773761
0.020000,19.658931,20.403189,6.482124,3.971715,-5.938083,-0.000000,3.766201
0.020000,19.595275,20.357687,6.560371,3.852954,-5.938083,0.000000,3.758052
0.020000,19.533183,20.314087,6.636242,3.734192,-5.938083,0.000000,3.749363
0.020000,19.472659,20.272392,6.709738,3.615430,-5.938083,-0.000000,3.740182
0.020000,19.413714,20.232596,6.780859,3.496669,-5.938083,0.000000,3.730556
0.020000,19.356363,20.194692,6.849605,3.377907,-5.938083,0.000000,3.720536
0.020000,19.300623,20.158663,6.915976,3.259145,-5.938083,0.000000,3.710172
0.020000,19.246515,20.124491,6.979971,3.140384,-5.938083,-0.000000,3.699515
