dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.395014,19.793305,0.000149,0.014900,0.745021,37.251028,2.530754
0.020000,24.394674,19.793542,0.000564,0.020732,0.291562,-22.672904,2.530901
0.020000,24.393910,19.794077,0.001496,0.046639,1.295376,50.190683,2.531234
0.020000,24.392551,19.795027,0.003154,0.082890,1.812540,25.858216,2.531825
0.020000,24.390513,19.796450,0.005640,0.124277,2.069356,12.840780,2.532712
0.020000,24.387795,19.798342,0.008952,0.165595,2.065883,-0.173643,2.533897
0.020000,24.384397,19.800701,0.013088,0.206820,2.061252,-0.231560,2.535381
0.020000,24.380320,19.803523,0.018047,0.247929,2.055462,-0.289480,2.537166
0.020000,24.375562,19.806802,0.023825,0.288899,2.048514,-0.347414,2.539254
0.020000,24.370124,19.810531,0.030419,0.329708,2.040408,-0.405309,2.541648
0.020000,24.364005,19.814705,0.037825,0.370330,2.031145,-0.463138,2.544350
0.020000,24.357206,19.819314,0.046040,0.410745,2.020728,-0.520850,2.547365
0.020000,24.349725,19.824351,0.055059,0.450928,2.009161,-0.578337,2.550696
0.020000,24.341562,19.829805,0.064876,0.490857,1.996451,-0.635537,2.554347
0.020000,24.332718,19.835666,0.075486,0.530509,1.982605,-0.692270,2.558323
0.020000,24.323191,19.841923,0.086883,0.569862,1.967637,-0.748401,2.562629
0.020000,24.312983,19.848563,0.099061,0.608893,1.951563,-0.803724,2.567269
0.020000,24.302092,19.855572,0.112013,0.647581,1.934403,-0.857968,2.572249
0.020000,24.290518,19.862936,0.125731,0.685905,1.916186,-0.910861,2.577576
0.020000,24.278261,19.870641,0.140208,0.723844,1.896945,-0.962039,2.583255
0.020000,24.265322,19.878669,0.155435,0.761378,1.876724,-1.011096,2.589293
0.020000,24.251700,19.887004,0.171405,0.798490,1.855573,-1.057549,2.595697
0.020000,24.237395,19.895628,0.188108,0.835161,1.833556,-1.100835,2.602475
0.020000,24.222407,19.904521,0.205536,0.871376,1.810749,-1.140343,2.609633
0.020000,24.206738,19.913664,0.223678,0.907121,1.787243,-1.175309,2.617179
0.020000,24.190385,19.923037,0.242526,0.942384,1.763144,-1.204942,2.625121
0.020000,24.173351,19.932617,0.262069,0.977155,1.738578,-1.228296,2.633468
0.020000,24.155636,19.942381,0.282298,1.011429,1.713691,-1.244357,2.642226
0.020000,24.137239,19.952308,0.303202,1.045202,1.688652,-1.251956,2.651405
0.020000,24.118161,19.962371,0.324771,1.078475,1.663655,-1.249847,2.661012
0.020000,24.098402,19.972547,0.346996,1.111254,1.638922,-1.236655,2.671056
0.020000,24.077962,19.982809,0.369867,1.143548,1.614704,-1.210882,2.681544
0.020000,24.056842,19.993131,0.393375,1.175374,1.591285,-1.170958,2.692484
0.020000,24.035041,20.003486,0.417510,1.206753,1.568981,-1.115187,2.703884
0.020000,24.012559,20.013845,0.442264,1.237716,1.548144,-1.041840,2.715749
0.020000,23.989394,20.024181,0.467630,1.268299,1.529162,-0.949110,2.728087
0.020000,23.965546,20.034465,0.493601,1.298548,1.512458,-0.835227,2.740902
0.020000,23.941012,20.044666,0.520172,1.328518,1.498489,-0.698415,2.754199
0.020000,23.915790,20.054755,0.547337,1.358273,1.487748,-0.537044,2.767983
0.020000,23.889875,20.064702,0.575095,1.387888,1.480756,-0.349604,2.782254
0.020000,23.863264,20.074475,0.603444,1.417449,1.478059,-0.134865,2.797014
0.020000,23.835951,20.084044,0.632385,1.447054,1.480221,0.108093,2.812262
0.020000,23.807928,20.093377,0.661921,1.476810,1.487816,0.379741,2.827996
0.020000,23.779187,20.102441,0.692058,1.506839,1.501416,0.680036,2.844211
0.020000,23.749717,20.111205,0.722803,1.537270,1.521582,1.008267,2.860900
0.020000,23.719506,20.119635,0.754168,1.568247,1.548842,1.363013,2.878056
0.020000,23.688540,20.127698,0.786167,1.599921,1.583682,1.741995,2.895666
0.020000,23.656803,20.135361,0.818816,1.632451,1.626523,2.142029,2.913716
0.020000,23.624276,20.142588,0.852136,1.666005,1.677702,2.558989,2.932191
0.020000,23.590939,20.149345,0.886151,1.700754,1.737458,2.987761,2.951070
0.020000,23.556768,20.155594,0.920888,1.736872,1.805904,3.422310,2.970330
0.020000,23.521739,20.161299,0.956379,1.774533,1.883018,3.855733,2.989948
0.020000,23.485824,20.166421,0.992657,1.813905,1.968627,4.280411,3.009895
0.020000,23.448995,20.170920,1.029760,1.855153,2.062390,4.688194,3.030141
0.020000,23.411221,20.174755,1.067729,1.898429,2.163803,5.070649,3.050653
0.020000,23.372469,20.177883,1.106606,1.943873,2.272190,5.419339,3.071394
0.020000,23.332708,20.180260,1.146438,1.991607,2.386713,5.726156,3.092329
0.020000,23.291904,20.181839,1.187273,2.041735,2.506386,5.983638,3.113418
0.020000,23.250024,20.182574,1.229160,2.094337,2.630092,6.185311,3.134621
0.020000,23.207034,20.182414,1.272149,2.149469,2.756612,6.325974,3.155897
0.020000,23.162905,20.181311,1.316292,2.207162,2.884651,6.401956,3.177203
0.020000,23.117605,20.179211,1.361641,2.267420,3.012877,6.411290,3.198499
0.020000,23.071107,20.176064,1.408245,2.330219,3.139953,6.353813,3.219743
