dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.769290,21.913902,0.000149,0.014925,0.746269,37.313433,2.705278
0.020000,25.768630,21.914210,0.000878,0.036414,1.074430,16.408048,2.705385
0.020000,25.767145,21.914902,0.002516,0.081935,2.276045,60.080782,2.705625
0.020000,25.764504,21.916132,0.005430,0.145674,3.186946,45.545037,2.706052
0.020000,25.760540,21.917975,0.009800,0.218539,3.643260,22.815721,2.706694
0.020000,25.755253,21.920428,0.015629,0.291438,3.644959,0.084932,2.707551
0.020000,25.748640,21.923490,0.022917,0.364383,3.647223,0.113217,2.708623
0.020000,25.740697,21.927155,0.031665,0.437384,3.650053,0.141495,2.709911
0.020000,25.731421,21.931419,0.041874,0.510453,3.653448,0.169740,2.711417
0.020000,25.720808,21.936278,0.053546,0.583601,3.657407,0.197957,2.713142
0.020000,25.708854,21.941724,0.066682,0.656839,3.661929,0.226086,2.715087
0.020000,25.695552,21.947751,0.081286,0.730180,3.667013,0.254187,2.717254
0.020000,25.680897,21.954351,0.097359,0.803633,3.672656,0.282143,2.719645
0.020000,25.664882,21.961515,0.114903,0.877210,3.678856,0.310001,2.722261
0.020000,25.647500,21.969233,0.133921,0.950922,3.685609,0.337661,2.725106
0.020000,25.628744,21.977496,0.154417,1.024780,3.692911,0.365123,2.728181
0.020000,25.608605,21.986291,0.176393,1.098795,3.700757,0.392303,2.731489
0.020000,25.587074,21.995607,0.199852,1.172978,3.709141,0.419162,2.735033
0.020000,25.564142,22.005429,0.224799,1.247339,3.718052,0.445588,2.738815
0.020000,25.539799,22.015743,0.251237,1.321889,3.727483,0.471531,2.742839
0.020000,25.514035,22.026533,0.279170,1.396637,3.737420,0.496872,2.747107
0.020000,25.486838,22.037783,0.308602,1.471594,3.747850,0.521503,2.751624
0.020000,25.458197,22.049476,0.339537,1.546769,3.758756,0.545269,2.756393
0.020000,25.428101,22.061591,0.371980,1.622172,3.770117,0.568064,2.761417
0.020000,25.396536,22.074108,0.405937,1.697810,3.781911,0.589677,2.766701
0.020000,25.363490,22.087006,0.441410,1.773692,3.794110,0.609945,2.772248
0.020000,25.328949,22.100261,0.478407,1.849826,3.806682,0.628644,2.778062
0.020000,25.292901,22.113850,0.516931,1.926218,3.819593,0.645547,2.784148
0.020000,25.255331,22.127746,0.556989,2.002874,3.832801,0.660395,2.790510
0.020000,25.216225,22.141922,0.598585,2.079799,3.846259,0.672909,2.797152
0.020000,25.175569,22.156349,0.641725,2.156997,3.859914,0.682734,2.804079
0.020000,25.133348,22.170995,0.686414,2.234471,3.873706,0.689595,2.811295
0.020000,25.089547,22.185829,0.732659,2.312223,3.887567,0.693065,2.818805
0.020000,25.044152,22.200816,0.780464,2.390251,3.901423,0.692769,2.826613
0.020000,24.997149,22.215921,0.829835,2.468555,3.915188,0.688281,2.834724
0.020000,24.948522,22.231105,0.880777,2.547130,3.928771,0.679109,2.843142
0.020000,24.898257,22.246329,0.933297,2.625972,3.942067,0.664822,2.851872
0.020000,24.846341,22.261551,0.987398,2.705071,3.954964,0.644862,2.860917
0.020000,24.792760,22.276726,1.043087,2.784418,3.967339,0.618722,2.870282
0.020000,24.737502,22.291810,1.100367,2.863999,3.979056,0.585856,2.879970
0.020000,24.680554,22.306753,1.159243,2.943798,3.989970,0.545692,2.889986
0.020000,24.621905,22.321506,1.219718,3.023797,3.999924,0.497706,2.900331
0.020000,24.561545,22.336017,1.281798,3.103972,4.008750,0.441302,2.911010
0.020000,24.499466,22.350231,1.345484,3.184297,4.016270,0.375988,2.922025
0.020000,24.435659,22.364091,1.410779,3.264743,4.022294,0.301227,2.933377
0.020000,24.370119,22.377538,1.477684,3.345276,4.026626,0.216605,2.945069
0.020000,24.302841,22.390513,1.546201,3.425857,4.029060,0.121693,2.957100
0.020000,24.233824,22.402952,1.616330,3.506444,4.029384,0.016201,2.969471
0.020000,24.163068,22.414790,1.688070,3.586992,4.027382,-0.100081,2.982181
0.020000,24.090575,22.425960,1.761419,3.667449,4.022838,-0.227237,2.995229
0.020000,24.016350,22.436396,1.836374,3.747759,4.015534,-0.365207,3.008612
0.020000,23.940400,22.446026,1.912932,3.827865,4.005258,-0.513759,3.022328
0.020000,23.862738,22.454780,1.991086,3.907701,3.991809,-0.672473,3.036371
0.020000,23.783377,22.462586,2.070830,3.987201,3.974995,-0.840718,3.050737
0.020000,23.702335,22.469370,2.152155,4.066294,3.954642,-1.017645,3.065418
0.020000,23.619632,22.475059,2.235054,4.144905,3.930598,-1.202159,3.080407
0.020000,23.535294,22.479579,2.319513,4.222960,3.902740,-1.392913,3.095694
0.020000,23.449349,22.482856,2.405520,4.300380,3.870974,-1.588329,3.111270
0.020000,23.361829,22.484817,2.493062,4.377085,3.835242,-1.786570,3.127123
0.020000,23.272771,22.485388,2.582122,4.452995,3.795530,-1.985585,3.143239
0.020000,23.182215,22.484497,2.672683,4.528033,3.751868,-2.183116,3.159605
0.020000,23.090204,22.482075,2.764725,4.602119,3.704333,-2.376736,3.176205
0.020000,22.996787,22.478054,2.858229,4.675180,3.653055,-2.563901,3.193023
0.020000,22.902015,22.472366,2.953171,4.747145,3.598216,-2.741988,3.210040
0.020000,22.805942,22.464948,3.049530,4.817946,3.540048,-2.908369,3.227238
0.020000,22.708626,22.455741,3.147281,4.887522,3.478839,-3.060468,3.244597
0.020000,22.610128,22.444686,3.246397,4.955821,3.414922,-3.195833,3.262095
0.020000,22.510699,22.431758,3.346663,5.013291,2.873517,-27.070244,3.279679
0.020000,22.410777,22.416974,3.447673,5.050495,1.860166,-50.667547,3.297261
0.020000,22.310792,22.400384,3.549025,5.067591,0.854845,-50.266067,3.314757
0.020000,22.211167,22.382065,3.650320,5.064785,-0.140312,-49.757844,3.332086
0.020000,22.112127,22.362085,3.751355,5.051728,-0.652853,-25.627086,3.349202
0.020000,22.013711,22.340483,3.852114,5.037972,-0.687825,-1.748580,3.366094
0.020000,21.915950,22.317299,3.952586,5.023585,-0.719335,-1.575483,3.382752
0.020000,21.818876,22.292576,4.052759,5.008637,-0.747385,-1.402527,3.399167
0.020000,21.722516,22.266356,4.152623,4.993197,-0.772014,-1.231415,3.415331
0.020000,21.626893,22.238682,4.252169,4.977331,-0.793287,-1.063667,3.431236
0.020000,21.532029,22.209599,4.351392,4.961105,-0.811299,-0.900621,3.446877
