dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830003,24.229167,0.000077,0.007692,0.384615,19.230769,6.283183
0.020000,2.830211,24.229167,0.000285,0.010414,0.136061,-12.427710,0.000006
0.020000,2.830882,24.229167,0.000956,0.033530,1.155846,50.989230,0.000023
0.020000,2.832074,24.229167,0.002148,0.059610,1.303979,7.406637,0.000055
0.020000,2.833937,24.229167,0.004011,0.093142,1.676575,18.629799,0.000104
0.020000,2.836619,24.229167,0.006693,0.134126,2.049205,18.631514,0.000174
0.020000,2.840271,24.229168,0.010345,0.182563,2.421886,18.634064,0.000270
0.020000,2.845040,24.229170,0.015114,0.238456,2.794638,18.637616,0.000395
0.020000,2.851076,24.229173,0.021150,0.301806,3.167485,18.642336,0.000554
0.020000,2.858528,24.229177,0.028602,0.372615,3.540453,18.648393,0.000749
0.020000,2.867546,24.229185,0.037620,0.450886,3.913572,18.655954,0.000985
0.020000,2.878278,24.229197,0.048352,0.536624,4.286876,18.665188,0.001265
0.020000,2.890875,24.229215,0.060949,0.629832,4.660401,18.676261,0.001593
0.020000,2.905485,24.229241,0.075559,0.730516,5.034188,18.689344,0.001973
0.020000,2.922259,24.229278,0.092333,0.838681,5.408280,18.704604,0.002407
0.020000,2.941345,24.229329,0.111420,0.954336,5.782724,18.722212,0.002900
0.020000,2.962895,24.229397,0.132969,1.077487,6.157571,18.742338,0.003454
0.020000,2.987058,24.229488,0.157132,1.208145,6.532874,18.765151,0.004073
0.020000,3.013909,24.229607,0.183984,1.342589,6.722205,9.466536,0.004756
0.020000,3.043451,24.229758,0.213526,1.477098,6.725457,0.162632,0.005505
0.020000,3.075684,24.229949,0.245760,1.611679,6.729037,0.178963,0.006316
0.020000,3.110610,24.230185,0.280686,1.746337,6.732943,0.195310,0.007189
0.020000,3.148230,24.230473,0.318308,1.881081,6.737176,0.211670,0.008123
0.020000,3.188547,24.230820,0.358626,2.015916,6.741737,0.228042,0.009115
0.020000,3.231562,24.231235,0.401643,2.150848,6.746626,0.244426,0.010165
0.020000,3.277277,24.231725,0.447361,2.285885,6.751842,0.260819,0.011271
0.020000,3.325694,24.232299,0.495782,2.421033,6.757386,0.277217,0.012431
0.020000,3.376816,24.232965,0.546908,2.556298,6.763259,0.293619,0.013643
0.020000,3.430644,24.233734,0.600741,2.691687,6.769459,0.310021,0.014904
0.020000,3.487182,24.234614,0.657285,2.827207,6.775988,0.326418,0.016214
0.020000,3.546430,24.235615,0.716543,2.962864,6.782844,0.342806,0.017569
0.020000,3.608393,24.236747,0.778516,3.098664,6.790027,0.359181,0.018968
0.020000,3.673073,24.238020,0.843208,3.234615,6.797538,0.375538,0.020407
0.020000,3.740472,24.239446,0.910623,3.370723,6.805375,0.391871,0.021885
0.020000,3.810594,24.241034,0.980763,3.506993,6.813539,0.408175,0.023398
0.020000,3.883442,24.242795,1.053631,3.643434,6.822028,0.424445,0.024944
0.020000,3.959018,24.244741,1.129232,3.780051,6.830841,0.440675,0.026521
0.020000,4.037325,24.246881,1.207569,3.916850,6.839979,0.456860,0.028124
0.020000,4.118368,24.249227,1.288646,4.053839,6.849438,0.472995,0.029751
0.020000,4.202150,24.251790,1.372467,4.191023,6.859220,0.489074,0.031399
0.020000,4.288673,24.254580,1.459035,4.328410,6.869322,0.505095,0.033065
0.020000,4.377942,24.257608,1.548355,4.466005,6.879743,0.521050,0.034744
0.020000,4.469960,24.260884,1.640431,4.603814,6.890482,0.536940,0.036434
0.020000,4.564731,24.264420,1.735268,4.741845,6.901537,0.552759,0.038132
0.020000,4.662258,24.268224,1.832870,4.880103,6.912907,0.568506,0.039832
0.020000,4.762547,24.272306,1.933242,5.018595,6.924590,0.584179,0.041532
0.020000,4.865601,24.276677,2.036389,5.157327,6.936586,0.599781,0.043228
0.020000,4.971424,24.281344,2.142315,5.296305,6.948892,0.615309,0.044915
0.020000,5.080021,24.286317,2.251025,5.435535,6.961508,0.630768,0.046590
0.020000,5.191396,24.291603,2.362526,5.575023,6.974431,0.646162,0.048248
0.020000,5.305554,24.297209,2.476821,5.714777,6.987661,0.661493,0.049885
0.020000,5.422500,24.303143,2.593917,5.854801,7.001196,0.676770,0.051496
0.020000,5.542238,24.309410,2.713819,5.995101,7.015036,0.692001,0.053078
0.020000,5.664774,24.316016,2.836533,6.135685,7.029180,0.707193,0.054625
0.020000,5.790112,24.322965,2.962064,6.276557,7.043627,0.722360,0.056133
0.020000,5.918259,24.330261,3.090419,6.417725,7.058377,0.737514,0.057597
0.020000,6.049220,24.337906,3.221603,6.559194,7.073431,0.752668,0.059012
0.020000,6.183001,24.345902,3.355622,6.700969,7.088788,0.767839,0.060373
0.020000,6.319607,24.354249,3.492483,6.843058,7.104448,0.783043,0.061675
0.020000,6.459046,24.362948,3.632192,6.985467,7.120414,0.798301,0.062913
0.020000,6.601322,24.371995,3.774756,7.128200,7.136687,0.813632,0.064081
0.020000,6.746444,24.381388,3.920182,7.271266,7.153268,0.829056,0.065174
0.020000,6.894417,24.391123,4.068475,7.414669,7.170160,0.844597,0.066187
0.020000,7.045250,24.401192,4.219643,7.558416,7.187366,0.860278,0.067114
0.020000,7.198949,24.411589,4.373694,7.702514,7.204888,0.876122,0.067949
0.020000,7.355446,24.422299,4.530557,7.843143,7.031443,-8.672237,0.068687
0.020000,7.514595,24.433299,4.690086,7.976466,6.666173,-18.263522,0.069320
0.020000,7.676252,24.444568,4.852135,8.102463,6.299814,-18.317957,0.069843
0.020000,7.840271,24.456077,5.016557,8.221109,5.932319,-18.374729,0.070251
0.020000,8.006506,24.467800,5.183205,8.332382,5.563646,-18.433679,0.070537
0.020000,8.174811,24.479707,5.351930,8.436257,5.193753,-18.494657,0.070698
0.020000,8.345038,24.491766,5.522584,8.532709,4.822602,-18.557519,0.070729
0.020000,8.517042,24.503946,5.695019,8.621712,4.450160,-18.622130,0.070626
0.020000,8.690674,24.516210,5.869083,8.703240,4.076392,-18.688364,0.070386
0.020000,8.865787,24.528524,6.044629,8.777265,3.701270,-18.756099,0.070005
0.020000,9.042232,24.540852,6.221504,8.843761,3.324766,-18.825222,0.069481
0.020000,9.219860,24.553156,6.399558,8.902698,2.946853,-18.895623,0.068811
0.020000,9.398522,24.565398,6.578639,8.954048,2.567510,-18.967198,0.067994
0.020000,9.578068,24.577540,6.758594,8.997782,2.186713,-19.039841,0.067029
0.020000,9.758346,24.589544,6.939272,9.033871,1.804444,-19.113452,0.065914
0.020000,9.939206,24.601370,7.120518,9.062285,1.420685,-19.187930,0.064651
0.020000,10.120494,24.612980,7.302177,9.082993,1.035422,-19.263167,0.063238
0.020000,10.302058,24.624337,7.484097,9.095966,0.648641,-19.339059,0.061676
0.020000,10.483823,24.635408,7.666198,9.105066,0.454981,-9.682997,0.059967
0.020000,10.665789,24.646165,7.848482,9.114174,0.455406,0.021279,0.058109
0.020000,10.847957,24.656582,8.030947,9.123291,0.455845,0.021936,0.056103
0.020000,11.030329,24.666629,8.213596,9.132417,0.456291,0.022295,0.053948
0.020000,11.212905,24.676280,8.396427,9.141551,0.456737,0.022331,0.051645
0.020000,11.395686,24.685506,8.579441,9.150695,0.457178,0.022019,0.049193
0.020000,11.578673,24.694278,8.762638,9.159847,0.457604,0.021331,0.046592
0.020000,11.761865,24.702569,8.946018,9.169007,0.458009,0.020247,0.043842
0.020000,11.945264,24.710351,9.129581,9.178175,0.458384,0.018734,0.040943
0.020000,12.128868,24.717594,9.313328,9.187349,0.458719,0.016772,0.037894
0.020000,12.312677,24.724271,9.497259,9.196529,0.459006,0.014331,0.034696
0.020000,12.496691,24.730352,9.681373,9.205714,0.459234,0.011388,0.031349
0.020000,12.680909,24.735809,9.865671,9.214902,0.459392,0.007915,0.027852
0.020000,12.865328,24.740612,10.050153,9.224091,0.459470,0.003890,0.024206
0.020000,13.049947,24.744734,10.234819,9.233280,0.459456,-0.000717,0.020410
0.020000,13.234765,24.748144,10.419668,9.242467,0.459337,-0.005923,0.016465
0.020000,13.419779,24.750814,10.604701,9.251649,0.459102,-0.011758,0.012370
0.020000,13.604986,24.752714,10.789917,9.260824,0.458737,-0.018241,0.008126
0.020000,13.790382,24.753816,10.975317,9.269988,0.458229,-0.025394,0.003733
0.020000,13.975965,24.754089,11.160900,9.279140,0.457565,-0.033237,6.282376
0.020000,14.161729,24.753506,11.346665,9.288274,0.456729,-0.041789,6.277686
0.020000,14.347671,24.752035,11.532613,9.297388,0.455707,-0.051066,6.272846
0.020000,14.533786,24.749649,11.718743,9.306478,0.454486,-0.061083,6.267860
0.020000,14.720067,24.746318,11.905053,9.315539,0.453049,-0.071851,6.262725
0.020000,14.906508,24.742012,12.091545,9.324567,0.451381,-0.083381,6.257444
0.020000,15.093104,24.736704,12.278216,9.333556,0.449468,-0.095679,6.252016
0.020000,15.279846,24.730362,12.465066,9.342502,0.447293,-0.108749,6.246443
0.020000,15.466728,24.722960,12.652094,9.351399,0.444841,-0.122588,6.240725
0.020000,15.653740,24.714468,12.839299,9.360241,0.442097,-0.137197,6.234864
0.020000,15.840874,24.704857,13.026679,9.369022,0.439046,-0.152565,6.228859
0.020000,16.028120,24.694099,13.214234,9.377735,0.435672,-0.168678,6.222713
0.020000,16.215467,24.682167,13.401961,9.386374,0.431962,-0.185522,6.216426
0.020000,16.402906,24.669032,13.589860,9.394932,0.427900,-0.203073,6.209999
0.020000,16.590425,24.654667,13.777928,9.403402,0.423474,-0.221306,6.203435
0.020000,16.778011,24.639044,13.966164,9.411775,0.418670,-0.240179,6.196735
0.020000,16.965652,24.622138,14.154564,9.420045,0.413477,-0.259668,6.189900
0.020000,17.153334,24.603921,14.343129,9.428202,0.407883,-0.279720,6.182932
0.020000,17.341043,24.584368,14.531853,9.436240,0.401877,-0.300281,6.175834
0.020000,17.528765,24.563454,14.720736,9.444149,0.395451,-0.321302,6.168607
0.020000,17.716483,24.541153,14.909775,9.451921,0.388597,-0.342723,6.161253
0.020000,17.904182,24.517441,15.098966,9.459547,0.381307,-0.364463,6.153775
