dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.749996,22.521000,0.000039,0.003928,0.196386,9.819324,6.283182
0.020000,2.749999,22.521000,0.000043,0.000175,-0.187627,-19.200652,6.283185
0.020000,2.750330,22.521000,0.000373,0.016526,0.817536,50.258136,0.000006
0.020000,2.750972,22.521000,0.001016,0.032123,0.779830,-1.885332,0.000017
0.020000,2.751976,22.521000,0.002020,0.050191,0.903435,6.180294,0.000035
0.020000,2.753422,22.521000,0.003465,0.072275,1.104185,10.037481,0.000061
0.020000,2.755389,22.521000,0.005433,0.098373,1.304922,10.036868,0.000096
0.020000,2.757959,22.521001,0.008002,0.128486,1.505643,10.036022,0.000141
0.020000,2.761211,22.521001,0.011255,0.162613,1.706341,10.034897,0.000199
0.020000,2.765226,22.521002,0.015270,0.200753,1.907010,10.033451,0.000270
0.020000,2.770084,22.521004,0.020128,0.242906,2.107643,10.031651,0.000356
0.020000,2.775866,22.521006,0.025909,0.289071,2.308232,10.029450,0.000458
0.020000,2.782651,22.521009,0.032694,0.339246,2.508768,10.026813,0.000577
0.020000,2.790519,22.521015,0.040563,0.393431,2.709242,10.023702,0.000716
0.020000,2.799552,22.521022,0.049595,0.451624,2.909644,10.020073,0.000875
0.020000,2.809828,22.521032,0.059872,0.513823,3.109961,10.015889,0.001055
0.020000,2.821429,22.521045,0.071472,0.580027,3.310184,10.011114,0.001258
0.020000,2.834433,22.521063,0.084477,0.650233,3.510298,10.005705,0.001485
0.020000,2.848922,22.521086,0.098966,0.724438,3.710290,9.999628,0.001737
0.020000,2.864975,22.521116,0.115018,0.802641,3.910147,9.992838,0.002015
0.020000,2.882672,22.521155,0.132715,0.884838,4.109853,9.985304,0.002320
0.020000,2.902092,22.521203,0.152136,0.971026,4.309393,9.976990,0.002654
0.020000,2.923316,22.521263,0.173360,1.061201,4.508750,9.967848,0.003017
0.020000,2.946423,22.521337,0.196467,1.155359,4.707907,9.957852,0.003411
0.020000,2.971493,22.521428,0.221537,1.253496,4.906846,9.946963,0.003835
0.020000,2.998605,22.521538,0.248649,1.355607,5.105549,9.935142,0.004291
0.020000,3.027838,22.521671,0.277883,1.461687,5.303996,9.922358,0.004780
0.020000,3.059272,22.521830,0.309317,1.571731,5.502168,9.908573,0.005302
0.020000,3.092986,22.522018,0.343032,1.685732,5.700043,9.893756,0.005857
0.020000,3.129059,22.522240,0.379106,1.803684,5.897600,9.877865,0.006446
0.020000,3.167570,22.522500,0.417617,1.925580,6.094818,9.860890,0.007070
