dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.067405,18.629199,0.000197,0.019731,0.986570,49.328506,0.977376
0.020000,17.067882,18.629906,0.001050,0.042626,1.144715,7.907224,0.977320
0.020000,17.068955,18.631496,0.002968,0.095911,2.664286,75.978561,0.977193
0.020000,17.070862,18.634323,0.006378,0.170521,3.730503,53.310884,0.976968
0.020000,17.073726,18.638563,0.011495,0.255812,4.264516,26.700613,0.976629
0.020000,17.077547,18.644215,0.018317,0.341138,4.266295,0.088940,0.976177
0.020000,17.082327,18.651280,0.026848,0.426511,4.268674,0.118977,0.975610
0.020000,17.088071,18.659756,0.037087,0.511944,4.271661,0.149323,0.974928
0.020000,17.094781,18.669643,0.049036,0.597450,4.275263,0.180101,0.974128
0.020000,17.102462,18.680940,0.062696,0.683039,4.279490,0.211366,0.973210
0.020000,17.111119,18.693646,0.078071,0.768727,4.284354,0.243227,0.972172
0.020000,17.120758,18.707759,0.095161,0.854524,4.289870,0.275760,0.971012
0.020000,17.131385,18.723278,0.113970,0.940445,4.296051,0.309086,0.969727
0.020000,17.143007,18.740201,0.134500,1.026503,4.302917,0.343281,0.968316
0.020000,17.155632,18.758528,0.156755,1.112713,4.310486,0.378438,0.966775
0.020000,17.169269,18.778255,0.180736,1.199089,4.318780,0.414727,0.965101
0.020000,17.183927,18.799380,0.206449,1.285645,4.327824,0.452182,0.963292
0.020000,17.199617,18.821902,0.233897,1.372398,4.337643,0.490966,0.961344
0.020000,17.216349,18.845817,0.263084,1.459363,4.348267,0.531201,0.959253
0.020000,17.234136,18.871122,0.294016,1.546558,4.359728,0.573035,0.957015
0.020000,17.252991,18.897815,0.326696,1.633999,4.372059,0.616536,0.954625
0.020000,17.272926,18.925891,0.361130,1.721705,4.385298,0.661950,0.952080
0.020000,17.293958,18.955347,0.397324,1.809695,4.399485,0.709361,0.949373
0.020000,17.316102,18.986179,0.435283,1.897988,4.414664,0.758940,0.946499
0.020000,17.339376,19.018381,0.475015,1.986606,4.430882,0.810897,0.943454
0.020000,17.363797,19.051949,0.516527,2.075569,4.448189,0.865360,0.940230
0.020000,17.389385,19.086877,0.559825,2.164902,4.466640,0.922545,0.936821
0.020000,17.416161,19.123159,0.604917,2.254628,4.486293,0.982645,0.933219
0.020000,17.444147,19.160789,0.651813,2.344772,4.507210,1.045880,0.929419
0.020000,17.473366,19.199758,0.700520,2.435361,4.529459,1.112414,0.925411
0.020000,17.503844,19.240059,0.751049,2.526424,4.553109,1.182538,0.921187
0.020000,17.535608,19.281684,0.803408,2.617988,4.578238,1.256410,0.916739
0.020000,17.568685,19.324623,0.857610,2.710087,4.604924,1.334327,0.912056
0.020000,17.603106,19.368865,0.913665,2.802752,4.633253,1.416446,0.907129
0.020000,17.638904,19.414398,0.971586,2.896018,4.663315,1.503097,0.901948
0.020000,17.676111,19.461212,1.031384,2.989922,4.695203,1.594394,0.896500
0.020000,17.714764,19.509290,1.093074,3.084503,4.729016,1.690665,0.890773
0.020000,17.754902,19.558620,1.156670,3.179800,4.764857,1.792034,0.884756
0.020000,17.796566,19.609183,1.222187,3.275856,4.802831,1.898719,0.878434
0.020000,17.839797,19.660963,1.289641,3.372717,4.843048,2.010857,0.871793
0.020000,17.884643,19.713939,1.359050,3.470430,4.885619,2.128511,0.864818
0.020000,17.931151,19.768088,1.430431,3.569043,4.930654,2.251781,0.857493
0.020000,17.979373,19.823388,1.503803,3.668608,4.978266,2.380569,0.849801
0.020000,18.029364,19.879812,1.579187,3.769179,5.028560,2.514713,0.841724
0.020000,18.081180,19.937330,1.656603,3.870812,5.081639,2.653975,0.833244
0.020000,18.134883,19.995911,1.736074,3.973564,5.137597,2.797869,0.824340
0.020000,18.190537,20.055518,1.817624,4.077494,5.196511,2.945711,0.814991
0.020000,18.248210,20.116113,1.901277,4.182663,5.258444,3.096636,0.805176
0.020000,18.307973,20.177652,1.987060,4.289132,5.323431,3.249353,0.794871
0.020000,18.369900,20.240088,2.074999,4.396961,5.391476,3.402286,0.784053
0.020000,18.434073,20.303368,2.165123,4.506212,5.462543,3.553335,0.772695
0.020000,18.500572,20.367433,2.257462,4.616943,5.536541,3.699899,0.760771
0.020000,18.569484,20.432218,2.352046,4.729209,5.613315,3.838715,0.748255
0.020000,18.640901,20.497653,2.448908,4.843062,5.692630,3.965738,0.735118
0.020000,18.714916,20.563658,2.548079,4.958545,5.774153,4.076154,0.721331
0.020000,18.791627,20.630145,2.649592,5.075694,5.857435,4.164067,0.706864
0.020000,18.871133,20.697019,2.753483,5.194531,5.941885,4.222529,0.691688
0.020000,18.953538,20.764171,2.859784,5.315066,6.026753,4.243416,0.675772
0.020000,19.038947,20.831484,2.968530,5.437288,6.111100,4.217336,0.659086
0.020000,19.127464,20.898828,3.079753,5.561164,6.193772,4.133583,0.641600
0.020000,19.219197,20.966061,3.193486,5.686631,6.273376,3.980218,0.623287
0.020000,19.314249,21.033025,3.309758,5.813596,6.348261,3.744246,0.604120
0.020000,19.412723,21.099550,3.428597,5.941926,6.416496,3.411745,0.584075
0.020000,19.514714,21.165449,3.550025,6.071444,6.475866,2.968523,0.563129
0.020000,19.620315,21.230518,3.674064,6.201921,6.523878,2.400588,0.541268
0.020000,19.729605,21.294540,3.800725,6.333077,6.557780,1.695109,0.518477
0.020000,19.842435,21.357161,3.929768,6.452107,5.951521,-30.312960,0.494798
0.020000,19.958400,21.417917,4.060685,6.545852,4.687243,-63.213932,0.470328
0.020000,20.076923,21.476316,4.192814,6.606466,3.030706,-82.826844,0.445211
0.020000,20.197141,21.531808,4.325221,6.620356,0.694480,-116.811275,0.419652
0.020000,20.318250,21.583983,4.457091,6.593485,-1.343532,-101.900614,0.393851
0.020000,20.439633,21.632596,4.587847,6.537819,-2.783321,-71.989468,0.367968
0.020000,20.560774,21.677514,4.717047,6.460011,-3.890414,-55.354650,0.342144
0.020000,20.681378,21.718733,4.844501,6.372673,-4.366866,-23.822566,0.316470
0.020000,20.801259,21.756310,4.970133,6.281594,-4.553969,-9.355163,0.291012
0.020000,20.920233,21.790319,5.093872,6.186948,-4.732312,-8.917172,0.265833
0.020000,21.038122,21.820850,5.215651,6.088955,-4.899626,-8.365695,0.240993
0.020000,21.154760,21.848009,5.335408,5.987875,-5.054022,-7.719804,0.216548
0.020000,21.269986,21.871912,5.453088,5.883994,-5.194037,-7.000734,0.192546
0.020000,21.383656,21.892688,5.568641,5.777621,-5.318650,-6.230627,0.169032
0.020000,21.495633,21.910476,5.682022,5.669075,-5.427278,-5.431395,0.146046
0.020000,21.605798,21.925419,5.793196,5.558680,-5.519751,-4.623691,0.123618
0.020000,21.714042,21.937668,5.902131,5.446755,-5.596272,-3.826048,0.101778
0.020000,21.820271,21.947378,6.008803,5.333608,-5.657361,-3.054449,0.080546
0.020000,21.924405,21.954703,6.113194,5.219532,-5.703800,-2.321936,0.059939
0.020000,22.026373,21.959799,6.215290,5.104800,-5.736569,-1.638461,0.039968
0.020000,22.126121,21.962821,6.315083,4.989664,-5.756791,-1.011099,0.020642
0.020000,22.223602,21.963922,6.412570,4.874351,-5.765676,-0.444227,0.001963
0.020000,22.318781,21.963248,6.507751,4.759061,-5.764472,0.060163,6.267115
0.020000,22.411632,21.960947,6.600631,4.643973,-5.754430,0.502130,6.249725
0.020000,22.502137,21.957157,6.691215,4.529238,-5.736765,0.883241,6.232972
0.020000,22.590287,21.952012,6.779515,4.414985,-5.712637,1.206390,6.216847
0.020000,22.676077,21.945643,6.865541,4.301322,-5.683132,1.475240,6.201340
0.020000,22.759510,21.938171,6.949308,4.188337,-5.649248,1.694217,6.186438
0.020000,22.840592,21.929715,7.030830,4.076099,-5.611892,1.867809,6.172129
0.020000,22.919335,21.920385,7.110123,3.964662,-5.571876,2.000793,6.158397
0.020000,22.995751,21.910287,7.187205,3.854063,-5.529919,2.097852,6.145229
0.020000,23.069860,21.899519,7.262091,3.744330,-5.486650,2.163456,6.132608
0.020000,23.141679,21.888177,7.334801,3.635478,-5.442614,2.201815,6.120520
0.020000,23.211231,21.876348,7.405351,3.527513,-5.398274,2.216975,6.108948
0.020000,23.278537,21.864115,7.473760,3.420432,-5.354029,2.212242,6.097876
0.020000,23.343621,21.851557,7.540044,3.314228,-5.310205,2.191197,6.087290
0.020000,23.406507,21.838746,7.604222,3.208886,-5.267079,2.156342,6.077173
0.020000,23.467220,21.825751,7.666310,3.104389,-5.224869,2.110470,6.067510
0.020000,23.525784,21.812637,7.726324,3.000714,-5.183757,2.055632,6.058288
0.020000,23.582223,21.799464,7.784281,2.897836,-5.143879,1.993860,6.049492
0.020000,23.636563,21.786287,7.840195,2.795729,-5.105347,1.926639,6.041107
0.020000,23.688827,21.773160,7.894083,2.694365,-5.068236,1.855508,6.033122
