dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.932729,17.370999,0.000197,0.019731,0.986570,49.328506,0.977376
0.020000,18.933135,17.371601,0.000923,0.036300,0.828426,-7.907225,0.977320
0.020000,18.934048,17.372955,0.002557,0.081671,2.268565,72.006959,0.977193
0.020000,18.935673,17.375362,0.005460,0.145181,3.175487,45.346116,0.976968
0.020000,18.938110,17.378971,0.009815,0.217742,3.628045,22.627906,0.976629
0.020000,18.941361,17.383780,0.015621,0.290267,3.626266,-0.088953,0.976177
0.020000,18.945427,17.389789,0.022875,0.362745,3.623887,-0.118975,0.975610
0.020000,18.950309,17.396994,0.031579,0.435163,3.620900,-0.149341,0.974928
0.020000,18.956009,17.405392,0.041729,0.507509,3.617298,-0.180103,0.974128
0.020000,18.962529,17.414981,0.053324,0.579770,3.613070,-0.211377,0.973210
0.020000,18.969870,17.425757,0.066363,0.651934,3.608206,-0.243235,0.972172
0.020000,18.978037,17.437714,0.080843,0.723988,3.602690,-0.275781,0.971012
0.020000,18.987031,17.450848,0.096761,0.795918,3.596508,-0.309094,0.969727
0.020000,18.996855,17.465154,0.114115,0.867711,3.589642,-0.343290,0.968316
0.020000,19.007513,17.480625,0.132902,0.939353,3.582073,-0.378483,0.966775
0.020000,19.019009,17.497254,0.153119,1.010828,3.573778,-0.414728,0.965101
0.020000,19.031347,17.515036,0.174761,1.082123,3.564734,-0.452208,0.963292
0.020000,19.044531,17.533961,0.197826,1.153221,3.554914,-0.491003,0.961344
0.020000,19.058566,17.554020,0.222308,1.224107,3.544289,-0.531243,0.959253
0.020000,19.073457,17.575206,0.248203,1.294763,3.532828,-0.573043,0.957015
0.020000,19.089209,17.597507,0.275507,1.365173,3.520496,-0.616604,0.954625
0.020000,19.105829,17.620913,0.304213,1.435319,3.507256,-0.661987,0.952080
0.020000,19.123322,17.645413,0.334317,1.505180,3.493068,-0.709406,0.949373
0.020000,19.141695,17.670993,0.365811,1.574738,3.477888,-0.759013,0.946499
0.020000,19.160954,17.697641,0.398691,1.643971,3.461669,-0.810948,0.943454
0.020000,19.181107,17.725343,0.432948,1.712858,3.444360,-0.865433,0.940230
0.020000,19.202162,17.754084,0.468576,1.781376,3.425908,-0.922631,0.936821
0.020000,19.224127,17.783846,0.505566,1.849501,3.406253,-0.982744,0.933219
0.020000,19.247010,17.814614,0.543910,1.917208,3.385333,-1.045964,0.929419
0.020000,19.270819,17.846369,0.583599,1.984470,3.363083,-1.112546,0.925411
0.020000,19.295565,17.879090,0.624624,2.051258,3.339429,-1.182653,0.921187
0.020000,19.321257,17.912758,0.666975,2.117544,3.314298,-1.256568,0.916739
0.020000,19.347904,17.947350,0.710641,2.183296,3.287609,-1.334468,0.912056
0.020000,19.375518,17.982843,0.755611,2.248482,3.259276,-1.416651,0.907129
0.020000,19.404110,18.019211,0.801872,2.313066,3.229210,-1.503270,0.901948
0.020000,19.433690,18.056428,0.849412,2.377013,3.197317,-1.594645,0.896500
0.020000,19.464270,18.094466,0.898218,2.440283,3.163499,-1.690908,0.890773
0.020000,19.495863,18.133293,0.948275,2.502836,3.127653,-1.792323,0.884756
0.020000,19.528480,18.172879,0.999567,2.564629,3.089672,-1.899037,0.878434
0.020000,19.562135,18.213189,1.052080,2.625618,3.049448,-2.011200,0.871793
0.020000,19.596841,18.254186,1.105795,2.685755,3.006869,-2.128935,0.864818
0.020000,19.632611,18.295834,1.160695,2.744992,2.961825,-2.252225,0.857493
0.020000,19.669459,18.338090,1.216760,2.803276,2.914204,-2.381060,0.849801
0.020000,19.707398,18.380912,1.273971,2.860554,2.863898,-2.515297,0.841724
0.020000,19.746443,18.424254,1.332307,2.916770,2.810806,-2.654608,0.833244
0.020000,19.786608,18.468067,1.391744,2.971867,2.754834,-2.798567,0.824340
0.020000,19.827907,18.512300,1.452260,3.025785,2.695904,-2.946524,0.814991
0.020000,19.870354,18.556898,1.513829,3.078464,2.633953,-3.097518,0.805176
0.020000,19.913963,18.601805,1.576426,3.129843,2.568946,-3.250358,0.794871
0.020000,19.958749,18.646959,1.640023,3.179860,2.500878,-3.403398,0.784053
0.020000,20.004724,18.692295,1.704592,3.228456,2.429787,-3.554584,0.772695
0.020000,20.051903,18.737748,1.770103,3.275571,2.355761,-3.701286,0.760771
0.020000,20.100297,18.783245,1.836526,3.321150,2.278956,-3.840243,0.748255
0.020000,20.149920,18.828712,1.903829,3.365143,2.199607,-3.967468,0.735118
0.020000,20.200782,18.874071,1.971979,3.407503,2.118046,-4.078043,0.721331
0.020000,20.252895,18.919241,2.040943,3.448198,2.034723,-4.166143,0.706864
0.020000,20.306269,18.964135,2.110687,3.487202,1.950226,-4.224822,0.691688
0.020000,20.360912,19.008665,2.181178,3.524509,1.865308,-4.245928,0.675772
0.020000,20.416833,19.052740,2.252380,3.560127,1.780907,-4.220052,0.659086
0.020000,20.474040,19.096265,2.324262,3.594090,1.698177,-4.136513,0.641600
0.020000,20.532539,19.139142,2.396791,3.626460,1.618509,-3.983374,0.623287
0.020000,20.592335,19.181270,2.469938,3.657332,1.543558,-3.747564,0.604120
0.020000,20.653435,19.222549,2.543674,3.686837,1.475253,-3.415248,0.584075
0.020000,20.715843,19.262874,2.617978,3.715153,1.415810,-2.972133,0.563129
0.020000,20.779566,19.302142,2.692828,3.742507,1.367725,-2.404242,0.541268
0.020000,20.844610,19.340247,2.768211,3.769182,1.333750,-1.698753,0.518477
0.020000,20.910855,19.377015,2.843976,3.788251,0.953439,-19.015565,0.494798
0.020000,20.978053,19.412223,2.919839,3.793145,0.244673,-35.438286,0.470328
0.020000,21.045882,19.445646,2.995455,3.780797,-0.617364,-43.101850,0.445211
0.020000,21.113887,19.477039,3.070357,3.745074,-1.786158,-58.439726,0.419652
0.020000,21.181681,19.506247,3.144175,3.690923,-2.707559,-46.070036,0.393851
0.020000,21.249004,19.533211,3.216697,3.626110,-3.240675,-26.655804,0.367968
0.020000,21.315667,19.557930,3.287795,3.554891,-3.560917,-16.012108,0.342144
0.020000,21.381609,19.580468,3.357483,3.484385,-3.525318,1.779978,0.316470
0.020000,21.446832,19.600913,3.425835,3.417622,-3.338152,9.358290,0.291012
0.020000,21.511337,19.619352,3.492924,3.354427,-3.159754,8.919895,0.265833
0.020000,21.575124,19.635872,3.558815,3.294579,-2.992394,8.367971,0.240993
0.020000,21.638193,19.650558,3.623572,3.237820,-2.837962,7.721609,0.216548
0.020000,21.700543,19.663492,3.687249,3.183861,-2.697921,7.002058,0.192546
0.020000,21.762170,19.674755,3.749897,3.132395,-2.573291,6.231494,0.169032
0.020000,21.823069,19.684429,3.811559,3.083102,-2.464655,5.431826,0.146046
0.020000,21.883231,19.692589,3.872272,3.035659,-2.372181,4.623696,0.123618
0.020000,21.942647,19.699312,3.932067,2.989745,-2.295667,3.825709,0.101778
0.020000,22.001303,19.704673,3.990968,2.945053,-2.234590,3.053811,0.080546
0.020000,22.059186,19.708743,4.048994,2.901290,-2.188170,2.321012,0.059939
0.020000,22.116279,19.711596,4.106158,2.858182,-2.155424,1.637331,0.039968
0.020000,22.172562,19.713301,4.162467,2.815477,-2.135227,1.009822,0.020642
0.020000,22.228018,19.713926,4.217926,2.772950,-2.126370,0.442836,0.001963
0.020000,22.282624,19.713539,4.272534,2.730398,-2.127603,-0.061651,6.267115
0.020000,22.336361,19.712206,4.326287,2.687644,-2.137676,-0.503633,6.249725
0.020000,22.389205,19.709993,4.379178,2.644537,-2.155371,-0.884767,6.232972
0.020000,22.441136,19.706961,4.431197,2.600946,-2.179529,-1.207884,6.216847
0.020000,22.492130,19.703175,4.482332,2.556765,-2.209064,-1.476757,6.201340
0.020000,22.542168,19.698693,4.532570,2.511905,-2.242977,-1.695618,6.186438
0.020000,22.591228,19.693576,4.581896,2.466298,-2.280360,-1.869165,6.172129
0.020000,22.639290,19.687881,4.630294,2.419890,-2.320402,-2.002095,6.158397
0.020000,22.686333,19.681664,4.677747,2.372642,-2.362383,-2.099070,6.145229
0.020000,22.732341,19.674979,4.724237,2.324529,-2.405675,-2.164596,6.132608
0.020000,22.777294,19.667879,4.769748,2.275534,-2.449734,-2.202924,6.120520
0.020000,22.821177,19.660415,4.814261,2.225652,-2.494091,-2.217892,6.108948
0.020000,22.863974,19.652637,4.857759,2.174885,-2.538356,-2.213242,6.097876
0.020000,22.905669,19.644591,4.900223,2.123241,-2.582196,-2.191964,6.087290
0.020000,22.946251,19.636324,4.941638,2.070735,-2.625339,-2.157155,6.077173
0.020000,22.985705,19.627879,4.981986,2.017383,-2.667562,-2.111169,6.067510
0.020000,23.024020,19.619299,5.021250,1.963210,-2.708688,-2.056311,6.058288
0.020000,23.061186,19.610624,5.059415,1.908238,-2.748576,-1.994408,6.049492
0.020000,23.097192,19.601893,5.096465,1.852496,-2.787120,-1.927199,6.041107
0.020000,23.132030,19.593142,5.132385,1.796011,-2.824240,-1.855980,6.033122
0.020000,23.165692,19.584408,5.167161,1.738813,-2.859880,-1.782008,6.025523
0.020000,23.198169,19.575724,5.200780,1.680933,-2.894004,-1.706173,6.018298
0.020000,23.229456,19.567121,5.233228,1.622401,-2.926592,-1.629400,6.011435
0.020000,23.259546,19.558631,5.264493,1.563249,-2.957637,-1.552269,6.004924
0.020000,23.288434,19.550281,5.294563,1.503506,-2.987144,-1.475352,5.998755
0.020000,23.316115,19.542101,5.323427,1.443203,-3.015126,-1.399099,5.992916
0.020000,23.342583,19.534115,5.351074,1.382371,-3.041603,-1.323825,5.987399
0.020000,23.367837,19.526347,5.377495,1.321039,-3.066598,-1.249753,5.982194
0.020000,23.391871,19.518822,5.402680,1.259236,-3.090141,-1.177154,5.977294
0.020000,23.414683,19.511560,5.426620,1.196991,-3.112263,-1.106128,5.972691
0.020000,23.436269,19.504582,5.449306,1.134331,-3.132997,-1.036669,5.968376
0.020000,23.456629,19.497907,5.470732,1.071284,-3.152376,-0.968990,5.964344
0.020000,23.475758,19.491552,5.490890,1.007875,-3.170436,-0.902963,5.960588
0.020000,23.493656,19.485534,5.509772,0.944131,-3.187208,-0.838635,5.957102
0.020000,23.510321,19.479869,5.527374,0.880076,-3.202728,-0.775962,5.953880
0.020000,23.525751,19.474570,5.543688,0.815736,-3.217025,-0.714875,5.950917
0.020000,23.539946,19.469651,5.558711,0.751133,-3.230131,-0.655295,5.948209
0.020000,23.552903,19.465122,5.572437,0.686292,-3.242075,-0.597203,5.945752
0.020000,23.564623,19.460996,5.584862,0.621234,-3.252883,-0.540377,5.943541
0.020000,23.575103,19.457281,5.595981,0.555982,-3.262580,-0.484855,5.941573
0.020000,23.584345,19.453986,5.605792,0.490559,-3.271188,-0.430438,5.939845
0.020000,23.592346,19.451119,5.614292,0.424984,-3.278730,-0.377060,5.938354
0.020000,23.599107,19.448686,5.621478,0.359279,-3.285222,-0.324616,5.937098
0.020000,23.604628,19.446692,5.627347,0.293466,-3.290679,-0.272874,5.936076
0.020000,23.608907,19.445142,5.631898,0.227564,-3.295118,-0.221901,5.935285
0.020000,23.611945,19.444039,5.635130,0.161593,-3.298547,-0.171464,5.934724
0.020000,23.613827,19.443355,5.637133,0.100140,-3.072652,11.294733,5.934377
0.020000,23.614795,19.443003,5.638163,0.051483,-2.432833,31.990959,5.934199
0.020000,23.615158,19.442871,5.638549,0.019331,-1.607621,41.260619,5.934132
0.020000,23.615227,19.442846,5.638623,0.003691,-0.781977,41.282181,5.934119
0.020000,23.615227,19.442846,5.638623,0.000000,-0.184549,29.871419,5.934119
