dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750000,23.750000,0.000077,0.007692,0.384615,19.230769,0.000001
0.020000,2.750251,23.750000,0.000385,0.023077,0.769231,19.230769,6.283181
0.020000,2.750943,23.750000,0.001077,0.046154,1.153846,19.230769,6.283169
0.020000,2.752174,23.750000,0.002308,0.076923,1.538462,19.230769,6.283147
0.020000,2.754097,23.750000,0.004231,0.115385,1.923077,19.230769,6.283114
0.020000,2.756866,23.750000,0.007000,0.161538,2.307692,19.230769,6.283066
0.020000,2.760635,23.749999,0.010769,0.215385,2.692308,19.230769,6.283000
0.020000,2.765558,23.749998,0.015692,0.276923,3.076923,19.230769,6.282915
0.020000,2.771789,23.749996,0.021923,0.346154,3.461538,19.230769,6.282806
0.020000,2.779481,23.749992,0.029615,0.423077,3.846154,19.230769,6.282672
0.020000,2.788789,23.749987,0.038923,0.507692,4.230769,19.230769,6.282510
0.020000,2.799866,23.749978,0.050000,0.600000,4.615385,19.230769,6.282318
0.020000,2.812866,23.749966,0.063000,0.700000,5.000000,19.230769,6.282091
0.020000,2.827943,23.749947,0.078077,0.807692,5.384615,19.230769,6.281829
0.020000,2.845250,23.749921,0.095385,0.923077,5.769231,19.230769,6.281528
0.020000,2.864943,23.749885,0.115077,1.046154,6.153846,19.230769,6.281186
0.020000,2.887173,23.749836,0.137308,1.176923,6.538462,19.230769,6.280799
0.020000,2.912096,23.749771,0.162231,1.315385,6.923077,19.230769,6.280366
0.020000,2.939789,23.749687,0.189923,1.453846,6.923077,-0.000000,6.279885
0.020000,2.970250,23.749578,0.220385,1.592308,6.923077,0.000000,6.279356
0.020000,3.003480,23.749441,0.253615,1.730769,6.923077,0.000000,6.278779
0.020000,3.039480,23.749271,0.289615,1.869231,6.923077,-0.000000,6.278155
0.020000,3.078249,23.749063,0.328385,2.007692,6.923077,0.000000,6.277482
0.020000,3.119786,23.748812,0.369923,2.146154,6.923077,0.000000,6.276762
0.020000,3.164093,23.748510,0.414231,2.284615,6.923077,0.000000,6.275994
0.020000,3.211169,23.748152,0.461308,2.423077,6.923077,0.000000,6.275178
0.020000,3.261013,23.747732,0.511154,2.561538,6.923077,0.000000,6.274316
0.020000,3.313626,23.747241,0.563769,2.700000,6.923077,0.000000,6.273405
0.020000,3.369008,23.746673,0.619154,2.838462,6.923077,-0.000000,6.272447
0.020000,3.427158,23.746019,0.677308,2.976923,6.923077,0.000000,6.271442
0.020000,3.488077,23.745272,0.738231,3.115385,6.923077,-0.000000,6.270390
0.020000,3.551763,23.744422,0.801923,3.253846,6.923077,0.000000,6.269291
0.020000,3.618218,23.743460,0.868385,3.392308,6.923077,0.000000,6.268145
0.020000,3.687440,23.742378,0.937615,3.530769,6.923077,0.000000,6.266953
0.020000,3.759430,23.741164,1.009615,3.669231,6.923077,0.000000,6.265713
0.020000,3.834187,23.739810,1.084385,3.807692,6.923077,0.000000,6.264427
0.020000,3.911711,23.738304,1.161923,3.946154,6.923077,0.000000,6.263095
0.020000,3.992001,23.736635,1.242231,4.084615,6.923077,-0.000000,6.261716
0.020000,4.075057,23.734793,1.325308,4.223077,6.923077,0.000000,6.260291
0.020000,4.160880,23.732764,1.411154,4.361538,6.923077,-0.000000,6.258820
0.020000,4.249467,23.730538,1.499769,4.500000,6.923077,0.000000,6.257304
0.020000,4.340819,23.728102,1.591154,4.638462,6.923077,0.000000,6.255742
0.020000,4.434935,23.725443,1.685308,4.776923,6.923077,-0.000000,6.254134
0.020000,4.531815,23.722547,1.782231,4.915385,6.923077,0.000000,6.252481
0.020000,4.631458,23.719402,1.881923,5.053846,6.923077,-0.000000,6.250783
0.020000,4.733863,23.715994,1.984385,5.192308,6.923077,0.000000,6.249040
0.020000,4.839029,23.712307,2.089615,5.330769,6.923077,-0.000000,6.247253
0.020000,4.946956,23.708328,2.197615,5.469231,6.923077,0.000000,6.245421
0.020000,5.057642,23.704042,2.308385,5.607692,6.923077,-0.000000,6.243545
0.020000,5.171087,23.699434,2.421923,5.746154,6.923077,0.000000,6.241625
0.020000,5.287289,23.694487,2.538231,5.884615,6.923077,0.000000,6.239661
0.020000,5.406248,23.689187,2.657308,6.023077,6.923077,-0.000000,6.237654
0.020000,5.527962,23.683516,2.779154,6.161538,6.923077,0.000000,6.235603
0.020000,5.652430,23.677459,2.903769,6.300000,6.923077,-0.000000,6.233510
0.020000,5.779651,23.670997,3.031154,6.438462,6.923077,0.000000,6.231374
0.020000,5.909622,23.664115,3.161308,6.576923,6.923077,-0.000000,6.229195
0.020000,6.042344,23.656795,3.294231,6.715385,6.923077,0.000000,6.226975
0.020000,6.177813,23.649018,3.429923,6.853846,6.923077,-0.000000,6.224712
0.020000,6.316029,23.640767,3.568385,6.992308,6.923077,0.000000,6.222408
0.020000,6.456988,23.632024,3.709615,7.130769,6.923077,0.000000,6.220063
0.020000,6.600691,23.622769,3.853615,7.269231,6.923077,-0.000000,6.217678
0.020000,6.747133,23.612983,4.000385,7.407692,6.923077,0.000000,6.215252
0.020000,6.896314,23.602648,4.149923,7.546154,6.923077,-0.000000,6.212785
0.020000,7.048231,23.591744,4.302231,7.684615,6.923077,0.000000,6.210280
0.020000,7.202881,23.580251,4.457308,7.823077,6.923077,-0.000000,6.207734
0.020000,7.360186,23.568156,4.615077,7.953846,6.538462,-19.230769,6.205151
0.020000,7.519989,23.555450,4.775385,8.076923,6.153846,-19.230769,6.202534
0.020000,7.682135,23.542128,4.938077,8.192308,5.769231,-19.230769,6.199884
0.020000,7.846468,23.528185,5.103000,8.300000,5.384615,-19.230769,6.197206
0.020000,8.012831,23.513619,5.270000,8.400000,5.000000,-19.230769,6.194501
0.020000,8.181070,23.498428,5.438923,8.492308,4.615385,-19.230769,6.191773
0.020000,8.351028,23.482613,5.609615,8.576923,4.230769,-19.230769,6.189025
0.020000,8.522550,23.466175,5.781923,8.653846,3.846154,-19.230769,6.186259
0.020000,8.695480,23.449118,5.955692,8.723077,3.461538,-19.230769,6.183478
0.020000,8.869663,23.431447,6.130769,8.784615,3.076923,-19.230769,6.180684
0.020000,9.044943,23.413169,6.307000,8.838462,2.692308,-19.230769,6.177882
0.020000,9.221166,23.394293,6.484231,8.884615,2.307692,-19.230769,6.175072
0.020000,9.398175,23.374828,6.662308,8.923077,1.923077,-19.230769,6.172258
0.020000,9.575818,23.354789,6.841077,8.953846,1.538462,-19.230769,6.169443
0.020000,9.753938,23.334187,7.020385,8.976923,1.153846,-19.230769,6.166628
0.020000,9.932381,23.313039,7.200077,8.992308,0.769231,-19.230769,6.163817
0.020000,10.110994,23.291362,7.380000,9.000000,0.384615,-19.230769,6.161013
0.020000,10.289621,23.269176,7.560000,9.000000,0.000000,-19.230769,6.158217
0.020000,10.468186,23.246491,7.740000,9.000000,0.000000,0.000000,6.155430
0.020000,10.646687,23.223310,7.920000,9.000000,0.000000,0.000000,6.152654
0.020000,10.825123,23.199634,8.100000,9.000000,0.000000,0.000000,6.149887
0.020000,11.003493,23.175465,8.280000,9.000000,0.000000,0.000000,6.147131
0.020000,11.181796,23.150806,8.460000,9.000000,0.000000,0.000000,6.144384
0.020000,11.360031,23.125658,8.640000,9.000000,0.000000,0.000000,6.141648
0.020000,11.538196,23.100023,8.820000,9.000000,0.000000,0.000000,6.138922
0.020000,11.716291,23.073903,9.000000,9.000000,0.000000,0.000000,6.136206
0.020000,11.894314,23.047301,9.180000,9.000000,0.000000,0.000000,6.133501
0.020000,12.072265,23.020219,9.360000,9.000000,0.000000,0.000000,6.130805
0.020000,12.250142,22.992657,9.540000,9.000000,0.000000,0.000000,6.128121
0.020000,12.427945,22.964619,9.720000,9.000000,0.000000,0.000000,6.125446
0.020000,12.605672,22.936107,9.900000,9.000000,0.000000,0.000000,6.122782
0.020000,12.783323,22.907122,10.080000,9.000000,0.000000,0.000000,6.120129
0.020000,12.960897,22.877667,10.260000,9.000000,0.000000,0.000000,6.117486
0.020000,13.138392,22.847744,10.440000,9.000000,0.000000,0.000000,6.114854
0.020000,13.315808,22.817354,10.620000,9.000000,0.000000,0.000000,6.112232
0.020000,13.493144,22.786501,10.800000,9.000000,0.000000,0.000000,6.109621
0.020000,13.670399,22.755185,10.980000,9.000000,0.000000,0.000000,6.107021
0.020000,13.847572,22.723409,11.160000,9.000000,0.000000,0.000000,6.104431
0.020000,14.024663,22.691176,11.340000,9.000000,0.000000,0.000000,6.101852
0.020000,14.201669,22.658487,11.520000,9.000000,0.000000,0.000000,6.099284
0.020000,14.378592,22.625345,11.700000,9.000000,0.000000,0.000000,6.096727
0.020000,14.555429,22.591752,11.880000,9.000000,0.000000,0.000000,6.094181
0.020000,14.732181,22.557709,12.060000,9.000000,0.000000,0.000000,6.091646
0.020000,14.908845,22.523219,12.240000,9.000000,0.000000,0.000000,6.089121
0.020000,15.085423,22.488284,12.420000,9.000000,0.000000,0.000000,6.086608
0.020000,15.261912,22.452906,12.600000,9.000000,0.000000,0.000000,6.084105
0.020000,15.438312,22.417088,12.780000,9.000000,0.000000,0.000000,6.081614
0.020000,15.614623,22.380832,12.960000,9.000000,0.000000,0.000000,6.079133
0.020000,15.790843,22.344139,13.140000,9.000000,0.000000,0.000000,6.076664
0.020000,15.966973,22.307012,13.320000,9.000000,0.000000,0.000000,6.074206
0.020000,16.142946,22.269613,13.500000,9.000000,0.000000,0.000000,6.073684
0.020000,16.319007,22.232161,13.680000,9.000000,0.000000,0.000000,6.073464
