dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750191,24.979000,0.000395,0.039548,1.977401,98.870056,0.000006
0.020000,2.751715,24.979000,0.001920,0.076233,1.834261,-7.157027,0.000052
0.020000,2.755146,24.979000,0.005351,0.171527,4.764684,146.521152,0.000157
0.020000,2.760863,24.979002,0.011068,0.285885,5.717891,47.660379,0.000332
0.020000,2.768868,24.979005,0.019073,0.400252,5.718383,0.024579,0.000576
0.020000,2.779161,24.979013,0.029366,0.514634,5.719071,0.034423,0.000889
0.020000,2.791742,24.979027,0.041947,0.629033,5.719957,0.044280,0.001272
0.020000,2.806611,24.979049,0.056816,0.743454,5.721040,0.054153,0.001723
0.020000,2.823769,24.979083,0.073974,0.857900,5.722321,0.064046,0.002243
0.020000,2.843216,24.979132,0.093421,0.972376,5.723800,0.073960,0.002830
0.020000,2.864954,24.979201,0.115159,1.086886,5.725478,0.083900,0.003485
0.020000,2.888982,24.979293,0.139188,1.201433,5.727355,0.093867,0.004206
0.020000,2.915303,24.979414,0.165508,1.316021,5.729433,0.103865,0.004994
0.020000,2.943915,24.979569,0.194121,1.430656,5.731711,0.113895,0.005846
0.020000,2.974821,24.979764,0.225028,1.545339,5.734190,0.123958,0.006764
0.020000,3.008022,24.980005,0.258230,1.660077,5.736871,0.134057,0.007744
0.020000,3.043518,24.980299,0.293727,1.774872,5.739755,0.144192,0.008788
0.020000,3.081311,24.980652,0.331522,1.889729,5.742842,0.154364,0.009892
0.020000,3.121402,24.981072,0.371615,2.004652,5.746133,0.164572,0.011058
0.020000,3.163792,24.981566,0.414008,2.119644,5.749630,0.174818,0.012283
0.020000,3.208483,24.982144,0.458702,2.234711,5.753332,0.185099,0.013566
0.020000,3.255475,24.982813,0.505699,2.349856,5.757240,0.195416,0.014906
0.020000,3.304771,24.983582,0.555001,2.465083,5.761355,0.205766,0.016302
0.020000,3.356371,24.984461,0.606608,2.580396,5.765678,0.216147,0.017752
0.020000,3.410278,24.985459,0.660524,2.695800,5.770210,0.226558,0.019254
0.020000,3.466492,24.986585,0.716750,2.811299,5.774949,0.236995,0.020808
0.020000,3.525017,24.987850,0.775288,2.926897,5.779899,0.247456,0.022411
0.020000,3.585852,24.989264,0.836140,3.042599,5.785057,0.257936,0.024063
0.020000,3.649001,24.990837,0.899308,3.158407,5.790426,0.268431,0.025760
0.020000,3.714464,24.992581,0.964795,3.274327,5.796005,0.278938,0.027502
0.020000,3.782244,24.994506,1.032602,3.390363,5.801794,0.289452,0.029286
0.020000,3.852342,24.996624,1.102733,3.506519,5.807793,0.299968,0.031111
0.020000,3.924761,24.998945,1.175189,3.622799,5.814003,0.310480,0.032974
0.020000,3.999502,25.001482,1.249973,3.739207,5.820422,0.320983,0.034873
0.020000,4.076568,25.004245,1.327088,3.855748,5.827052,0.331472,0.036807
0.020000,4.155960,25.007247,1.406536,3.972426,5.833891,0.341942,0.038773
0.020000,4.237680,25.010499,1.488321,4.089245,5.840938,0.352385,0.040768
0.020000,4.321731,25.014013,1.572445,4.206209,5.848194,0.362797,0.042791
0.020000,4.408114,25.017801,1.658912,4.323322,5.855658,0.373172,0.044838
0.020000,4.496832,25.021873,1.747724,4.440589,5.863328,0.383503,0.046909
0.020000,4.587888,25.026244,1.838884,4.558013,5.871203,0.393787,0.048999
0.020000,4.681283,25.030922,1.932396,4.675598,5.879284,0.404017,0.051106
0.020000,4.777019,25.035921,2.028263,4.793350,5.887568,0.414189,0.053227
0.020000,4.875100,25.041252,2.126488,4.911271,5.896054,0.424298,0.055361
0.020000,4.975527,25.046926,2.227076,5.029366,5.904740,0.434340,0.057503
0.020000,5.078303,25.052954,2.330028,5.147638,5.913627,0.444312,0.059652
0.020000,5.183431,25.059346,2.435350,5.266092,5.922711,0.454209,0.061803
0.020000,5.290913,25.066114,2.543045,5.384732,5.931991,0.464031,0.063955
0.020000,5.400751,25.073267,2.653116,5.503561,5.941467,0.473775,0.066103
0.020000,5.512949,25.080816,2.765568,5.622584,5.951136,0.483441,0.068246
0.020000,5.627510,25.088769,2.880404,5.741804,5.960996,0.493027,0.070379
0.020000,5.744435,25.097137,2.997628,5.861225,5.971047,0.502535,0.072499
0.020000,5.863729,25.105928,3.117245,5.980851,5.981286,0.511967,0.074604
0.020000,5.985393,25.115150,3.239259,6.100685,5.991713,0.521325,0.076689
0.020000,6.109432,25.124810,3.363674,6.220732,6.002325,0.530613,0.078751
0.020000,6.235849,25.134916,3.490493,6.340994,6.013122,0.539836,0.080787
0.020000,6.364646,25.145475,3.619723,6.461476,6.024102,0.548999,0.082793
0.020000,6.495828,25.156492,3.751367,6.582181,6.035264,0.558108,0.084765
0.020000,6.629398,25.167972,3.885429,6.703113,6.046607,0.567172,0.086701
0.020000,6.764972,25.179886,4.021525,6.804827,5.085684,-48.046159,0.088590
0.020000,6.901778,25.192164,4.158882,6.867810,3.149164,-96.825987,0.090419
0.020000,7.039043,25.204732,4.296721,6.891959,1.207412,-97.087602,0.092177
0.020000,7.176380,25.217545,4.434654,6.896655,0.234797,-48.630754,0.093859
0.020000,7.313789,25.230592,4.572681,6.901347,0.234624,-0.008654,0.095464
0.020000,7.451271,25.243864,4.710802,6.906036,0.234449,-0.008750,0.096993
0.020000,7.588826,25.257349,4.849016,6.910722,0.234274,-0.008779,0.098446
0.020000,7.726454,25.271039,4.987324,6.915404,0.234099,-0.008742,0.099823
0.020000,7.864158,25.284922,5.125726,6.920082,0.233926,-0.008644,0.101123
0.020000,8.001937,25.298989,5.264221,6.924757,0.233756,-0.008488,0.102348
0.020000,8.139792,25.313228,5.402809,6.929429,0.233591,-0.008276,0.103496
0.020000,8.277724,25.327630,5.541491,6.934098,0.233430,-0.008014,0.104569
0.020000,8.415734,25.342185,5.680267,6.938763,0.233276,-0.007703,0.105565
0.020000,8.553823,25.356882,5.819135,6.943426,0.233129,-0.007347,0.106486
0.020000,8.691991,25.371711,5.958097,6.948086,0.232990,-0.006950,0.107331
0.020000,8.830240,25.386661,6.097152,6.952743,0.232860,-0.006516,0.108100
0.020000,8.968570,25.401722,6.236300,6.957398,0.232739,-0.006045,0.108793
0.020000,9.106983,25.416885,6.375541,6.962050,0.232628,-0.005543,0.109411
0.020000,9.245480,25.432137,6.514875,6.966701,0.232528,-0.005013,0.109953
0.020000,9.384061,25.447470,6.654302,6.971349,0.232439,-0.004456,0.110419
0.020000,9.522728,25.462872,6.793822,6.975997,0.232361,-0.003879,0.110809
0.020000,9.661482,25.478334,6.933434,6.980643,0.232296,-0.003281,0.111124
0.020000,9.800325,25.493844,7.073140,6.985287,0.232242,-0.002668,0.111364
0.020000,9.939256,25.509393,7.212939,6.989931,0.232202,-0.002042,0.111528
0.020000,10.078277,25.524969,7.352830,6.994575,0.232173,-0.001406,0.111616
0.020000,10.217391,25.540563,7.492815,6.999218,0.232158,-0.000763,0.111629
0.020000,10.356596,25.556164,7.632892,7.003861,0.232156,-0.000117,0.111566
0.020000,10.495896,25.571761,7.773062,7.008505,0.232166,0.000529,0.111427
