dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.750202,22.521000,0.000395,0.039548,1.977401,98.870056,0.000006
0.020000,2.751849,22.521000,0.002042,0.082332,2.139187,8.089270,0.000059
0.020000,2.755554,22.521000,0.005747,0.185244,5.145622,150.321753,0.000178
0.020000,2.761729,22.521002,0.011922,0.308733,6.174458,51.441843,0.000375
0.020000,2.770373,22.521007,0.020566,0.432212,6.173937,-0.026082,0.000651
0.020000,2.781486,22.521016,0.031679,0.555676,6.173206,-0.036542,0.001005
0.020000,2.795069,22.521032,0.045262,0.679122,6.172266,-0.047011,0.001438
0.020000,2.811120,22.521060,0.061313,0.802544,6.171116,-0.057510,0.001948
0.020000,2.829638,22.521101,0.079832,0.925939,6.169755,-0.068034,0.002536
0.020000,2.850624,22.521161,0.100818,1.049303,6.168183,-0.078600,0.003200
0.020000,2.874077,22.521245,0.124270,1.172631,6.166399,-0.089194,0.003941
0.020000,2.899995,22.521358,0.150189,1.295919,6.164402,-0.099841,0.004757
0.020000,2.928378,22.521505,0.178572,1.419162,6.162192,-0.110528,0.005648
0.020000,2.959224,22.521695,0.209419,1.542358,6.159766,-0.121268,0.006613
0.020000,2.992533,22.521932,0.242729,1.665500,6.157125,-0.132060,0.007651
0.020000,3.028304,22.522226,0.278501,1.788586,6.154267,-0.142906,0.008762
0.020000,3.066535,22.522583,0.316733,1.911609,6.151191,-0.153810,0.009944
0.020000,3.107224,22.523013,0.357424,2.034567,6.147895,-0.164773,0.011196
0.020000,3.150370,22.523525,0.400573,2.157455,6.144379,-0.175795,0.012517
0.020000,3.195971,22.524128,0.446179,2.280268,6.140642,-0.186876,0.013906
0.020000,3.244026,22.524831,0.494239,2.403001,6.136682,-0.198012,0.015362
0.020000,3.294532,22.525645,0.544752,2.525651,6.132497,-0.209214,0.016882
0.020000,3.347488,22.526581,0.597716,2.648213,6.128088,-0.220466,0.018467
0.020000,3.402892,22.527650,0.653130,2.770682,6.123453,-0.231774,0.020114
0.020000,3.460740,22.528863,0.710991,2.893054,6.118590,-0.243131,0.021821
0.020000,3.521031,22.530233,0.771297,3.015324,6.113499,-0.254539,0.023587
0.020000,3.583762,22.531770,0.834047,3.137488,6.108179,-0.265986,0.025411
0.020000,3.648930,22.533488,0.899238,3.259540,6.102630,-0.277475,0.027290
0.020000,3.716533,22.535398,0.966867,3.381477,6.096850,-0.288996,0.029223
0.020000,3.786567,22.537515,1.036933,3.503294,6.090839,-0.300544,0.031207
0.020000,3.859029,22.539851,1.109433,3.624986,6.084597,-0.312113,0.033241
0.020000,3.933916,22.542420,1.184364,3.746548,6.078123,-0.323697,0.035323
0.020000,4.011224,22.545234,1.261723,3.867977,6.071417,-0.335287,0.037449
0.020000,4.090950,22.548308,1.341509,3.989266,6.064480,-0.346877,0.039619
0.020000,4.173090,22.551655,1.423717,4.110412,6.057310,-0.358458,0.041830
0.020000,4.257640,22.555289,1.508345,4.231411,6.049910,-0.370023,0.044079
0.020000,4.344596,22.559224,1.595390,4.352256,6.042279,-0.381562,0.046363
