dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.000046,20.625000,0.000200,0.019991,0.999549,49.977471,0.000074
0.020000,20.000331,20.625000,0.000484,0.014226,-0.288250,-64.389987,0.000532
0.020000,20.000969,20.625001,0.001123,0.031919,0.884672,58.646137,0.001564
0.020000,20.002098,20.625004,0.002252,0.056441,1.226063,17.069511,0.003403
0.020000,20.003776,20.625012,0.003930,0.083927,1.374305,7.412105,0.006176
0.020000,20.005987,20.625029,0.006141,0.110525,1.329930,-2.218731,0.009898
0.020000,20.008705,20.625063,0.008859,0.135930,1.270241,-2.984450,0.014589
0.020000,20.011901,20.625118,0.012056,0.159826,1.194807,-3.771726,0.020277
0.020000,20.015538,20.625204,0.015694,0.181889,1.103111,-4.584797,0.026995
0.020000,20.019572,20.625329,0.019729,0.201780,0.994577,-5.426669,0.034780
0.020000,20.023951,20.625500,0.024112,0.219152,0.868599,-6.298928,0.043678
0.020000,20.028619,20.625728,0.028785,0.233644,0.724580,-7.200920,0.053740
0.020000,20.033508,20.626018,0.033683,0.244884,0.562003,-8.128879,0.065024
0.020000,20.038545,20.626377,0.038733,0.252494,0.380507,-9.074794,0.077594
0.020000,20.043648,20.626809,0.043855,0.256094,0.180014,-10.024633,0.091522
0.020000,20.048730,20.627314,0.048961,0.255312,-0.039120,-10.956733,0.106885
0.020000,20.053692,20.627888,0.053957,0.249794,-0.275899,-11.838929,0.123768
0.020000,20.058435,20.628522,0.058741,0.239225,-0.528414,-12.625725,0.142261
0.020000,20.062850,20.629199,0.063208,0.223355,-0.793511,-13.254877,0.162457
0.020000,20.066830,20.629894,0.067249,0.202028,-1.066382,-13.643537,0.184453
0.020000,20.070268,20.630577,0.070753,0.175226,-1.340083,-13.685045,0.208348
0.020000,20.073061,20.631203,0.073616,0.143126,-1.605010,-13.246387,0.234235
0.020000,20.075120,20.631722,0.075739,0.106158,-1.848378,-12.168389,0.262201
0.020000,20.076372,20.632076,0.077041,0.065083,-2.053783,-10.270249,0.292319
0.020000,20.076774,20.632202,0.077462,0.021063,-2.200996,-7.360616,0.324641
0.020000,20.076318,20.632037,0.077947,0.024263,0.160000,118.049801,0.359190
0.020000,20.075041,20.631528,0.079322,0.068721,2.222896,103.144769,0.395952
0.020000,20.073037,20.630642,0.081513,0.109592,2.043565,-8.966518,0.434861
0.020000,20.070457,20.629377,0.084386,0.143644,1.702616,-17.047488,0.475798
0.020000,20.067518,20.627781,0.087731,0.167247,1.180152,-26.123207,0.518575
0.020000,20.064490,20.625963,0.091263,0.176575,0.466370,-35.689058,0.562941
0.020000,20.061691,20.624108,0.094621,0.167890,-0.434236,-45.030307,0.608573
0.020000,20.059464,20.622482,0.097378,0.137890,-1.500011,-53.288744,0.655094
0.020000,20.058152,20.621431,0.099059,0.084055,-2.691745,-59.586713,0.702079
0.020000,20.058073,20.621371,0.099159,0.004956,-3.954921,-63.158824,0.749079
0.020000,20.059494,20.622768,0.101151,0.099632,4.733781,434.435106,0.795641
0.020000,20.062610,20.626113,0.105723,0.228585,6.447676,85.694740,0.841332
0.020000,20.067534,20.631894,0.113317,0.379711,7.556272,55.429843,0.885758
0.020000,20.074298,20.640568,0.124316,0.549950,8.511966,47.784684,0.928579
0.020000,20.082856,20.652538,0.139031,0.735740,9.289499,38.876648,0.969519
0.020000,20.093101,20.668143,0.157698,0.933361,9.881061,29.578100,1.008366
0.020000,20.104882,20.687646,0.180483,1.139239,10.293861,20.639994,1.044975
0.020000,20.118018,20.711238,0.207486,1.350161,10.546140,12.613976,1.079256
0.020000,20.132318,20.739045,0.238754,1.563417,10.662783,5.832125,1.111167
0.020000,20.147595,20.771130,0.274291,1.776845,10.671390,0.430337,1.140706
0.020000,20.163671,20.807514,0.314068,1.988831,10.599289,-3.605013,1.167897
0.020000,20.180389,20.848176,0.358033,2.198263,10.471598,-6.384575,1.192787
0.020000,20.197615,20.893075,0.406123,2.404467,10.310208,-8.069494,1.215433
0.020000,20.215241,20.942148,0.458265,2.607137,10.133490,-8.835882,1.235897
0.020000,20.233186,20.995327,0.514391,2.806266,9.956467,-8.851147,1.254243
0.020000,20.251396,21.052541,0.574432,3.002091,9.791262,-8.260287,1.270530
0.020000,20.269846,21.113720,0.638333,3.195045,9.647676,-7.179310,1.284807
0.020000,20.288534,21.178805,0.706048,3.385721,9.533806,-5.693478,1.297117
0.020000,20.307487,21.247744,0.777545,3.574854,9.456653,-3.857674,1.307486
0.020000,20.326756,21.320502,0.852811,3.763308,9.422689,-1.698166,1.315926
0.020000,20.346420,21.397058,0.931853,3.952076,9.438413,0.786168,1.322433
0.020000,20.366588,21.477412,1.014698,4.142294,9.510878,3.623268,1.326979
0.020000,20.387397,21.561583,1.101404,4.335258,9.648245,6.868360,1.329516
0.020000,20.409022,21.649615,1.192053,4.532466,9.860372,10.606358,1.329969
0.020000,20.431675,21.741579,1.286766,4.735656,10.159486,14.955669,1.328231
0.020000,20.455617,21.837576,1.385704,4.946875,10.560969,20.074184,1.324160
0.020000,20.481110,21.937529,1.488856,5.157645,10.538500,-1.123491,1.317586
0.020000,20.508416,22.041160,1.596025,5.358407,10.038080,-25.020997,1.308330
0.020000,20.537842,22.148186,1.707021,5.549836,9.571455,-23.331236,1.296205
0.020000,20.569696,22.258153,1.821509,5.724389,8.727690,-42.188237,1.281030
0.020000,20.604316,22.370575,1.939141,5.881622,7.861607,-43.304148,1.262635
0.020000,20.642113,22.485087,2.059730,6.029403,7.389086,-23.626055,1.240832
0.020000,20.683525,22.601271,2.183073,6.167190,6.889317,-24.988449,1.215444
0.020000,20.729072,22.718816,2.309134,6.303029,6.791957,-4.868019,1.186273
0.020000,20.779407,22.837590,2.438133,6.449978,7.347441,27.774228,1.153066
0.020000,20.835281,22.957453,2.570380,6.612338,8.118011,38.528468,1.115550
0.020000,20.897499,23.078143,2.706164,6.789165,8.841341,36.166500,1.073467
0.020000,20.966896,23.199216,2.845715,6.977565,9.420008,28.933353,1.026610
0.020000,21.044272,23.319997,2.989155,7.172016,9.722582,15.128730,0.974872
0.020000,21.130315,23.439524,3.136431,7.363774,9.587884,-6.734898,0.918300
0.020000,21.225475,23.556524,3.287243,7.540641,8.843347,-37.226861,0.857159
0.020000,21.329827,23.669438,3.440993,7.687485,7.342201,-75.057321,0.791982
0.020000,21.442943,23.776512,3.596750,7.787821,5.016791,-116.270499,0.723597
0.020000,21.563818,23.875964,3.753279,7.826464,1.932136,-154.232744,0.653102
0.020000,21.690890,23.966204,3.909133,7.792697,-1.688341,-181.023817,0.581785
0.020000,21.822174,24.046048,4.062790,7.682886,-5.490541,-190.110024,0.510999
0.020000,21.955493,24.114858,4.212819,7.501446,-9.072010,-179.073439,0.442019
0.020000,22.088717,24.172587,4.358014,7.259720,-12.086295,-150.714257,0.375919
0.020000,22.219984,24.219701,4.497480,6.973285,-14.321758,-111.773135,0.313492
0.020000,22.347816,24.257048,4.630655,6.658792,-15.724617,-70.142946,0.255238
0.020000,22.471162,24.285691,4.757283,6.331394,-16.369913,-32.264814,0.201386
0.020000,22.589361,24.306776,4.877348,6.003253,-16.407072,-1.857957,0.151948
0.020000,22.702076,24.321423,4.991010,5.683104,-16.007432,19.981992,0.106783
0.020000,22.809208,24.330668,5.098541,5.376533,-15.328561,33.943553,0.065649
0.020000,22.910828,24.335430,5.200273,5.086590,-14.497149,41.570580,0.028248
0.020000,23.007112,24.336502,5.296562,4.814479,-13.605533,44.580820,6.277450
0.020000,23.098295,24.334561,5.387766,4.560168,-12.715574,44.497957,6.246568
0.020000,23.184640,24.330175,5.474223,4.322861,-11.865323,42.512536,6.218483
0.020000,23.266421,24.323818,5.556250,4.101348,-11.075683,39.482003,6.192915
0.020000,23.343900,24.315888,5.634134,3.894227,-10.356044,35.981943,6.169608
0.020000,23.417331,24.306714,5.708136,3.700058,-9.708439,32.380244,6.148332
0.020000,23.486945,24.296574,5.778485,3.517446,-9.130577,28.893098,6.128881
0.020000,23.552957,24.285700,5.845386,3.345091,-8.617765,25.640602,6.111072
0.020000,23.615562,24.274287,5.909023,3.181806,-8.164248,22.675848,6.094745
0.020000,23.674933,24.262500,5.969553,3.026527,-7.763931,20.015881,6.079757
0.020000,23.731231,24.250480,6.027119,2.878310,-7.410880,17.652552,6.065983
0.020000,23.784595,24.238346,6.081846,2.736319,-7.099544,15.566811,6.053311
0.020000,23.835153,24.226202,6.133842,2.599822,-6.824874,13.733470,6.041645
0.020000,23.883019,24.214135,6.183206,2.468174,-6.582368,12.125286,6.030897
0.020000,23.928295,24.202224,6.230022,2.340813,-6.368040,10.716406,6.020992
0.020000,23.971071,24.190533,6.274367,2.217245,-6.178410,9.481511,6.011862
0.020000,24.011430,24.179122,6.316307,2.097036,-6.010441,8.398436,6.003448
0.020000,24.049444,24.168042,6.355904,1.979806,-5.861504,7.446890,5.995696
0.020000,24.085179,24.157336,6.393208,1.865220,-5.729313,6.609537,5.988560
0.020000,24.118694,24.147045,6.428268,1.752982,-5.611903,5.870491,5.981997
0.020000,24.150042,24.137203,6.461124,1.642831,-5.507567,5.216791,5.975971
0.020000,24.179270,24.127841,6.491815,1.534534,-5.414837,4.636511,5.970449
0.020000,24.206420,24.118986,6.520373,1.427885,-5.332439,4.119877,5.965401
0.020000,24.231531,24.110662,6.546827,1.322699,-5.259281,3.657929,5.960802
0.020000,24.254635,24.102891,6.571203,1.218811,-5.194414,3.243363,5.956628
0.020000,24.275763,24.095691,6.593524,1.116071,-5.137018,2.869760,5.952859
0.020000,24.294942,24.089078,6.613811,1.014343,-5.086396,2.531095,5.949477
0.020000,24.312195,24.083068,6.632081,0.913504,-5.041940,2.222841,5.946466
0.020000,24.327543,24.077672,6.648350,0.813441,-5.003132,1.940388,5.943812
0.020000,24.341004,24.072903,6.662631,0.714051,-4.969526,1.680313,5.941504
0.020000,24.352594,24.068768,6.674936,0.615236,-4.940751,1.438745,5.939530
0.020000,24.362324,24.065277,6.685274,0.516906,-4.916486,1.213213,5.937884
0.020000,24.370207,24.062435,6.693653,0.418977,-4.896472,1.000701,5.936556
0.020000,24.376251,24.060249,6.700081,0.321367,-4.880499,0.798690,5.935543
0.020000,24.380463,24.058721,6.704561,0.223999,-4.868390,0.605411,5.934838
0.020000,24.383005,24.057797,6.707265,0.135222,-4.438832,21.477905,5.934414
0.020000,24.384266,24.057339,6.708607,0.067093,-3.406441,51.619563,5.934204
0.020000,24.384703,24.057180,6.709072,0.023265,-2.191406,60.751740,5.934131
0.020000,24.384773,24.057154,6.709147,0.003711,-0.977732,60.683740,5.934119
0.020000,24.384773,24.057154,6.709147,0.000000,-0.185536,39.609761,5.934119
