dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000087,24.125000,0.000198,0.019817,0.990854,49.542683,0.000023
0.020000,0.000697,24.125000,0.000808,0.030499,0.534094,-22.837998,0.000185
0.020000,0.002069,24.125001,0.002181,0.068624,1.906231,68.606888,0.000551
0.020000,0.004509,24.125003,0.004621,0.122001,2.668858,38.131335,0.001200
0.020000,0.008169,24.125009,0.008281,0.183009,3.050418,19.078012,0.002175
0.020000,0.013050,24.125023,0.013161,0.244027,3.050919,0.025045,0.003473
0.020000,0.019151,24.125049,0.019263,0.305060,3.051621,0.035097,0.005096
0.020000,0.026473,24.125093,0.026585,0.366111,3.052555,0.046679,0.007043
0.020000,0.035016,24.125163,0.035129,0.427186,3.053756,0.060062,0.009313
0.020000,0.044782,24.125267,0.044894,0.488292,3.055270,0.075711,0.011906
0.020000,0.055769,24.125414,0.055883,0.549435,3.057149,0.093943,0.014821
0.020000,0.067980,24.125614,0.068096,0.610624,3.059452,0.115123,0.018057
0.020000,0.081415,24.125881,0.081533,0.671868,3.062245,0.139657,0.021614
0.020000,0.096075,24.126226,0.096196,0.733180,3.065602,0.167859,0.025491
0.020000,0.111960,24.126665,0.112088,0.794573,3.069604,0.200103,0.029685
0.020000,0.129072,24.127211,0.129209,0.856059,3.074339,0.236728,0.034195
0.020000,0.147413,24.127883,0.147562,0.917657,3.079900,0.278057,0.039019
0.020000,0.166984,24.128697,0.167150,0.979385,3.086388,0.324394,0.044155
0.020000,0.187786,24.129673,0.187975,1.041263,3.093908,0.376034,0.049601
0.020000,0.209822,24.130831,0.210042,1.103315,3.102572,0.433182,0.055352
0.020000,0.233094,24.132191,0.233353,1.165565,3.112495,0.496138,0.061406
0.020000,0.257604,24.133776,0.257914,1.228040,3.123794,0.564986,0.067758
0.020000,0.283354,24.135610,0.283729,1.290772,3.136592,0.639902,0.074405
0.020000,0.310348,24.137716,0.310805,1.353793,3.151011,0.720941,0.081340
0.020000,0.338588,24.140121,0.339148,1.417136,3.167173,0.808091,0.088558
0.020000,0.368079,24.142851,0.368764,1.480840,3.185199,0.901284,0.096053
0.020000,0.398823,24.145934,0.399663,1.544944,3.205206,1.000369,0.103818
0.020000,0.430826,24.149398,0.431853,1.609490,3.227308,1.105096,0.111844
0.020000,0.464092,24.153274,0.465344,1.674522,3.251611,1.215148,0.120124
0.020000,0.498625,24.157592,0.500145,1.740087,3.278212,1.330055,0.128647
0.020000,0.534430,24.162384,0.536270,1.806231,3.307199,1.449340,0.137403
0.020000,0.571514,24.167682,0.573730,1.873004,3.338645,1.572320,0.146381
0.020000,0.609881,24.173519,0.612539,1.940456,3.372611,1.698291,0.155570
0.020000,0.649539,24.179930,0.652712,2.008639,3.409140,1.826426,0.164955
0.020000,0.690494,24.186950,0.694264,2.077604,3.448255,1.955791,0.174524
0.020000,0.732753,24.194614,0.737212,2.147403,3.489964,2.085418,0.184261
0.020000,0.776323,24.202958,0.781574,2.218088,3.534249,2.214247,0.194151
0.020000,0.821211,24.212019,0.827368,2.289709,3.581072,2.341170,0.204177
0.020000,0.867427,24.221834,0.874614,2.362317,3.630374,2.465076,0.214321
0.020000,0.914978,24.232440,0.923333,2.435958,3.682070,2.584830,0.224565
