dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000139,21.875000,0.000198,0.019817,0.990854,49.542683,0.000023
0.020000,0.001114,21.875000,0.001174,0.048769,1.447614,22.838000,0.000185
0.020000,0.003309,21.875001,0.003368,0.109730,3.048037,80.021156,0.000551
0.020000,0.007210,21.875004,0.007270,0.195072,4.267117,60.954024,0.001200
0.020000,0.013062,21.875014,0.013122,0.292601,4.876410,30.464640,0.002175
0.020000,0.020864,21.875036,0.020924,0.390119,4.875909,-0.025051,0.003473
0.020000,0.030617,21.875078,0.030676,0.487623,4.875206,-0.035170,0.005096
0.020000,0.042319,21.875149,0.042379,0.585108,4.874272,-0.046695,0.007043
0.020000,0.055970,21.875261,0.056030,0.682570,4.873069,-0.060156,0.009313
0.020000,0.071569,21.875426,0.071630,0.780001,4.871553,-0.075777,0.011906
0.020000,0.089115,21.875661,0.089178,0.877394,4.869673,-0.094012,0.014821
0.020000,0.108607,21.875981,0.108673,0.974742,4.867368,-0.115235,0.018057
0.020000,0.130044,21.876406,0.130113,1.072033,4.864573,-0.139743,0.021614
0.020000,0.153422,21.876957,0.153499,1.169257,4.861214,-0.167969,0.025491
0.020000,0.178741,21.877656,0.178827,1.266402,4.857209,-0.200227,0.029685
0.020000,0.205996,21.878527,0.206096,1.363451,4.852472,-0.236859,0.034195
0.020000,0.235184,21.879596,0.235303,1.460389,4.846908,-0.278194,0.039019
0.020000,0.266301,21.880890,0.266447,1.557197,4.840417,-0.324540,0.044155
0.020000,0.299342,21.882441,0.299524,1.653855,4.832894,-0.376158,0.049601
0.020000,0.334300,21.884277,0.334531,1.750340,4.824227,-0.433373,0.055352
0.020000,0.371170,21.886432,0.371464,1.846626,4.814302,-0.496268,0.061406
0.020000,0.409943,21.888939,0.410317,1.942686,4.802998,-0.565155,0.067758
0.020000,0.450610,21.891835,0.451087,2.038490,4.790197,-0.640072,0.074405
0.020000,0.493160,21.895155,0.493767,2.134005,4.775775,-0.721099,0.081340
0.020000,0.537584,21.898938,0.538351,2.229198,4.759610,-0.808251,0.088558
0.020000,0.583866,21.903222,0.584832,2.324029,4.741581,-0.901445,0.096053
0.020000,0.631994,21.908048,0.633201,2.418461,4.721571,-1.000519,0.103818
0.020000,0.681951,21.913456,0.683450,2.512450,4.699466,-1.105246,0.111844
0.020000,0.733720,21.919488,0.735569,2.605953,4.675161,-1.215263,0.120124
0.020000,0.787282,21.926185,0.789548,2.698924,4.648557,-1.330198,0.128647
0.020000,0.842615,21.933590,0.845374,2.791316,4.619568,-1.449432,0.137403
0.020000,0.899697,21.941744,0.903036,2.883078,4.588120,-1.572413,0.146381
0.020000,0.958503,21.950691,0.962519,2.974161,4.554152,-1.698363,0.155570
0.020000,1.019008,21.960472,1.023809,3.064514,4.517623,-1.826459,0.164955
0.020000,1.081183,21.971129,1.086891,3.154084,4.478507,-1.955815,0.174524
0.020000,1.144998,21.982702,1.151747,3.242820,4.436799,-2.085410,0.184261
0.020000,1.210423,21.995231,1.218361,3.330670,4.392515,-2.214201,0.194151
0.020000,1.277423,22.008755,1.286712,3.417584,4.345693,-2.341104,0.204177
0.020000,1.345965,22.023311,1.356782,3.503512,4.296393,-2.464971,0.214321
0.020000,1.416012,22.038935,1.428551,3.588406,4.244700,-2.584686,0.224565
0.020000,1.487527,22.055660,1.501995,3.672220,4.190717,-2.699149,0.234889
0.020000,1.560471,22.073518,1.577093,3.754911,4.134571,-2.807292,0.245275
0.020000,1.634804,22.092539,1.653822,3.836440,4.076408,-2.908132,0.255701
0.020000,1.710488,22.112748,1.732157,3.916767,4.016392,-3.000792,0.266146
0.020000,1.787480,22.134172,1.812075,3.995861,3.954702,-3.084516,0.276587
0.020000,1.865740,22.156829,1.893548,4.073692,3.891528,-3.158689,0.287004
0.020000,1.945226,22.180740,1.976553,4.150233,3.827070,-3.222893,0.297371
0.020000,2.025897,22.205920,2.061062,4.225464,3.761533,-3.276869,0.307667
0.020000,2.107712,22.232379,2.147050,4.299366,3.695121,-3.320579,0.317867
0.020000,2.190631,22.260128,2.234488,4.371927,3.628038,-3.354184,0.327949
0.020000,2.274614,22.289170,2.323351,4.443137,3.560476,-3.378060,0.337887
0.020000,2.359622,22.319509,2.413611,4.512989,3.492621,-3.392786,0.347657
0.020000,2.445619,22.351142,2.505240,4.581482,3.424638,-3.399148,0.357236
0.020000,2.532567,22.384063,2.598213,4.648615,3.356675,-3.398114,0.366599
0.020000,2.620433,22.418263,2.692500,4.714393,3.288859,-3.390825,0.375723
0.020000,2.709185,22.453731,2.788077,4.778818,3.221287,-3.378574,0.384582
0.020000,2.798792,22.490449,2.884915,4.841899,3.154032,-3.362781,0.393154
0.020000,2.889225,22.528399,2.982988,4.903642,3.087132,-3.344970,0.401414
0.020000,2.980458,22.567555,3.082269,4.964054,3.020598,-3.326745,0.409339
0.020000,3.072468,22.607891,3.182732,5.023142,2.954402,-3.309761,0.416905
0.020000,3.165232,22.649377,3.284350,5.080911,2.888488,-3.295705,0.424089
0.020000,3.258732,22.691977,3.387097,5.137367,2.822763,-3.286259,0.430867
0.020000,3.352951,22.735655,3.490947,5.192509,2.757101,-3.283105,0.437216
0.020000,3.447874,22.780367,3.595874,5.246336,2.691344,-3.287867,0.443113
