dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830014,24.125000,0.000198,0.019817,0.990854,49.542683,0.000001
0.020000,2.830775,24.125000,0.000959,0.038052,0.911752,-3.955083,0.000029
0.020000,2.832487,24.125000,0.002672,0.085618,2.378279,73.326362,0.000092
0.020000,2.835531,24.125001,0.005716,0.152211,3.329653,47.568702,0.000204
0.020000,2.840098,24.125002,0.010282,0.228320,3.805452,23.789919,0.000373
0.020000,2.846186,24.125005,0.016371,0.304433,3.805671,0.010967,0.000598
0.020000,2.853797,24.125010,0.023982,0.380552,3.805964,0.014628,0.000878
0.020000,2.862931,24.125020,0.033115,0.456679,3.806330,0.018306,0.001215
0.020000,2.873587,24.125035,0.043772,0.532814,3.806769,0.021988,0.001607
0.020000,2.885766,24.125057,0.055951,0.608960,3.807283,0.025693,0.002055
0.020000,2.899469,24.125089,0.069653,0.685118,3.807871,0.029405,0.002558
0.020000,2.914694,24.125132,0.084879,0.761288,3.808534,0.033137,0.003116
0.020000,2.931444,24.125189,0.101629,0.837474,3.809272,0.036894,0.003729
0.020000,2.949717,24.125264,0.119902,0.913675,3.810085,0.040665,0.004397
0.020000,2.969515,24.125358,0.139700,0.989895,3.810975,0.044470,0.005118
0.020000,2.990837,24.125475,0.161023,1.066134,3.811940,0.048286,0.005894
0.020000,3.013685,24.125619,0.183871,1.142393,3.812983,0.052144,0.006723
0.020000,3.038058,24.125794,0.208244,1.218675,3.814104,0.056018,0.007605
0.020000,3.063956,24.126003,0.234144,1.294981,3.815302,0.059930,0.008539
0.020000,3.091381,24.126251,0.261570,1.371313,3.816580,0.063876,0.009526
0.020000,3.120333,24.126542,0.290523,1.447672,3.817937,0.067842,0.010565
0.020000,3.150813,24.126880,0.321005,1.524059,3.819374,0.071853,0.011655
0.020000,3.182820,24.127272,0.353014,1.600477,3.820892,0.075898,0.012796
0.020000,3.216355,24.127721,0.386553,1.676927,3.822491,0.079969,0.013986
0.020000,3.251420,24.128233,0.421621,1.753410,3.824173,0.084088,0.015226
0.020000,3.288014,24.128814,0.458219,1.829929,3.825937,0.088232,0.016515
0.020000,3.326138,24.129469,0.496349,1.906485,3.827786,0.092424,0.017853
0.020000,3.365793,24.130205,0.536011,1.983079,3.829719,0.096643,0.019238
0.020000,3.406979,24.131027,0.577205,2.059714,3.831737,0.100903,0.020669
0.020000,3.449697,24.131941,0.619933,2.136391,3.833841,0.105201,0.022147
0.020000,3.493947,24.132955,0.664195,2.213111,3.836031,0.109531,0.023670
0.020000,3.539731,24.134075,0.709993,2.289878,3.838310,0.113903,0.025237
0.020000,3.587049,24.135308,0.757326,2.366691,3.840676,0.118300,0.026849
0.020000,3.635901,24.136660,0.806197,2.443554,3.843130,0.122741,0.028502
0.020000,3.686289,24.138139,0.856607,2.520467,3.845675,0.127209,0.030198
0.020000,3.738213,24.139753,0.908555,2.597433,3.848309,0.131710,0.031935
0.020000,3.791673,24.141508,0.962045,2.674454,3.851034,0.136242,0.033712
0.020000,3.846671,24.143413,1.017075,2.751531,3.853850,0.140799,0.035527
0.020000,3.903206,24.145475,1.073648,2.828666,3.856757,0.145390,0.037381
0.020000,3.961281,24.147702,1.131766,2.905861,3.859757,0.149998,0.039271
0.020000,4.020895,24.150102,1.191428,2.983118,3.862850,0.154633,0.041197
0.020000,4.082049,24.152683,1.252637,3.060439,3.866036,0.159287,0.043158
0.020000,4.144745,24.155453,1.315393,3.137825,3.869315,0.163960,0.045152
0.020000,4.208982,24.158421,1.379699,3.215279,3.872688,0.168649,0.047179
0.020000,4.274761,24.161594,1.445555,3.292802,3.876155,0.173348,0.049236
