dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830015,21.875000,0.000198,0.019817,0.990854,49.542683,0.000001
0.020000,2.830839,21.875000,0.001022,0.041216,1.069955,3.955086,0.000029
0.020000,2.832694,21.875000,0.002877,0.092736,2.575989,75.301679,0.000092
0.020000,2.835991,21.875001,0.006174,0.164862,3.606322,51.516674,0.000204
0.020000,2.840937,21.875002,0.011120,0.247290,4.121378,25.752755,0.000373
0.020000,2.847531,21.875005,0.017715,0.329713,4.121158,-0.010962,0.000598
0.020000,2.855774,21.875011,0.025957,0.412130,4.120866,-0.014633,0.000878
0.020000,2.865665,21.875022,0.035848,0.494540,4.120500,-0.018304,0.001215
0.020000,2.877203,21.875038,0.047387,0.576942,4.120060,-0.021995,0.001607
0.020000,2.890390,21.875062,0.060573,0.659333,4.119546,-0.025689,0.002055
0.020000,2.905224,21.875096,0.075408,0.741712,4.118958,-0.029408,0.002558
0.020000,2.921706,21.875143,0.091889,0.824078,4.118295,-0.033144,0.003116
0.020000,2.939834,21.875205,0.110018,0.906429,4.117557,-0.036893,0.003729
0.020000,2.959609,21.875285,0.129793,0.988764,4.116743,-0.040673,0.004397
0.020000,2.981031,21.875387,0.151215,1.071081,4.115854,-0.044465,0.005118
0.020000,3.004098,21.875514,0.174282,1.153378,4.114888,-0.048298,0.005894
0.020000,3.028811,21.875670,0.198995,1.235655,4.113845,-0.052142,0.006723
0.020000,3.055168,21.875859,0.225354,1.317910,4.112725,-0.056028,0.007605
0.020000,3.083170,21.876085,0.253356,1.400140,4.111526,-0.059935,0.008539
0.020000,3.112816,21.876353,0.283003,1.482345,4.110249,-0.063872,0.009526
0.020000,3.144105,21.876667,0.314294,1.564523,4.108892,-0.067855,0.010565
0.020000,3.177036,21.877033,0.347227,1.646672,4.107454,-0.071858,0.011655
0.020000,3.211609,21.877456,0.381803,1.728791,4.105937,-0.075897,0.012796
0.020000,3.247823,21.877941,0.418021,1.810878,4.104337,-0.079981,0.013986
0.020000,3.285678,21.878494,0.455879,1.892931,4.102655,-0.084088,0.015226
0.020000,3.325172,21.879121,0.495378,1.974949,4.100890,-0.088243,0.016515
