dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830002,24.229167,0.000076,0.007563,0.378151,18.907563,6.283184
0.020000,2.830245,24.229167,0.000319,0.012173,0.230505,-7.382318,0.000009
0.020000,2.830897,24.229167,0.000971,0.032573,1.019971,39.473324,0.000033
0.020000,2.832055,24.229167,0.002129,0.057907,1.266741,12.338460,0.000075
0.020000,2.833865,24.229167,0.003938,0.090482,1.628722,18.099078,0.000141
0.020000,2.836471,24.229167,0.006544,0.130297,1.990766,18.102188,0.000236
0.020000,2.840018,24.229168,0.010091,0.177355,2.352902,18.106813,0.000365
0.020000,2.844651,24.229171,0.014725,0.231659,2.715167,18.113255,0.000534
0.020000,2.850515,24.229174,0.020589,0.293211,3.077604,18.121818,0.000747
0.020000,2.857755,24.229181,0.027829,0.362016,3.440260,18.132805,0.001009
0.020000,2.866517,24.229191,0.036591,0.438080,3.803190,18.146522,0.001326
0.020000,2.876945,24.229207,0.047019,0.521409,4.166456,18.163273,0.001703
0.020000,2.889185,24.229230,0.059259,0.612011,4.530123,18.183365,0.002143
0.020000,2.903383,24.229264,0.073457,0.709896,4.894265,18.207104,0.002652
0.020000,2.919685,24.229312,0.089759,0.815076,5.258961,18.234798,0.003234
0.020000,2.938236,24.229378,0.108310,0.927562,5.624296,18.266755,0.003893
0.020000,2.959183,24.229468,0.129257,1.047369,5.990362,18.303285,0.004633
0.020000,2.982600,24.229586,0.152675,1.170888,6.175979,9.280866,0.005455
0.020000,3.008490,24.229739,0.178565,1.294508,6.180980,0.250026,0.006358
0.020000,3.036854,24.229933,0.206930,1.418238,6.186509,0.276466,0.007340
0.020000,3.067695,24.230176,0.237772,1.542090,6.192568,0.302930,0.008399
0.020000,3.101015,24.230475,0.271093,1.666073,6.199156,0.329418,0.009532
0.020000,3.136817,24.230837,0.306897,1.790198,6.206274,0.355925,0.010737
0.020000,3.175104,24.231273,0.345187,1.914477,6.213923,0.382447,0.012013
0.020000,3.215879,24.231790,0.385965,2.038919,6.222103,0.408978,0.013355
0.020000,3.259146,24.232399,0.429236,2.163535,6.230813,0.435512,0.014762
0.020000,3.304907,24.233108,0.475002,2.288336,6.240054,0.462040,0.016230
0.020000,3.353167,24.233928,0.523269,2.413333,6.249825,0.488553,0.017757
0.020000,3.403929,24.234870,0.574040,2.538535,6.260126,0.515044,0.019338
0.020000,3.457197,24.235944,0.627319,2.663954,6.270956,0.541501,0.020970
0.020000,3.512976,24.237161,0.683111,2.789600,6.282314,0.567913,0.022650
0.020000,3.571269,24.238532,0.741420,2.915484,6.294200,0.594271,0.024374
0.020000,3.632082,24.240068,0.802253,3.041617,6.306611,0.620561,0.026138
0.020000,3.695419,24.241781,0.865613,3.168008,6.319546,0.646775,0.027937
0.020000,3.761285,24.243682,0.931506,3.294668,6.333004,0.672900,0.029767
0.020000,3.829685,24.245783,0.999938,3.421607,6.346983,0.698926,0.031624
0.020000,3.900624,24.248094,1.070915,3.548837,6.361480,0.724845,0.033502
0.020000,3.974108,24.250627,1.144443,3.676367,6.376493,0.750647,0.035397
0.020000,4.050142,24.253392,1.220527,3.804207,6.392019,0.776326,0.037305
0.020000,4.128732,24.256401,1.299174,3.932368,6.408057,0.801877,0.039219
0.020000,4.209883,24.259663,1.380391,4.060860,6.424603,0.827295,0.041134
0.020000,4.293603,24.263190,1.464185,4.189693,6.441654,0.852581,0.043045
0.020000,4.379897,24.266989,1.550563,4.318878,6.459209,0.877734,0.044946
0.020000,4.468772,24.271071,1.639531,4.448423,6.477264,0.902760,0.046831
0.020000,4.560234,24.275443,1.731098,4.578339,6.495817,0.927665,0.048695
