dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.829998,21.770833,0.000076,0.007563,0.378151,18.907563,6.283183
0.020000,2.830245,21.770833,0.000323,0.012380,0.240866,-6.864268,0.000007
0.020000,2.830951,21.770833,0.001029,0.035288,1.145407,45.227068,0.000028
0.020000,2.832206,21.770833,0.002284,0.062735,1.372308,11.345026,0.000064
0.020000,2.834166,21.770834,0.004244,0.098022,1.764355,19.602343,0.000120
0.020000,2.836989,21.770834,0.007067,0.141149,2.156356,19.600049,0.000202
0.020000,2.840831,21.770835,0.010909,0.192115,2.548288,19.596638,0.000313
0.020000,2.845850,21.770837,0.015928,0.250917,2.940126,19.591886,0.000458
0.020000,2.852201,21.770840,0.022279,0.317554,3.331837,19.585570,0.000641
0.020000,2.860041,21.770846,0.030119,0.392022,3.723387,19.577466,0.000867
0.020000,2.869528,21.770856,0.039606,0.474316,4.114734,19.567348,0.001139
0.020000,2.880816,21.770871,0.050894,0.564433,4.505834,19.554993,0.001463
0.020000,2.894063,21.770892,0.064142,0.662366,4.896637,19.540175,0.001842
0.020000,2.909426,21.770924,0.079504,0.768108,5.287091,19.522668,0.002280
0.020000,2.927059,21.770969,0.097137,0.881650,5.677135,19.502245,0.002781
0.020000,2.947118,21.771030,0.117196,1.002984,6.066709,19.478680,0.003350
0.020000,2.969760,21.771113,0.139838,1.132099,6.455744,19.451744,0.003988
0.020000,2.995061,21.771223,0.165140,1.265066,6.648355,9.630579,0.004698
0.020000,3.023020,21.771365,0.193099,1.397960,6.644668,-0.184373,0.005478
0.020000,3.053635,21.771546,0.223714,1.530772,6.640591,-0.203861,0.006328
0.020000,3.086904,21.771772,0.256984,1.663494,6.636123,-0.223368,0.007245
0.020000,3.122825,21.772050,0.292907,1.796119,6.631266,-0.242892,0.008228
0.020000,3.161397,21.772388,0.331479,1.928640,6.626017,-0.262431,0.009275
0.020000,3.202615,21.772793,0.372700,2.061047,6.620377,-0.281984,0.010384
0.020000,3.246480,21.773274,0.416567,2.193334,6.614346,-0.301547,0.011554
0.020000,3.292986,21.773840,0.463077,2.325493,6.607924,-0.321118,0.012783
0.020000,3.342132,21.774500,0.512227,2.457515,6.601110,-0.340690,0.014067
0.020000,3.393914,21.775263,0.564015,2.589393,6.593905,-0.360262,0.015405
0.020000,3.448329,21.776139,0.618437,2.721119,6.586308,-0.379825,0.016795
0.020000,3.505374,21.777139,0.675491,2.852686,6.578321,-0.399376,0.018233
0.020000,3.565045,21.778271,0.735173,2.984084,6.569943,-0.418907,0.019718
