dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.125000,5.999862,0.000199,0.019927,0.996355,49.817763,4.712370
0.020000,21.125000,5.998917,0.001145,0.047281,1.367702,18.567357,4.712238
0.020000,21.124999,5.996789,0.003273,0.106395,2.955672,79.398491,4.711940
0.020000,21.124997,5.993005,0.007057,0.189187,4.139616,59.197201,4.711411
0.020000,21.124989,5.987328,0.012734,0.283879,4.734604,29.749397,4.710616
0.020000,21.124971,5.979754,0.020308,0.378690,4.740553,0.297435,4.709551
0.020000,21.124938,5.970281,0.029781,0.473661,4.748541,0.399400,4.708216
0.020000,21.124881,5.958904,0.041158,0.568833,4.758612,0.503564,4.706606
0.020000,21.124792,5.945619,0.054443,0.664250,4.770828,0.610798,4.704716
0.020000,21.124659,5.930421,0.069642,0.759955,4.785262,0.721720,4.702542
0.020000,21.124469,5.913302,0.086762,0.855995,4.802000,0.836859,4.700078
0.020000,21.124209,5.894256,0.105810,0.952418,4.821142,0.957116,4.697316
0.020000,21.123860,5.873273,0.126796,1.049274,4.842806,1.083185,4.694250
0.020000,21.123406,5.850345,0.149728,1.146616,4.867121,1.215769,4.690870
0.020000,21.122824,5.825462,0.174618,1.244501,4.894238,1.355848,4.687167
0.020000,21.122092,5.798612,0.201478,1.342988,4.924326,1.504383,4.683130
0.020000,21.121186,5.769784,0.230320,1.442139,4.957567,1.662062,4.678748
0.020000,21.120075,5.738963,0.261161,1.542022,4.994172,1.830268,4.674007
0.020000,21.118731,5.706136,0.294015,1.642710,5.034371,2.009938,4.668893
0.020000,21.117118,5.671288,0.328901,1.744278,5.078412,2.202051,4.663390
0.020000,21.115201,5.634402,0.365837,1.846810,5.126577,2.408242,4.657481
0.020000,21.112937,5.595460,0.404845,1.950393,5.179167,2.629490,4.651148
0.020000,21.110283,5.554443,0.445947,2.055123,5.236508,2.867084,4.644371
0.020000,21.107189,5.511332,0.489169,2.161102,5.298965,3.122814,4.637126
0.020000,21.103603,5.466105,0.534538,2.268441,5.366914,3.397481,4.629390
0.020000,21.099467,5.418740,0.582083,2.377256,5.440772,3.692894,4.621136
0.020000,21.094716,5.369214,0.631837,2.487676,5.520973,4.010028,4.612337
0.020000,21.089280,5.317502,0.683833,2.599835,5.607977,4.350208,4.602960
0.020000,21.083084,5.263579,0.738111,2.713880,5.702259,4.714105,4.592973
0.020000,21.076044,5.207420,0.794710,2.829966,5.804305,5.102311,4.582340
0.020000,21.068067,5.148996,0.853675,2.948258,5.914597,5.514588,4.571020
0.020000,21.059055,5.088283,0.915054,3.068930,6.033601,5.950201,4.558972
0.020000,21.048896,5.025253,0.978897,3.192165,6.161740,6.406965,4.546150
0.020000,21.037470,4.959881,1.045260,3.318153,6.299369,6.881442,4.532506
0.020000,21.024645,4.892143,1.114202,3.447087,6.446732,7.368155,4.517986
0.020000,21.010277,4.822016,1.185786,3.579165,6.603909,7.858852,4.502535
0.020000,20.994206,4.749484,1.260077,3.714580,6.770749,8.342011,4.486094
0.020000,20.976260,4.674532,1.337147,3.853516,6.946789,8.801988,4.468599
0.020000,20.956251,4.597155,1.417070,3.996139,7.131132,9.217155,4.449986
0.020000,20.933971,4.517355,1.499922,4.142585,7.322336,9.560196,4.430186
0.020000,20.909199,4.435147,1.585781,4.292950,7.518234,9.794908,4.409130
0.020000,20.881692,4.350562,1.674726,4.447266,7.715771,9.876840,4.386748
0.020000,20.851194,4.263648,1.766836,4.605481,7.910789,9.750865,4.362969
0.020000,20.817428,4.174478,1.862185,4.767438,8.097821,9.351637,4.337728
0.020000,20.780103,4.083154,1.960841,4.932836,8.269894,8.603658,4.310963
0.020000,20.738917,3.989813,2.062865,5.101203,8.418370,7.423767,4.282622
0.020000,20.693560,3.894630,2.168303,5.271861,8.532879,5.725481,4.252663
0.020000,20.643721,3.797829,2.277180,5.443889,8.601411,3.426596,4.221063
0.020000,20.589094,3.699686,2.389502,5.616101,8.610624,0.460623,4.187817
0.020000,20.529393,3.600531,2.505243,5.787030,8.546446,-3.208868,4.152949
0.020000,20.464362,3.500754,2.624342,5.954931,8.395056,-7.569503,4.116513
0.020000,20.393788,3.400802,2.746698,6.117815,8.144202,-12.542718,4.078597
0.020000,20.317516,3.301176,2.872168,6.273512,7.784849,-17.967653,4.039330
0.020000,20.235464,3.202419,3.000564,6.419772,7.312954,-23.594746,3.998879
0.020000,20.147634,3.105106,3.131652,6.554394,6.731106,-29.092375,3.957451
0.020000,20.054119,3.009821,3.265159,6.675387,6.049665,-34.072050,3.915289
0.020000,19.955104,2.917142,3.400782,6.781128,5.287047,-38.130911,3.872663
0.020000,19.850864,2.827612,3.538192,6.870506,4.468894,-40.907648,3.829866
0.020000,19.741754,2.741721,3.677052,6.943028,3.626101,-42.139681,3.787196
0.020000,19.628189,2.659888,3.817030,6.998866,2.791924,-41.708818,3.744951
0.020000,19.510628,2.582444,3.957807,7.038840,1.998673,-39.662582,3.703412
0.020000,19.389549,2.509630,4.099093,7.064331,1.274562,-36.205514,3.662838
0.020000,19.265431,2.441592,4.240636,7.077157,0.641308,-31.662709,3.623453
0.020000,19.138733,2.378387,4.382225,7.079413,0.112790,-26.425911,3.585445
0.020000,19.009880,2.319995,4.523691,7.073311,-0.305122,-20.895577,3.548964
0.020000,18.879254,2.266329,4.664912,7.061035,-0.613757,-15.431794,3.514119
0.020000,18.747187,2.217248,4.805804,7.044632,-0.820185,-10.321368,3.480982
0.020000,18.613960,2.172571,4.946323,7.025923,-0.935458,-5.763664,3.449597
0.020000,18.479805,2.132091,5.086452,7.006465,-0.972901,-1.872141,3.419974
0.020000,18.344907,2.095582,5.226203,6.987532,-0.946633,1.313404,3.392106
0.020000,18.209412,2.062811,5.365605,6.970123,-0.870451,3.809096,3.365965
0.020000,18.073426,2.033541,5.504705,6.954981,-0.757075,5.668812,3.341510
0.020000,17.937030,2.007538,5.643557,6.942627,-0.617718,6.967811,3.318693
0.020000,17.800277,1.984577,5.782225,6.933389,-0.461920,7.789894,3.297457
0.020000,17.663200,1.964436,5.920774,6.927438,-0.297552,8.218417,3.277745
0.020000,17.525817,1.946907,6.059270,6.924819,-0.130943,8.330475,3.259496
0.020000,17.388135,1.931789,6.197780,6.925477,0.032933,8.193775,3.242653
0.020000,17.250151,1.918891,6.336365,6.929282,0.190242,7.865462,3.227159
0.020000,17.112079,1.908048,6.474862,6.924850,-0.221619,-20.593078,3.212984
0.020000,16.974342,1.899103,6.612890,6.901379,-1.173558,-47.596919,3.200113
0.020000,16.837342,1.891886,6.750080,6.859503,-2.093768,-46.010489,3.188517
0.020000,16.701671,1.886231,6.885868,6.789398,-3.505266,-70.574928,3.178177
0.020000,16.567903,1.881957,7.019704,6.691822,-4.878819,-68.677627,3.169057
