dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.875000,5.999906,0.000199,0.019927,0.996355,49.817763,4.712370
0.020000,18.875000,5.999257,0.000848,0.032427,0.625007,-18.567395,4.712238
0.020000,18.875000,5.997798,0.002307,0.072949,2.026106,70.054913,4.711940
0.020000,18.874998,5.995205,0.004900,0.129647,2.834869,40.438186,4.711411
0.020000,18.874992,5.991318,0.008787,0.194372,3.236238,20.068428,4.710616
0.020000,18.874980,5.986138,0.013967,0.258977,3.230288,-0.297516,4.709551
0.020000,18.874958,5.979670,0.020435,0.323423,3.222301,-0.399343,4.708216
0.020000,18.874919,5.971917,0.028189,0.387668,3.212228,-0.503644,4.706606
0.020000,18.874858,5.962883,0.037222,0.451668,3.200010,-0.610879,4.704716
0.020000,18.874768,5.952576,0.047529,0.515380,3.185576,-0.721724,4.702542
0.020000,18.874640,5.941002,0.059105,0.578756,3.168836,-0.836966,4.700078
0.020000,18.874464,5.928168,0.071940,0.641750,3.149693,-0.957198,4.697316
0.020000,18.874230,5.914084,0.086026,0.704311,3.128028,-1.083221,4.694250
0.020000,18.873926,5.898759,0.101354,0.766385,3.103710,-1.215904,4.690870
0.020000,18.873540,5.882205,0.117912,0.827917,3.076590,-1.356018,4.687167
0.020000,18.873055,5.864435,0.135689,0.888847,3.046501,-1.504436,4.683130
0.020000,18.872459,5.845462,0.154671,0.949112,3.013255,-1.662316,4.678748
0.020000,18.871733,5.825302,0.174844,1.008645,2.976645,-1.830457,4.674007
0.020000,18.870859,5.803973,0.196191,1.067374,2.936444,-2.010064,4.668893
0.020000,18.869819,5.781492,0.218696,1.125222,2.892396,-2.202422,4.663390
0.020000,18.868591,5.757882,0.242338,1.182106,2.844226,-2.408494,4.657481
0.020000,18.867155,5.733165,0.267097,1.237939,2.791630,-2.629771,4.651148
0.020000,18.865485,5.707366,0.292949,1.292624,2.734278,-2.867617,4.644371
0.020000,18.863559,5.680514,0.319870,1.346061,2.671815,-3.123135,4.637126
0.020000,18.861349,5.652639,0.347833,1.398138,2.603854,-3.398068,4.629390
0.020000,18.858828,5.623774,0.376808,1.448737,2.529985,-3.693471,4.621136
0.020000,18.855968,5.593956,0.406763,1.497733,2.449769,-4.010788,4.612337
0.020000,18.852738,5.563226,0.437662,1.544988,2.362749,-4.350997,4.602960
0.020000,18.849108,5.531627,0.469469,1.590357,2.268448,-4.715063,4.592973
