dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300069,23.955000,0.000198,0.019817,0.990854,49.542683,0.000007
0.020000,3.300783,23.955000,0.000912,0.035671,0.792687,-9.908347,0.000077
0.020000,3.302388,23.955000,0.002517,0.080261,2.229492,71.840266,0.000236
0.020000,3.305242,23.955001,0.005371,0.142690,3.121475,44.599155,0.000518
0.020000,3.309523,23.955004,0.009652,0.214046,3.567801,22.316286,0.000940
0.020000,3.315231,23.955011,0.015360,0.285415,3.568459,0.032917,0.001503
0.020000,3.322367,23.955025,0.022496,0.356802,3.569340,0.044065,0.002206
0.020000,3.330931,23.955047,0.031060,0.428211,3.570447,0.055326,0.003048
0.020000,3.340924,23.955083,0.041053,0.499647,3.571783,0.066790,0.004030
0.020000,3.352346,23.955135,0.052475,0.571114,3.573351,0.078424,0.005151
0.020000,3.365198,23.955209,0.065328,0.642617,3.575158,0.090320,0.006409
0.020000,3.379481,23.955311,0.079611,0.714161,3.577207,0.102474,0.007805
0.020000,3.395196,23.955445,0.095326,0.785751,3.579506,0.114927,0.009338
0.020000,3.412343,23.955620,0.112474,0.857392,3.582060,0.127703,0.011006
0.020000,3.430923,23.955841,0.131056,0.929090,3.584876,0.140826,0.012808
0.020000,3.450938,23.956117,0.151073,1.000849,3.587963,0.154335,0.014745
0.020000,3.472389,23.956455,0.172526,1.072676,3.591328,0.168240,0.016813
0.020000,3.495277,23.956865,0.195418,1.144575,3.594979,0.182561,0.019012
0.020000,3.519603,23.957356,0.219749,1.216554,3.598925,0.197320,0.021341
0.020000,3.545369,23.957938,0.245521,1.288617,3.603176,0.212547,0.023798
0.020000,3.572576,23.958621,0.272736,1.360772,3.607741,0.228221,0.026382
0.020000,3.601225,23.959416,0.301397,1.433025,3.612629,0.244391,0.029090
0.020000,3.631319,23.960334,0.331505,1.505382,3.617849,0.261044,0.031921
0.020000,3.662858,23.961388,0.363062,1.577850,3.623413,0.278179,0.034874
0.020000,3.695845,23.962589,0.396070,1.650437,3.629329,0.295821,0.037944
0.020000,3.730281,23.963952,0.430533,1.723149,3.635608,0.313939,0.041132
0.020000,3.766168,23.965488,0.466453,1.795994,3.642259,0.332552,0.044433
0.020000,3.803508,23.967212,0.503833,1.868980,3.649292,0.351633,0.047846
0.020000,3.842302,23.969138,0.542675,1.942114,3.656716,0.371179,0.051369
0.020000,3.882554,23.971281,0.582983,2.015405,3.664539,0.391169,0.054997
0.020000,3.924263,23.973656,0.624760,2.088860,3.672771,0.411583,0.058729
0.020000,3.967433,23.976277,0.668010,2.162489,3.681418,0.432386,0.062561
0.020000,4.012066,23.979161,0.712736,2.236298,3.690490,0.453578,0.066491
0.020000,4.058164,23.982324,0.758942,2.310298,3.699992,0.475087,0.070513
0.020000,4.105728,23.985782,0.806632,2.384497,3.709930,0.496905,0.074626
0.020000,4.154762,23.989552,0.855810,2.458903,3.720309,0.518984,0.078826
0.020000,4.205266,23.993650,0.906481,2.533526,3.731135,0.541284,0.083108
0.020000,4.257244,23.998094,0.958648,2.608374,3.742410,0.563743,0.087468
0.020000,4.310697,24.002901,1.012317,2.683457,3.754137,0.586334,0.091903
0.020000,4.365629,24.008089,1.067493,2.758783,3.766316,0.608992,0.096408
0.020000,4.422040,24.013675,1.124180,2.834362,3.778950,0.631661,0.100979
0.020000,4.479934,24.019677,1.182384,2.910203,3.792036,0.654299,0.105611
0.020000,4.539312,24.026112,1.242110,2.986314,3.805572,0.676832,0.110298
0.020000,4.600178,24.032999,1.303364,3.062705,3.819557,0.699215,0.115037
0.020000,4.662533,24.040356,1.366152,3.139385,3.833984,0.721387,0.119822
0.020000,4.726381,24.048200,1.430479,3.216362,3.848850,0.743283,0.124648
0.020000,4.791722,24.056549,1.496352,3.293645,3.864147,0.764861,0.129509
0.020000,4.858561,24.065420,1.563777,3.371242,3.879868,0.786054,0.134399
0.020000,4.926899,24.074832,1.632760,3.449162,3.896005,0.806815,0.139314
0.020000,4.996739,24.084802,1.703309,3.527413,3.912546,0.827095,0.144246
0.020000,5.068084,24.095346,1.775429,3.606003,3.929483,0.846846,0.149191
0.020000,5.140937,24.106481,1.849128,3.684939,3.946804,0.866028,0.154142
0.020000,5.215300,24.118224,1.924412,3.764229,3.964496,0.884606,0.159092
