dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000039,22.521000,0.000148,0.014831,0.741525,37.076271,0.000000
0.020000,2.000641,22.521000,0.000751,0.030112,0.764096,1.128519,0.000008
0.020000,2.001996,22.521000,0.002106,0.067753,1.882018,55.896094,0.000024
0.020000,2.004405,22.521000,0.004515,0.120449,2.634800,37.639115,0.000054
0.020000,2.008169,22.521000,0.008279,0.188200,3.387544,37.637216,0.000100
0.020000,2.013589,22.521001,0.013699,0.271004,4.140226,37.634105,0.000166
0.020000,2.020966,22.521003,0.021076,0.368861,4.892816,37.629479,0.000255
0.020000,2.030602,22.521006,0.030711,0.481766,5.645277,37.623037,0.000372
0.020000,2.042646,22.521011,0.042755,0.602190,6.021204,18.796339,0.000518
0.020000,2.057098,22.521020,0.057207,0.722603,6.020622,-0.029073,0.000693
0.020000,2.073958,22.521033,0.074067,0.843001,6.019924,-0.034891,0.000896
0.020000,2.093225,22.521053,0.093335,0.963383,6.019110,-0.040712,0.001128
0.020000,2.114900,22.521080,0.115010,1.083747,6.018179,-0.046535,0.001387
0.020000,2.138982,22.521117,0.139091,1.204089,6.017132,-0.052360,0.001675
0.020000,2.165470,22.521165,0.165580,1.324409,6.015968,-0.058189,0.001989
0.020000,2.194364,22.521228,0.194474,1.444703,6.014688,-0.064020,0.002330
0.020000,2.225663,22.521306,0.225773,1.564968,6.013291,-0.069855,0.002698
0.020000,2.259367,22.521404,0.259477,1.685204,6.011777,-0.075693,0.003092
0.020000,2.295475,22.521523,0.295585,1.805407,6.010146,-0.081534,0.003511
0.020000,2.333986,22.521667,0.334097,1.925575,6.008399,-0.087379,0.003954
0.020000,2.374900,22.521838,0.375011,2.045706,6.006534,-0.093228,0.004422
0.020000,2.418216,22.522041,0.418327,2.165797,6.004553,-0.099079,0.004914
0.020000,2.463932,22.522277,0.464044,2.285846,6.002454,-0.104935,0.005428
0.020000,2.512048,22.522551,0.512161,2.405850,6.000238,-0.110793,0.005965
0.020000,2.562563,22.522867,0.562677,2.525809,5.997905,-0.116655,0.006523
0.020000,2.615476,22.523227,0.615591,2.645718,5.995454,-0.122520,0.007101
0.020000,2.670786,22.523636,0.670903,2.765575,5.992887,-0.128388,0.007699
0.020000,2.728492,22.524099,0.728610,2.885379,5.990202,-0.134257,0.008317
0.020000,2.788592,22.524618,0.788713,3.005127,5.987399,-0.140129,0.008952
0.020000,2.851086,22.525197,0.851209,3.124817,5.984479,-0.146004,0.009604
0.020000,2.915972,22.525842,0.916098,3.244446,5.981441,-0.151879,0.010272
0.020000,2.983248,22.526556,0.983378,3.364011,5.978286,-0.157755,0.010955
0.020000,3.052914,22.527344,1.053049,3.483512,5.975014,-0.163632,0.011652
0.020000,3.124968,22.528209,1.125107,3.602944,5.971623,-0.169510,0.012362
0.020000,3.199408,22.529156,1.199554,3.722307,5.968116,-0.175387,0.013084
0.020000,3.276233,22.530190,1.276386,3.841596,5.964490,-0.181263,0.013816
0.020000,3.355441,22.531314,1.355602,3.960811,5.960748,-0.187139,0.014557
0.020000,3.437031,22.532532,1.437201,4.079949,5.956887,-0.193013,0.015306
0.020000,3.521001,22.533849,1.521181,4.199007,5.952910,-0.198884,0.016063
0.020000,3.607349,22.535270,1.607541,4.317984,5.948815,-0.204754,0.016824
0.020000,3.696073,22.536796,1.696278,4.436876,5.944602,-0.210620,0.017590
0.020000,3.787172,22.538434,1.787392,4.555681,5.940273,-0.216484,0.018358
0.020000,3.880644,22.540186,1.880880,4.674398,5.935826,-0.222344,0.019127
0.020000,3.976486,22.542057,1.976740,4.793023,5.931262,-0.228200,0.019896
0.020000,4.074697,22.544049,2.074971,4.911554,5.926581,-0.234052,0.020664
0.020000,4.175274,22.546166,2.175571,5.029990,5.921783,-0.239900,0.021427
0.020000,4.278216,22.548412,2.278538,5.148327,5.916868,-0.245743,0.022186
0.020000,4.383521,22.550788,2.383869,5.266564,5.911836,-0.251582,0.022939
0.020000,4.491185,22.553299,2.491563,5.384698,5.906688,-0.257417,0.023683
0.020000,4.601208,22.555945,2.601617,5.502726,5.901423,-0.263247,0.024416
0.020000,4.713587,22.558731,2.714030,5.620647,5.896041,-0.269073,0.025139
0.020000,4.828318,22.561656,2.828799,5.738458,5.890543,-0.274896,0.025847
0.020000,4.945401,22.564724,2.945923,5.856157,5.884929,-0.280714,0.026540
0.020000,5.064833,22.567935,3.065397,5.973741,5.879199,-0.286530,0.027216
0.020000,5.186611,22.571291,3.187222,6.091208,5.873352,-0.292343,0.027873
0.020000,5.310733,22.574791,3.311393,6.208555,5.867389,-0.298153,0.028509
0.020000,5.437196,22.578437,3.437908,6.325782,5.861309,-0.303963,0.029121
0.020000,5.565998,22.582227,3.566766,6.442884,5.855114,-0.309771,0.029709
0.020000,5.697136,22.586161,3.697963,6.559860,5.848802,-0.315580,0.030269
0.020000,5.830459,22.590234,3.831348,6.669257,5.469859,-18.947189,0.030800
0.020000,5.965666,22.594434,3.966621,6.763637,4.718975,-37.544165,0.031298
0.020000,6.102459,22.598749,4.103481,6.843019,3.969113,-37.493130,0.031760
0.020000,6.240537,22.603165,4.241630,6.907425,3.220307,-37.440276,0.032184
0.020000,6.379601,22.607670,4.380767,6.956877,2.472589,-37.385910,0.032568
0.020000,6.519354,22.612247,4.520595,6.991396,1.725982,-37.330337,0.032911
0.020000,6.659498,22.616883,4.660815,7.011006,0.980505,-37.273860,0.033211
0.020000,6.799734,22.621560,4.801130,7.015730,0.236169,-37.216784,0.033467
0.020000,6.939916,22.626269,4.941390,7.013017,-0.135639,-18.590392,0.033679
0.020000,7.080042,22.631002,5.081596,7.010304,-0.135636,0.000148,0.033846
0.020000,7.220113,22.635754,5.221748,7.007592,-0.135633,0.000120,0.033970
0.020000,7.360130,22.640518,5.361846,7.004879,-0.135631,0.000090,0.034049
0.020000,7.500092,22.645289,5.501889,7.002166,-0.135630,0.000058,0.034085
0.020000,7.639999,22.650059,5.641878,6.999454,-0.135630,0.000024,0.034076
0.020000,7.779853,22.654824,5.781813,6.996741,-0.135630,-0.000010,0.034023
0.020000,7.919653,22.659575,5.921694,6.994029,-0.135631,-0.000043,0.033925
0.020000,8.059399,22.664309,6.061520,6.991316,-0.135632,-0.000076,0.033784
0.020000,8.199092,22.669018,6.201292,6.988603,-0.135635,-0.000108,0.033599
0.020000,8.338731,22.673695,6.341010,6.985891,-0.135637,-0.000138,0.033369
0.020000,8.478318,22.678336,6.480673,6.983178,-0.135641,-0.000164,0.033095
0.020000,8.617851,22.682934,6.620283,6.980465,-0.135644,-0.000188,0.032777
0.020000,8.757332,22.687483,6.759838,6.977752,-0.135648,-0.000208,0.032415
0.020000,8.896761,22.691976,6.899339,6.975039,-0.135653,-0.000223,0.032009
0.020000,9.036137,22.696408,7.038785,6.972326,-0.135658,-0.000233,0.031559
