dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.830056,24.125000,0.000198,0.019817,0.990854,49.542683,0.000000
0.020000,2.830849,24.125000,0.000991,0.039634,0.990854,0.000000,0.000000
0.020000,2.832633,24.125000,0.002774,0.089177,2.477134,74.314024,0.000000
0.020000,2.835803,24.125000,0.005945,0.158537,3.467988,49.542683,0.000000
0.020000,2.840560,24.125000,0.010701,0.237805,3.963415,24.771341,0.000000
0.020000,2.846901,24.125000,0.017043,0.317073,3.963415,0.000000,0.000000
0.020000,2.854828,24.125000,0.024970,0.396341,3.963415,0.000000,0.000000
0.020000,2.864340,24.125000,0.034482,0.475610,3.963415,0.000000,0.000000
0.020000,2.875438,24.125000,0.045579,0.554878,3.963415,0.000000,0.000000
0.020000,2.888120,24.125000,0.058262,0.634146,3.963415,-0.000000,0.000000
0.020000,2.902389,24.125000,0.072530,0.713415,3.963415,0.000000,0.000000
0.020000,2.918242,24.125000,0.088384,0.792683,3.963415,-0.000000,0.000000
0.020000,2.935681,24.125000,0.105823,0.871951,3.963415,0.000000,0.000000
0.020000,2.954706,24.125000,0.124848,0.951220,3.963415,0.000000,0.000000
0.020000,2.975316,24.125000,0.145457,1.030488,3.963415,-0.000000,0.000000
0.020000,2.997511,24.125000,0.167652,1.109756,3.963415,0.000000,0.000000
0.020000,3.021291,24.125000,0.191433,1.189024,3.963415,0.000000,0.000000
0.020000,3.046657,24.125000,0.216799,1.268293,3.963415,-0.000000,0.000000
0.020000,3.073608,24.125000,0.243750,1.347561,3.963415,0.000000,0.000000
0.020000,3.102145,24.125000,0.272287,1.426829,3.963415,-0.000000,0.000000
0.020000,3.132267,24.125000,0.302409,1.506098,3.963415,0.000000,0.000000
0.020000,3.163974,24.125000,0.334116,1.585366,3.963415,0.000000,0.000000
0.020000,3.197267,24.125000,0.367409,1.664634,3.963415,0.000000,0.000000
0.020000,3.232145,24.125000,0.402287,1.743902,3.963415,-0.000000,0.000000
0.020000,3.268608,24.125000,0.438750,1.823171,3.963415,0.000000,0.000000
0.020000,3.306657,24.125000,0.476799,1.902439,3.963415,-0.000000,0.000000
0.020000,3.346291,24.125000,0.516433,1.981707,3.963415,0.000000,0.000000
0.020000,3.387511,24.125000,0.557652,2.060976,3.963415,0.000000,0.000000
0.020000,3.430316,24.125000,0.600457,2.140244,3.963415,0.000000,0.000000
0.020000,3.474706,24.125000,0.644848,2.219512,3.963415,0.000000,0.000000
0.020000,3.520681,24.125000,0.690823,2.298780,3.963415,-0.000000,0.000000
0.020000,3.568242,24.125000,0.738384,2.378049,3.963415,0.000000,0.000000
0.020000,3.617389,24.125000,0.787530,2.457317,3.963415,-0.000000,0.000000
0.020000,3.668120,24.125000,0.838262,2.536585,3.963415,0.000000,0.000000
