dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000098,1.125000,0.000198,0.019848,0.992413,49.620664,0.000000
0.020000,0.000892,1.125000,0.000992,0.039697,0.992413,0.000000,0.000000
0.020000,0.002679,1.125000,0.002779,0.089317,2.481033,74.430996,0.000000
0.020000,0.005854,1.125000,0.005954,0.158786,3.473447,49.620664,0.000000
0.020000,0.010618,1.125000,0.010718,0.238179,3.969653,24.810332,0.000000
0.020000,0.016970,1.125000,0.017070,0.317572,3.969653,-0.000000,0.000000
0.020000,0.024909,1.125000,0.025009,0.396965,3.969653,0.000000,0.000000
0.020000,0.034436,1.125000,0.034536,0.476358,3.969653,-0.000000,0.000000
0.020000,0.045551,1.125000,0.045651,0.555751,3.969653,0.000000,0.000000
0.020000,0.058254,1.125000,0.058354,0.635145,3.969653,-0.000000,0.000000
0.020000,0.072545,1.125000,0.072645,0.714538,3.969653,-0.000000,0.000000
0.020000,0.088423,1.125000,0.088523,0.793931,3.969653,0.000000,0.000000
0.020000,0.105890,1.125000,0.105990,0.873324,3.969653,-0.000000,0.000000
0.020000,0.124944,1.125000,0.125044,0.952717,3.969653,0.000000,0.000000
0.020000,0.145586,1.125000,0.145686,1.032110,3.969653,0.000000,0.000000
0.020000,0.167816,1.125000,0.167916,1.111503,3.969653,-0.000000,0.000000
0.020000,0.191634,1.125000,0.191734,1.190896,3.969653,0.000000,0.000000
0.020000,0.217040,1.125000,0.217140,1.270289,3.969653,-0.000000,0.000000
0.020000,0.244034,1.125000,0.244134,1.349682,3.969653,0.000000,0.000000
0.020000,0.272615,1.125000,0.272715,1.429075,3.969653,-0.000000,0.000000
0.020000,0.302785,1.125000,0.302885,1.508468,3.969653,0.000000,0.000000
0.020000,0.334542,1.125000,0.334642,1.587861,3.969653,-0.000000,0.000000
0.020000,0.367887,1.125000,0.367987,1.667254,3.969653,0.000000,0.000000
0.020000,0.402820,1.125000,0.402920,1.746647,3.969653,0.000000,0.000000
0.020000,0.439341,1.125000,0.439441,1.826040,3.969653,0.000000,0.000000
0.020000,0.477449,1.125000,0.477549,1.905434,3.969653,0.000000,0.000000
0.020000,0.517146,1.125000,0.517246,1.984827,3.969653,-0.000000,0.000000
0.020000,0.558430,1.125000,0.558530,2.064220,3.969653,0.000000,0.000000
0.020000,0.601302,1.125000,0.601402,2.143613,3.969653,-0.000000,0.000000
0.020000,0.645763,1.125000,0.645863,2.223006,3.969653,0.000000,0.000000
0.020000,0.691811,1.125000,0.691911,2.302399,3.969653,0.000000,0.000000
0.020000,0.739446,1.125000,0.739546,2.381792,3.969653,-0.000000,0.000000
0.020000,0.788670,1.125000,0.788770,2.461185,3.969653,0.000000,0.000000
0.020000,0.839482,1.125000,0.839582,2.540578,3.969653,-0.000000,0.000000
0.020000,0.891881,1.125000,0.891981,2.619971,3.969653,0.000000,0.000000
0.020000,0.945868,1.125000,0.945968,2.699364,3.969653,-0.000000,0.000000
0.020000,1.001443,1.125000,1.001543,2.778757,3.969653,0.000000,0.000000
0.020000,1.058606,1.125000,1.058706,2.858150,3.969653,-0.000000,0.000000
0.020000,1.117357,1.125000,1.117457,2.937543,3.969653,-0.000000,0.000000
0.020000,1.177696,1.125000,1.177796,3.016936,3.969653,0.000000,0.000000
0.020000,1.239623,1.125000,1.239723,3.096329,3.969653,0.000000,0.000000
0.020000,1.303137,1.125000,1.303237,3.175723,3.969653,-0.000000,0.000000
0.020000,1.368239,1.125000,1.368339,3.255116,3.969653,0.000000,0.000000
0.020000,1.434930,1.125000,1.435030,3.334509,3.969653,0.000000,0.000000
0.020000,1.503208,1.125000,1.503308,3.413902,3.969653,0.000000,0.000000
0.020000,1.573074,1.125000,1.573174,3.493295,3.969653,0.000000,0.000000
0.020000,1.644527,1.125000,1.644627,3.572688,3.969653,-0.000000,0.000000
0.020000,1.717569,1.125000,1.717669,3.652081,3.969653,0.000000,0.000000
0.020000,1.792198,1.125000,1.792298,3.731474,3.969653,0.000000,0.000000
0.020000,1.868416,1.125000,1.868516,3.810867,3.969653,-0.000000,0.000000
0.020000,1.946221,1.125000,1.946321,3.890260,3.969653,0.000000,0.000000
0.020000,2.025614,1.125000,2.025714,3.969653,3.969653,-0.000000,0.000000
0.020000,2.106595,1.125000,2.106695,4.049046,3.969653,0.000000,0.000000
0.020000,2.189164,1.125000,2.189264,4.128439,3.969653,-0.000000,0.000000
0.020000,2.273320,1.125000,2.273420,4.207832,3.969653,0.000000,0.000000
0.020000,2.359065,1.125000,2.359165,4.287225,3.969653,0.000000,0.000000
0.020000,2.446397,1.125000,2.446497,4.366618,3.969653,-0.000000,0.000000
0.020000,2.535317,1.125000,2.535417,4.446012,3.969653,0.000000,0.000000
0.020000,2.625826,1.125000,2.625926,4.525405,3.969653,-0.000000,0.000000
0.020000,2.717922,1.125000,2.718022,4.604798,3.969653,0.000000,0.000000
0.020000,2.811605,1.125000,2.811705,4.684191,3.969653,-0.000000,0.000000
0.020000,2.906877,1.125000,2.906977,4.763584,3.969653,0.000000,0.000000
0.020000,3.003737,1.125000,3.003837,4.842977,3.969653,-0.000000,0.000000
0.020000,3.102184,1.125000,3.102284,4.922370,3.969653,0.000000,0.000000
0.020000,3.202219,1.125000,3.202319,5.001763,3.969653,-0.000000,0.000000
0.020000,3.303842,1.125000,3.303942,5.081156,3.969653,-0.000000,0.000000
0.020000,3.407053,1.125000,3.407153,5.160549,3.969653,0.000000,0.000000
0.020000,3.511852,1.125000,3.511952,5.239942,3.969653,0.000000,0.000000
0.020000,3.618239,1.125000,3.618339,5.319335,3.969653,-0.000000,0.000000
0.020000,3.726213,1.125000,3.726313,5.398728,3.969653,0.000000,0.000000
0.020000,3.835776,1.125000,3.835876,5.478121,3.969653,-0.000000,0.000000
0.020000,3.946926,1.125000,3.947026,5.557514,3.969653,0.000000,0.000000
0.020000,4.059664,1.125000,4.059764,5.636907,3.969653,-0.000000,0.000000
0.020000,4.173990,1.125000,4.174090,5.716301,3.969653,0.000000,0.000000
0.020000,4.289904,1.125000,4.290004,5.795694,3.969653,-0.000000,0.000000
0.020000,4.407406,1.125000,4.407506,5.875087,3.969653,0.000000,0.000000
0.020000,4.526495,1.125000,4.526595,5.954480,3.969653,0.000000,0.000000
0.020000,4.647173,1.125000,4.647273,6.033873,3.969653,-0.000000,0.000000
0.020000,4.769240,1.125000,4.769340,6.103342,3.473447,-24.810332,0.000000
0.020000,4.892299,1.125000,4.892399,6.152962,2.481033,-49.620664,0.000000
0.020000,5.015902,1.125000,5.016002,6.180170,1.360385,-56.032408,0.000000
0.020000,5.139403,1.125000,5.139503,6.175041,-0.256470,-80.842740,0.000000
0.020000,5.262206,1.125000,5.262306,6.140139,-1.745090,-74.430997,0.000000
0.020000,5.383914,1.125000,5.384014,6.085389,-2.737503,-49.620664,0.000000
0.020000,5.504181,1.125000,5.504281,6.013355,-3.601681,-43.208921,0.000000
0.020000,5.622860,1.125000,5.622960,5.933962,-3.969653,-18.398589,0.000000
0.020000,5.739952,1.125000,5.740052,5.854569,-3.969653,0.000000,0.000000
0.020000,5.855455,1.125000,5.855555,5.775176,-3.969653,-0.000000,0.000000
0.020000,5.969371,1.125000,5.969471,5.695783,-3.969653,0.000000,0.000000
0.020000,6.081698,1.125000,6.081798,5.616390,-3.969653,-0.000000,0.000000
0.020000,6.192438,1.125000,6.192538,5.536997,-3.969653,0.000000,0.000000
0.020000,6.301591,1.125000,6.301691,5.457604,-3.969653,0.000000,0.000000
0.020000,6.409155,1.125000,6.409255,5.378211,-3.969653,-0.000000,0.000000
0.020000,6.515131,1.125000,6.515231,5.298818,-3.969653,0.000000,0.000000
0.020000,6.619520,1.125000,6.619620,5.219425,-3.969653,-0.000000,0.000000
0.020000,6.722320,1.125000,6.722420,5.140032,-3.969653,0.000000,0.000000
0.020000,6.823533,1.125000,6.823633,5.060638,-3.969653,0.000000,0.000000
0.020000,6.923158,1.125000,6.923258,4.981245,-3.969653,0.000000,0.000000
0.020000,7.021195,1.125000,7.021295,4.901852,-3.969653,-0.000000,0.000000
0.020000,7.117644,1.125000,7.117744,4.822459,-3.969653,0.000000,0.000000
0.020000,7.212505,1.125000,7.212605,4.743066,-3.969653,-0.000000,0.000000
0.020000,7.305779,1.125000,7.305879,4.663673,-3.969653,-0.000000,0.000000
0.020000,7.397464,1.125000,7.397564,4.584280,-3.969653,0.000000,0.000000
0.020000,7.487562,1.125000,7.487662,4.504887,-3.969653,-0.000000,0.000000
0.020000,7.576072,1.125000,7.576172,4.425494,-3.969653,0.000000,0.000000
0.020000,7.662994,1.125000,7.663094,4.346101,-3.969653,-0.000000,0.000000
0.020000,7.748328,1.125000,7.748428,4.266708,-3.969653,0.000000,0.000000
0.020000,7.832075,1.125000,7.832175,4.187315,-3.969653,0.000000,0.000000
0.020000,7.914233,1.125000,7.914333,4.107922,-3.969653,-0.000000,0.000000
0.020000,7.994804,1.125000,7.994904,4.028529,-3.969653,0.000000,0.000000
0.020000,8.073786,1.125000,8.073886,3.949136,-3.969653,0.000000,0.000000
0.020000,8.151181,1.125000,8.151281,3.869743,-3.969653,-0.000000,0.000000
0.020000,8.226988,1.125000,8.227088,3.790349,-3.969653,-0.000000,0.000000
0.020000,8.301207,1.125000,8.301307,3.710956,-3.969653,0.000000,0.000000
0.020000,8.373839,1.125000,8.373939,3.631563,-3.969653,-0.000000,0.000000
0.020000,8.444882,1.125000,8.444982,3.552170,-3.969653,0.000000,0.000000
0.020000,8.514337,1.125000,8.514437,3.472777,-3.969653,-0.000000,0.000000
0.020000,8.582205,1.125000,8.582305,3.393384,-3.969653,0.000000,0.000000
0.020000,8.648485,1.125000,8.648585,3.313991,-3.969653,-0.000000,0.000000
0.020000,8.713177,1.125000,8.713277,3.234598,-3.969653,0.000000,0.000000
0.020000,8.776281,1.125000,8.776381,3.155205,-3.969653,-0.000000,0.000000
0.020000,8.837797,1.125000,8.837897,3.075812,-3.969653,0.000000,0.000000
0.020000,8.897726,1.125000,8.897826,2.996419,-3.969653,0.000000,0.000000
0.020000,8.956066,1.125000,8.956166,2.917026,-3.969653,-0.000000,0.000000
0.020000,9.012819,1.125000,9.012919,2.837633,-3.969653,0.000000,0.000000
0.020000,9.067984,1.125000,9.068084,2.758240,-3.969653,-0.000000,0.000000
0.020000,9.121561,1.125000,9.121661,2.678847,-3.969653,0.000000,0.000000
0.020000,9.173550,1.125000,9.173650,2.599453,-3.969653,0.000000,0.000000
0.020000,9.223951,1.125000,9.224051,2.520060,-3.969653,0.000000,0.000000
0.020000,9.272764,1.125000,9.272864,2.440667,-3.969653,0.000000,0.000000
0.020000,9.319990,1.125000,9.320090,2.361274,-3.969653,-0.000000,0.000000
0.020000,9.365627,1.125000,9.365727,2.281881,-3.969653,0.000000,0.000000
0.020000,9.409677,1.125000,9.409777,2.202488,-3.969653,0.000000,0.000000
0.020000,9.452139,1.125000,9.452239,2.123095,-3.969653,-0.000000,0.000000
0.020000,9.493013,1.125000,9.493113,2.043702,-3.969653,-0.000000,0.000000
0.020000,9.532299,1.125000,9.532399,1.964309,-3.969653,0.000000,0.000000
0.020000,9.569997,1.125000,9.570097,1.884916,-3.969653,0.000000,0.000000
0.020000,9.606108,1.125000,9.606208,1.805523,-3.969653,-0.000000,0.000000
0.020000,9.640631,1.125000,9.640731,1.726130,-3.969653,-0.000000,0.000000
0.020000,9.673565,1.125000,9.673665,1.646737,-3.969653,0.000000,0.000000
0.020000,9.704912,1.125000,9.705012,1.567344,-3.969653,0.000000,0.000000
0.020000,9.734671,1.125000,9.734771,1.487951,-3.969653,-0.000000,0.000000
0.020000,9.762842,1.125000,9.762942,1.408558,-3.969653,0.000000,0.000000
0.020000,9.789426,1.125000,9.789526,1.329164,-3.969653,0.000000,0.000000
0.020000,9.814421,1.125000,9.814521,1.249771,-3.969653,0.000000,0.000000
0.020000,9.837829,1.125000,9.837929,1.170378,-3.969653,-0.000000,0.000000
0.020000,9.859648,1.125000,9.859748,1.090985,-3.969653,0.000000,0.000000
0.020000,9.879880,1.125000,9.879980,1.011592,-3.969653,0.000000,0.000000
0.020000,9.898524,1.125000,9.898624,0.932199,-3.969653,-0.000000,0.000000
0.020000,9.915580,1.125000,9.915680,0.852806,-3.969653,0.000000,0.000000
0.020000,9.931049,1.125000,9.931149,0.773413,-3.969653,0.000000,0.000000
0.020000,9.944929,1.125000,9.945029,0.694020,-3.969653,-0.000000,0.000000
0.020000,9.957221,1.125000,9.957321,0.614627,-3.969653,0.000000,0.000000
0.020000,9.967926,1.125000,9.968026,0.535234,-3.969653,0.000000,0.000000
0.020000,9.977043,1.125000,9.977143,0.455841,-3.969653,-0.000000,0.000000
0.020000,9.984572,1.125000,9.984672,0.376448,-3.969653,0.000000,0.000000
0.020000,9.990513,1.125000,9.990613,0.297055,-3.969653,0.000000,0.000000
0.020000,9.994866,1.125000,9.994966,0.217662,-3.969653,-0.000000,0.000000
0.020000,9.997683,1.125000,9.997783,0.140833,-3.841418,6.411743,0.000000
0.020000,9.999213,1.125000,9.999313,0.076494,-3.216977,31.222076,0.000000
0.020000,9.999853,1.125000,9.999953,0.032002,-2.224563,49.620664,0.000000
0.020000,10.000000,1.125000,10.000100,0.007359,-1.232150,49.620664,0.000000
0.020000,10.000000,1.125000,10.000100,0.000000,-0.367972,43.208921,0.000000
