dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300130,15.955000,0.000238,0.023810,1.190476,59.523810,0.000036
0.020000,3.300857,15.955000,0.000965,0.036354,0.627229,-28.162338,0.000236
0.020000,3.302493,15.955001,0.002601,0.081767,2.270645,82.170791,0.000687
0.020000,3.305398,15.955004,0.005506,0.145262,3.174734,45.204414,0.001491
0.020000,3.309932,15.955014,0.010040,0.226709,4.072375,44.882059,0.002752
0.020000,3.316269,15.955037,0.016377,0.316852,4.507156,21.739043,0.004526
0.020000,3.324398,15.955083,0.024506,0.406447,4.479724,-1.371592,0.006824
0.020000,3.334304,15.955164,0.034412,0.495324,4.443871,-1.792646,0.009659
0.020000,3.345969,15.955297,0.046079,0.583307,4.399144,-2.236362,0.013045
0.020000,3.359372,15.955498,0.059483,0.670206,4.344969,-2.708740,0.017004
0.020000,3.374485,15.955789,0.074599,0.755819,4.280651,-3.215912,0.021556
0.020000,3.391279,15.956195,0.091398,0.839926,4.205343,-3.765352,0.026730
0.020000,3.409717,15.956741,0.109843,0.922287,4.118054,-4.364497,0.032556
0.020000,3.429757,15.957459,0.129896,1.002639,4.017606,-5.022391,0.039070
0.020000,3.451351,15.958381,0.151510,1.080692,3.902633,-5.748613,0.046313
0.020000,3.474444,15.959543,0.174632,1.156123,3.771553,-6.554011,0.054331
0.020000,3.498973,15.960986,0.199204,1.228574,3.622540,-7.450652,0.063177
0.020000,3.524866,15.962749,0.225157,1.297644,3.453505,-8.451742,0.072912
0.020000,3.552041,15.964879,0.252415,1.362886,3.262072,-9.571664,0.083603
0.020000,3.580403,15.967422,0.280890,1.423797,3.045559,-10.825641,0.095328
0.020000,3.609846,15.970426,0.310487,1.479816,2.800973,-12.229297,0.108174
0.020000,3.640250,15.973943,0.341093,1.530317,2.525018,-13.797786,0.122238
0.020000,3.671477,15.978020,0.372585,1.574599,2.214135,-15.544134,0.137631
0.020000,3.703372,15.982709,0.404823,1.611891,1.864596,-17.476922,0.154477
0.020000,3.735760,15.988055,0.437650,1.641345,1.472669,-19.596351,0.172916
0.020000,3.768447,15.994100,0.470891,1.662043,1.034902,-21.888391,0.193104
0.020000,3.801213,16.000879,0.504351,1.673014,0.548578,-24.316185,0.215213
0.020000,3.833819,16.008414,0.537816,1.673263,0.012430,-26.807381,0.239433
0.020000,3.866002,16.016717,0.571053,1.661817,-0.572310,-29.237020,0.265974
0.020000,3.897480,16.025777,0.603809,1.637809,-1.200389,-31.403940,0.295057
0.020000,3.927960,16.035563,0.635821,1.600600,-1.860432,-33.002142,0.326918
0.020000,3.957143,16.046018,0.666820,1.549956,-2.532187,-33.587743,0.361796
0.020000,3.984743,16.057055,0.696546,1.486293,-3.183184,-32.549886,0.399922
0.020000,4.010508,16.068568,0.724765,1.410990,-3.765147,-29.098155,0.441502
0.020000,4.034243,16.080432,0.751301,1.326770,-4.211012,-22.293244,0.486696
0.020000,4.055847,16.092532,0.776063,1.238087,-4.434136,-11.156199,0.535583
0.020000,4.075343,16.104789,0.799092,1.151445,-4.332081,5.102755,0.588127
0.020000,4.092905,16.117209,0.820601,1.075491,-3.797713,26.718403,0.644137
0.020000,4.108865,16.129938,0.841015,1.020703,-2.739417,52.914818,0.703237
0.020000,4.123695,16.143313,0.860986,0.998523,-1.108990,81.521317,0.764848
0.020000,4.137955,16.157898,0.881384,1.019915,1.069614,108.930244,0.828194
0.020000,4.152213,16.174484,0.903256,1.093570,3.682745,130.656506,0.892347
0.020000,4.166947,16.194039,0.927740,1.224232,6.533084,142.516990,0.956294
0.020000,4.182472,16.217621,0.955974,1.411706,9.373732,142.032385,1.019023
0.020000,4.198891,16.246268,0.988993,1.650926,11.960987,129.362726,1.079616
0.020000,4.216100,16.280888,1.027654,1.933044,14.105889,107.245135,1.137310
0.020000,4.233826,16.322188,1.072597,2.247150,15.705312,79.971130,1.191535
0.020000,4.251688,16.370641,1.124238,2.582048,16.744899,51.979340,1.241924
0.020000,4.269265,16.426493,1.182790,2.927641,17.279627,26.736390,1.288285
0.020000,4.286149,16.489795,1.248305,3.275735,17.404716,6.254490,1.330574
0.020000,4.301982,16.560449,1.320711,3.620304,17.228466,-8.812528,1.368855
0.020000,4.316477,16.638258,1.399859,3.957367,16.853156,-18.765476,1.403260
0.020000,4.329426,16.722967,1.485552,4.284667,16.364973,-24.409177,1.433964
0.020000,4.340698,16.814300,1.577578,4.601286,15.830945,-26.701387,1.461155
0.020000,4.350234,16.911981,1.675723,4.907289,15.300171,-26.538687,1.485024
0.020000,4.358038,17.015757,1.779792,5.203430,14.807037,-24.656706,1.505744
0.020000,4.364171,17.125404,1.889611,5.490929,14.374953,-21.604191,1.523470
0.020000,4.368741,17.240740,2.005037,5.771326,14.019840,-17.755662,1.538328
0.020000,4.371903,17.361626,2.125965,6.046387,13.753075,-13.338256,1.550413
0.020000,4.373854,17.487972,2.252326,6.318065,13.583878,-8.459864,1.559785
0.020000,4.374832,17.619739,2.384096,6.588490,13.521245,-3.131635,1.566465
0.020000,4.375121,17.756938,2.521296,6.860001,13.575585,2.717012,1.570435
0.020000,4.375053,17.899642,2.664000,7.135206,13.760218,9.231634,1.571630
0.020000,4.375000,18.046978,2.811336,7.366799,11.579665,-109.027642,1.570796
0.020000,4.375000,18.195788,2.960146,7.440476,3.683857,-394.790381,1.570796
0.020000,4.375000,18.346978,3.111336,7.559524,5.952381,113.426181,1.570796
0.020000,4.375000,18.500550,3.264908,7.678571,5.952381,-0.000000,1.570796
0.020000,4.375000,18.656502,3.420860,7.797619,5.952381,0.000000,1.570796
0.020000,4.375000,18.814836,3.579193,7.916667,5.952381,0.000000,1.570796
0.020000,4.375000,18.975550,3.739908,8.035714,5.952381,0.000000,1.570796
0.020000,4.375000,19.138645,3.903003,8.154762,5.952381,0.000000,1.570796
0.020000,4.375000,19.304121,4.068479,8.273810,5.952381,0.000000,1.570796
