dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300159,13.788350,0.000198,0.019841,0.992063,49.603175,0.000027
0.020000,3.301127,13.788350,0.001166,0.048374,1.426622,21.727908,0.000194
0.020000,3.303304,13.788351,0.003343,0.108860,3.024311,79.884466,0.000570
0.020000,3.306934,13.788354,0.006973,0.181492,3.631611,30.364994,0.001198
0.020000,3.312018,13.788362,0.012057,0.254213,3.636049,0.221900,0.002079
0.020000,3.318559,13.788380,0.018598,0.327059,3.642301,0.312596,0.003215
0.020000,3.326561,13.788411,0.026600,0.400067,3.650406,0.405242,0.004611
0.020000,3.336026,13.788463,0.036065,0.473276,3.660413,0.500385,0.006269
0.020000,3.346960,13.788542,0.047000,0.546723,3.672388,0.598719,0.008195
0.020000,3.359369,13.788657,0.059409,0.620451,3.686404,0.700816,0.010393
0.020000,3.373258,13.788819,0.073299,0.694502,3.702550,0.807297,0.012871
0.020000,3.388635,13.789038,0.088677,0.768921,3.720931,0.919047,0.015634
0.020000,3.405507,13.789327,0.105552,0.843754,3.741667,1.036789,0.018691
0.020000,3.423884,13.789702,0.123933,0.919052,3.764889,1.161095,0.022051
0.020000,3.443776,13.790177,0.143831,0.994867,3.790753,1.293210,0.025724
0.020000,3.465193,13.790771,0.165256,1.071256,3.819432,1.433939,0.029721
0.020000,3.488147,13.791503,0.188221,1.148278,3.851115,1.584156,0.034054
0.020000,3.512651,13.792395,0.212741,1.225998,3.886019,1.745232,0.038736
0.020000,3.538718,13.793471,0.238831,1.304486,3.924383,1.918187,0.043782
0.020000,3.566365,13.794757,0.266507,1.383816,3.966471,2.104392,0.049209
0.020000,3.595606,13.796282,0.295789,1.464067,4.012575,2.305226,0.055033
0.020000,3.626460,13.798078,0.326695,1.545327,4.063018,2.522137,0.061275
0.020000,3.658946,13.800180,0.359249,1.627690,4.118155,2.756825,0.067956
0.020000,3.693084,13.802626,0.393474,1.711258,4.178371,3.010797,0.075098
0.020000,3.728895,13.805457,0.429397,1.796140,4.244092,3.286049,0.082727
0.020000,3.766402,13.808720,0.467046,1.882455,4.315775,3.584149,0.090870
0.020000,3.805631,13.812466,0.506453,1.970334,4.393916,3.907058,0.099558
0.020000,3.846606,13.816750,0.547651,2.059914,4.479047,4.256584,0.108823
0.020000,3.889355,13.821634,0.590678,2.151349,4.571732,4.634212,0.118700
0.020000,3.933906,13.827184,0.635574,2.244800,4.672564,5.041594,0.129229
0.020000,3.980290,13.833476,0.682383,2.340443,4.782155,5.479566,0.140452
0.020000,4.028538,13.840591,0.731152,2.438466,4.901124,5.948437,0.152414
