dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300101,15.955000,0.000200,0.020000,1.000000,50.000000,0.000028
0.020000,3.300712,15.955000,0.000811,0.030538,0.526914,-23.654307,0.000196
0.020000,3.302086,15.955001,0.002185,0.068690,1.907593,69.033970,0.000575
0.020000,3.304374,15.955003,0.004473,0.114419,2.286438,18.942235,0.001207
0.020000,3.307575,15.955008,0.007674,0.160050,2.281567,-0.243548,0.002095
0.020000,3.311686,15.955019,0.011785,0.205544,2.274705,-0.343077,0.003241
0.020000,3.316703,15.955039,0.016802,0.250861,2.265809,-0.444809,0.004648
0.020000,3.322622,15.955071,0.022721,0.295957,2.254823,-0.549292,0.006320
0.020000,3.329438,15.955121,0.029537,0.340791,2.241678,-0.657277,0.008262
0.020000,3.337144,15.955193,0.037243,0.385316,2.226289,-0.769423,0.010478
0.020000,3.345733,15.955294,0.045833,0.429488,2.208559,-0.886537,0.012976
0.020000,3.355197,15.955430,0.055298,0.473255,2.188372,-1.009350,0.015763
0.020000,3.365527,15.955608,0.065630,0.516567,2.165596,-1.138769,0.018846
0.020000,3.376712,15.955838,0.076817,0.559369,2.140083,-1.275679,0.022235
0.020000,3.388740,15.956128,0.088849,0.601602,2.111662,-1.421027,0.025940
0.020000,3.401599,15.956487,0.101713,0.643205,2.080143,-1.575978,0.029972
0.020000,3.415275,15.956927,0.115395,0.684111,2.045313,-1.741505,0.034343
0.020000,3.429750,15.957459,0.129880,0.724250,2.006932,-1.919026,0.039068
0.020000,3.445007,15.958094,0.145151,0.763544,1.964738,-2.109707,0.044160
0.020000,3.461028,15.958845,0.161189,0.801913,1.918435,-2.315150,0.049637
0.020000,3.477790,15.959727,0.177975,0.839267,1.867700,-2.536766,0.055517
0.020000,3.495270,15.960754,0.195485,0.875510,1.812175,-2.776225,0.061819
0.020000,3.513442,15.961940,0.213696,0.910540,1.751465,-3.035481,0.068565
0.020000,3.532278,15.963301,0.232581,0.944243,1.685143,-3.316114,0.075778
0.020000,3.551746,15.964854,0.252111,0.976497,1.612737,-3.620288,0.083485
0.020000,3.571813,15.966616,0.272254,1.007172,1.533738,-3.949963,0.091713
0.020000,3.592439,15.968604,0.292976,1.036124,1.447596,-4.307103,0.100493
0.020000,3.613586,15.970836,0.314240,1.063199,1.353722,-4.693727,0.109858
0.020000,3.635207,15.973329,0.336005,1.088228,1.251489,-5.111623,0.119845
0.020000,3.657254,15.976102,0.358226,1.111033,1.140243,-5.562325,0.130493
0.020000,3.679673,15.979173,0.380854,1.131419,1.019306,-6.046848,0.141846
0.020000,3.702406,15.982559,0.403838,1.149179,0.887994,-6.565585,0.153949
0.020000,3.725389,15.986276,0.427119,1.164092,0.745641,-7.117642,0.166854
0.020000,3.748554,15.990340,0.450638,1.175924,0.591624,-7.700847,0.180615
0.020000,3.771826,15.994765,0.474327,1.184433,0.425412,-8.310607,0.195292
0.020000,3.795124,15.999561,0.498114,1.189365,0.246620,-8.939618,0.210947
0.020000,3.818364,16.004739,0.521923,1.190467,0.055092,-9.576395,0.227650
0.020000,3.841453,16.010302,0.545673,1.187487,-0.148996,-10.204405,0.245472
0.020000,3.864294,16.016253,0.569277,1.180187,-0.365003,-10.800338,0.264491
0.020000,3.886786,16.022587,0.592644,1.168354,-0.591645,-11.332107,0.284786
0.020000,3.908824,16.029295,0.615680,1.151818,-0.826789,-11.757181,0.306442
0.020000,3.930302,16.036361,0.638290,1.130474,-1.067189,-12.019996,0.329545
0.020000,3.951111,16.043761,0.660376,1.104311,-1.308190,-12.050072,0.354179
0.020000,3.971150,16.051467,0.681845,1.073443,-1.543401,-11.760517,0.380428
0.020000,3.990320,16.059440,0.702608,1.038156,-1.764350,-11.047452,0.408371
0.020000,4.008539,16.067641,0.722587,0.998952,-1.960195,-9.792259,0.438078
0.020000,4.025736,16.076025,0.741719,0.956601,-2.117527,-7.866591,0.469604
0.020000,4.041868,16.084546,0.759963,0.912194,-2.220383,-5.142831,0.502987
0.020000,4.056916,16.093168,0.777306,0.867182,-2.250593,-1.510476,0.538236
0.020000,4.070900,16.101867,0.793775,0.823410,-2.188585,3.100371,0.575330
0.020000,4.083875,16.110639,0.809437,0.783114,-2.014791,8.689726,0.614207
0.020000,4.095940,16.119514,0.824414,0.748881,-1.711671,15.155988,0.654760
0.020000,4.107233,16.128563,0.838886,0.723555,-1.266301,22.268512,0.696829
0.020000,4.117925,16.137910,0.853087,0.710091,-0.673211,29.654502,0.740204
0.020000,4.128213,16.147736,0.867314,0.711351,0.063006,36.810834,0.784623
0.020000,4.138307,16.158282,0.881912,0.729870,0.925976,43.148500,0.829780
0.020000,4.148407,16.169844,0.897264,0.767617,1.887367,48.069536,0.875333
0.020000,4.158694,16.182765,0.913780,0.825790,2.908651,51.064195,0.920917
0.020000,4.169307,16.197419,0.931874,0.904686,3.944768,51.805875,0.966166
0.020000,4.180339,16.214189,0.951947,1.003668,4.949106,50.216906,1.010721
0.020000,4.191826,16.233448,0.974372,1.121244,5.878800,46.484719,1.054253
0.020000,4.203750,16.255540,0.999476,1.255229,6.699264,41.023195,1.096470
