dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300164,13.705000,0.000200,0.020000,1.000000,50.000000,0.000028
0.020000,3.301153,13.705000,0.001189,0.049462,1.473087,23.654329,0.000196
0.020000,3.303379,13.705001,0.003415,0.111310,3.092406,80.965994,0.000575
0.020000,3.307091,13.705004,0.007127,0.185581,3.713561,31.057747,0.001207
0.020000,3.312290,13.705013,0.012326,0.259950,3.718432,0.243542,0.002095
0.020000,3.318979,13.705031,0.019015,0.334456,3.725294,0.343113,0.003241
0.020000,3.327161,13.705063,0.027198,0.409139,3.734189,0.444750,0.004648
0.020000,3.336842,13.705116,0.036879,0.484043,3.745175,0.549268,0.006320
0.020000,3.348026,13.705198,0.048063,0.559209,3.758319,0.657221,0.008262
0.020000,3.360719,13.705317,0.060757,0.634683,3.773707,0.769403,0.010478
0.020000,3.374928,13.705483,0.074967,0.710512,3.791437,0.886466,0.012976
0.020000,3.390662,13.705709,0.090702,0.786745,3.811623,1.009311,0.015763
0.020000,3.407928,13.706008,0.107970,0.863433,3.834397,1.138697,0.018846
0.020000,3.426736,13.706394,0.126783,0.940631,3.859908,1.275577,0.022235
0.020000,3.447098,13.706885,0.147151,1.018397,3.888328,1.420985,0.025940
0.020000,3.469026,13.707498,0.169087,1.096794,3.919844,1.575797,0.029972
0.020000,3.492531,13.708254,0.192605,1.175888,3.954673,1.741440,0.034343
0.020000,3.517629,13.709175,0.217720,1.255749,3.993049,1.918835,0.039068
0.020000,3.544335,13.710287,0.244449,1.336453,4.035242,2.109603,0.044160
0.020000,3.572666,13.711617,0.272810,1.418084,4.081540,2.314900,0.049637
0.020000,3.602639,13.713194,0.302825,1.500730,4.132270,2.536511,0.055517
0.020000,3.634274,13.715052,0.334515,1.584485,4.187791,2.776086,0.061819
0.020000,3.667592,13.717227,0.367904,1.669455,4.248493,3.035055,0.068565
0.020000,3.702616,13.719758,0.403019,1.755751,4.314809,3.315807,0.075778
0.020000,3.739369,13.722691,0.439889,1.843496,4.387207,3.619909,0.083485
0.020000,3.777877,13.726072,0.478545,1.932820,4.466196,3.949455,0.091713
0.020000,3.818168,13.729956,0.519022,2.023866,4.552327,4.306561,0.100493
0.020000,3.860270,13.734400,0.561358,2.116790,4.646189,4.693084,0.109858
0.020000,3.904214,13.739468,0.605593,2.211758,4.748406,5.110873,0.119845
0.020000,3.950032,13.745232,0.651772,2.308951,4.859635,5.561432,0.130493
0.020000,3.997757,13.751771,0.699944,2.408562,4.980552,6.045869,0.141846
0.020000,4.047425,13.759169,0.750160,2.510799,5.111839,6.564328,0.153949
0.020000,4.099071,13.767524,0.802477,2.615882,5.254165,7.116307,0.166854
0.020000,4.152732,13.776940,0.856958,2.724045,5.408149,7.699177,0.180615
0.020000,4.208444,13.787535,0.913669,2.835531,5.574323,8.308741,0.195292
0.020000,4.266244,13.799437,0.972681,2.950593,5.753070,8.937321,0.210947
0.020000,4.326163,13.812790,1.034070,3.069484,5.944546,9.573802,0.227650
0.020000,4.388235,13.827751,1.097919,3.192455,6.148575,10.201453,0.245472
0.020000,4.452484,13.844495,1.164314,3.319745,6.364510,10.796757,0.264491
0.020000,4.518929,13.863213,1.233346,3.451567,6.591072,11.328087,0.284786
0.020000,4.587579,13.884116,1.305107,3.588089,6.826122,11.752519,0.306442
0.020000,4.658429,13.907434,1.379696,3.729417,7.066416,12.014682,0.329545
0.020000,4.731456,13.933415,1.457207,3.875563,7.307299,12.044168,0.354179
0.020000,4.806615,13.962328,1.537735,4.026411,7.542375,11.753793,0.380428
0.020000,4.883829,13.994461,1.621369,4.181675,7.763179,11.040205,0.408371
0.020000,4.962988,14.030112,1.708186,4.340852,7.958868,9.784465,0.438078
0.020000,5.043937,14.069593,1.798249,4.503173,8.116039,7.858523,0.469604
0.020000,5.126468,14.113216,1.891600,4.667547,8.218734,5.134746,0.502987
0.020000,5.210317,14.161287,1.988251,4.832523,8.248792,1.502921,0.538236
0.020000,5.295152,14.214088,2.088176,4.996256,8.186656,-3.106794,0.575330
0.020000,5.380575,14.271870,2.191306,5.156512,8.012770,-8.694339,0.614207
0.020000,5.466120,14.334827,2.297520,5.310704,7.709612,-15.157866,0.654760
0.020000,5.551258,14.403080,2.406640,5.455989,7.264275,-22.266849,0.696829
0.020000,5.635412,14.476666,2.518428,5.589416,6.671302,-29.648652,0.740204
0.020000,5.717971,14.555514,2.632591,5.708121,5.935297,-36.800270,0.784623
0.020000,5.798319,14.639446,2.748782,5.809574,5.072630,-43.133320,0.829780
0.020000,5.875860,14.728175,2.866618,5.891807,4.111626,-48.050224,0.875333
0.020000,5.950047,14.821312,2.985691,5.953622,3.090790,-51.041801,0.920917
0.020000,6.020410,14.918388,3.105585,5.994725,2.055153,-51.781869,0.966166
0.020000,6.086574,15.018877,3.225900,6.015751,1.051294,-50.192934,1.010721
0.020000,6.148273,15.122225,3.346264,6.018192,0.122046,-46.462393,1.054253
0.020000,6.205351,15.227877,3.466349,6.004232,-0.698031,-41.003844,1.096470
0.020000,6.257760,15.335305,3.585879,5.976521,-1.385553,-34.376123,1.137126
0.020000,6.305543,15.444027,3.704638,5.937936,-1.929240,-27.184332,1.176030
0.020000,6.348824,15.553617,3.822465,5.891355,-2.329025,-19.989236,1.213037
0.020000,6.387783,15.663717,3.939254,5.839477,-2.593890,-13.243264,1.248056
0.020000,6.422647,15.774032,4.054948,5.784695,-2.739099,-7.260477,1.281033
0.020000,6.453669,15.884334,4.169529,5.729027,-2.783426,-2.216325,1.311953
