dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.300228,13.955000,0.000239,0.023902,1.195085,59.754241,6.283136
0.020000,3.301494,13.955000,0.001505,0.063314,1.970609,38.776192,6.282860
0.020000,3.304344,13.954998,0.004355,0.142487,3.958639,99.401500,6.282239
0.020000,3.309412,13.954990,0.009423,0.253414,5.546354,79.385754,6.281133
0.020000,3.317337,13.954967,0.017348,0.396226,7.140619,79.713247,6.279401
0.020000,3.328442,13.954912,0.028453,0.555265,7.951945,40.566321,6.276965
0.020000,3.342738,13.954800,0.042750,0.714855,7.979501,1.377780,6.273818
0.020000,3.360240,13.954602,0.060253,0.875157,8.015108,1.780378,6.269944
0.020000,3.380965,13.954280,0.080980,1.036335,8.058893,2.189252,6.265331
0.020000,3.404931,13.953788,0.104951,1.198555,8.110990,2.604809,6.259957
0.020000,3.432161,13.953072,0.132191,1.361986,8.171538,3.027409,6.253803
0.020000,3.462680,13.952069,0.162727,1.526799,8.240661,3.456171,6.246844
0.020000,3.496516,13.950707,0.196590,1.693168,8.318459,3.889880,6.239051
0.020000,3.533698,13.948903,0.233816,1.861267,8.404971,4.325621,6.230395
0.020000,3.574256,13.946566,0.274441,2.031271,8.500158,4.759347,6.220841
0.020000,3.618223,13.943591,0.318508,2.203348,8.603852,5.184682,6.210352
0.020000,3.665629,13.939859,0.366061,2.377662,8.715717,5.593266,6.198889
0.020000,3.716507,13.935241,0.417148,2.554366,8.835184,5.973368,6.186409
0.020000,3.770886,13.929591,0.471820,2.733593,8.961375,6.309530,6.172867
0.020000,3.828793,13.922748,0.530129,2.915453,9.093018,6.582145,6.158217
0.020000,3.890247,13.914535,0.592130,3.100020,9.228342,6.766220,6.142410
0.020000,3.955262,13.904758,0.657876,3.287319,9.364956,6.830697,6.125397
0.020000,4.023842,13.893205,0.727422,3.477314,9.499718,6.738080,6.107132
0.020000,4.095976,13.879645,0.800820,3.669886,9.628599,6.444052,6.087567
0.020000,4.171638,13.863831,0.878117,3.864817,9.746548,5.897458,6.066661
0.020000,4.250777,13.845498,0.959352,4.061765,9.847388,5.041996,6.044379
0.020000,4.333320,13.824366,1.044557,4.260239,9.923747,3.817957,6.020692
0.020000,4.419160,13.800145,1.133748,4.459581,9.967075,2.166374,5.995585
0.020000,4.508154,13.772534,1.226927,4.658937,9.967784,0.035466,5.969059
0.020000,4.600117,13.741232,1.324072,4.857248,9.915545,-2.611941,5.941132
0.020000,4.694821,13.705944,1.425137,5.053243,9.799784,-5.788037,5.911844
0.020000,4.791987,13.666387,1.530046,5.245452,9.610415,-9.468479,5.881264
0.020000,4.891286,13.622304,1.638690,5.432227,9.338772,-13.582124,5.849487
0.020000,4.992343,13.573472,1.750926,5.611801,8.978717,-18.002748,5.816642
0.020000,5.094737,13.519717,1.866574,5.782357,8.527783,-22.546693,5.782889
0.020000,5.198015,13.460919,1.985416,5.942121,7.988192,-26.979554,5.748420
0.020000,5.301698,13.397024,2.107205,6.089471,7.367533,-31.032978,5.713455
0.020000,5.405298,13.328050,2.231666,6.223049,6.678896,-34.431818,5.678241
0.020000,5.508335,13.254084,2.358503,6.341856,5.940327,-36.928485,5.643039
0.020000,5.610353,13.175285,2.487410,6.445327,5.173561,-38.338268,5.608122
0.020000,5.710936,13.091875,2.618077,6.533371,4.402194,-38.568381,5.573764
0.020000,5.809719,13.004129,2.750205,6.606361,3.649519,-37.633753,5.540234
0.020000,5.906406,12.912362,2.883506,6.665089,2.936404,-35.655758,5.507784
0.020000,6.000766,12.816919,3.017720,6.710680,2.279522,-32.844093,5.476649
0.020000,6.092644,12.718159,3.152610,6.744484,1.690191,-29.466524,5.447038
0.020000,6.181953,12.616443,3.287969,6.767962,1.173920,-25.813570,5.419134
0.020000,6.268672,12.512131,3.423620,6.782574,0.730611,-22.165460,5.393096
0.020000,6.352840,12.405567,3.559414,6.789680,0.355272,-18.766937,5.369057
0.020000,6.434545,12.297085,3.695223,6.790460,0.039018,-15.812684,5.347129
0.020000,6.513919,12.186999,3.830941,6.785863,-0.229840,-13.442930,5.327408
0.020000,6.591128,12.075610,3.966472,6.776568,-0.464791,-11.747542,5.309977
0.020000,6.666365,11.963207,4.101731,6.762962,-0.680295,-10.775180,5.294913
0.020000,6.739844,11.850072,4.236634,6.745138,-0.891192,-10.544864,5.282291
0.020000,6.811794,11.736484,4.371092,6.722891,-1.112340,-11.057413,5.272189
0.020000,6.882455,11.622729,4.505006,6.695722,-1.358444,-12.305164,5.264695
0.020000,6.952070,11.509103,4.638263,6.662842,-1.644022,-14.278937,5.259910
0.020000,7.020889,11.395919,4.770726,6.623173,-1.983452,-16.971464,5.257955
0.020000,7.089157,11.283520,4.902233,6.575353,-2.390983,-20.376564,5.258975
0.020000,7.157114,11.172280,5.032588,6.517740,-2.880639,-24.482778,5.263143
0.020000,7.224987,11.062617,5.161557,6.448424,-3.465827,-29.259448,5.270669
0.020000,7.292989,10.954996,5.288862,6.365254,-4.158465,-34.631854,5.281797
0.020000,7.361305,10.849936,5.414180,6.265909,-4.967273,-40.440425,5.296815
0.020000,7.430088,10.748013,5.537140,6.148012,-5.894823,-46.377503,5.316054
0.020000,7.499443,10.649857,5.657327,6.009358,-6.932715,-51.894609,5.339881
0.020000,7.569314,10.556282,5.774110,5.839130,-8.511384,-78.933437,5.368645
0.020000,7.639472,10.468213,5.886707,5.629854,-10.463835,-97.622538,5.402616
0.020000,7.709639,10.386463,5.994441,5.386684,-12.158475,-84.732018,5.441971
0.020000,7.779507,10.311662,6.096796,5.117784,-13.445002,-64.326318,5.486742
0.020000,7.855192,10.237588,6.202699,5.295105,8.866063,1115.553234,5.528464
0.020000,7.933924,10.166521,6.308761,5.303123,0.400875,-423.259396,5.569774
0.020000,8.013762,10.100324,6.412472,5.185572,-5.877544,-313.920949,5.612425
0.020000,8.094486,10.039071,6.513805,5.066640,-5.946599,-3.452755,5.656017
0.020000,8.175900,9.982743,6.612806,4.950038,-5.830101,5.824879,5.700082
0.020000,8.257863,9.931227,6.709614,4.840374,-5.483205,17.344821,5.744130
0.020000,8.340374,9.884284,6.804544,4.746524,-4.692522,39.534144,5.787722
0.020000,8.423542,9.841612,6.898020,4.673814,-3.635479,52.852165,5.830482
0.020000,8.507472,9.802934,6.990434,4.620691,-2.656155,48.966202,5.872062
0.020000,8.592249,9.767991,7.082130,4.584792,-1.794933,43.061087,5.912156
0.020000,8.677926,9.736550,7.173394,4.563194,-1.079903,35.751511,5.950511
0.020000,8.764519,9.708400,7.264448,4.552687,-0.525371,27.726600,5.986928
0.020000,8.852003,9.683347,7.355448,4.550035,-0.132604,19.638334,6.021268
0.020000,8.940314,9.661207,7.446492,4.552190,0.107787,12.019527,6.053445
0.020000,9.029353,9.641804,7.537621,4.556443,0.212635,5.242446,6.083423
0.020000,9.118995,9.624964,7.628831,4.560502,0.202939,-0.484822,6.111205
0.020000,9.209095,9.610517,7.720081,4.562522,0.101029,-5.095475,6.136826
0.020000,9.299494,9.598291,7.811303,4.561092,-0.071533,-8.628105,6.160349
0.020000,9.390028,9.588116,7.902407,4.555186,-0.295310,-11.188882,6.181852
0.020000,9.480531,9.579821,7.993289,4.544112,-0.553687,-12.918826,6.201428
0.020000,9.570840,9.573241,8.083838,4.527451,-0.833070,-13.969144,6.219175
0.020000,9.660799,9.568210,8.173938,4.504995,-1.122768,-14.484901,6.235198
0.020000,9.750259,9.564570,8.263472,4.476702,-1.414682,-14.595718,6.249599
0.020000,9.839080,9.562168,8.352325,4.442643,-1.702915,-14.411634,6.262481
0.020000,9.927130,9.560859,8.440385,4.402976,-1.983364,-14.022479,6.273944
0.020000,10.014287,9.560504,8.527543,4.357909,-2.253348,-13.499193,0.000898
0.020000,10.100439,9.560973,8.613696,4.307684,-2.511272,-12.896213,0.009806
0.020000,10.185483,9.562144,8.698747,4.252556,-2.756355,-12.254153,0.017569
0.020000,10.269320,9.563904,8.782603,4.192788,-2.988404,-11.602432,0.024271
0.020000,10.351862,9.566150,8.865176,4.128636,-3.207637,-10.961648,0.029988
0.020000,10.433026,9.568785,8.946383,4.060345,-3.414549,-10.345574,0.034795
0.020000,10.512735,9.571723,9.026146,3.988149,-3.609805,-9.762822,0.038760
0.020000,10.590916,9.574884,9.104391,3.912265,-3.794168,-9.218170,0.041951
0.020000,10.667503,9.578198,9.181049,3.832896,-3.968440,-8.713585,0.044427
0.020000,10.742430,9.581601,9.256054,3.750228,-4.133421,-8.249035,0.046249
0.020000,10.815638,9.585037,9.329342,3.664430,-4.289883,-7.823089,0.047471
0.020000,10.887069,9.588458,9.400855,3.575659,-4.438550,-7.433378,0.048147
